Tropical Vibes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Anyone,2wrwZ2h3WoVPYnWOYq6JLI,Maiwan,7Bv1SZbrpTYQixKfQgCzsI,Summer Crush,0yIpx6waKvmtfbotLbbeO7,17,not available
23,Birthright,4bmZEbZkt0LuV2SCQHAcWo,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Birthright,0bPmYIl8AIHS6SZLOdacJ6,50,https://p.scdn.co/mp3-preview/ad582530e4ffeedde4a0dcfe4f73795cb34575b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Chillseekers,13roqX9Iow1epU7pMOYmgI,Chill Cole,1Ns2CQv733eYFITrIHvW6Z,Café Dreamer,34kp6iILHhggrkYCnXg9sd,19,not available
25,Falling Down,2vLYp3DLfpHxuWRCuuclVt,Art Van Delay,5eMwkXglsbS6GcqJ3hsl2a,Falling Down,2JZ2hkB79lj1KqwpMt3De3,46,https://p.scdn.co/mp3-preview/d808d3ed132cf555e8eaf83622d5965c4c6a2b14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,More Than Friends,2BKdPAVeeqhVcHtvCzUPuU,Peachy Pavement,6dThf3xLmENajwG1e0DqPx,More Than Friends,4fqqi4xeunVYbpOqmzDlom,49,https://p.scdn.co/mp3-preview/5a1fb4099ba72ea26018247216b2478cecc8c3ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sun Comes Out,4wfJt0r7lGcC8Fd28Wkr4f,Hallman,6lQbKezHkug0aJSkAjYYO5,King of The Sun,6NJIYxgReCiiCxN1AzbE0g,53,https://p.scdn.co/mp3-preview/8da733becd33e18c64989eb5b8adb4fc794d7ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Vegas,14bmVsdGFImJLshEcxRHGA,Onda Norte,1bQ3iOIv9mCNc5AZrMZe6E,Summer Feelings,2Mk7tSblgPxgovSF8jzLjy,7,not available
29,Franky,7i9RNkOIV30x7UXXfPxmau,Vince Yara,3LSNSEKZAv0RjJMeCJmfHv,Franky,3QFHCcE4MnyvDXc0yJtrWl,47,https://p.scdn.co/mp3-preview/1cee21c56d3f2a2732cfd9caca27497b1ece781e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ever After,57hO2DGhBI2BbqCjVxpJcr,dvine,3VV2pfR0CoFp9JbX6PsaLs,Confessions,5vvby3mFBAzt10wi3YvFyQ,52,https://p.scdn.co/mp3-preview/aaff2a83643d0f1d7298ae6c842bd29f2d5e6375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Montreal,5t9FpLt6rnfuhSoqZw737T,Dieter Spitz,5AW0pz3HZSQ9j6lJCjJvsK,Montreal,65MiD9wGh8CNnHUkq3oLmE,46,https://p.scdn.co/mp3-preview/d3bd95e7cab6e15733c3df499a5f03be3655b113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,We Don't Have To Take Our Clothes Off - Mulshine Remix,5tXg9mqG6pLXVevnB9NqNH,Vivid Color,4qXCADLD9pMWPUkOBCLQ9H,We Don't Have To Take Our Clothes Off (Mulshine Remix),4DYis81pNotnboLNdxShN7,55,https://p.scdn.co/mp3-preview/5442fd8b196a4015a8cf5429d36d83168234009e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Summer Feelings,49rlL3YVFGFr5woYWwKjOk,Onda Norte,1bQ3iOIv9mCNc5AZrMZe6E,Summer Feelings,2Mk7tSblgPxgovSF8jzLjy,8,not available
34,Circular,1AcxJ4t47oSb8GtAlWaxgn,Crisp Nibblets,1DDHk8crK8M6gY3cVcGtJn,Circular,6W2mnksM97w3WgHi5rLGXf,58,https://p.scdn.co/mp3-preview/76f0ced495055d9862afab7586416340b284fa0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,You're Not The One,7e3gyE1cDH1xjfHtorqh23,Ray,3yIN8NnL5egs5nTpiRu9sE,Made To Be Free,3CjrM7lAzd90cbjcVGRjkX,9,not available
36,Dear Friend,0wi6K89xCYDLPy35wddqTG,Sugar Blizz,0n3Km7H53a4LT9DZo1N1Jo,Dear Friend,4J4f7Gy0PuHabbLu3QOsf0,10,not available
37,Blog,2IZlgFPnfBqnSqymiNRaYZ,Michel Gaross,5egTS9H9LznIjRtEOkkiII,Blog,54yBSpfcz63qhwFT0My4xi,44,https://p.scdn.co/mp3-preview/6654751b227048c4757bb9dba8fd3a5e2306d78f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,All I Want is You,6OkWQaK3jAWmFY8LjtgfLZ,Jay Arrow,3cAD80R4qsZOlYVPi9xN89,All I Want is You,0U5ssfqX7m2hcbRYBdNgR8,52,https://p.scdn.co/mp3-preview/0499603e45e4713462a805603144617c6dac1aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Swerve,2w2UDzxOhiujUtZjTxeODU,Molife,5evuJYN1sgxxSQWs9mw1e3,Swerve,6mjJf2GE64QAdr8LQFEznF,55,https://p.scdn.co/mp3-preview/7b61c941543bc66323893ba52e590a2adb64f46d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Told You Once,5JkKam7azyOKIW8Yy0u9fQ,Frank Brinelle,6kZGpjCFAzoD3nHPqTaL0e,Told You Once,3wcloL3xLM9wKYrHG2K7y4,46,https://p.scdn.co/mp3-preview/b5fa389b3e3e4ab6609dd1d0bb14e2dd4fdbc583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Leftovers,4OyMwhSoV7NywZ4W9tK5hG,Jones Meadow,3MK71khOrqZwGpyfYzwKXR,Ghosts,5RVmmlvTdqdFewK0P9eQzc,47,https://p.scdn.co/mp3-preview/53827653d40597bcdab735f5d22fa8b5544a6ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Waste Our Time,26IebVGadxpt7CEBNH4eoq,BLAEKER,5fhygBJA9FbMPEl24DZdum,9 To 5,4yZ4mnbJa2tQWfFS9SQjDq,6,not available
43,Stranded,5Guana9cMolXSB28I8NG7w,Art of November,1jLcY4U2jXPcyzUg6FANBq,Stranded,1h2qxdjCHwe1KmiDPOi3CT,58,https://p.scdn.co/mp3-preview/65e5666dbbfd9204a7095ce22f38760e13337f60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sparkles,4fzQjePo7m0KyiquwnekGx,Daxten,1uwGIdDsv9rhyzuqgYhOuS,Sparkles,39btva8FpsGxJi4dQ7jRIN,6,not available
45,Silent (Instrumental Version),0FfLmzYvQ0mz57INerkDru,Aiyo,6CK2nmnsqef5YFU7ckNTqH,Silent,7ABddBXxguDSg3JtsR19g4,52,https://p.scdn.co/mp3-preview/c2f77481dea18b87a9e701deac9867b46b542bdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Salt,0jh1UAMBLYHZrAdbqxkjeY,Dye O,3AihmaPi9Wr3O7z578f6mH,Papaya Island,7y8NL266HSryni6nAYmdHK,6,not available
47,Past Adventures,7knYmZG6hwaxPiM2EWolTg,Brendon Moeller,3V3T5haMWZGfFxqVsAB9oB,Fallen Angels,1eYCpCcVsvVoIZgZ2XyBnV,44,https://p.scdn.co/mp3-preview/667ea70cab212104d8e2006ed1ec552911af66a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Rewind,6TAo21yrAU1tZskiRxivRm,Cornpop,55kRR6fnuyt29pJGRqTPXh,Rewind,5jT0IK2DZBrhUC9paSmanT,55,https://p.scdn.co/mp3-preview/735d4a614ceea4a982b08679270319b085516d89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Mexico Para Sempre,55lPk08JpWFgX2OUtmTWln,Il Greco,6akppwCmIdXMHpXWXzYTyp,Mexico Para Sempre,6GWM9eXA015nVk9Ch5xcPy,45,https://p.scdn.co/mp3-preview/13f7d36751f95b1b13e51e31a181a1ff1a920b6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Can You Feel Me,35H95rUd08Fwm0DeDifwZM,Love Beans,252cgVmlHfU9jkUArZ8gDm,Can You Feel Me,1uHej97mZJH7VVqluMqbRn,11,not available
51,Lupino,4V8fOkKXGpPcUp7lvFWdS0,Magnofield,4wNM69xY7xVOi8WK46t4tT,Lupino,6LNyTa0FtB9YYohiEACjhW,58,https://p.scdn.co/mp3-preview/2d0414803fd365f4e0e0a5ac564e53bd790b48f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Human Music: Music For People,5HMMJiXSrxvfwN0aOwBog1,BENNIK,1D2jBI0hb1xm1LrXm11FuR,Human Music: Music For People,1dXDcGoRT9EUqi6LLFcyzk,42,https://p.scdn.co/mp3-preview/6f183fe68a2f7422898075f15b12dc548c31e5a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Subwalk,4SN5CP1ReUEwDCm2PcrLho,Bamba Lamer,0lHDiEKyk5ooAlsfDeNHgo,Subwalk,2F0tC3SD5NyUaS6Pgx7mKS,59,https://p.scdn.co/mp3-preview/2d862e5ad35044229be2e9a4bb89c315129346af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Keep You Near,08WmkTJ4aa1yhPBZcgQDPa,Sum Wave,0bfdnPaHczaQt6tYe8J4Ci,Near Dawn,7eBvNNIxRGlTKUs1klQRPo,12,not available
55,8 Money,5WxznT1acobTk0pqVEtaO1,Giants' Nest,31WBcBz5f7Od21JVn20Ajn,We're the Tide,6f9nYYjHvCOKSoxDTrOtVD,56,https://p.scdn.co/mp3-preview/91c7102f2c1a27c5708cdbb1e565df3775366394?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Kiwi,1BhhWCtAfUkBQTID7uLgQ6,Harvio,0VCoyPtLDeOvxwvHeCX7Jx,Purple Summer,6AsKuhZxUSO93QaKdOhwJ4,19,not available
57,Don't Break Up,39bqrTfp3CrDoWCCQFgImJ,Fresh Faces,054OEgiAhYwnqHQOV2KmSc,Don't Break Up,1TYGmzUDEIJ3XMUK0qWtrh,59,https://p.scdn.co/mp3-preview/f3539e6ec1ae237c5885e64303be90edcae6b6bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Kirnua,0rYfDnwdsArNfvV4HWgXvd,Jones Meadow,3MK71khOrqZwGpyfYzwKXR,Kirnua,7y4cYA0qeqfOSeTs20OroS,59,https://p.scdn.co/mp3-preview/6ee2a30a77c51b3dfdbc3b04d4766d7380363479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,La Isla Bonita,1ueFCTWvIdVTxEVDWUDAEA,Taladego,0UKb2Vanbc1rdrWpAQ0uij,La Isla Bonita,62NsNXlxCjAFomK7pE3jIf,56,https://p.scdn.co/mp3-preview/df330778d4e7cc0b6c72fe288d4ffdf4d25e86a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,We're the Tide,7DzFjsPLcB2CMz7uK0cSKb,Giants' Nest,31WBcBz5f7Od21JVn20Ajn,We're the Tide,6f9nYYjHvCOKSoxDTrOtVD,41,https://p.scdn.co/mp3-preview/0d65fa4cc25bb511307febda14ceef16147f44ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Hold On,7KKfvDIIyl6tqeXADXah6W,Mac Beez,4BlBvAGQrqv3vWmx8GWTds,Hold On,2ZFRC28tWKrAIQtbTIaWAC,57,https://p.scdn.co/mp3-preview/8e6d28916b416126cc05f581c8382a3450395eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Sleep Online,4njORatgD4DQOZsgio3Wiq,Barbatula,7hn07YGWIDqLjXljHGI6t9,Sungaze,1qHZRhAkC4JTXgYVi8LUXT,56,https://p.scdn.co/mp3-preview/908fcdfa43fe2ba1bfe4a1ddda14349658785fd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,So High,2MQisqk88z47IjFxqqY9CH,Funky Feels,73bsuepJlmtW9xPn5zytKd,So High,2Nyh2JHjWIOlmH1tWqKWES,52,https://p.scdn.co/mp3-preview/6ab9cc088cbd159f8f3a5731dbc2fd1e2d0d9785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Before The Dawn (COE Remix),0FRw58svAibXnHWtLCsWuA,Wild Beaches,37pU6qQZ026uySPu0nxUD9,FILTER Vol. 2,7kLRxoo3rOMpop9Al0QViZ,6,not available
65,Feel The Heat,20USnYqI2EWN1fLBD2PF0i,Bon Lui,2NORrxtxRnvCca00Mb2CPg,Feel The Heat,0KND8xyCtHZVfexgG0ZQR6,60,https://p.scdn.co/mp3-preview/8d66c4185f8e79b2e05c25692046b443bbe4f1e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Mirage,4lPq7yzD0FW8HUWQ61Puvv,Dye O,3AihmaPi9Wr3O7z578f6mH,Mirage,3638ZiUtBJSBzSTjNkXv5h,19,not available
67,Feel Me,6nlNdYGf4TnWPKzxdPZW90,Dalac,66b0xoSrR8tM1qjoEwsDlq,Feel Me,0yAeK2SHxC7xKBP1N3jbpB,54,https://p.scdn.co/mp3-preview/c97372ef802f6c0dcadca69f7d5ed696515252f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Zaim,3O5qrnMGBUgyqHKwvj2UL4,Butia,6xSMvc8GFkP4ElMTOeNH0h,Zaim,0Mv3pPeTjhUFZhipQBFbSU,58,https://p.scdn.co/mp3-preview/490312d4901015d66963778f6342907d9d492d4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Moving Up,2MF1wmgHOWdnURsuVCN2sg,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,Moving Up,7eVL9LbW15tUQYTPK2oOZV,7,not available
70,Push,1i5lXpzjo8qBAVRvEoBl7Z,Grennels,0qbTETuJCrGSTL7EKVWIH5,Push,3qjxhwOM5CJJ83VVlwe2cv,54,https://p.scdn.co/mp3-preview/626ce90b967c338d23c65a27bd9da8cf08a16dd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
