Fit mit Beat,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Bounce,6LwlxrRkPPt0AgX9NPTK0U,Firebeatz,53YSn9tHwGJ6bq5P0gGoYo,Bounce,21vSCD5QvdRF0D2W2MnM56,49,https://p.scdn.co/mp3-preview/57e5534ac98f71b8a3eac4199e5ea8681f011204?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Confused,2Xe6e0QLp2rWXzch2JcjDe,Kage,6ehv7BnQkNEh7Hqd8rRcot,Confused,7Ciqy3ZmZRdYL145BXaEXc,39,https://p.scdn.co/mp3-preview/7d8cbf20c613e4ae50f595990209072cb1b6df7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Girls,7cH7ODzv3QFpqypowqzqGm,SODF,3W6rDpEiOyC5QuEpxyToRX,Girls,4WGT8ET959w5JJbG2Ern4h,37,https://p.scdn.co/mp3-preview/6553f8fc683776030921cdc11f4b5b11da6aeba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Fire,6cAoQBAwXnRaoz1OY0pFvW,MAKJ,3PtCud9dIdOv4exrzdZZ1C,Fire,14Y0XkrKy6vSTyUeZVk1HS,38,https://p.scdn.co/mp3-preview/027ae1453fc7700705c74912a2cf25597a604dd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Get Down,5WFKc2hVkGVMrjB6t2ktit,RetroVision,6heMlLFM6RDDHRz99uKMqS,Get Down,0pNLSzrAzU45A3TTUjtbuN,4,not available
41,Massa,3NmrzmlVUgxwNWcQqPaG8X,Fiëhro,2Fuctu5v9TA3F1tCEBPbnG,Massa,4R5Klv037bcrdaqgQMU6oW,36,https://p.scdn.co/mp3-preview/cf75db4e0669a1aa0e08f51689b0eada978c7d9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Come Down,3B1VhftvECYU6xm4mf1ZDf,Dowell,1myslQTG51hokYUWjYUIxu,The Come Down,0tjJfKpoHm5mPGf9ZRB7WL,36,https://p.scdn.co/mp3-preview/60281309a033fe7cb6955513be9800719ec55e6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Rock with Me,4TTgSI6H0ha8j16xuB8dmQ,Croatia Squad,3FAUGHLioXySQ1QTnCOWQC,Rock with Me EP,5lox8YZi3onZ2PEtXtOMhb,56,https://p.scdn.co/mp3-preview/fc253d1627d6baf7f5e0df0112ca74ddf6f91aea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Get Bounced,0TugZhhsF2laORHnpjlLOa,Dirty Palm,4cZvsAtZm91PBC0tXlDrP0,Get Bounced,3WwavPJx9Ux3mOxjoMtyCL,43,https://p.scdn.co/mp3-preview/dbddd8adb033950b1bf1375341f9620694f4cb7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Midnight Strike,5vKeb4bGtdwEaDVZco9WuX,Mo Falk,40U5WCKQ9YGndn2bqa5vEZ,Midnight Strike,7zvuaLNww9iaVD3roKo2DJ,36,https://p.scdn.co/mp3-preview/b6328fc3d9424a8f83f4cbe9d34351d16df8711a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Redlight,2xvYYOE1Yglm2483jqiGCz,Marten Hørger,0EdUwJSqkMmsH6Agg3G8Ls,Redlight,4U8y2J6Jb5jLHjbgnChqqE,41,https://p.scdn.co/mp3-preview/d08bce5e17e6f808c24492f743b615864e4295de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bounce - Original Mix,7ju8cg6mrdv1hkFMJ1iYqH,Asow,51mPlNUNjmkbMz5LEFLi7q,Bounce,00QJBfn2wXQcDlMLiFcbcy,38,https://p.scdn.co/mp3-preview/7fca5649523e71a7b9eed775f7b87377d4cd7043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Mind Your Own,337vNB9eMSYypkd2ewlzKd,Vluarr,0ClkclGbzsEY0aBtqq8MrB,Mind Your Own,3W2ZeXzJwAcIs5A6Awald9,2,not available
49,Werk,1ro5Ed57wMiQKtMTpCII1P,CID,4FCzCS0KEgb0rgySWINItO,Bad For Me EP,6YvWAwg0wQW8gjI1Xd7uFZ,7,not available
50,Mayhem,15tPd1IdPIwBhMn7UByEdV,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Mayhem,53gk1VBQCzTB6mRQaFH5zk,8,not available
51,Check Me Out,60S0MHNzjWWE0pvfP31ffY,Brooke Evers,7KkfsUfXaB3RNWHKczS6s1,Check Me Out,6bIyPPP5cJcRo9beTlIwWD,49,https://p.scdn.co/mp3-preview/f66fbfabfd5910f45376ff3def4317883dcbcf53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Get Girls,3P4m5IvNd5BVLKfwGNIkTc,Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Get Girls,7eWKEoShxlhxpCKoYmiOt7,34,https://p.scdn.co/mp3-preview/3a267d1f472561d0d48d2410ab69c4b803775336?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Oldskool,2Q7kTdM2rHHJiP8ikFw12o,Julian Jordan,2vUCVkeZjzDcaoX4gagHdV,Oldskool,54VKoIUDgO7V5h3H2Ff2i2,50,https://p.scdn.co/mp3-preview/b794dd12bf2ea7b39f2034743813ea8369c84bdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Drop It,6tcxDXG46DI8rK24AoJ0Z3,Rave Republic,751qvO4d3fNm3WkLvOS5Wa,Drop It,7yIwhmhlIYs1Db1fDMfEK3,36,https://p.scdn.co/mp3-preview/90df6ffa30a2c2e98fb8c985521133cf77de0404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Non-Stop,3mcHiEuXRSUOH5eHToudmf,Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,Non-Stop,2ku4YpvOsrszX9LO3Rh1ae,42,https://p.scdn.co/mp3-preview/edbc904a8d318e83a02e515309b2c283bbf8b21c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
