Feelgood Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Moving On,5pEkIMmKoyM8OsyrzzrJ7k,Pool,1yZ0q0QsxwvyY6odzRxUuX,Moving On,05wNfDR5Cb7XB33SpAfYiG,50,https://p.scdn.co/mp3-preview/d5ef8b9ea9fb292d17db1b0cae9ed23e6713eb14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Tides,3Du3efHO9I7VFZHiJ9nPPM,Shelter Boy,0pTrkIFjUhNNHIV3YhtPfV,Mirage Morning,6uqxzoRQg50XPMg9Xp3qrJ,46,https://p.scdn.co/mp3-preview/ef4da868ae4102153e2fb1a1fb0b5e652bd45eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Forgot Your Name (But I Like You),1Nf6dTWkWcvpTRdDA7dpe8,Two Year Vacation,32pDhOhptrPf8qiTFG8VPZ,I Forgot Your Name (But I Like You),4L4T1LiLDjm5qKDyE5l5Bs,13,not available
15,A-Train - Edit,0WeLpRHrzZcmpMrppqPnnp,COMA,5t9SPy7c5n665XZCoAuR52,A-Train,1b4ZTZJK7Ny6TxPkSUq3u1,49,https://p.scdn.co/mp3-preview/6cc73188f4f82de03fbe210a60ace6fc05fb6642?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Canary Inukh,6zXe5eScWYkjQ59bcDETWf,Keope,4PLAd936ZTS6KSJtiSsqDX,The Canary Inukh,3R3ClYQ14WTH7jyc1x8TbY,23,https://p.scdn.co/mp3-preview/7d04a503cfbbe9faf95fbafaf976bf50a590074b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Drugs,0JFdQ25hx5acmmlE4UHTvO,GiiRL,4Ggd7xGsmTyLZuwhbjQ29K,Drugs,50Fz95pF2j1T7u87YijuEb,50,https://p.scdn.co/mp3-preview/eb6eb8d6de78c6dbdc92a99be909ed941156957a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Marie,0YIPrzShvIvlcsZkEnZ4FL,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Schlagschatten,3zhOW5DedpxAxddYJ18qiI,63,not available
19,Life Is Long - ESCQ Remix,1Ts0ItPHx59El49QqVeWuF,Wallis Bird,0aogyPVqx5tlIkR0BHAehX,Life Is Long,3ZSrOi2JWzJUWg6CZ8QCoy,39,not available
20,Lies,2mvywhavXxejwVY8D25K4W,Say Yes Dog,039HWymb5EJiSHhtlJctsi,Lies,3hV5RFOwpWAmyXxDFcR6aO,47,https://p.scdn.co/mp3-preview/e925f82c6aa5fd45e68665b504b2d69eea4091e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fuel On The Fire,2ZsHg7kRuIiEtbsXhzGP2x,Bear's Den,0nJaMZM8paoA5HEUTUXPqi,Fuel On The Fire,0PCUYIS8FAuDlu50uMO0XG,49,not available
22,Lovers,6AccHVZg9yVxPv6TbEF4Lw,KEØMA,79iWNhmr65X2gvuPl5jB0U,Lovers,17iM8xirzqQOAm4w7zZd6D,47,https://p.scdn.co/mp3-preview/9f23e06fd57d6bdc9b26648c5fe74566d94ca86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lieferandomann,4F7oqgyfDum7nxTJppYphj,Von Wegen Lisbeth,0uNoScPvcAL4krqNZfeJBq,Lieferandomann,28ShMVsTJC3BztVuWUtpVe,53,https://p.scdn.co/mp3-preview/62e35422628e19953d083194c9a141faa3bae33b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Privilege of Time,3w4IdLf8usEuW3NoGVoUtV,Mani Orrason,6Xy8dw47s5ZgDlr0isOLV2,Privilege of Time,7Lsd8Yghn4BvQklzFuVyCY,48,https://p.scdn.co/mp3-preview/cd4bba14848bbedf21febe641ed0e91afb5e2585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Kalif Onya,0mesXBMiwhSsFjUJNe9k1T,Al Pride,2H348ORtPqCyeJllhI8ddB,Kalif Onya,0CrAZ1bf2mckuZSGsLckDl,45,https://p.scdn.co/mp3-preview/ab827166e15d721021704a90bb88387feaf6bd21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Take Me Home Boy,7o3wtEVVCFF6zKhV5e7y5V,Color The Night,1tcGZAevGYVPBrqvJ0CZMh,Take Me Home Boy,6bv59YdvYFmregbLc4yTp7,44,https://p.scdn.co/mp3-preview/0d590befbc7b996496adc3df1a240733b0e8fcd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Motion,4xWOq3FSe8j2G0s3Zydkeh,CATT,4vECkYVXR5tUXqDk2LVzkJ,Moon,3M9kmWEjX3eiDjk1Ys8KDB,45,https://p.scdn.co/mp3-preview/fe19013ba26482c671c1f854a9fcaa947d09e469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,All Because of You,2NArIqQMcyBNQkxlZY7esf,Pool,1yZ0q0QsxwvyY6odzRxUuX,All Because of You,2Dv9PDFyQ0fvZxw7b3h2W8,45,https://p.scdn.co/mp3-preview/4188e244b611b8b352f30b41aa71d0cb86c898f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Fado,7bt5kLZihTKWaS86lYvj3g,Milky Chance,1hzfo8twXdOegF3xireCYs,Fado,0eWKQ5acjy0pKaXbx1oieB,62,not available
30,Colorless,6EBn40MU1VLPoXy88wM39P,Leoniden,1zwtew8BGPk66RKGQqtPCX,Again,5tN19IQrbStEzPJ8snVO8g,50,not available
31,Sin,1q64ZNV2eHUYiCQbwUI308,Kakkmaddafakka,4HV7yKF3SRpY6I0gxu7hm9,Diplomacy,2qGw19tighps3VwzBmkeaT,50,https://p.scdn.co/mp3-preview/89f1833b115b1a0d86c9baf781e1f17ad8c0ba16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Barricades - The Blanck Mass recording,4Lo364Or66UZ9bynKlojKh,Editors,6e9wIFWhBPHLE9bXK8gtBI,Barricades (The Blanck Mass recording),7CdfYdgnJOYrQQsHnHmP4Y,49,https://p.scdn.co/mp3-preview/20da10a52e7fa832de295a3f772b23469597872b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Non-Breakable Space,47YQlBQsQv1CfHi1E1Lnq8,Small Fires,6lcQgSJvV3dxRev56wMrbc,All This Noise,1s352S6claWIYeJ0bvwyrq,44,https://p.scdn.co/mp3-preview/d3319494d9f574348c25dc1cefa8489b0950aaaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Alle wollen Liebe,61xGZ8RQxlxykrKjCfzN1u,Das Moped,3JwwCZUNR8yoUDsNbmY86a,Alle wollen Liebe,6sNMYT73gMs1Fgc4810e27,46,https://p.scdn.co/mp3-preview/e922e32086a4ac5106149c7d5ca7d967206e00ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Side Effects,6ceQzaHLJftxRKyz4S9BNn,Jade Bird,7D8LuVnlyu91ndcPe70j7S,Jade Bird,34RIeuzZA8ySXCbsEd62jG,52,https://p.scdn.co/mp3-preview/7bd1dba3c23e784eb82409de1ea7581588034b46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Trouble in Paradise,2gxB459IzomTaH9aRn99wF,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,MINT,2EwVWNkKtyjQwDInp6FmKJ,46,https://p.scdn.co/mp3-preview/d51dbfb467b49f7b007d7cd289af419eab7b37a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Tragedy,5AeycqI8IdCUMUPKWlVbbx,Everything and Everybody,0xOueY8OCpmoM7YmmkFPvt,Tragedy,785HwGJvby9JByzCokZdFL,43,https://p.scdn.co/mp3-preview/59ba343d128544e88b68acff5340da8323f567fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Saltburn,15ESi2KtZMZAXmkvIkesb5,Future Humans,4BXM7ghfjufutCDfJfXdIl,Saltburn,18QEcCqHasdMKMjviRzDga,42,https://p.scdn.co/mp3-preview/2b660ac174a8fb33970bb02f5767f6c5eeaa1f7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Hypersonic Missiles,4fB1OI42wuC0SirSR64qc1,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Hypersonic Missiles,0cIY9UjncDVIROjKfityxc,68,not available
40,Falling Back,7iA8BlFVOityG3DGPExJtx,Roosevelt,4AQrqVz6BYwy29iMxcGtx7,Falling Back,3dRyi7KJOlQxfzA2hrMjJe,56,https://p.scdn.co/mp3-preview/cde5bc2740e251b3f0c0d3f5eff654a9b9a54a6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Drastic Measures - Single Edit,0nMwcep8TzjPqokMJ19t2z,Bayonne,6BbqU3r1G2mwkRIfIbkCek,Drastic Measures,2KBHJWhqz3ohObURbhXaKe,38,https://p.scdn.co/mp3-preview/54164882c7eade7e73fe947b1e3ec3607d3ebee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,One Last Fire,1oCDL73YM8QtdcDxRAVzgq,Mando Diao,5I4eibDkC7gg0hmczTZuND,One Last Fire,71jbg9yyagDygZKITiznsB,51,https://p.scdn.co/mp3-preview/447d7f15eb0ab1dd71195e75f8869b8fcb868e8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,SUPERLIKE,1l1kutGZYzXajxRUtxdFil,The Academic,3VLf4DlBTN2ZRwygS3TNti,SUPERLIKE,1XnqBuuapgOTKsqhslDanX,56,https://p.scdn.co/mp3-preview/619c09de10e8935d46d2f192174254de7be5daba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Love It,2agFH33OI21xCPHYPfFIKO,UNSECRET,721Thvnq29Or9LXUyfF75c,Love It,5sZmfhI5pq7mVlEhDLDPQJ,56,https://p.scdn.co/mp3-preview/5a462693a621e95c10c1657968415231d70d0ae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,The Way We Say Goodbye,7J4inwHlV4Bf0qhe9xGGpS,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,What’s It Like Over There?,75HYUZI2d0FDMlsIEfp6Kj,58,https://p.scdn.co/mp3-preview/dcac40bd7329a94d9f508e1504987e069e8cc815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Wars,6DZ5EOzz715nW5UIovhIWD,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,FEVER DREAM,3jk6oyfKCny48ZYb1CPjLa,65,not available
47,Melrose Place,1yvAJC1O8Wama3p1YWYkyT,Cayucas,7LLcRttKjV6PeJOlCNCYon,Real Life,65VOiORVrFLrmiOl3Y0DWb,41,https://p.scdn.co/mp3-preview/fc4f15abe847ca4dcd84ef83cb8f8c1e804f94ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Kids in Town,5MqwuWfMq0me0XXdXPqR0g,Mnevis,0d7KUM6jrlAu0xtYqRk6S2,Episodes,33776U6wHRWzgXsahf0l2z,22,not available
49,Ich verlieb mich wieder in mich,1FD4F9c5QIaV7sXqbpfdfx,Die Liga der gewöhnlichen Gentlemen,7xYldHloSckuP93hORkq8v,Ich verlieb mich wieder in mich,2otSCZ5jaib8SJwL4Vznlw,42,https://p.scdn.co/mp3-preview/0639eedcd6718e5f1910586445827be7dc55c2f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Times Won’t Change Me,58Xf9pv08HhsBdLshzIYAQ,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,Times Won’t Change Me,3EIPcoZHetYu1LM4AVjLzm,62,https://p.scdn.co/mp3-preview/f0ad568a73767f24688e419e6488dd96c19c9f02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,High For This,5Lv2XtP4R1Nw8IstAhm8dS,New World Sound,4RQQEu24E1oQAQXvkxsLxE,High For This,1LIvgfJdxRRyNqHKyqxWpt,44,https://p.scdn.co/mp3-preview/29cb22f8f9c6ed06dce9c807aeb9a822ae77f3b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Feel It All,26SdeD5OY1YzFsDQCNnCIp,Kita Menari,1noOoapXyyCG1nYTH436qw,Feel It All,7p4YxLifRcs95dxZo8aVXd,41,https://p.scdn.co/mp3-preview/a381e283abfe5d64643a4ed868bb1ecf0656c618?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Record Collection,1xmMcAcwZdOS7r0Eurw15a,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Record Collection,663jtJUXhWADRwBLDZe3fV,54,not available
54,Easy Way Out,4NCFHqjNdvAFRb4Xihb7j2,LEISURE,7b04D0yLktCUpvxQBhmG7R,Easy Way Out,6GB2cfkY9yI9Sw79zfqsro,49,https://p.scdn.co/mp3-preview/f098e9fe7bfec8edd8e1bd431f7c46e9679df90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Leaning On Myself,11p45DXn2eSqcBtcAsWT0k,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Leaning On Myself,1BLGs381DAuFmiqaryX8ge,54,https://p.scdn.co/mp3-preview/3e45ba64c62486d4e55039b970b93ff4b8a30ec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Always Like This (Demo),5QnnUPcjIMTUpIrU4qwAf6,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,Demos 2004-2008,78GRcDIvVdv5UgzsWFFrSR,45,not available
57,Are You OK?,13AYk3zwAtSuuu1t9GTf7n,Wasuremono,1i9EknSbxjunq52yyxl8ig,Are You OK?,1wLarLGfSpVvudyJE7BiG9,52,https://p.scdn.co/mp3-preview/0909ff139da8f80cae7041b6688c21f590b38d7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Conversation,0VT9dnjNWnDi5PNPH6utwE,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,Conversation,51suESpnYdi6per5UDSHtu,52,not available
59,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,70,not available
60,Learn to Live,1eHAvRMo08xOVPrAr4KLBS,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,MINT,2EwVWNkKtyjQwDInp6FmKJ,49,https://p.scdn.co/mp3-preview/3fd34871e79683cfa410d52ce215bcd3391fe1e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
62,Sisyphus,3DFBLpTc2KkuTTNDFg5ziF,Andrew Bird,4uSftVc3FPWe6RJuMZNEe9,Sisyphus,5JaZLRYawwCleJ3djEwZRC,14,not available
63,On The Luna,5dfJsGTmtGvh2t5lf5Tu1o,Foals,6FQqZYVfTNQ1pCqfkwVFEa,On The Luna,6iaWoOJ3TJZsIUtxBT5v9U,11,https://p.scdn.co/mp3-preview/24cf75fbb628a2ff80aafd357f0e2686974461aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Hollow,3Gw2X0ZJgxlggAIuG36rVF,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,Hollow,6xE5ktkCULl1fLK66hHoqY,59,not available
65,Déjà vu,5IR3jlX5BWsDabqWPsL50V,SOAK,4PLsMEk2DCRVlVL2a9aZAv,Déjà vu,2N7iWJsGDvDTmtdtFpguIr,10,not available
66,La Vie En Rose,0d4qCmNoQ7D8Hv0azn7Ozu,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,La Vie En Rose,238gzyCPHIjz1GxXqdOY6T,54,https://p.scdn.co/mp3-preview/1339464e08be1f70853b9ef6a355cd7e689b7269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,dead girl in the pool.,5MAjVARSIDzwz8jFG36hFu,girl in red,3uwAm6vQy7kWPS2bciKWx9,dead girl in the pool.,52BIjApb3xOtj4e1SL6bVN,65,https://p.scdn.co/mp3-preview/e5ce5865d64765e35988e9526585b5a22a5ed5e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
