Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,81,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,You Let Me Walk Alone,07qlsG6DYRLBbovwca9Vbr,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,Dreamer,2t0sI2bIbjfGv6UmjEG3LP,59,https://p.scdn.co/mp3-preview/a53bf62c83048dbcc7b1f3f6e614afbadacda8da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Summer Air,2wXWlMXmao3AoaZKtl2p5Q,15,not available
13,Phänomenal,5Tz9FKVUOPZ5nMIbuAlRx4,Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,Phänomenal,72GncchT8FkKNDfG7lRfit,63,not available
14,Feuerwerk,17DNnXyihmTHGxMQs1Bm6T,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Feuerwerk,27Wz6k48IILYU5TDnuqEeB,9,not available
15,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",5dX8ECwIk0dgBTkqwPVZhc,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",12tophmBTd8u7ETsFhh6Ga,8,not available
16,Bella Ciao - HUGEL Remix,3mHXBSyBazzIW1INJmErKi,El Profesor,2gTcdmBwgyh3EORKIXCzlw,Bella Ciao (HUGEL Remix),3CQXZGwq48aV4XrkpxCgOr,66,https://p.scdn.co/mp3-preview/7ec9450641672a7b287e0f1e18e5d329de9f37b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Leave a Light On,3pczowjToa5SYsI6Th4KO8,76,https://p.scdn.co/mp3-preview/1f0dd349b1a3898c0f7466a95fa437b1c77928d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Senorita (feat. Pietro Lombardi),7C2uYDYGaGLAq9kD2ZrHdr,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,4LkTwh0FMmd8IR0zvMbYS3,5,not available
19,Never Too Late,2t0S4nEnedjJIQ08pWA8wA,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Never Too Late,5MRJgor9sRxiqOFZeCmq4k,54,https://p.scdn.co/mp3-preview/0161f2ddf0dad3c4a50bc62cc9bf880a4afb3008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,23fqKkggKUBHNkbKtXEls4,Stargazing - EP,2sPYPyDFwgi1jrRTGhoxq2,75,https://p.scdn.co/mp3-preview/1c83c44bc1fbe6bed8254c4203256778a7a8b83d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Ist da jemand,1QzmdyU1N47jAj0ao5IvlW,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,So schön anders (Deluxe Version),0eeSPBnOD7gGAcCjS9R2IA,60,not available
22,Crazy,1ZtEZjYb4e0V0gqwRYeeAY,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Crazy,44w0sjVpQthx9MxtXSI0TZ,48,https://p.scdn.co/mp3-preview/5954f0df659a424181a4cd3c05ddb8e1b83d31e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,La Cintura,1BFmBgVOnLy3Ekrxz1lBOK,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,Mar De Colores,4JKhcsTTBrRxA01gvYPm6s,27,not available
24,Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,0YZLXTaHLcgl5UdtKDiUXD,85,not available
25,No Vacancy,6XOYVSmNDjKUNMXooU4s4z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,7GxsxPFTZANnpsAONtZlHQ,14,not available
26,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,Luke Christopher,787bCXOIvGeBw0Bc4kEjhD,TMRW,6dgQDrfjCOe7E8ruh1ruWa,67,https://p.scdn.co/mp3-preview/7a56116f6d0438e1ebdde2e4ba9f675ab13549ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Was du Liebe nennst,4hKWUzhQWsOkgT6LnDEASe,Bausa,13bDjug9N0pyv3ZUINjkDV,Was Du Liebe nennst,5NmLQOHFw8w291xZEN34me,66,https://p.scdn.co/mp3-preview/dd8265fca847d4cee49c47744530e9131c7d0989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lonely Together (feat. Rita Ora),7DoN0sCGIT9IcLrtBDm4f0,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,20,not available
29,Feel Good,6a9vKVMFfNBi741DVSit3H,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Feel Good,5yAfDtl0HzGSqfLv2C40Uy,14,not available
30,Rich Love (with Seeb),7aF09WaavZAmAWuUeYxlYD,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rich Love,57Cm8PM2tz8TAvbbPFglMG,17,not available
31,Ich lass für dich das Licht an,55VQvOY6dT63vHmYlWJDpG,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,61,https://p.scdn.co/mp3-preview/bd0ebe14e46d5626204bcfc520b961c026efdcc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,In My Mind,1c79SozES9Eb3Lzf9KVaIa,85,https://p.scdn.co/mp3-preview/93c16bb3fc2389f39db64a559ddac0d84bb15e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,27,not available
34,Chasing Highs,6fTsxhIosAU6zXTAhSaemI,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Chasing Highs,1Yx8WUnHX4zrpQVF3nOPUg,11,not available
35,There She Goes,5tmuKTnfayZkjDlukTz3vT,Taio Cruz,6MF9fzBmfXghAz953czmBC,There She Goes,6lIsiWfNLzYcGQE6FmwJwt,60,not available
36,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Solo Dance,3BcNHuKlAm57APDcwh7LJq,18,not available
38,Lieder,5Zd6xRDfkWRT1FF1CnmvOG,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,Lieder,2ddLpxUJMWmq49zsOSBHGQ,8,not available
39,Willst du - Radio Mix,2LkUiZy08G0PAOzvRQ3oxY,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Prayer,1SrvubPy1Dg2BWJyTMcmgr,61,https://p.scdn.co/mp3-preview/ebb555b46908d8180877095941d8217085bf0d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Took A Pill In Ibiza - Seeb Remix,7vfWgVGiLgnGbInU5lvSQg,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,I Took A Pill In Ibiza (Seeb Remix),31VgmdtmYLMb31XhP3RPVc,19,not available
41,Kogong,0eBEo8ckRAmUEdrbmgpevQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Kogong,4SgQnitl0j0MXsloj8KoBI,55,https://p.scdn.co/mp3-preview/a10a5aebafbb9efc5dfb0e771c94bd15bce06eac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Your Song,6lrm01OVZZVmarH2XLSAXZ,74,https://p.scdn.co/mp3-preview/91a31303c4101d8cdd1a7a3894644cc236c6e776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Sun Comes Up (feat. James Arthur),6SUocL0caib4mLHe8ZrZzi,Rudimental,4WN5naL3ofxrVBgFpguzKo,Sun Comes Up (feat. James Arthur),5UGyzp6HT8oy0eTkBfxtQ8,66,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Geiles Leben - Madizin Single Mix,4dE4yaT3DzLiXH1wnH1KLo,Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,Tag X (Deluxe Version),2rbSsJUXRpQ0kx3JZBY4oO,8,not available
45,The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,Mike Perry,6lB8vOoI4DRrrVxXwuV19c,The Ocean (feat. Shy Martin),4pgNeQfSctryAw4e0uESHe,75,https://p.scdn.co/mp3-preview/1a30aea828638d6c2ca6051a6c2965bca66b383c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),6jO7hs4GsF6924w10xQTyA,72,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Body,3jvpPbTJqfyKvEOtOsn83m,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,5IwDFhelg9o8vrPNlYDpQR,68,https://p.scdn.co/mp3-preview/cc8dc2d90a923e024f1c71dec1cd4f0a8650a1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,89,not available
49,Bad Ideas,76gwG061wqdatYhicO2hG4,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Music Is My Best Friend,32QOMbVCKKaKkFiEmX4laq,55,https://p.scdn.co/mp3-preview/acf7849851238cace2e29ea8cca581172dae0150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Howling At The Moon,4SGOZ3lXQHWtOL3bfzqqFi,Milow,6mo0UbyIvIePdXNyLwQlk5,Howling At The Moon,4TOE70WOmSjIPK2PSRhtRd,6,not available
51,Dreamer,7hvxMYq9JW5W0vFwiu1Zdr,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,7bchrFZj39dzXln8iE6tBE,13,not available
52,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,4zLBcDtvYNVtF9fnG6lme3,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Prayer,1SrvubPy1Dg2BWJyTMcmgr,67,https://p.scdn.co/mp3-preview/9eea19a9a84505f27e63534a8a876db6766da765?cid=fa83a2fec7c440b7a2795d600d6b2c7e
