Deutschrap Royal,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Mary,6BZhkqUtaFJm57Hm5TTQSH,Bausa,13bDjug9N0pyv3ZUINjkDV,Mary,2BrHCT0Kr9iTtenBGa93XL,72,https://p.scdn.co/mp3-preview/d07439f423855ebcf2d079f25c933840f8916496?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Genick,1AGjF8pckOxTGeb5zubyqH,Loredana,2Im8m4STDBosjfmb5hmP80,KING LORI,0m9pMIOYMHxRj6E9IRFacP,81,https://p.scdn.co/mp3-preview/543e8de403cd1af7df2b1131cacdad18db5a97c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Run Run Run,65NX0qTlnZTDYzTypKfOWD,Capo,5y9wg9qkGBl0n9v9RzaPKu,Run Run Run,7uq7CHKIM2QXQRD1IHo5YD,78,https://p.scdn.co/mp3-preview/fee938c25e21a662986f1bfb2698757df7449e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Huracan,6AFIVhbJLR7YVvW9fLFMu1,Samra,6h1s4i4XKIYv4ErDelLDN0,Huracan,33SXk8W4aUohvpdRLCIXq4,82,not available
23,Yallah Goodbye (feat. Gringo),70zRDnEkOhVb51fZA13khd,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Yallah Goodbye (feat. Gringo),7tWDEXNaCfAlbOEb1Ky0oF,74,https://p.scdn.co/mp3-preview/6368be6fdedde204abe235e974f4c12b610f4597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Nummer,7HCTUZPqclRvsiefXWwyFz,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Nummer,3Ju5XitdRwtzziWPj4KuID,73,https://p.scdn.co/mp3-preview/9018de0b11a220622db50ff5e74bd631f827fbb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Kein Plan,1skUhc3JS3jLCfugI3gm41,Loredana,2Im8m4STDBosjfmb5hmP80,Kein Plan,0a4KL551wKL7l8O6xU0nlB,82,https://p.scdn.co/mp3-preview/b19d69a058bd8ab5fa42b794148b1bf7959ad2bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Blei (feat. Veysel),0Cy2x4vkNHiZ2Z3XiZE5Yu,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Sie wollten Wasser doch kriegen Benzin,0sVQrIwythyuM0G6uLcqiy,71,https://p.scdn.co/mp3-preview/8d7c2d66b045aba8b55da7579af93f26b3cf1922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Brot nach Hause,5e0bzcsI1khimLSJhddHdS,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Brot nach Hause,7z0WAiwWNGBFxqSJ18FSXK,75,https://p.scdn.co/mp3-preview/b13e09da6c422f7e9eb491601e0f57651ccaaf7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Summer Cem (feat. Luciano),3QIrkRSTz3yPd44HzN6qJr,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Summer Cem (feat. Luciano),4dJJ3XCSgKkGqpe1OfQcwg,82,https://p.scdn.co/mp3-preview/d31dc9bf978bdd8f4237b91bbb000950e6e5c11f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Weiß noch nicht wie,2jyAvnRIQwVzH7Vz6p9pit,Bausa,13bDjug9N0pyv3ZUINjkDV,Fieber,5UvEBdOJYdPbKhZTSd5iHo,61,https://p.scdn.co/mp3-preview/59eeb595e8f3621bf673ae8c0761bf60a4cd0837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Marlboro Rot,4e6l3QGj4RZesjDLVqYk3H,Samra,6h1s4i4XKIYv4ErDelLDN0,Marlboro Rot,1CpbyS9rDSGFSvhSymcXip,70,not available
31,Melatonin,6MGeF4nX2Ty408EjLGNtqc,Sido,4Yttlv9ndGjCDCVLqM7ACq,Melatonin,1nw49bKK2uCphW6nw8YqLg,67,not available
32,500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,5fqNFmrbjOmQCWPpgZ7oyc,12,not available
33,La Haine,2AHJLtc81zIfj9EKcVEzmJ,Luciano,3CJKkU0XuElRT1z8rEtIYg,La Haine,1sSEjB1cw5aogoyZrZc2H4,71,not available
34,Viva la Dealer,2vuFdbSOLje3khV4rLSEpm,SDP,1EfwyuCzDQpCslZc8C9gkG,Die Unendlichste Geschichte,1V4bwat6ipZpvoJcfu0faD,72,not available
35,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,KKS,04TM4lYgmoNMKpJ7Tgy52K,68,https://p.scdn.co/mp3-preview/ae7c669b22fd50d2b2086f0354bd55da4e501c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Alles was sie will,6kmpeu6dXy6DPjOHv3NAeT,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Sie wollten Wasser doch kriegen Benzin,0sVQrIwythyuM0G6uLcqiy,68,https://p.scdn.co/mp3-preview/09b7b3e2c469153e7ecb267668b609948de748d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Perfekt (feat. Sofiane),38KR9aB0bPkjM4gKhKr7tr,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Perfekt (feat. Sofiane),6r0bCXNhQg24qOwmH6DyTz,69,https://p.scdn.co/mp3-preview/8d8760cf8abec497954e1cfe71f35e0c0ee2c4eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hardcore High,4qX18Am6dJZg0ovgddL7w6,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,66,not available
39,Nummer 1,3drwaFqLSEjqzjNRbjap0R,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Nummer 1,4r5dAGL40wuZHyaIEZfdIP,79,not available
40,Vintage,6xwI9R3ZHT9nWtSYvffYQm,RIN,18ISxWwWjV6rPLoVCXf1dz,Vintage,2Cs5tYXpVlogOCmPRBQ4ku,72,https://p.scdn.co/mp3-preview/2eb8714be2270866f401e73de685be973cb3154a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Wie im Traum,3ld409h4DdrdPJzEdeU1WS,Ardian Bujupi,0pOruKWwgyqSLZhn4Xovs9,Wie im Traum,30GCBq8XDEQJu0rorVaR58,68,https://p.scdn.co/mp3-preview/3c14d2529076a6d475ac50f2a170691d14e46bc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Neptun,3GmfHF5RUe6r5C9UbvIXQp,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Neptun,2T49yncesC5BoZ7wEyZ4tu,74,not available
43,Das Buch,6SX4L6NKqcH42eY2gX6qoX,Sido,4Yttlv9ndGjCDCVLqM7ACq,Das Buch,44VO2thQmrLPcVFJKHGtNF,66,not available
44,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,0065dqIv0oHpm5UWFLI6wx,68,not available
45,UP IN SMOKE,01vR5Z7AHinp9D2wu2BNQS,RIN,18ISxWwWjV6rPLoVCXf1dz,UP IN SMOKE,6Zq6DgJmYHyHtZbM9DhOPJ,81,https://p.scdn.co/mp3-preview/e7e2971fd976911743aa10a3f0937dd44e4745c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Du weißt,2e5o25udr5nhMuklOTZUME,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Du weißt,2wYg9CCGsBpMs4LARk8Fi8,67,not available
47,Vendetta,28r8yfatcoOTY7ZjqhKaJM,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Vendetta,1EROO7SNmZvPrCgtoY8vji,77,https://p.scdn.co/mp3-preview/e0facb7d74e9623056a901325356c53390c6ad84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Junior Neymar,2y2Y9NYYK9pSqbTIaSxu1X,EREN CAN,0UwDgULqasKVT9gjTZsmIn,Junior Neymar,3RyvVfnUma4hVmkXnRQl9N,76,https://p.scdn.co/mp3-preview/a8cddd1b246aea12245993e3be4184fb9ce811d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,0vH3On6OIWronQ04dLbsBz,69,not available
50,04:30,4SCM1b1vS70TtNQmO7Lo7B,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,WAVE,4xPKZiJA8wUMx4n58xhZ5C,74,https://p.scdn.co/mp3-preview/bc77c8a8ed5f1002bbaa9dbcb5512e6d9b5bc71a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
