Keith Richards’ Lost Weekend Playlist (BBC Four),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Am I Blue?,2NSSTxhan0MrjeVFOpBTrI,Hoagy Carmichael,7j8I1aIBA9Z9bMy7mTwWKk,To Have And Have Not,1cRqn18dorAbL0xnWDe1mM,15,https://p.scdn.co/mp3-preview/492ab4143207fa51cac1f47844945edd6d909b32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,How Little We Know,2P7qLfrSUb5nPRWZR6XmqE,Hoagy Carmichael,7j8I1aIBA9Z9bMy7mTwWKk,"Finger Snappin' Jazz, Vol. 2",63cWi2qSURxViEE45eGby9,2,https://p.scdn.co/mp3-preview/30ba11cac76c2ee9ba28a10c7bc0eae883f7b44c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Nearness Of You - Live Licks Tour - 2009 Re-Mastered Digital Version,3nowDiIT6OOTXFPnbxQgBB,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Live Licks,50UGtgNA5bq1c0BDjPfmbD,0,not available
28,Got My Mojo Working,0dMCoNMfxlUjs5JPzicjIv,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Muddy,4yKlzlHKe5uKgkNUzSeiyZ,0,not available
29,Midnight Rambler,1O9YolbGxiImSIL83fk33x,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Let It Bleed,0c78nsgqX6VfniSNWIxwoD,4,not available
30,Ina Dis Ya Time,7flReCxvW58NlfPf8Ccjwd,The Itals,3RDff6Y6BKZv5SN3in3Zpm,The Power Of The Trinity: Great Moments In Reggae Harmony,6CWW5Z7IukpF8eqN0hIMx5,6,https://p.scdn.co/mp3-preview/f8b4e1d938d47534cb8908502f5390115503b3bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Innocent People Cry,47GLo6t85asj378FVzfb7O,Gregory Isaacs,6QHu71f8LLeT8n0GzfbYFc,Over The Years Volume 5,4JXVWfGXENAKr6IEXn5TTC,7,https://p.scdn.co/mp3-preview/4eb63cc9af9927769b57c00e72e1837d2688ff61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Love Overdue,4d1m9n32S1rSMC0tvbrodz,Keith Richards,08avsqaGIlK2x3i2Cu7rKH,Love Overdue,2sH2zJMXj9vBnDml4f6Tk3,0,not available
33,Voodoo Child (Slight Return),2AxCeJ6PSsBYiTckM0HLY7,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Electric Ladyland,5z090LQztiqh13wYspQvKQ,68,https://p.scdn.co/mp3-preview/0dbfddfb47bf4644d6c034f6caa01fb16ba378c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Key To The Highway - Single Version,6kWCGuxhXoNhH0p7YWlZ1p,Little Walter,22JuR9OeENcP54XN5TlNWS,Blues Greats: Little Walter,3WIwVBItK3XnJMhX4SPDPF,0,not available
35,Goodnight Irene,5e0mh2n0clM88k9FNEAb0B,Keith Richards,08avsqaGIlK2x3i2Cu7rKH,Crosseyed Heart,3EU0scXvJCRj2cSfEGQ0VX,0,not available
36,The Creator Has A Master Plan,7uNbTGQuOqZ7MvUxJH6mTu,Pharoah Sanders,3JLUCojZaHrX2LaUkSj7Ud,Karma,4VDXGlGAtdRymlguxaRTtB,23,not available
37,Sympathy For The Devil,4sFbojhVXQv7dBC9PVCcRn,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Beggars Banquet,5WZFtmADuJUZPtt0NER0Qi,21,not available
38,Hey Joe,0NWPxcsf5vdjdiFUI8NgkP,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Are You Experienced,7rSZXXHHvIhF4yUFdaOCy9,71,https://p.scdn.co/mp3-preview/28fc8b1b9826ddc224d26b4df661fb79f1b94351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Sunshine Of Your Love,4LfMd7tiyo7y2nRUq9NTtc,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Valleys Of Neptune,7eUNTNfvaUpe0SjsoyzsCg,43,https://p.scdn.co/mp3-preview/257edca5c3172845e36d44a1431638bec3046a81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cold Cold Heart,56KLeNPhvXXyXGQ9TEYDCC,Hank Williams,1FClsNYBUoNFtGgzeG74dW,Hank Williams - The Album,4hAw0DUuIPlu7ZAw2ahM6h,0,not available
41,Yer Blues - Live,62H2DeUFUwc7dDCdYOOELv,Dirty Mac,5FCI20DAgkGBKQv8fjeMgC,The Rolling Stones Rock and Roll Circus,7nKbUDqKmRq48P5vcfYhwt,0,not available
42,The Last Time - Remastered 2002,3qmCgBccHyC7e3IBvS9byq,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Out Of Our Heads (Remastered),24V2ghp7XhGZzWKjthHq4v,8,not available
43,"Cello Suite No. 1 in G Major, BWV 1007: I. Prelude (arr. for guitar)",6zzFzmwb10BwWt3xwfWUsE,Anonymous,4kCZ5nyurc9eIqLJfUcW0Y,The Very Best of Andrés Segovia,7FDgnSdz1TLqePg2Sqb2er,12,https://p.scdn.co/mp3-preview/291c5c72e0992a717f080b884ce319f6a77c2f17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Xanadu,1Uv4q9Becchwy9aR2Z9udk,Lisa,1tjR4RumtKWAORIwLWQRWe,Almighty Presents: Pop Back To The 80's,5XtqUFmrmOtY753fohcU2s,1,https://p.scdn.co/mp3-preview/ecbfcade7e989e68e4ffea82fe9c5c1009fff911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Enjoy Yourself,7jbqpsEpZVbjP1ZiL5zTKB,Prince Buster,75S63f1AmZUa9gpQvlt5NB,"Ska and Rocksteady Collection, Vol. 1",5q2Knpcgb67Fm9sWM01cX4,23,https://p.scdn.co/mp3-preview/f84baa6f8628ff428ddbb65a4e08b700b9815f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Piece of My Heart,17pCLxafQxo0wH21xZlpHY,Etta James,0iOVhN3tnSvgDbcg25JoJb,Deep In The Night,3WXJKq5laQmRa0Ff6YDN7r,18,https://p.scdn.co/mp3-preview/47f10bb2114634a5d732cc8b780e2b34afa43955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Robbed Blind,466SKdaZXE9JyXEEjHd6qg,Keith Richards,08avsqaGIlK2x3i2Cu7rKH,Crosseyed Heart,3EU0scXvJCRj2cSfEGQ0VX,0,not available
48,My Way - 1993 Remastered Version,0TaWdoJiAJoln9OQ1RbdNs,Sid Vicious,1YnxVTLZQkk6KJI2c5sBqU,Playlist: New Wave,3EZ09EIoMr6Y5Q9aidbnhy,43,https://p.scdn.co/mp3-preview/e9ac764634de24e2b4d2230178684474491a01d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,You Got The Silver,17CyJTMzvygZggYVVaZMH9,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Let It Bleed,0c78nsgqX6VfniSNWIxwoD,1,not available
50,Night Time Is the Right Time,2hKdEbP3uHqnIDvjdPlHW5,Etta James,0iOVhN3tnSvgDbcg25JoJb,The Right Time,1FIwDtSAdIyBCpBvNheudQ,12,https://p.scdn.co/mp3-preview/6ed63efe77aa0d38c93c624e844c32367634d28a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Jumpin' Jack Flash,6BkeuHmO4P69Ln2BSonrXi,Ananda Shankar,5eNWwEF0woj5E5Fnu9qXaQ,Ananda Shankar (US Internet Release),24R9CyPLFa0CJrSZ9whlT3,44,https://p.scdn.co/mp3-preview/a22216eab5fc91587c8e0921183c01124e87a34d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
