A Woman's Rage: Songs About Being Fed Up,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Private Life - Long Version,2I9MxZl9jmVMXHfwGD5omZ,Grace Jones,2f9ZiYA2ic1r1voObUimdd,Private Life: The Compass Point Sessions,4UEvfbWLPms6KlEVr8USjf,18,not available
39,Oh Bondage! Up Yours!,7weMJXfu8leOPWd4COj2Qp,X-Ray Spex,5BgWMOdEUJYdUBH3WXfMWt,Germ Free Adolescents: The Anthology,0eafkMUkZUVKr02M9F4te9,49,https://p.scdn.co/mp3-preview/3c666d27a6c26e0f7863fa09c973f9326a47cb4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Piss Factory,5KLKSxNQQqg8hOaHVqEwuk,Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,Hey Joe / Piss Factory,6fPPFPRXxoXNCc3LaotmQM,32,https://p.scdn.co/mp3-preview/36a4fe570ed7f6cead9a0b1611e438217ea0f876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Get Out Of My House,5YsEglADppBRUYCIIvnglm,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,The Dreaming,1gRJsaJ7ExC9Q9YdB9ZMC5,33,https://p.scdn.co/mp3-preview/72700a9533c9d0e326777780a1a444b8a78c0c71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Anti Love Song,3zMVsONH6RZv528HANVm3Y,Betty Davis,5Ryxgm3uLvQOsw4H5ZpHDn,Betty Davis,6fNx8ioP99WoRiLidrqrmz,46,https://p.scdn.co/mp3-preview/006906935305e12382fcb33ec43dab5a2da9be17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,No More Tears (Enough Is Enough) (feat. Donna Summer),1wSPm3y4Lk6ABkVxCmwkZx,Barbra Streisand,7jmTilWYlKOuavFfmQAcu6,The Essential Barbra Streisand,03LP0iA5hWsCVeDFHMV7Z8,48,https://p.scdn.co/mp3-preview/6872909f477e8326e05f869fa43985b7ecac984b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,The Obscene Phone Call,2T44CvP7dpdAXHh7CzzotJ,Dory Previn,4x3O97skvSMH61NkaKrZq8,Dory Previn,17tNL4jCmHRlYFsMmoyiKC,13,https://p.scdn.co/mp3-preview/2cc1ff6adbea9206c2a387fa7169b5b2981cba6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,That's The Way I've Always Heard It Should Be,4jkn5PRfAJoKfXF0OPL7n7,Carly Simon,4FtSnMlCVxCswABUmdhwpm,Carly Simon,2cuqP3kLRSgnjDmAN7SHA9,47,https://p.scdn.co/mp3-preview/934420a3f4727e87b755273811d34a8ec5b97016?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Conversation With A Cop,44OHUrtpGky3OIfvExubuC,Fanny,1Pag7p4HbSdZIDzgNLsk39,First Time In A Long Time: The Reprise Recordings,2BkEkcphy0liqTVRSBEEpC,8,https://p.scdn.co/mp3-preview/e249f95d4b7f3ca2f6fadd41a72aba21569d79d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,No Expectations,0TCZnZ4DT1PhBh99TUcMSN,Odetta,2wkz8hACugzAvF0voupg3H,Odetta Sings,1dG9AMcbsyxRCJO6aXL5jp,15,not available
48,Dumb Blonde,1wgXZFadykcGX9W1olAOmp,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,"Hello, I'm Dolly",4iHaLUI8kOanVu1r294TzO,45,https://p.scdn.co/mp3-preview/fec1028fdafec8a959c65a274646a86f1a3b6b35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Piece of My Heart,1xKQbqQtQWrtQS47fUJBtl,Big Brother & The Holding Company,4J69yWrKwWJgjv3DKTZcGo,Cheap Thrills,2rogKfOpmCFuqNhtGKf2dX,69,https://p.scdn.co/mp3-preview/55f9c641ef8ef16d46394e6f4f2b780701ebfdf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Think,4yQw7FR9lcvL6RHtegbJBh,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Now,55HZ2ectg1mMTEKDqIq3kC,68,https://p.scdn.co/mp3-preview/98251aa932f7f5cb0fea00c8abda5d0f33630139?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Law Man,6gXis03CGDbixZauG6ADpY,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF,Bark (Bonus Tracks),2EfxMn257hfbgbbAaGdQ8t,24,https://p.scdn.co/mp3-preview/93572147094ee506709c9ce5cbaef458b2b042e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Break Down And Let It All Out,2F8gXk9saOzqKvLW6KSeIn,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Wild Is The Wind,5gHvTZO4alH9wVcWgTjJat,0,not available
53,Silver Dagger,2hulWLdzjBexk2bxQpcUp7,Joan Baez,1EevBGfUh3RSQSGpluxgBm,Joan Baez,734AFYo34Q1zRpg9N8E2Ho,39,not available
54,"Wine, Women And Song - Single Version",2pGNuaeoUT2XVWKU7d8ZZO,Loretta Lynn,1FE0rls8gfQT3laAeRYNgl,50th Anniversary Collection,77BuOccZap5L4VAQJRNU2X,13,not available
55,Playboy,3xgKCfRwbqie54nHtSLnhM,The Marvelettes,0MponVSpW81oLvJZ53vYZH,Playboy,4lQGx8rNgekiFN6Zk9BV7y,1,not available
56,Retribution,1nPcUivvPHfQtPf3yycqht,Abbey Lincoln,0A9p7WNA1VwxVyrjx92Z9F,Straight Ahead,79u0xBGQRiR50JxdkKtYea,0,not available
57,I'm Gonna Laugh You out of My Life,19bfQe77ARGLNZcSFmG9Bp,Dinah Washington,32LHRiof0sa4taYew9i3Fa,The Complete Roulette Collection,0eKvD3UqC5znwmHYPY2390,6,https://p.scdn.co/mp3-preview/b71362a2a89dd66349f1423e7230f6910b4bb782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,This Will Make You Laugh,77fdyifZVNBiHItme3nOmj,Carmen McRae,2E3nXyfocf7qfHAIFNbBuj,Here To Stay,3SXBrutvmhBUkj8BUbJBsr,4,not available
59,God Bless The Child,4vyQPhJQmzAJM0gIoRCnZj,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,God Bless The Child: Best Of Billie Holiday,6PgYUQEXQUIcGvS6ioDw44,19,not available
60,Down Hearted Blues,6ktCV1ZtqlnXQeRFQvcXON,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,The Best of Bessie Smith,3OyRQKt5XTpo2S7WrBaYP8,26,https://p.scdn.co/mp3-preview/c2fd1bcf0e31a9136cba5f913209a6abaaa7293a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,I Ain’t Takin’ orders from No One,4yp9DuhqTlCPDWclaenume,Sophie Tucker,58nEgrqod6YO5ZATASjIQ8,The Outrageous Sophie Tucker (Soundtrack),4bLoLXMeaaUmkVCx9IoEOP,17,https://p.scdn.co/mp3-preview/a11e23fd5650bdfe960c787f35425c9180d91985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,"Single Girl, Married Girl",2yJF8seASZnXFkw0sLBsru,The Carter Family,0FRIWJYklnmsll5M6h4gUL,The Essential Carter Family,3beN6cqvzLYEbwerre1N6b,28,https://p.scdn.co/mp3-preview/5f23cda52757a4ef79c573cb2e6da321bba735f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Cell Bound Blues,0xXWAJOx5kE9Oz4Ibkl4RC,Ma Rainey,1ygXiRxKSfb927vhBH1ruH,The Masters of Blues!,6SxP99PaBwZkvPkkAKiQRW,12,https://p.scdn.co/mp3-preview/7d9b9867b6e1af698a937862e1a8c53b28c6fbc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
