Dr. John: In Memoriam,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Pots on Fiyo (File Gumbo) / Who I Got to Fall On (If the Pot Get Heavy),59mu4ZOoeBO0grX7kHl99H,Dr. John,320TrJub4arztwXRm7kqVO,"The Sun, Moon & Herbs",0UTzTABQ3iLz4JKTnVrDHH,14,https://p.scdn.co/mp3-preview/4a5872b6fafe78b526f6d6c26a32054151218f58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Iko Iko,1vhlVbHnbKJPD7pqCC0cE7,Dr. John,320TrJub4arztwXRm7kqVO,Dr. John's Gumbo,15jDv2HgLoilWgd4KWaLQn,47,https://p.scdn.co/mp3-preview/42fca3c260805763a53c9da393c28945ef215275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Huey ""Piano"" Smith Medley",589G8AI1Xj4wnWBDldZmxc,Dr. John,320TrJub4arztwXRm7kqVO,Dr. John's Gumbo,15jDv2HgLoilWgd4KWaLQn,24,https://p.scdn.co/mp3-preview/c6ae1e694ad1ae44b021772e34558f148d8fe5d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Junko Partner,6d1irliH1b7P2cBAaPqc4g,Dr. John,320TrJub4arztwXRm7kqVO,Dr. John's Gumbo,15jDv2HgLoilWgd4KWaLQn,32,https://p.scdn.co/mp3-preview/e2867fcbef679294d174b52d1ad7b4711e9f4614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Right Place Wrong Time,0I2ELF6uHlL4ABu9aFiou7,Dr. John,320TrJub4arztwXRm7kqVO,In The Right Place,1b1ljTXAkcugOLAHkIi7Eq,59,https://p.scdn.co/mp3-preview/c87af0e1c43fa372cc2d27fbb1ce625d49f1f042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Traveling Mood,4L3BtMlbcNciZ6k2ZTp72d,Dr. John,320TrJub4arztwXRm7kqVO,In The Right Place,1b1ljTXAkcugOLAHkIi7Eq,32,https://p.scdn.co/mp3-preview/e7df4d6bd8cad09f1a77a733aed914d406174339?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Such a Night (feat. Dr. John) - Concert Version,2jkcROPESebwRrvoZZdnaN,The Band,4vpDg7Y7fU982Ds30zawDA,The Last Waltz,7uqVE9qWdqjtDeLpdHyMxP,42,https://p.scdn.co/mp3-preview/cde5bf26daa58ba51922b5d455b075980d05f542?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dance The Night Away With You,3KGD5OPs8BvhFXHk8ubze5,Dr. John,320TrJub4arztwXRm7kqVO,City Lights,4c88QHpiNqiwMyPwB7JnE6,16,not available
18,Snake Eyes,0Pj1HyuZSMt3E6Bjr8rTjA,Dr. John,320TrJub4arztwXRm7kqVO,City Lights,4c88QHpiNqiwMyPwB7JnE6,12,not available
19,The Nearness of You,1Ra6PLAhszRSSslKoGpHoB,Dr. John,320TrJub4arztwXRm7kqVO,Dr. John Plays Mac Rebennack The Legendary Sessions V. 1,2YmByjFIRpY2ZX3c8OHkHF,10,not available
