Feel Good Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),0syM7OUAhV7S6XmOa4nLUZ,87,not available
34,Found What I've Been Looking For,4Gw1SXoN1MlAmdM3J1NjmR,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Lighting Matches (Deluxe),3NBXFA91U38BuJt3SlMwlI,63,https://p.scdn.co/mp3-preview/2a971d278f1eaedc4e08022f471180b05c7ecb9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Grip,3gicyfiEVMGONgzygpWjNT,Seeb,5iNrZmtVMtYev5M9yoWpEq,Grip,1TwCR17ZsRgWTo00mmlzqq,76,not available
36,9 to 5,4w3tQBXhn5345eUXDGBWZG,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,9 To 5 And Odd Jobs,64Ky1tqKPfwxhJs6msphWd,77,https://p.scdn.co/mp3-preview/a3c584358e68ee984ac4b1f31d4a832fb46aeeb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Came Here for Love,3kGfazcbVvVkuZunzlLgTD,Sigala,1IueXOQyABrMOprrzwQJWN,Came Here for Love,22x1g0NEicPMxuEOXlGUw5,71,https://p.scdn.co/mp3-preview/f5bbef8a26bb260247e53b4754503f6f8dba67ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Unwritten,1D1nixOVWOxvNfWi0UD7VX,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,1meis09isQJFDA65afUTt8,77,https://p.scdn.co/mp3-preview/54cf4f47feb840242695d20e560efaa2990d5f6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Bones (feat. OneRepublic),1pfgsjmxVZhoZpeDx6POKv,Galantis,4sTQVOfp9vEMCemLw50sbu,Bones (feat. OneRepublic),49vus1VCWc7AbgDmKYb8SC,80,https://p.scdn.co/mp3-preview/3f38b542d470cdce0486327de5126ccd09c47e4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Let You Love Me,6xtcFXSo8H9BZN637BMVKS,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Let You Love Me,4INRJMYMJrSPsf5mbW26Fm,77,https://p.scdn.co/mp3-preview/4521432adc21bc9b46674870ecae9c9af2ed3c1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Eighteen,6oFJG4e0ixxwQDdPu7bDPt,Vistas,5YA1c6yVkPnflTLMfOgjzc,Eighteen,1PvGKusUDYNODIgYsQNOhl,52,https://p.scdn.co/mp3-preview/8ec16fb48825886854a07dc3dfe62f7116f8fc3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Year 3000,0zjB7ewBWnMgQDMQpFzt92,Busted,3Z6IRCo7umuk8K2XQy0ZDj,Busted,0PnmsYK2gPdPBzctYdi6U0,65,not available
