Room 2: Urban Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
59,Smack That,3qKGvSu1inEZKwYQnMavNA,Akon,0z4gvV4rjIZ9wHck67ucSV,Konvicted,13C2pc5O7ofZKd4p2VYO3S,74,not available
60,Promiscuous,7cUhxtLxcNZXV6Qdpi8PTO,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,The Best of Nelly Furtado (International Version),2vCWHXLetotBI8ETx7TICg,9,not available
61,"Independent Women, Pt. 1 - #1's Edit",2lvbX38f7BFP8AIWB9VyRu,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
62,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,Return Of The Mack,6plavTFCGXv5vpy0jZVtOV,73,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Hate That I Love You,4789yoeBIsBi6et3z0fyly,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,1G2ZRwcqN6warfakvcPgEs,12,not available
64,Mo Money Mo Problems - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),7dRdaGSxgcBdJnrOviQRuB,74,https://p.scdn.co/mp3-preview/0260fcbb89863c7da1358ce217fe20dc5b8416e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Kiss Kiss (feat. T-Pain),4CweuuMMzi71pO0MSRgyaT,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Kiss Kiss (feat. T-Pain),0dL2qQHuzOsAagnhlRq53v,9,not available
66,Rock Wit U (Awww Baby),6pWzCKTrKrwbUPzY8RLCoP,Ashanti,5rkVyNGXEgeUqKkB5ccK83,Chapter II,4vjeaWsf9UH2ecdKXAZaq2,65,not available
67,The Way I Are,5J7iGuzi7Nj8SGvt0TAVzK,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,Shock Value Deluxe Version (International Version),2nbVfJlA3nGuaYPuMjq2sv,17,not available
68,Hot In Herre,5FLctoy4mpCxLJ1QPneTOV,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,1kh5XByhI0DDWV7m9kddr0,57,not available
69,Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,74,https://p.scdn.co/mp3-preview/e2d527c9652362bed26e25392e9456966f5eb620?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Frontin' (feat. Jay-Z) - Club Mix,0iFOG4Ki9aDmJUYUFHQlPG,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,The Neptunes Present... Clones,0AO5ibcO686oWXf96D83pM,67,https://p.scdn.co/mp3-preview/7b445bfd4eb9600d10bb0995d42d3d225e54ee37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Foolish,6zMUIb4uce1CzpbjR3vMdN,Ashanti,5rkVyNGXEgeUqKkB5ccK83,Ashanti,5M3BrdaT0TV5SsYsM5PM8X,72,not available
72,My Love,7LIKB7mzky7NjDUlag95Fu,Kele Le Roc,6147A0TM1JrrEkin51nwnD,MTV Base Garage Anthems,4GJ242OHkZijR8CSkvc4K9,43,not available
73,Who's That Girl?,5hALSggfcyvBNLUHY8pvZd,Eve,4d3yvTptO48nOYTPBcPFZC,Scorpion,2epkTConsXtPOHY9QhvqeR,54,not available
74,The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,Brandy,05oH07COxkXKIMt6mIPRee,Never Say Never,1Co6e9ag1gRKcWdG7xKcCi,68,https://p.scdn.co/mp3-preview/2088d99205c4e8386d3de07cb6ce257caa430766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Girlfriend,5TxdQaqp2Xn9IBTlfq26l7,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,Celebrity,7gfXFkA259SkaFeJxSFtKE,53,https://p.scdn.co/mp3-preview/87e57f7a86151ee79e9cfa8435cf242f4e355d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Pony,3gM8jkNVAeZax2boZhMhcx,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
77,Masterblaster 2000 - Original Mix,0kvKNrIyDP9ScCw2Jo16bK,DJ Luck & MC Neat,4MflsXABg2VC9Powgd7JCF,Masterblaster 2000,54DrfxFAuA9fdGus2bMWBu,47,https://p.scdn.co/mp3-preview/053183c00c36d3e0a420f06fabf3d9c46c85d841?cid=fa83a2fec7c440b7a2795d600d6b2c7e
