Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Rebellion,6TN16NlALSStfcyluPibNv,Ryan McMullan,4tqPTKknmeQK1uDEFVfX4G,Rebellion,5xI1fOuJnv6EfLT0hB1k6W,15,not available
34,Something Better,734x5kcTkpSZpsprjOYDNH,Minke,4fTWIwXX49PpfrhxBHfkkw,The Tearoom,1QK0HHI0VhzbCBvFEDSIG0,52,https://p.scdn.co/mp3-preview/8b67a0c4d2098058b408d90682abb4f38b99a209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sound the Alarm - Demo,0rX8Bvin7TCphXx76qt7kN,Hudson Taylor,4DX2G1URzfEiRg2wBfv4ub,Sound the Alarm (Demo),61Pc8J5c6MlesOnejADstZ,45,https://p.scdn.co/mp3-preview/601e169171b30fc94bd40fb9f8ba6361a506ff5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I Don't Know You Anymore - demo,6QSH5lHbiKxOTqc9WSdi09,Sody,01y8iBZYk8aeNfPsuTVrAt,I Don't Know You Anymore (demo),0oEcktTBdE01o80o1ZSFsO,57,https://p.scdn.co/mp3-preview/579a6a753a202f5e7a55e35cdd725f94c53c4a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Why Don't You Look At Me,2MBzCVdCQeXEBOY5DHP2Nc,Lily Moore,1SQeTDXO492WB6aFvrntSS,Why Don’t You Look At Me,346YDCdt87WEGa2yEpWbwM,51,not available
38,Lover,0bzbvANY6oETSJLc0wlVGY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,3rYkgtFOo9AlPaeKTtn6pM,79,not available
39,Where Do You Go,3pil7DXQmpnQcImkoF4wz1,YEBBA,1ooV8YZC1KbpEcrmI8WH0F,Where Do You Go,74SSHu09e4vyHHMGKfw2CL,61,https://p.scdn.co/mp3-preview/870022e7a34f4b3289614707475b7ff8b6586975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Apollo (New Love),2JLPTE5z1NM1x4dlM2xFt8,Tommy Ashby,7y1RS42LqlRYnpONXTjN3t,Apollo (New Love),2BVVCzCVeIISiALcGndu8j,48,https://p.scdn.co/mp3-preview/013542305f19d17065158a5ebdd5c5b00b0210f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Dynamite,6e7Eudq88wcygOphhtQnrN,Sigrid,4TrraAsitQKl821DQY42cZ,Sucker Punch,4OaTrPkuAYkelxCnm92njS,59,not available
42,Saint,2yhCKiofDY2KHA8rMrQ5La,Mabes,1kTrYYWMLQsBKlbINUg1Su,Saint,3wuwMu2GRL3DndY9upxRsK,17,not available
