The Rock List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Live 'Til I Die,4FkJ1EacaC0LMDvan6dw2T,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Easter is Cancelled,7afp0SMBXsQvOXJCxY5VTV,27,https://p.scdn.co/mp3-preview/eb0b5f1ef10f7d244f1909fda0803b4308e63194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The End of the Game,4zB544yCIaSw3cuHltMCRJ,Weezer,3jOstUTkEu2JkjvRdBA5Gu,The End of the Game,2oIIKGUt4telkfiygjJ4il,68,https://p.scdn.co/mp3-preview/92c0fc163f37f1081f9c9d0ae4fa5da5a2e0809b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Unnatural,04YeXYPB8UID6N2Y9dkjbD,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,Unnatural,7kEHEA5uxTq5anBwULduOu,56,https://p.scdn.co/mp3-preview/1addf8cc6c78e5eeeaa8e548b7b8cc79cf6c1969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Belicoso,2miicbSi3pZwm6Jzgw6AjF,Calva Louise,02nZLQtQ4vL5iHyp6atBrh,Belicoso,4UCn67JtIgzPMCnmU5NinV,45,https://p.scdn.co/mp3-preview/440a9e49a5f31fce9d22037fcc2b4ec466378b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,All The Way (Stay),7qVnkPY1UPmSeWULwXSW7a,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,All The Way (Stay),1nCmHK3wd62FLPSh1F4TfN,60,https://p.scdn.co/mp3-preview/c9b3bda41a88cf1a9c647cb72a6b734ad3c97ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Stop the Clocks (Single Edit),2tPNoYGaDmDWYCk1hO4ko9,Enter Shikari,31jvzuB4ikftPQZJwrYfCF,Stop the Clocks (Single Edit),3P7bFQaUjEBsyYwpWgnivd,56,https://p.scdn.co/mp3-preview/f0ec047146e1538c3c2fe3b4a201dcb9983086c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Full Moon Vulture,3LnHcwpUqyku4NPJP9MDDU,Alffa,7iY7ckZelLh9emhog8UrXD,Full Moon Vulture,3jWNyCL5R4BrOpuqmzGgZS,53,https://p.scdn.co/mp3-preview/5ecd04232b70d8841a107ffc0233e970043b1432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Take Control,4ayIpClJzUh43tJgzyPI9f,The Mysterines,15QhuBSLfDNECfF8wvxj0M,Take Control EP,60fONqEriuAr5UWfkIXJPa,48,https://p.scdn.co/mp3-preview/e58c2b83433eef70d7e7150eaa64be8b6b01999d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Critical Darling,3XFaGEb6daqdj39ThpJ2XI,Slipknot,05fG473iIaoy82BF1aGhL8,We Are Not Your Kind,754RY5WpZ2LTUZsk8kDBju,71,https://p.scdn.co/mp3-preview/259098d13c12c678a9d5e5aac57c764c821a27d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Too Late,427PK0Qgt7jtTF709mmN5I,Big Spring,5mGGqrCotZt5NvTxb6nsma,Too Late,2P5f9l6gugE5Brqrwe0ZSl,39,https://p.scdn.co/mp3-preview/881f4be639a159a507eeaaa47735d42eaef75540?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,CHAMPION,3FnrpYP8QSbYXbp8i8UQKO,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,CHAMPION,6aBOJ17zCUODL1PO3LUYSg,65,not available
25,Two Sense,5aKsz7JCys9c5DpInQPW4B,Thyla,0L6tY7VDHwGDhx3T989SAJ,Two Sense,7u4YQ5uh5egphHmDq5A4ui,35,https://p.scdn.co/mp3-preview/8cc847581fef00707a742c79cf3df5f00f9665a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,You Are A Monster,5aRLoYitfWaxsqGY025JQz,Stereo Honey,0EoyyN15NtrdLYrJmCfiwi,You Are A Monster,3goPArZ0EUmpDueZehaxuf,32,https://p.scdn.co/mp3-preview/e2d88f574671363788f5fbec16373179dfe7ec9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Shark Week,0q9vQiaPZTEfTmz4RDoDEz,Lauran Hibberd,33ReZaGVb63WaJE68WgWuU,Everything is Dogs,6bBl0kLYlDxbdm5GWTGqKX,40,https://p.scdn.co/mp3-preview/0832ba02379383d5eeaf4a5ab6fbbba23b6dece9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Living Proof,1Pf45EbaIsoGsXixOSYx88,Des Rocs,2kO6mP0olFJGGh6kvUdNC8,Living Proof,4cxcRLCtG8aEyKHMdvma9B,59,https://p.scdn.co/mp3-preview/52615906988c90990e4f595f84e6d01f59048871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Autoportrait,5KkdV1Iq79PMNjHyznVOMW,Demob Happy,6FKokxvL5PCWIxrVhMyDgI,Autoportrait,70hPmt0cfdyfFRqgRJhurb,51,https://p.scdn.co/mp3-preview/65afc47dcecab3ac7bfe135db0f15b058e8c33c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,I Really Wish I Hated You,1VPoFXYjoganemxvLPhhKd,blink-182,6FBDaR13swtiWwGhX1WQsP,I Really Wish I Hated You,5wIq3MqDRQ8xWInFNYq1q9,70,not available
31,Slave,4g8e3BmcDfuyT5rkyzfvqJ,Gnarlah,5PWdH4Kq3yHxP0CwaDFBB4,Slave,1PEzxGEkqvKAT4tXfZ978J,51,https://p.scdn.co/mp3-preview/12244ac405349369d3f2b6131d4ec871e07a2cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,The Legend of Mother Swan,0q8qLv0DTVWKkOS0R510Pg,The HU,0b2B3PwcYzQAhuJacmcYgc,The Gereg,6YIA45KnCATXRzPFOeA9S8,54,https://p.scdn.co/mp3-preview/2ed7fd03efda9be3edab5bc26b1f236d1ad0d631?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Excites Me,6pgxTRHgLESOETEBibo9Up,LIFE,2NWimAynlyqVUWD4YnJHlC,A Picture Of Good Health,3IE6Ccsnh7EEwDAwFegUFw,37,https://p.scdn.co/mp3-preview/972d9bd58f560e6dc5ceb177a5f7b1591ce7ebe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Neon Circus,6YovpsyQXADvMwoqR7E9d5,Amber Run,0MmnmsAuQKRFpo6vJElcaU,Neon Circus,1ASfP2XbZHQsRRGEAQaALq,57,https://p.scdn.co/mp3-preview/77875d01c28f1ee777b89dad01ed42e9dab0aafd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,In-To-It,3uF4w3IIYigr4HzPX3lqkB,DZ Deathrays,0qGPycvPHafmEPTOm4M7Tu,"Positive Rising, Pt. 1",0weBIYVcUgNPHoGs1rwqJH,31,https://p.scdn.co/mp3-preview/4e93340ed6e96473bb7de86b6fbf63a98ae0245e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ice Cream Sundae,2sJHJITMt2SYuim7KvK8yG,Inhaler,6lyMYewq2SuTFIXgiv7OxH,Ice Cream Sundae,3NyslwappViTftGrmA1my0,52,not available
37,Don't,1QMJQmjSWG4eYIaP8eQY8S,Sœur,5mGsiBk3BNI2QrOm3K3reU,Don't,0C3QaXVgpbfkrpNluBmtHL,26,https://p.scdn.co/mp3-preview/40c98303d0704520faa16b81e5297aa7fbcfadac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hollow,3Gw2X0ZJgxlggAIuG36rVF,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,Hollow,6xE5ktkCULl1fLK66hHoqY,59,not available
39,This Feeling,5c490mgA0YaPQPUNvrcVme,The Velvet Hands,3apmyVOBGwhnh7AwyRaF81,This Feeling,7DwraZquSzher0CxwJ8reW,26,https://p.scdn.co/mp3-preview/b5e24f2e15079f93f1d2dc745c2b81597f7df042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Beyond The Wave,1n2ftY1tDVEyf1uFcNjAuN,Of Allies,5fYc93nNjMlAsoaXen9elQ,Beyond The Wave,5XgXtw69dnxI0Do8UI2HiS,46,https://p.scdn.co/mp3-preview/0af078e4de063453708b3cf429cc9e531cb5d8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Ad Blue,1u1124Jy0cEy8J3Isb74Fe,FEET,7HeBQpJ3UmyybgEvqfdRAE,Ad Blue,0cxurOQX2IViAm8sk9A0A9,36,https://p.scdn.co/mp3-preview/39f8f1557ee1b8816847785495bb26f1d36ed4d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Wherever,7CG87GWWNlYuqRJDNmO1ma,Mallory Knox,7bHTSvk96ULRLZPZr1SoCZ,Mallory Knox,2t2VDPj3gJxx4heBgpN4mr,36,https://p.scdn.co/mp3-preview/dafc4c84cb1fe9f3d47cff0eeb6c5e06acd8ec91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,The Ongoing Speculation Into the Death of Rock and Roll,5o5PiezXlIQhbjACwvC4Br,The Glorious Sons,5CPxrqCStgt6AfI4fLiedH,The Ongoing Speculation Into The Death of Rock and Roll,2xdGctABXMYRJM1W2VoVsp,34,https://p.scdn.co/mp3-preview/662de931e328751265183512a7377e40ad0de254?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Black Bull,14PVSmvbws1BrJynbTCJB7,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Black Bull,5jnW68gaF2SWL27bRIkq0I,63,https://p.scdn.co/mp3-preview/35552ee44312b1cd4e6cc399d2ab8cfb314c56b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Rock Bottom,0Fc7ESmkM02PDH5NnPaS5S,grandson,4ZgQDCtRqZlhLswVS6MHN4,Rock Bottom,2BEKXKj00zOhlIH7OJwkO3,65,https://p.scdn.co/mp3-preview/29860d64ece5be8e9ed473d68d6bc10110066ad8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Playing With A Gun,24ZNZVHmAFT58rZ1lupZXQ,VALERAS,5uFYTjy2eo09SfM5Z6m6kS,Playing With A Gun,6MBbRjU8MGOXWl4OvJ67Z9,34,https://p.scdn.co/mp3-preview/c20f3fd12d621a54fc6cf1d1f9492ca327020388?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Human Contact,0PVrR8a2hPIBmL8S3oxRf5,The Howl & The Hum,3EQ310YOzcS1pJqiaoDs32,Human Contact,5l7XGLre7EqG9o0BKZmOEL,43,https://p.scdn.co/mp3-preview/725cfb0ee0b92c75cc1a0499459f9c02f059319f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Live Forever,5Y2P2hnVzU0qIOD3xcv1Ve,Nasty Cherry,3a4OHGZwsqHc3eRChiDkS9,Live Forever,6eRl6WSUNdl2bM5ywn1FGV,49,https://p.scdn.co/mp3-preview/d5abc1016927453f0bdc36398537040a1cc3d0b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Don't Cling To Life,4pH0KkB6QRLB3Wl5CDgSFk,The Murder Capital,18M7pJRsgFVjEBZ5ufmJAp,Don't Cling To Life,4qi31RW5uIySMPaAqat3cK,7,not available
50,Out Of Luck,0IdCoV5sqqSS9C1v41YbNg,LOSER,28erIPSPyu1d4BtolxQ624,Out Of Luck,65dYdHCJ0ue3lGWA1gmhLe,38,https://p.scdn.co/mp3-preview/26f9567a01cc681142cd16aa7eb19460b90b0d2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,One More Day Won’t Hurt,2J7ZVgwpGfERnLlVSU8aAC,Slaves,3xByNj8XW17oW0wsJhgzYL,The Velvet Ditch - EP,7d5CoDjJQsGN3pDQtHvuM4,49,not available
52,Always There,2xQJwReGvxioWM9jeehAEh,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,Always There,414wrfaGvmBqnPt3iqT5ZV,64,not available
53,Primrose,4YOmGns9ojNuDVV4RfrY3c,Dream State,3PPxT6AXgPvvajfvP1LQtw,Primrose,61fPvSSGO8nnI6tvYTiCnh,53,https://p.scdn.co/mp3-preview/58e2acfa8316b053059a56ccbb73043ddcc950a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Kill the Chord,1Kc3CxhNiZdgHQV4udkLgY,Gaffa Tape Sandy,00P2dAOymeYKFx4OSaVgw1,Family Mammal,1BO7FtrmddhXgemo7FDukl,36,https://p.scdn.co/mp3-preview/e5f292822710c069e7a327bb1316183ef7d3231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Catfish Kate,2A6HCBN8tKnScxJc6uiarM,Pixies,6zvul52xwTWzilBZl6BUbT,Catfish Kate,3wo9JXZ2zuTXZbUaX1ssle,55,https://p.scdn.co/mp3-preview/3fa989e63654f94b8d87e0d034d180a68a81a1fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
