Acid House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
39,Bango Acid,6xInVVhRj1jTWtWUs0UW2z,Mike,440CnoykSB1CSrJcHRczqV,Trax Records: Acid Classics,6s3RtH9fxAKATbB3yMKxX6,8,not available
40,Art Of Acid,11TtU6MrBsNAWb19KsGwTx,Mr. Lee,7GXl7JNlpliaLZhSVRLQKu,The Acid Fantaslee,5ZYA22qkb6WNDznZW8tgHc,19,https://p.scdn.co/mp3-preview/d7ebbf3915864ba826058b12033c6d9fba1065f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,R U Hot Enough,5utwAiCblRWtJ0iFgf6enr,Virgo,2ByXYkrbs6o7fQGrn17gZt,The House That Trax Built II,2B71OJE2Y3cqyFWxPwFSLP,0,not available
42,I Want You,1hONFIdBCTdn9DTiEbRTkI,Ralphi Rosario,0c5584rnmlOvkMpJtpBLTh,Ralphi Rosario's Greatest Hits,1X1NgiMTByMIIZkjvoAtXh,21,https://p.scdn.co/mp3-preview/ce506e633785eb90771e0aa645d8d9675f535e5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Bird In A Gilded Cage - Club Mix,6QuVfksltTimNu3PettgVe,Jungle Wonz,4ny8n9yM1Eko9j7oe8ZFXS,Bird In A Gilded Cage,2hBzwl7uEhsIIJHZwf8RGN,20,https://p.scdn.co/mp3-preview/ea7828caae614ca0b5250d2eea97c9e2b3b4aa51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,That Shits Wild,4R5XpoWJvtUkS33E1lFiSJ,Der Wasaw,0yEuNoHAneHqj7EugxxthL,Mad On Acid Vol. 1 CD2,7u1t3m5nMwr27S5D7LUwsy,0,not available
45,Dream Girl (Wet Dream Mix),1yeotiZcER2QYJg6kkkAYl,Pierre's Pfantasy Club,40BpVERJ6kAjii1gogXcEk,Trax Records: Acid Classics,6s3RtH9fxAKATbB3yMKxX6,8,not available
46,Acid Party - Aciied Groove Mix,7DTiUdHw6qpBnHsfJaET2D,Mr. Matey,6hRl74574bLVOIXqxMV39j,Acid Party,0TI0cnrDRe10x0kX0oWQN4,19,https://p.scdn.co/mp3-preview/9cf27532a396c9f98a28a6ccdf8b53f57efbb0ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Pump Up the Acid - Hardrock Striker K.O. 12'S Mix,5Nk6yokDV2LbWOoZdv1Oks,Michael Oliver,7r11QZJAzMlhmSvRae4R3P,Jackin' the Acid,73G2j2LnFxvszt5FeNs9kb,18,https://p.scdn.co/mp3-preview/a0f3fe52510011050cb815d9b7af2e034d0c6cbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Garden of Eden (A Himalayan Song),4I51NjXIhLPfFVzn4SgYGj,The Garden Of Eden,3BTGILbxq4Bjb5qwkIr3af,The Garden of Eden,3B4JK1Sy22RFDQfOZJbBEk,0,not available
