Every UK Number One: 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Solo (feat. Demi Lovato),1q7a5wZeti0neU2jDn8Dz3,81,https://p.scdn.co/mp3-preview/ccfd1b80223079c120eeec6e83c7771eb74ca27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,I'll Be There,083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,4ScCswdRlyA23odg9thgIO,I'll Be There,7o6j8wph7fvEcAL67jLVGN,75,https://p.scdn.co/mp3-preview/50b537f9f475abff638562ae8806391009d24d43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,3TVXtAsR1Inumwj472S9r4,Nice For What,1ZGxGu4fMROqmZsFSoepeE,21,not available
25,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Freaky Friday (feat. Chris Brown),1XbNDGybI1iPfeQNJEeUdn,79,https://p.scdn.co/mp3-preview/82e32cdccaf75bbc4206cf94f8e800a992db3190?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,81,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,God's Plan,6T8cJz5lAqGer9GUHGyelE,Drake,3TVXtAsR1Inumwj472S9r4,Scary Hours,2YDNDwQvsU0njt7Kq0xNRY,18,not available
28,River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Revival,15YmkgHUd5PAgvl1XI9SL5,22,not available
29,Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Perfect Duet (Ed Sheeran & Beyoncé),52kvZcbEDm0v2kWZQXjuuA,78,https://p.scdn.co/mp3-preview/65ee4bf5cfdc8f2cd9cc1742f9d4b2ba10c83b2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Havana,5chBPOVY2I0bG5V3igb5QL,28,not available
