Exception Française,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,La couleur de l'amour,7wwmfxVCWvkYgkaz2EfxRC,Nach,1Rt8z1WIL486Ohrcokl6t0,L'aventure,19JkSvCicwzTe3C2zaO3Hr,39,not available
14,Téléphone Pacifique,1GdvgNBBu8VRFSD54aVFwV,Malory,4fWYaICAtJA5qKvfqOm1LZ,Téléphone Pacifique,0YDKGxFhvNLurLu2DyGbB0,35,https://p.scdn.co/mp3-preview/9fbd2c7e1033b5989fbc368418d4654a64b8ad32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Lola à l'eau,1gMM3aokAdO69BiIBRcATe,Lola Le Lann,3xH7GdfxfMJyUIZESCKDuY,Lola à l'eau,0n9iNlkvbdZhGkNGDDoORJ,48,https://p.scdn.co/mp3-preview/d154003f38c2ea56fdbe0be4a39d840db4b8cdb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Nathalie,5FNyaiWIWbryTds9ommMP7,David Giguère,5p1R7oow69gd6tiEypZG3B,Nathalie - Single,4zpxnxftzyFI972CshjuB9,0,https://p.scdn.co/mp3-preview/541b5671c00c6f631023565b687fd696d631bbe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,L'année du loup,2h8YVnTSTGfNCuYvwXRb4f,Alma Forrer,6PZS8t43UMvKuVo0jSWGBB,L'année du loup,5sC4j7PDRgXiZX5s75SFGw,34,https://p.scdn.co/mp3-preview/64a1facf7cabf36d5cb5b3ce441e1f2276e313e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,23:34,0mTLvev2eZoewFwmJRNOiI,CHATON,5Tp5IjGIhEVlN253DmcoLT,PRINCESSE PIGALLE,4AbYqyfy6g2xtL1ZTZfcvi,36,https://p.scdn.co/mp3-preview/62919be3955b24649c0059f1b6f301821da76f4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Nue,78kaCci9YEU60kFEmAOg0r,Clara Luciani,2oVrruuEI0Dr2I4NvLtQS0,Sainte Victoire (Réédition),6eLXniO9dF8WYW6AkH6aS9,6,not available
20,Summer Slow 88,1E38QFs3MRb9AAM4dWxtI0,LE NOISEUR,5Hunwp6tQa4z3l9CFwHE7K,Summer Slow 88,7I69LIL11yISUfFlr5iVbd,39,https://p.scdn.co/mp3-preview/a09b8eded815175f92d05846b922eec09f252630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,À vide,0blVytg4LfODdN4D2a8byS,Barbara Pravi,3L4wiBOSDLkJ18OISXZDA8,Molitor,7s0XvQzh0SlwOjLCCW2UwE,44,https://p.scdn.co/mp3-preview/19e21e07381fe0170f45b1d641ebaf96d36de580?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fille de personne II,4oPFTMAMn3rFhRCf4x8AZd,Hubert Lenoir,0TZ8Slkdu2G6nobZiDsNEj,Darlène,3YpC3IuGSvowilYK5eswqi,37,https://p.scdn.co/mp3-preview/5fe9e6cbe682cc1e81fb6a6744d517a59f4f0042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,La cadence,5FwAtMDHmSLRtBEg9USy4e,Cléo Marie,3gtDUwVKPPX56Gg4lRiWcQ,La cadence,6ArBecqH4kpLMZDmqWsgl6,1,https://p.scdn.co/mp3-preview/6ca4949133ee8a64632c5f09c92d1176868d3f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Le visage de la nuit,6c83AGijV7YbEyfdqy1GBm,Tim Dup,2Ksaxtwx8hMgjUkzIoGDXE,Le visage de la nuit,0TWi9XfyPEBg8qDUNmagWM,48,https://p.scdn.co/mp3-preview/fcfcfad1132102ab204f28908cb87019ec252ca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Suivre le soleil,5iEmjo4P610dQp0UniqCdQ,Vanille,2cDOL359PIxZf239UwINjI,Suivre le soleil,4Of3nSHP7ZrqkxVVm3Su5p,41,https://p.scdn.co/mp3-preview/15872c8f31fd157372d56c9ad7b316147b5efd3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Cette musique,1Zhn2cBJ6kMquu5O0SaHXb,Renan Luce,7f2jQ928ZRehCJrGGHN46J,Renan Luce,6URLzqJsHu81RVKPybvexf,40,not available
27,Vague à l'âme sœur,7BQVmJt03NjUWX82KKz9Kn,Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd,Vague à l'âme sœur,26zmvsppuRJFoODTWWjCOT,43,not available
28,Le cœur grenadine,0o5HdHqKQwkEO0c6LkcTH2,RAMÓ,2g6prBLyOte4hpWhxIGF2l,Le cœur grenadine,0xeIjmaSC5zPayK2T2C52x,41,https://p.scdn.co/mp3-preview/ff82061034baf93cb505e08e7d139147dc0f34b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Pardonne-moi,4Ugk4dgmZMxJ122TFwhfFh,ELISA ERKA,1EkqwqtzsjxMYJZH73RFVM,Pardonne-moi,0HlebKNadcNtfw0nZxEbwO,39,https://p.scdn.co/mp3-preview/f7f703cb6b717e3ec24940d1cc6093d0cab3d575?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ça ira ça ira,2UreSyQk4xTAskvX4Borxh,The Pirouettes,1Jp2BVxy67R0OaudOV9lm1,Monopolis,7vlpTKvHGdUE3fatRfqQEJ,47,not available
31,Amour Plastique,3bk0OXwZFr7Yv9aJPLWC2w,Videoclub,3rp4f58JlRHkk8hpdLCer1,Amour Plastique,2DyHxs51BTLLS5ZUWr4ApZ,46,not available
32,Une vie,0dtQ8eVAlqok5LMdNC8FLk,La Grande Sophie,76IqDKTydgWzyIuNpUD3Jg,Une vie,32p36flFztDUjWVpz8FjTx,43,not available
33,Belles sueurs,3LSxdDCVYK67DjbcTjtQXp,Malik Djoudi,5STTEE3TlZg9gb3xNC4RHF,Tempéraments,07oac8ZypPw4d1VtOmxknA,41,https://p.scdn.co/mp3-preview/faec8431c604a588e501786d304dc5463c9bd97f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,On Bai. - Radio Edit,51TrKQ3HYPdRyyjIV4N0om,Laurie Darmon,7hhIUoiI41fPdE0hEcpr2U,On Bai. (Radio Edit),13060190avs4CmeuoBwhvo,19,not available
35,Partager,0kbkzcWwmtXbvewmmGX8Wt,Yolande Bashing,49k2R9yqMgNBtZc3RIO2GZ,Partager,0Zk57lVNWW6wqwlTCkJyOp,32,https://p.scdn.co/mp3-preview/dc97915e5eae344a3a5b9c2c08b08fc10217e595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Larmes à paillettes,12WZGKCALvD993AU9M9E25,Rose,1KflBwZA1R2kUarD4UNOIi,Larmes à paillettes,2Ri6rX76dDbjjVahWoGkSx,29,https://p.scdn.co/mp3-preview/5ab2bb300aad83ed0b89472d6167bde31ac2ccf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,L'origine du monde,3lx5jLJinMjLEPq8yzxpnU,LE NOISEUR,5Hunwp6tQa4z3l9CFwHE7K,L’origine du monde,7cXwjibkEhYspud35TwHY7,40,https://p.scdn.co/mp3-preview/4f94aebdce228c803dbc57906deab5b779d7a15f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,minuit quelque part,7yzqscIBxT73bI3LfQzpCK,Mélodie Lauret,4gceoi6b3eqGyx9dLQU1S4,minuit quelque part,3juQncqOU14jnpnYJIaZge,31,https://p.scdn.co/mp3-preview/0ac5df6b05efb7d7156cc419f33f2c82681435b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,je sais pas danser,0mGlWDcmEIEsyANP9Pz9OD,Pomme,6e3pZKXUxrPfnUPJ960Hd9,je sais pas danser,3Klnz6ywCKnxIc4SDQxEEI,52,not available
40,Amour d'été,2TysXVT3myElvYDBm03UC9,Malory,4fWYaICAtJA5qKvfqOm1LZ,Amour d'été,458I1to2iOSS0dZ3oyBAgu,40,https://p.scdn.co/mp3-preview/dd95ab8a485aa23d840b5b34476eb8f076fdf0aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,La belle vie - Tout tout de suite,6tMBFzQxqskia5r2U7ULZL,Clarika,286N26F5niRQqjn3PeqFjH,À la lisière,2px3ID2at306p9j0TmbHZd,26,https://p.scdn.co/mp3-preview/8744498473f0d42cda24a25b978752802f106f5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,La nuit reviendra,0biFsPHOOjYKJGEpDF8zge,Octavio Mai,6ZXmURSoCG0PwYiubsaqoG,La nuit reviendra - EP,6swgKDfVmwHbI6STDHbaKT,36,https://p.scdn.co/mp3-preview/2914dee8f07fb2e122f9b6a70bd015e70c7e7e88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Tendresse,2iuclEKEBqG46yC7DhI2XS,Elia,5KbznS5SUZOb7skpdIO9J6,Tendresse,6wTiLJ5ENIAcI5pTS8uOXy,37,not available
44,Radio France,4WXFZLVPvAwClUzLaJaMPP,Séverin,7z1Ja2VsWjvZdAhucR0rk9,Radio France,0EK7CyQ2vGfFmyWylOmaCo,35,https://p.scdn.co/mp3-preview/4e547bff55570d594889e2bf071febc1b8843e79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sur les horodateurs,6GKHgrk3Z2XAiwnIVgBqSz,Clio,0TMi4dfaeWLOtRybyX09XW,Déjà Venise,6GB9bBNGojMgArV4PiSPbS,39,https://p.scdn.co/mp3-preview/606ab6aa50261cc6b55cde7ae12416bf618c1ba9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Imperméable,6CBbAoDg1g433uGJnaYzOd,Violette fleur bleue,0herMtMjL7zQHJtRn4Dk0h,Imperméable,6P4FgnSeOzN9qoPj2L7X6h,31,https://p.scdn.co/mp3-preview/c30e85100a85b8fe1519ebaeed3737c5e3d969bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Tatouage,4df7sF3EBW2MU5FFanAIQB,Pierre Lapointe,6zmMGBnFE2DCkAxaCVULRP,Tatouage,6nnyNRzGslhQ1WYM7H31jZ,38,https://p.scdn.co/mp3-preview/891ece7a1e07e884d3fe09ebf5db0d05b48303b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,La cigarette,1kVR3I9J7Ocmt2Eclx83RL,Cléo Marie,3gtDUwVKPPX56Gg4lRiWcQ,La cigarette,7n6opiDCEcERwl7RFo1AkJ,37,https://p.scdn.co/mp3-preview/c73c1afdace0a065f90554ac3a7295dfb49b0082?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Stone avec toi,4shsS6vR3fp7S16cOLn0gX,Philippe Katerine,61NKNrhSMTYg2q0f3vS46e,Stone avec toi,0K94xCebzhJ3KFCUtmsFUO,45,https://p.scdn.co/mp3-preview/2a652ba7a9013a58fa32979333bc3316b521a8fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sexe d'un garçon,46sIB8ka615sWr7kfW3ARi,Clea Vincent,6eforqOxk5mRrgprF7XtYu,Nuits sans sommeil,4C9Kpy7l6PPlPljLlwbKO2,34,https://p.scdn.co/mp3-preview/93c5d98f2f8071fc745f1ce60953d611967bae1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
