Hot Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),1Yu378yDTmy6EIDYNIEALh,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),5iNklOSVkzDK96qBxbMmlR,72,https://p.scdn.co/mp3-preview/e6216adb6f375a0dff40cb65d73250c5fb1d53da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Freaky,0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Freaky,0JDoNU0AZ54Ng8e2iPTKRs,75,not available
33,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,85,not available
34,Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Anything Can Happen (feat. Meek Mill),5DToNHmi1v9YZacvKqg7aG,68,https://p.scdn.co/mp3-preview/f6ff107e4e13c61a69ff82a5f4a465235100c377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,87,not available
36,Bury Me Alive - A COLORS SHOW,2qGpzJTiZ7BqbMHhraE0lL,Kelvyn Colt,3VV2TXkXYDYSUvtRRER3Wo,Bury Me Alive - A COLORS SHOW,20fvYl9WuL056xHrxIfa3c,45,https://p.scdn.co/mp3-preview/c2229a03db39d0da9f4dae6548589123a434a36a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",6mCqxnyOhr4tHMbRbQL4Yn,DJ Snake,540vIaP2JwjQb9dm3aArA4,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",1FZZY15WZ9afpD4xshFGXA,48,not available
38,SWISH,55GiOwtxNajXVbpjjIzMnD,Tyga,5LHRHt1k9lMyONurDHEdrp,SWISH,4RH1KjpPQxqtOTyV6WikPh,76,https://p.scdn.co/mp3-preview/055c7ad005a9c4c878396abc11867ec15b6072b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,83,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Sextasy,5jlLBqK31dOqXECKn3jlMX,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Sextasy,5AHaOSqgHl1KLpfujwLpRR,72,not available
43,She Like I'm Like,2W2txJXyjPO61rD7xAxwAp,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,71,https://p.scdn.co/mp3-preview/b4f48f04f607f95eac95ab30e6b208c1ffde5e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,82,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,By My Lonely,25AEevSO1lu4EKMIP5Sy5p,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,I'm Him,7JgDLtQ8g7RrfNdLf4Dk2I,74,https://p.scdn.co/mp3-preview/812b5f5a471965eddc5e340ba5c159848be58ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,63nQw5QNKBUAh4bvqSz3rJ,66,not available
48,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,93,not available
49,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,82,not available
