Déclassé,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,89,not available
31,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Aristocrate,7gNlaZaMIjRUfnAYd9Dvmt,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,En esprit,4YUEcV66XwylhSNJI51ABq,74,https://p.scdn.co/mp3-preview/38a2a03026081c7cbd675e2ad308f5fead1bcd35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Goddamn (feat. A Boogie wit da Hoodie),4TCG827sk5fDEmUvcQlStk,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,72,https://p.scdn.co/mp3-preview/2f2c7a4794e76383b5b79be5b6ee052bceb0ff20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,First Off (feat. Travis Scott),3WRIaWsws011vHMd9uzPjG,Future,1RyvyyTE3xzB2ZywiAwp0i,Future Hndrxx Presents: The WIZRD,3LpIwZdzFwc10psLingT8x,71,https://p.scdn.co/mp3-preview/6efd5258507b6c144f649262903251679d1ecf0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,Drake,3TVXtAsR1Inumwj472S9r4,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,84,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Parigo,3ll4t0mAv9wf1Mp4VghEFE,Feder,5KnoVkIUGmK0PiDKMjz2LM,Parigo,0Vug7cDWsOzaR9sJ7oF08l,55,https://p.scdn.co/mp3-preview/db66fce531d60347184b020a870ab76324783688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,C'est pas grave,7MPC1qtCR74fdc9jNdFHeH,Columbine,5AAzeysphag0NxJxLbbVla,"Adieu, au revoir",5XSzhGiCSa5bTqJCj6lKm0,68,not available
39,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You (Deluxe),74gSdSHe71q7urGWMMn3qB,94,https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Tricheur,7C7GtWZmyicqjBDbAWPsCp,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,76,not available
