Cloud Rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Pookie,2QpUWi6VSNOt2WyH5FIeLD,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,3jqQFIXUakuDXdhFVvI7Ko,76,https://p.scdn.co/mp3-preview/dea41ba2a590524bcfee50f66485dc078eb721e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Rose,4Ln4KAwk37peyCh2QpqYnP,Ninho,6Te49r3A6f5BiIgBRxH7FH,Comme prévu,1edj3KPfQnuwRcOebGIzxP,62,https://p.scdn.co/mp3-preview/6c037a17d3ff838ad93f1f3703de988ba5b7a4c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Blanka,295SxdR1DqunCNwd0U767w,PNL,3NH8t45zOTqzlZgBvZRjvB,Deux frères,2JtKf1aFxqS0M3QIj98nG5,71,https://p.scdn.co/mp3-preview/82caa7b2dde7543a3b36f502dc1e44bb13b144bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Loin,6FPr7b2IQpmUtafljoISjK,Still Fresh,3AGggQTwJaSofLcpDlYhV4,Coeur noir,3TRT2YQe0DCdwo8E80Xv7W,55,https://p.scdn.co/mp3-preview/4ff58e5f63e122e47d570853fe057dfe555fd24d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Bonda Manmanw,1ovk57bm5QQOxS6vJOmK1D,Kalash,3J7r4VsNmuWixU0nXvyPd8,Bonda Manmanw,3lXaFpLAOVd4KyEaQ3VHhr,60,not available
22,Amigos,5eLFBpSQ2eBunmWhGvpYgm,Jinho 9,3gPtUdMiLkJgmQIxFpEhAk,Amigos,66nsRu3l6wg5IrEKmAX6yw,40,https://p.scdn.co/mp3-preview/350c302718576a8dc198b3b10a2fda68c90ea88d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Onizuka,4GCIYE1x1TWJCChPkpy9by,PNL,3NH8t45zOTqzlZgBvZRjvB,Dans la légende,5GFHFEASZeJF0gyWuDDjGE,65,https://p.scdn.co/mp3-preview/accc67b84c4e22100b7b78bd563a8dfd8d19b470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Adieu bientôt,0nauWQtOaFKUtpLUMPyxmG,Columbine,5AAzeysphag0NxJxLbbVla,Adieu bientôt,476cdol0tegpy3gRZMr9Av,54,not available
25,Taga,4xrIWVwDYmJ5KFXinj82TG,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,Taga,6kMnLLzUcFNtM0lSz2O6Ed,2,not available
26,Feu de bois,4L0Iwsk1s8cbdBcEgdm8K5,Damso,2UwqpfQtNuhBwviIC0f2ie,Lithopédion,7JJ1Zqwc0m0cDyXXodXCqb,68,not available
27,Billets verts,61SYuUg9rokbvIPxzrhxd0,Maes,6L34dW6SKMSDaGIfYDU19j,Billets verts,49pNQ9bLsZE8oF4KVc6fuH,64,not available
28,Olympe,1kXtz9a1clVfBA3ag1ovRn,OBOY,66Ok6bgC570sHkw08N20pZ,Olympe,57EB6VRkZsteTwksAmltxm,47,https://p.scdn.co/mp3-preview/4f326938158ac6f3a97efc51ab2767e3718e471d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Yeah,7HRuk2l86d8mgdmjhq4ypo,Luciano,3CJKkU0XuElRT1z8rEtIYg,Yeah,1n1OlItmYhBFV4neHli4WE,74,not available
30,44 (feat. Yaro),46ZOMbOANX8TlyEamO31MJ,Ninho,6Te49r3A6f5BiIgBRxH7FH,M.I.L.S 2.0,0hl8Hs6SM4NfS5TOrkOfRU,58,https://p.scdn.co/mp3-preview/51546600e8b843c02b4d51cd0a4f2bf89f3a8441?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Fusée Ariane,4CwBH4TNRZC3oqrfM9X5rh,S.Pri Noir,5olcgTzelGdyP1rHRLyWgs,Masque blanc,0exLGcEY6a4G1BoJGnAUAV,55,https://p.scdn.co/mp3-preview/56c840b9512b06217ad181b74dc48bebb039ce73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Au DD,6VSaNvPPagk4U5Skxp6XfV,PNL,3NH8t45zOTqzlZgBvZRjvB,Au DD,2GsDh3QlZxK0lmqFOtXm5e,66,https://p.scdn.co/mp3-preview/ef2a67a99ae82dbe10f787636f65f68ad94e5312?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Snowfall (feat. F430),3qXsmCR5uCsJlyxbZQtbSE,S-Pion,3lcaxkgcJetq348VioG0s6,Snowfall (feat. F430),0UFZcPBHL7wkporhaYaJBA,47,https://p.scdn.co/mp3-preview/54002f0d2fb99757abc8b14394ba56c9de9aa9a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tu rêves,7FXXVMGfMLy1IkmgDIZJBp,Deen Burbigo,2OTfhbxhBO1u1bAuCy6ouu,Grand cru,2Y2vB4cSJyYdT30JCo3viA,1,not available
35,Nostalgie,3nHrB7Y2Aeo8Affv9qnsb5,Kobo,5O5o8ORa6JnUInvOUmmvft,Nostalgie,2SejIN39v3COcPxuMhPALi,41,not available
36,Hoop,0JszN2GHBi5FRasZKpKXTy,Hef,7ge3QfYPMTjDbMoVLuuIuJ,Geit,4hEAqo18K4YZw4LNjZ2mo5,53,not available
37,La misère est si belle,1s3XtkdfT3obSCbQVWtvX9,PNL,3NH8t45zOTqzlZgBvZRjvB,Deux frères,2JtKf1aFxqS0M3QIj98nG5,63,https://p.scdn.co/mp3-preview/dffb62bfb00de1ba7d4fff77a360a5a5d26a81d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Noir,3ZRufmvA7muvdTcOhKkLOV,S.O.F,61dhrcMPIxRNxkanS3Htu4,Noir,1bhL7oluMwM5BQulkLNgAx,39,https://p.scdn.co/mp3-preview/ca165a942c08a280863685621496b631edd2057b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,23 coltellate,5RlrdqMMNm42rKgYq64a3T,Highsnob,47RMRcPX8zWGaiMSZRuOd4,23 coltellate,6LLlbRfmopm9whu2Kiiajb,67,https://p.scdn.co/mp3-preview/6ad0c16dfe7f742ea109075137f3906490970a4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Rauch,7vQMNllbEaBhPh5a1w9ipj,Yung Hurn,4PvnP3yCzrT289cX3wCdOx,Rauch,3OzbGKS23V25UX1jpNYqTE,64,https://p.scdn.co/mp3-preview/92a440deb54f5da9d14e3ae04354e5737c1737c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Lil Boy,4MLl2r3kFH4LhlrIDn4qcc,Jairzinho,4owt1GWUqAh4gsXT13roop,Lil Boy,0TBAC3VSzmRt2YgiHzgHsi,38,https://p.scdn.co/mp3-preview/adaea9c0ef508a373cb9a25d8d94208370a3d617?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,MOWGLI II,1w2OwBeojIZI8hTI5WkMkV,PNL,3NH8t45zOTqzlZgBvZRjvB,MOWGLI II,70JDKgLokd2U0kzbK2WSIP,70,https://p.scdn.co/mp3-preview/0222a44700fb2ec1b184ba00ccff6d34fddcf64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Que la fafa,3sWgvkNjBixiSptCMH3Tl8,F430,11ajgggOI6hGjR8CF53mhG,Thank You God,4x9Z9ZCPgUOjkpFfSi4xvL,50,https://p.scdn.co/mp3-preview/627f95851cd62e9bf017554a93043857040b1a67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Public Enemy,59M4hG1RAcr13QRSrgyXkL,Arce,7eH1UUCyxL8Wf9PztvvPJ6,Public Enemy,3y877d70JvWBQ2yNxQg5Et,49,https://p.scdn.co/mp3-preview/f906fb1b30d3aeec035b808db51023f47ce610bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,48H (feat. Sfera Ebbasta),05mrU7mN3c1822bpY58UBC,Izi,6289Bbkkk3gaCbh1K7Rv8F,Aletheia,2FT4zvCc1vD2JdW8usqezZ,72,not available
46,Como Tu,3la3ywDAvhJ6lR7sVE0d6J,Bandaga,0fdh6BhOBgk3vqVn2XKQ0F,Como Tu,4EGhXMBgoihwnvLrMDETfz,65,https://p.scdn.co/mp3-preview/bee0eaa47b30acb972a8d3a3e2656497d5b65b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Insul X - Clyde Bessi Remix,11yhenZxeT2Xf6fgmVYFpR,Iraka,5xyobzRkK8Q51VEVI1v3dZ,Livingston (Remixes),1Yzvqz7783ifxkVsmU8ekn,41,https://p.scdn.co/mp3-preview/e043bcd09f68556fdc8ac1fdd7c71b8e7605b3cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Tilidin,1hgTRY8gTrfHGVfCAFBXWd,81,not available
49,Toca,3IBzXHN9OlNhm0uG2ge2xX,Showit,5gvL41nwlMueXU2k8yK9wh,Toca,79KCOwhiSfR3bvLVkUr55e,45,https://p.scdn.co/mp3-preview/c4f9ddf128eacec29c3451394684c09c2f2bf2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Meine Hand,5raQQliFM0RvfFl1YfKXg8,MERO,5wyWp867LWGjFmYZXVSFnZ,Meine Hand,573Ks6i1vxP1S1umEvFXkw,73,https://p.scdn.co/mp3-preview/755527435efa274ef298ce89325e78dea97068f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
