Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Another Chance - Radio Edit,0EvphKjVl4hVGvvAFYoJt1,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Dance Floor Anthems,7yhnBLWv6EZ5BRY8oYLdYC,59,https://p.scdn.co/mp3-preview/e4fe82db9241ef04a792bd58e20f853d9403df01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Gypsy Woman (She's Homeless) - Radio Edit,4UJ1AKSbXAbPlPVFe66wK7,Crystal Waters,2sd9Q3r0Jhqpe3w9WVuG43,Music For Girls Night Out,0qiop0l73dDZfXckujBG7k,60,not available
30,Most Precious Love (feat. Barbara Tucker) [Radio Edit],03K8qqBPNHXSqvMZXENYJd,Blaze,5yK5YSsWKH35QRTsHQHxEN,Most Precious Love (feat. Barbara Tucker),7GQvkHpvuvUnWU9sGh2fod,38,https://p.scdn.co/mp3-preview/3ece6340f3a7a7d6385d2a5cf4f0420336972954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Horny - Mousse T.'s Extended Mix,0G5N8DyVtVAV8tmiUkfH3j,Mousse T.,5N6EzjkOoyABhNZJggeXi6,Horny,3Hjm7oTRzCNloxI3Dth1oH,46,https://p.scdn.co/mp3-preview/451e5fccbe424d08bb8ef463d45419c191ceaa64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Love Don't Let Me Go (Walking Away),6YnRn7r3TnEZmAwT86vhih,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Love Don't Let Me Go (Walking Away),3Xr3qXhwqvsLwuQygwqYTY,33,https://p.scdn.co/mp3-preview/da6ee2e65a4f717730c32e7f106bd0a3524b95e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Lovely Flight - Original Mix,5Ap3AGoeLQljmCk2R7NXT4,Didier Sinclair,4qdo8QO3v7asdW9CmxW70o,Lovely Flight (Remixes),0Nao5q0MIN5WiAadkfyqY7,0,not available
34,The Rhythm of the Night,0ofMkI3jzmGCElAOgOLeo3,Corona,26T6b8maqEVltcmE4kSDUl,The Rhythm of the Night,6rrPmmb2lQd5pNRL6HKBZx,69,https://p.scdn.co/mp3-preview/7b4d293b8e25bd860a4c12017647a900a75d8611?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Vous êtes fous - Techno version,1bpD8ZWvP7XYI3DHVSPLJv,Benny B,5UH09fEGItBT1759YMWeCI,Vous êtes fous ! (feat. Daddy K),2SHdt4EdgFUbAELM7SiQTc,35,https://p.scdn.co/mp3-preview/99287915476d54651c02a7106c0844073661be33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Gym tonic - Original,4DgPcCPpxVN28ZOQBZBhu4,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Paradise,2ZHeCVucwVH7H3qC4abtTd,44,https://p.scdn.co/mp3-preview/b514742ae528a78e5fc4f0b678a87640baca3f57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Voices - Eric Prydz Remix,0VLTLD2ja6tvmdhATY99Qx,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Voices,09Xt0CHdlakD8kIWI7RPqd,34,https://p.scdn.co/mp3-preview/b1ea38ecef86b66ed338be8890de82d50f845f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Can't Get Enough! - Vocal Club Mix,0qJDy1QsmmnZt343XTzxQd,Soulsearcher,37eRNhw77Tm4Ois5CezSvY,Can't Get Enough,6DZRjWOhvrKPhskYeCi2Jm,54,https://p.scdn.co/mp3-preview/991a43185b4bc178958bfcce041104137d374f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Yeah Yeah - Instrumental Radio Edit,7kLJightxzAiE6nIaUtQdQ,Bodyrox,3FVJvsdVNbVmydSuI22Z5v,Yeah Yeah,0qIj9p0MyiMJWtw9Bqc5br,35,https://p.scdn.co/mp3-preview/59ccddbacd7b5604a6536a56d909274b2c07427c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Levels,4mkvtXQd6rD7zuAHhexEvb,23,not available
41,Go (Radio Edit),6m97Mu089F0rYcvggzwS2W,Moby,3OsRAKCvk37zwYcnzRf5XF,Go (Remixes),56kI0i0Zght0OYNwFwJL50,52,https://p.scdn.co/mp3-preview/48c966fcd44f8a442d476327ff8a24640c4e4d70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Get Get Down - Radio Edit,5o9DZHMGopB2DoSSMTNzQR,Paul Johnson,4BqZuFqHJ8CLn3ig0f1m0G,Get Get Down,4FID9Q7vasOmiTmSQu4p1I,57,https://p.scdn.co/mp3-preview/d9bd0b02e8f1f67ad7bc20a0fce21760c0b83639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,U Don't Know Me (feat. Duane Harden),2Bw2MQa6qHoHUxKM9c6bds,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,2 Future 4 U,2XRSsybfa4tQEzRIPc6fw3,2,not available
44,Acceptable in the 80's,00cxhG668jV6gU6VK2FUVI,Calvin Harris,7CajNmpbOovFoOoasH2HaY,I Created Disco,5gDkjyJBK8VLZjKqqUd79K,58,https://p.scdn.co/mp3-preview/b3c9589c24591ca6d89ed3e159856470d640a20f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Show Me Love - Radio Edit,7xL1F0tk9Xz8bMJoJcZyaV,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Show Me Love,1kvnktiEZMKlCpkJ3VFe0w,7,not available
46,At Night,5eRwsunj1rdRusjaQvC20W,Shakedown,0vSfjPjAbekoehCpmy1RV1,At Night,5A5UMxpGtyHtc6kRo3JF1I,5,not available
47,Let's Go Crazy,55P8RAUzU2gpKyHPQI7eZW,Indra,3sH57C4p0KSpzkh5uY0bK6,Indra,3jfUtlA4iMPp6LKerJjSA3,28,not available
48,Meet Her At The Loveparade - Radio Edit,6ol8U7Aq2l6XaD0mwOURoO,Da Hool,0wOXK4GjUAFUDhd7mvKBbW,Meet Her At The Loveparade (Remixes),0bC2uzHDJ3nb5JFk9DC7C9,0,not available
49,Barbra Streisand - Radio Edit,0XvjOhwCnXXFOSlBbV9jPN,Duck Sauce,0q8J3Yj810t5cpAYEJ7gxt,Barbra Streisand,5ihBBPbPvnQutkSqvDKs2K,47,https://p.scdn.co/mp3-preview/c6ea7197c02430f1c51aa9478be44a5a40ca0192?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Your Body (Radio Edit),2DXhtUSY5E0kPC1qXMTLgm,Tom Novy,1EVpn7mXyF07LuJqgUk6RX,Superstar,6YzzrVK8f85LgQaQGHQDEj,40,https://p.scdn.co/mp3-preview/b0205451721bea6876ae617cebfa3e168eeb2486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
