Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Luciérnagas,3FEMiGiscMnKUqtCA8hmqI,Tessa Ia,2Bo0gW1bqWSjD27xOcVtjg,Luciérnagas,0vVYd2IzehgtHKH0PB5gaQ,38,https://p.scdn.co/mp3-preview/7f18648f3acff40571252416c57d0d88eb76b878?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,¿Qué?,25bwcWBGh9ox4CR1ttJeHU,La Bien Querida,0Wn7tfH4rhaWTn8aMqSgh6,¿Qué?,5DoubGLMbpvAYcd6DDz5Nz,55,https://p.scdn.co/mp3-preview/43da84952e69d79d1b875dc31d9ae0a2f94156e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Desilusión,6eDn4Ayeaau15f25SF4En3,Sofia Macchi,4gtaTXIhBK1iyVUAkB2YZu,Desilusión,1NINKjfyPRdTjMD8bN1NeY,39,https://p.scdn.co/mp3-preview/3b96834efba695df961871256c336e4319dfca60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Dámelo,0s7xL2RSFlwgLndH9dvcml,Nana Mendoza,0f5pXcaEX3mou3QLNTdVaA,Dámelo,42jFjAAksBSjcM9iqv5Yym,22,https://p.scdn.co/mp3-preview/4724cdbc3f16f2ea604fca14f35f10539f95d3ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Kintsugi,2kJSKfA6jrrXxqmDZoWLvt,Pamela Rodriguez,0xSlY9GBehjuViqWE1KrMC,Kintsugi,6CBtxsXQQKQO5jiCpysjMw,27,https://p.scdn.co/mp3-preview/e5890d9d2616ed63f5e3fd0d92da0a860c98876c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ya No Se Trata de Ti - Acoustic Version,06BoeYC2jAEvEJXYhV7PCX,Francisca Valenzuela,2piHiUbXwUNNIvYyIOIUKt,Ya No Se Trata de Ti (Acoustic Version),2ByrEsLdDXsKYqMXOqUUx7,50,https://p.scdn.co/mp3-preview/0ec09617e39b0572ba06240b6fe1758487a6b82e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Monoambiente en Capital,1prdmkn7pO2S0FJChx0fN4,Zoe Gotusso,3XBw8ImFEo86mEB2dYh0vS,Monoambiente en Capital,1HjSFjgizVFIZ9c1aG9VC7,57,https://p.scdn.co/mp3-preview/8a657714f5e19f1464a1db3a5a2fc28a714dfdd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Volcán,0oK7fjbrgLMBz3cDq4Xdt1,Micca Mont,3Mcs80YyahnlFronaLHtqv,Volcán,50TExdCivApyDJ32ehVtND,31,https://p.scdn.co/mp3-preview/3de5a5431493403bfeb0b8cf8a6a74e1b7ce486b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lost on You,2LIh4uzqq9cXMPzzmcToHl,LP,0J7U24vlOOIeMpuaO6Q85A,Lost on You,0dYi4VGov4Dl4AED2eVwPw,79,https://p.scdn.co/mp3-preview/313cff9d964dd65fa29e7a07e9146f9d183a809c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Café De Las Ocho,6XpmMP3AzxZjI81e9apesl,Covi Quintana,2sSqkk6j5gRa7MzeQqMfIN,Café De Las Ocho,77KVG02WxFMY9I3KI10dag,50,https://p.scdn.co/mp3-preview/12c1d014771d95a1e821c2c6a59c92069973c517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
