Canta en la Ducha,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1jHSAfCHKUFx5imuezI7HE,77,https://p.scdn.co/mp3-preview/93d0ac52041e580e2dfb7a451f1f9c6443677761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sin documentos,6mOZfn6CVXsX1Tt0l3thm3,Los Rodriguez,3XkJyJgJDxnjdQgH0zfT8K,¡Hasta luego!,26vh26M3hPs7BMelYSQ6iH,66,https://p.scdn.co/mp3-preview/712fb3a218592c2016b385b28685ac9ba70ed493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,0EmeFodog0BfCgMzAIvKQp,El Dorado,6bUxh58rYTL67FS8dyTKMN,72,https://p.scdn.co/mp3-preview/af29ef4d88bfec355bd1660720e046b37de32aad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,63,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Vivir Mi Vida,3tm3GG9BBOYhUzKWlS6A74,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Vivir Mi Vida,6C4gFMJay6Si2kRcNB21Sz,31,not available
39,Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Échame La Culpa,2wRRkEL20LRmLg64NI2Ru2,23,not available
40,Carolina - En directo 2000,4UtREbGYnd1nZLckEb5y8J,M-Clan,4oVqMVHC03xnYJ7fyb1dh6,Sin Enchufe,4ek3tTygesccVT9WDCkgKj,64,https://p.scdn.co/mp3-preview/d25b8115b4cc24fed1f95e78a75ac206b4528624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,"Suerte (Whenever, Wherever)",3TY1PFZXmYeiLcXygB74My,Shakira,0EmeFodog0BfCgMzAIvKQp,Laundry Service,4DyMK9x2gnmRkRa16zHaEV,59,https://p.scdn.co/mp3-preview/400a0dae8499592634ac8e7a7c3bf2ed6782f2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Te quiero igual,7qIw4D1PcDHigDohKkLB0W,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Honestidad Brutal,4OZincs6XqlfEuKEFtpq1Y,65,https://p.scdn.co/mp3-preview/5a35c0f661da5debcf27eec8084a10f20237d340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,The Police,5NGO30tJxFlKixkPSgXcFE,Synchronicity (Remastered 2003),5W9OT0a5iZlBr83a9WMKFY,85,not available
44,Putita,0SaKhiBPgdRaQKA7Bxu3ek,Babasónicos,2F9pvj94b52wGKs0OqiNi2,Infame,7FYLw9fTOiYnJFbFk2Mntn,66,https://p.scdn.co/mp3-preview/ec9a63bb5a65a3421ada56115a217d96aab8ff5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Livin' la Vida Loca - Spanish Version,3HMhvOsHVO91IoE8LvzyJq,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,Tu Cara Me Suena,5TTDsm3YXUB2mQ3ABQV667,41,https://p.scdn.co/mp3-preview/0a4a9e18cd482137a2c737b1ad02e0f4b04af59f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,La Camisa Negra,5HW3joBaGgCn9vdraZIKpA,Juanes,0UWZUmn7sybxMCqrw9tGa7,Mi Sangre,4pQI0yyz9Tac8n3e1QpLE4,12,not available
48,La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,La Cintura,5Ao1r4qOUoRBUSPovTbKR9,21,not available
49,Para no olvidar,1ZGs4W7LBJy68hRPTsvMFc,Los Rodriguez,3XkJyJgJDxnjdQgH0zfT8K,"Palabras más, palabras menos",0vcyVi1DEoFqSkGEJ8H46t,64,https://p.scdn.co/mp3-preview/e15836d0e834061f14bdae32d338a7d7ad4e96f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Salomé,4l8i9h5PNoJte95Es3HftJ,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,MLB Caliente,32FJnbptijIkaBp6OlzbUU,53,https://p.scdn.co/mp3-preview/5bda6f73e7134cd4e50a41357971e48c4dc194c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
