"Café, Libros.",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Thunder,0H20PIDhzGnoOOYE6VC1TX,Fink's Mood,1iUB72crNwlgJybWBA5Fl8,Thunder,5DphHIaiZBFZvI1epMUjMZ,61,https://p.scdn.co/mp3-preview/9203e9ccf5cec72d99237e0653d41d1c10d059ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Call Out My Name,4XIaUpLlWb1y3YVByVSFla,Mother's Daughter,09AgPKJAS5Muco3pU4xh7k,Call Out My Name,0yTcV1IFb2qMCK0LvO2LvS,48,https://p.scdn.co/mp3-preview/f154a4dd8d1b4c77a0e99aeb0d384d2705bc7f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Clap For Them,4vJRj3g7OyxytClCk0FzAb,Galaxy Fingers,6uyULpB0HuQu9Mb6mhzGEx,Clap For Them,7BZaLbZxBSCdZM80GSGvgl,42,https://p.scdn.co/mp3-preview/9d9f282d3f1ce5809d6da3f9641b2701ca59694d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Perfect,7mFKhrFYjNsC2IMHCMzsDg,Powell Sullivan,2m1anAOoOQM3Df2j3tNelS,Perfect,2fYaBSkUVlzK5nTDxLYMZ3,54,https://p.scdn.co/mp3-preview/2f1c75d6bbc58c732bf03098260561f3dbb319e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Eastside,1i4I5mPDn6GdHlO43c2O27,Ben & Tim,0gb9yVmQVwhLVMMGKgXYnv,Eastside,40Oh0dhENJI14y6hluK0Py,50,https://p.scdn.co/mp3-preview/8a00ab0e2a8247fa00cb6451d6933ee6515512c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Levels,6gYPsMW8H6ReOqo2BWxWoZ,Gus Cleese,5vCyUIqN5rujUkzGq5iJq2,Levels,4TVIuPOjE8jcK8HC1ZOns1,45,https://p.scdn.co/mp3-preview/9a37e3d63af54dfdbbfc40cfd41f8a3fa45dbea4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ocean Eyes,1xzOCZA9ZR2bK0aq5mJj8N,Jameson David,66pRpCCxdVALakZpifVDwq,Ocean Eyes,4wbKBzvjGYMMlJIdzBW7Wb,44,https://p.scdn.co/mp3-preview/500bab78da94b9a0d118cb2dd86635a9d5e00339?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Correcto,4OUQ226JV81vI2Tcix0Z5a,Jero Romero,6TCN68dPlpAJMADKP3LmYh,Cabeza de león,1aRlf7ZVIT5L7MwciHcS8J,46,https://p.scdn.co/mp3-preview/23d9e9c00b9f013c48e47cbc966ac9d45c2be5ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Get Lucky - Acoustic,2aXBORgLuv2czaJVyeLOl7,Linn Brikell,0PNyNiPpI6zQnbQyXDPQzu,Get Lucky (Acoustic),7kqflmHaXiCRFSF6gd7wwW,62,https://p.scdn.co/mp3-preview/c0013c68aae2eea68bbbee4343c6e771e0d178e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Crush,1bfl5j92gs0wVMdi2A85NM,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Crush,32mk8ZybP5qf1uueZwji8n,13,not available
40,We Found Love,7ggLvZ7Ot5bfayAva458kA,Michael Shynes,1hoLjrdiXJoP9abACQNgx3,We Found Love,5RoKyeuJi66yRI4qjIXbpO,62,https://p.scdn.co/mp3-preview/987a699013ab3349437fc3aeb9152b77fd93e6be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Atlas: Seven,2LzOMk2irKa51zmGyQKNmK,Sleeping At Last,0MeLMJJcouYXCymQSHPn8g,Atlas: Seven,3xyLM733s9O4Is7m4VgaQi,50,https://p.scdn.co/mp3-preview/4c8cb72067b1d8b17acef278f5da058c7b4dcb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
