Novedades Viernes España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Tequila y Candela,05j1BaD4oL8WnNJyIKdpgc,Marlon,1RTZXV2Txeij9hW1C88mfs,Tequila y Candela,4uXXn7LLqxg6KEelc6O7c9,50,https://p.scdn.co/mp3-preview/560f5a457d78f2a10c48c80e00f62753181dc04c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,De Cero,4XfCa8VFYeTsKbXrVlpKIa,CNCO,0eecdvMrqBftK0M1VKhaF4,De Cero,1wh1ly3rDRvPmaGofkkGA8,79,https://p.scdn.co/mp3-preview/0f44179ae8120498aad55dd7c97a7cc7af698d21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Dime,0laYe5MLkdJEGvOBlrebb1,Julia Medina,2W9Bqi3EV1GXFkCOvE3oSE,Dime,5FTM6Nm8ykfjdPoB4cb4wU,51,not available
19,Castillo de arena,0tVTxWRIbN4oLNUsmezbcM,Hard GZ,79N4S7UXdjo2fAh3OHJQuB,Castillo de arena,59lkOq5PNmPEYlFzfWUcYd,44,https://p.scdn.co/mp3-preview/759f1eb7983010cecdc91fb8f8e0152a61488422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,20 de abril (feat. Fito y Fitipaldis & IZAL),01mO8bv66Oe1qT2fSx5BZs,Celtas Cortos,3hIPQBm8PBt8B5aahP6cVP,20 de abril (feat. Fito y Fitipaldis & IZAL),2fuZC5IrzS5gB3skuzcnzZ,42,https://p.scdn.co/mp3-preview/20af300fa928a0d3c1b4389e1677b29119d17447?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,85,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fucking Diablo,5HugdP5zn1KUybBdc1xsdf,Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,Fucking Diablo,5yr69KvuQLOaSSrqEgNhdC,63,https://p.scdn.co/mp3-preview/65a8e2ac99146be79075f7ff513c61260fad6591?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Walking (feat. Swae Lee & Major Lazer),1qbXrxctv75pm1lWCn6Zw3,88rising,1AhjOkOLkbHUfcHDSErXQs,Head In The Clouds II,7bOpX6Ilc9UCFmH9uGyUDy,66,https://p.scdn.co/mp3-preview/1e8690bcd59b8023a5f09f1864e792d9958f844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Exhale,3habomq2nwlaN5Jqrl5PT8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Exhale,4c8EDhWsVDfqw8knVVTOn8,65,https://p.scdn.co/mp3-preview/0ef8f727eacf8d669f680411821f8dd8c96efef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,65,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Gafas de sol,4IrdzJzMtRBKX3XfY8hgNa,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,Gafas de sol,2hI9tICgmTwDJYuryNgCFD,37,https://p.scdn.co/mp3-preview/f929e44a41bf7ba9980433c832a760b1efbf300e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Told You,46frPLWZuQlMLyelCLYpL0,James Blunt,7KMqksf0UMdyA0UCf4R3ux,I Told You,50jh9JaOKYIxjRnmeUkpvY,58,https://p.scdn.co/mp3-preview/0cadcf3c06144b79fdf279f0c487ef021a590e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Dame una oportunidad,4sohtNdPc6ywpCjDGa3fzN,Air Magno,1lhouf62e5nnvFhbjwLU3j,Dame una oportunidad,0Oqk09E0xxudGuDt30Gnxn,37,https://p.scdn.co/mp3-preview/5fc8fc123b8b9544c9ed8fb6cdfe2c020b8cf3e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Te Amé,7o9EnCX0RhHRyWMPkuyzZe,Mozart La Para,0odliLZMTk45CEVzF3Zocl,Te Amé,7tFyep2rxROniMNHB6DdvT,40,not available
30,Usted Se Fue,5kzwhmcTH7UGhsaNeylqJm,Atomic Otro Way,05i5DIXDf4Ai4NEPEi3uBZ,Usted Se Fue,4YDYiljc2wsuhHVwPfjviZ,35,https://p.scdn.co/mp3-preview/f4337cd05f35ea8ecfa91cdceb0174f38d3529bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,As Far as Feelings Go,2kJIiIqbzYVtv2iTpbQts9,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,As Far as Feelings Go,7wN2FvcizhjkzuT3MvAGZI,56,https://p.scdn.co/mp3-preview/4a55b845e8a8cce8771dc7bb0dcb92207ade2374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hard To Love,2fDaX8wgmwzSYmdLmTDAIw,Danny Avila,5y3G1B8cpCTaoq0uDgjwzH,Hard To Love,6Cg5C7zdaQBKIYGhhZN4cK,39,https://p.scdn.co/mp3-preview/dbc46d142713d95e132fbc5576375666377f4a95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,not available,not available,not available,not available,not available,not available,0,not available
34,Twisted (feat. Logic & A$AP Rocky),5xEWiG0ug0rOymOjlzSGzx,French Montana,6vXTefBL93Dj5IqAWq6OTv,Twisted (feat. Logic & A$AP Rocky),7rmnGDfffE9OoCScZ4pjjU,68,https://p.scdn.co/mp3-preview/2f7e185f49682ce653a78546e40667a69b3f8d5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Mami,5ghw4PwwaWCesDfEVbXxfU,Quimico Ultra Mega,3tZdknQnzsVIIdaGCTj4RX,Mami,4qkVAXZf3vnDMsKlVzIBru,38,https://p.scdn.co/mp3-preview/3d9081bdf0d11095a772b67cac69b70c2e82aa31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Todo Cambia,2a5sRbJwCyxZKrNycm99IN,Mr. Kilombo,2y2zsEIM0NTeGwkxcnGmvo,Todo Cambia,7cofLDOTJNf0rag3oNX1pd,35,https://p.scdn.co/mp3-preview/ac824897fc5064890a089b9e74c3913b5274fcae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Miedo,3eP6WamxAgqsVSYTckQYGl,AMBKOR,5iQNy7hQGe1suvNOQz19Jz,Miedo,0N7Lgvsgo9MtevXB8sHgxX,48,https://p.scdn.co/mp3-preview/ad19eb74356ab29db545d7360af86f8156c33b7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Te Quiero,4UaGXuMrEmSI6GorScUrca,Merche,27a2VPd27oQbqE2TdiZVTo,Te Quiero,3h1OjsRtRc69vrk9TkcY6u,36,https://p.scdn.co/mp3-preview/188efe50efe0b5ab3222d24ee0582dcdfa0368e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Luz en mi alma,4w4k2ELgqrLoQgtWq6qb44,Haze,6c4WWQ2PYJlgnxtkQKqI5s,Luz en mi alma,0XLS7a4TAahjSyrFOlwU6k,39,https://p.scdn.co/mp3-preview/f668d814cd86f5b3d13694dcc4f79d249d8bed9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Niña de la ciudad (feat. La Pegatina),3XNGI2YGO7Rxcu5PHNQgJY,Muerdo,3Tn4gmQQde9am94ntk2NBq,Niña de la ciudad (feat. La Pegatina),7m5Bdax8rPwj5evEszNNVV,37,https://p.scdn.co/mp3-preview/5a4983efd84c006f810169a597286a7c1e1729f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Hero,3iP4bhqGyUaNXHCzUY1H9v,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Hero,2COBcimCnIN5cf6pog18jU,55,not available
42,Falling In Love,1eoC1H5GBM9IikwdHxsdhJ,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Falling In Love,4rcgLAYSMhKWeUSuJaEO9u,61,https://p.scdn.co/mp3-preview/bc42b3f7ce04661c68cc41812121fb4ef72f8374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Dolores,6aG6dX4bvQ7iCvWz78pHlc,Choclock,1Ixof0imwzqpuV21Ug9pKn,Dolores,6ae2YHpYv15DUUscxppqHG,42,https://p.scdn.co/mp3-preview/9016a811f0f4ca75320835b03c92a2bb0dedd503?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Find an Island,4DnKssL3N9jv5aox9Xsavc,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,Find an Island,6U473Cz67UE5kN5SVOTUif,57,not available
45,Loquillo,7aUxuhrX6jdsjvCSJHWOKr,Rubén Pozo,65mqRAn8AEZjc4M2lZvtSz,Mesa Para Dos,1JNhHpjjguwD2R0UYYYB5i,34,https://p.scdn.co/mp3-preview/b9485292cee69cab269d5c6a2147f5691728ea6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Amor a la Carta,5zkMLrAHyHduZgqmkGRK56,Lytos,4D6SZOeCXxbUpnJyxQfufX,Amor a la Carta,1sy0Pj4veBI4girmAm4ZA4,46,https://p.scdn.co/mp3-preview/006c0c7f5c648d6928458909c9c612b42cef2526?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Le Psychiatrique,6W6FT1m6J8dFiSmuq6CSf7,Monica Naranjo,0zGM73sadbAOBLev02P8LO,"Mes Excentricités, Vol. 1",5qAu5oDqeqsRkH0lSN008a,41,https://p.scdn.co/mp3-preview/edcadf5c211a74065c7035080ca243022e9edeca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Tremendo Vacilón,4DgZ5BcOLiThZBlIwVHVfc,Nya de la Rubia,3rE5nDLmkOn4tmdvnCj8py,Tremendo Vacilón,3wBhByLGbzfhbhi4llG5Os,30,https://p.scdn.co/mp3-preview/0516c8793b4f63e82ebca7773ea87d35225a7fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Papi,43msw724T4bHLgDu5QoRZz,Lucía Fernanda,75xX5rWpgqwJmIPSsCVe9A,Papi,0sxWBmU3poVQQu8WR2VEA8,35,https://p.scdn.co/mp3-preview/71659274fa3e187244e9e33ee6f2def04c1cebb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,LALIGERA,1ThWuqpphgu4N5yi5FbBiR,Lali,22P1OY4TRFRwhP0q29loQ8,LALIGERA,38YtKwQaJPDm2Rfffd3eTx,56,https://p.scdn.co/mp3-preview/5ffa17b8598ca9ca2cc8025057425ae58bd83627?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Minúsculo,7F1AkFpskBdswbVdnQFH3a,Jacob Mey,2I1AeFez28mu7X7Bek4aj5,Minúsculo,0ZAeH7vNXG1W0kHJqDmpcm,33,https://p.scdn.co/mp3-preview/2185ec545c8911be55001b1deda324d6cd45e732?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,COMO el FUEGO,65RryJGGjoRp8RSdfAgz9m,Sen Senra,5lWasZeo8uWQk6GD8czJLq,COMO el FUEGO,7Lcijo625d07ZscbY28ppf,38,https://p.scdn.co/mp3-preview/112b824dff6faafe5a9ab6ae0b75c991fdfbef86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Perfect (feat. Haris),30cW9fD87IgbYFl8o0lUze,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,Perfect (feat. Haris),3hOyUjdcI6wGuhk52tuH4g,54,https://p.scdn.co/mp3-preview/9ee78c41bd4d406e52233ca477050464b42c2abd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Won't Let You,1DvbkyyN4jCcffDbD7mJEC,MorMor,63vaeIIBKIe9zT91EORVbr,Won't Let You,3JxGyoJImNtV1sYpedUcB0,51,https://p.scdn.co/mp3-preview/36f0ab98d759fbd40b2eb1a9970e371352442844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Hundido,5rdT7EJaPYa0SThRzOxPwp,Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,Hundido,13ynM7QXkZd6MRaLKQ3vNx,27,https://p.scdn.co/mp3-preview/731295e3ec4bee903800e762c3078cba7d642a85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
