Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Strafen,4AcvEnzDS0EoRDfnlBDwod,Yris Den,18MopJfVIIWfHc0WKqfjgR,Strafen,5PyffMSmNbXTfQsbePSlzN,31,https://p.scdn.co/mp3-preview/6894f353a75b0312a5df1746675a41598de13c93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Oceanic - Falty DL Remix,5zdrZN9FwoKRpegKVYDKQY,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Oceanic (FaltyDL Remix),7xZ5jrE5XZJQCyu2pq8QvX,1,not available
19,Dreamer's Wake,3Y4sSXeyK1flHPhN8P0aDY,Rival Consoles,05lIUgmmsmTX2N9dCKc8rC,Persona,4ciNhQuziH6TtbRbDaHicN,9,not available
20,Rest,7f7ZFSLD58vB31U78GpCyF,Brandt Brauer Frick,29TG40TGDvrOFQZM4adBf7,Rest,24iA2XSf8HyHx2bO0upya4,29,https://p.scdn.co/mp3-preview/fb100b3a713a375540eed4e7d25feba367370250?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Angels,4TQmCn0e9L7XTiKY4Hk8X4,Dark Sky,1qo9Fb4nYgez0Hpfi2RuiV,Othona,0VN8KeolDU9D7Iv1ivEYvV,52,https://p.scdn.co/mp3-preview/5198317dbba7650a250f2f4cd2b2078e1ecbd42f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Yet Another Day Thinking About You,45tYLgOLn5vT14pyPpW9at,YokoO,45fzhLbHZdBIgOGQT6M5zr,Yet Another Day Thinking About You,79XkgO0rpwnsOf8iERkMJc,2,not available
23,Xorkia,20uAMhTE5c2UgMOihYvr1f,Oskar Schuster,06n2rDm62tW55l6cZEL15r,Xorkia,21XLez47HOSvl2KTIXgEhC,31,https://p.scdn.co/mp3-preview/3bb0d1caed8fa006da1a4b1067883dc6c62fe13a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Morning Traffic,6PhDfNt7nwGThKzQLqXMUJ,Electrix,30tRqUzXiuc69twbgi16Fb,Morning Traffic,4A6naeZkZ0I2m9w1FMABxq,35,https://p.scdn.co/mp3-preview/8be16171f68698e5027aef622fac0d3362295ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Who Goes There,364s1to9iO42M5mDBcweRL,The Field,23MIhFHpoOuhtEHZDrrnCS,Who Goes There,0g0lQFhC2zOwCBoOkk9FNz,25,https://p.scdn.co/mp3-preview/7f7737d08aea145bc1b165c029fb3fdb6f1694be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Natural Playground,0Vti8wtLOPLcp0yNvLzP5M,Citizen Maze,2kdwM8ZseT4OkQM58MKHu2,Serenity in the Woods,1wRDVYVALpY18OWwolH8Zu,33,https://p.scdn.co/mp3-preview/faa2565d1a634e723caf9bf0eef411ff8f625136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Saint Sunday,4CINaI10FhMxwpKpKxejDS,Caroline Lethô,6gdgoq3XvP0fkqXC85BdsS,Extended V.A. 2016,57CLMkdzmVds55C1hJ8OPj,33,https://p.scdn.co/mp3-preview/e276fb03dae64e72ea8b02ea8f338a221f074df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Glacier,19J0d3QDUwy1QPoVptqQex,Threedust,6340hzyqmfpcSbPZLFC1Gf,Glacier,4zbuRZtDwklRMFpURg4YpO,51,https://p.scdn.co/mp3-preview/95e590e026b0a667469b476dd039aea673b1f7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Broken Lines,7xj9aehqTM2dF2hqJyHwIW,T.M.A,2byiSAqYCxVFaUmm0KxiIe,Broken Lines,5N9gI9A2FIdsZ2bybnrXZt,34,https://p.scdn.co/mp3-preview/b1ab76cefe0f71ee83c41664411676e00f52f5ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Break Sum1,343nacV6WDWoEzevh5Rmte,Sieren,3Jzy4I2ATG22T6bZB24ToD,Fading Memory,59bbyeB07I71uB76uMqNd6,25,https://p.scdn.co/mp3-preview/420259448e844f9ff3b2fcbc25de75f1333341af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Stream,3yxOXoQGXM5y16sN7TpSe6,Lambert,6pSQcy8935ABNiK2qOpOlK,True,6U2xxftHI11KUGHckT6LE5,53,not available
32,Spark - Ex Mykah Remix,5Nv3vWRodGPJLkIYF1XgRX,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Spark (Ex Mykah Remix),6WvrVn2haAVWiigJrIlItM,1,not available
33,Monarch,150xPwjpGttVzfE7Ya9xBH,Marley Carroll,4mjVQFIgNetwBWatbQROKq,Migration / Monarch,3CTKnlZcPGIbN3jxsTcdkL,26,https://p.scdn.co/mp3-preview/82862aa2163eb0a98a3ae70f58bab2e2654a8ec4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,DAWAN,3A7ByViji8709hWFd6Mzdb,Apparat,40Ojab0UtVQFjA76qXr8Ot,DAWAN,3IX3F7Iw8r3UmfJWFrEedE,38,https://p.scdn.co/mp3-preview/83265bbedee36752e5d6082f5e4de68701bc275f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Treble Oh,5sAirJXNHkM9rLYDEXB1oX,Equador,1M1PiPawULb9ZLZ5tYiE82,Treble Oh,3N6Yh8SCyR3EMgGSnw1pBt,35,https://p.scdn.co/mp3-preview/ace5739659a4f27a2bbb40385b6c254e30e79651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Rising Urge - Lost Tapes,7Bm0j8ALNJ7ledPN0fKfBw,Röyksopp,5nPOO9iTcrs9k6yFffPxjH,Rising Urge (Lost Tapes),6vWgySuOqxQcfOyvzYV74B,33,https://p.scdn.co/mp3-preview/1f738b95977ba3b4ff49f8d13942d97928d74006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The Humming / The Ghost - Video Version,1woGlvnE3jyuekOKxUid2c,Binkbeats,7exctwYNULoOlBmGGUwIzd,The Humming / The Ghost (Video Version),7H3dyxZKafB05y7hlJixuU,36,https://p.scdn.co/mp3-preview/a8dc4c389b1b78a3c58bc3c9b7084adb8b695a88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Snowmilk - Vinyl Remaster,5mxBFuP85wPpbY9DXb3WBv,Elsa Hewitt,7xwbnGpTJA94MgILLAeThK,Snowmilk / Things To Say (Vinyl Remaster),0lBQhvldJtT5IOKoqgLopP,23,https://p.scdn.co/mp3-preview/3cc877979bbd8f87f00182dc4283a2cf7330aae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Versailles,1KxIaLgAipzRMYYhAGds8S,Thylacine,5If5Tdg66Q5X3L57G7A6Pn,Versailles,3pJmjFew5LOyvyGZh1HKNL,41,https://p.scdn.co/mp3-preview/e29068bf0961a00d8ab9455dff88cac678e047f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sumatra,2jUrrOKW60plhE89jNwTXE,Gullen,61k6okbUw17fpK27TFEXtI,Sumatra,1wwqh4MR3h8WGKqvad2pIs,35,https://p.scdn.co/mp3-preview/54b45fef3efa98d896845682e978db2056a4efac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Horizon,4SsBteckF6ZnNyvOR0hVfv,AK,33Cf4O1KAVbtQa00scMi2A,Horizon,69Pf3QnuVENEdEHqxLXc5C,35,https://p.scdn.co/mp3-preview/47d1c863f36779c89f2430fc89722aa561ac7eea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Hunted,3LlcJaJu7LVG3LY6UqpQ4e,Alex Albrecht pres. Melquíades,6a5EIjDwMIpnwlOAYNsKxu,The Bluff,5rg83AGc7eiHP3LUsvxA0v,32,https://p.scdn.co/mp3-preview/e272e223d5507b000032eba1de72239ed3c4390a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,A1,4elP4pxqgxtQc98VbDmGEs,ADAM TK,7hauEwIlR9Ca94YCGOCmP1,A1,1sIpDI1Tck8VYkLxGxtcv2,32,https://p.scdn.co/mp3-preview/a94096760cd9c1dc10d18e974db762a27de1a213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Cell - feat. Moritz Heppner,4A71OYCEabQtJj3qFwWnej,Johannes Albert,5FMcKm7A4LRwIJnkzuKZFt,Lichtenberg,7cJUhz5CBx8XFF9LWL9WZX,23,https://p.scdn.co/mp3-preview/c4c1adb112ec547db4130d5a5ce33b2a4576ea42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,You & Me,1MdbDBwEEecnlLiyWChJFh,MEUTE,1z5xbcOeFRQXBVDpvRPh8H,You & Me,2Beq4oZ4hFHDCkboDgI5Jn,59,https://p.scdn.co/mp3-preview/b3dda57356934006da8920218ced9d7dcf890c21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,50,not available
47,Interference - Original Mix,49UmtYlpfumyvHLOO5Ga0h,Vaal,71Og13tJyEC23Eom0pb0BP,Nosferatu,3nZWql2HKjaz4q2rmdby7U,33,https://p.scdn.co/mp3-preview/999862f89ccb10b89290a696fc2445352e4bde8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Helliconia,7JkHtxkN3rZI97qVhMB166,Âme,5muFO8VqYRCRW13EkvX564,Dream House,7iIC3wJWW0QNCWDFzNnLc6,26,https://p.scdn.co/mp3-preview/6221b0176f0b380c82a7f842c204f0f142e58b0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Reaching for Casterly,4M3PRvEd5Fe7mnAdL4l6FN,Ambient Solle,34ScNK2ccDxZim8TVcqWXT,Morning in Waiting,4Bqiq7pkMlkip6uu176faP,37,https://p.scdn.co/mp3-preview/68099518d441f29dffc2741b75e9e027aedb53f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Nova,0hNjpXoBes0taQu4rMT8mE,Edgar Mondragón,5I0dT5ftsahh9CXCvwWS0D,Nova,54aylhasfzfYSvLX9mQHFD,38,https://p.scdn.co/mp3-preview/9b9556862adebe1c8c18c89b306be08cdd39c1ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,And All Went Dark (feat. Polly Scattergood) - Goldfrapp & Ralf Hildenbeutel Remix,1ve7lwoXCsrrWYAKmgppC9,Chris Liebing,21444lX8gpmOX36icLmbFI,And All Went Dark (feat. Polly Scattergood) [Goldfrapp & Ralf Hildenbeutel Remix],3KUt0bL9WBMdwn36o4UtnW,19,https://p.scdn.co/mp3-preview/b1d5a17e0501a43fd86cfb6cbcf4d86d6cae3777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Lush,4KjNEsQ4jkqXwCmsn71a9p,Four Tet,7Eu1txygG6nJttLHbZdQOh,New Energy,74r6JJ97ipO0CREXP9PMqZ,61,https://p.scdn.co/mp3-preview/bde9c24cb59c2f27dfbe28a666f35d53324af49c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Foundation,3GO4TvQKcgIPyMXon28NEf,Nocturnal Sunshine,1BiGjy3Kg99ZgL7E2Qb4Td,Foundation,1jb6eS8NrJUOvNLIfwRPZ6,32,https://p.scdn.co/mp3-preview/786a341a2099a676c055d1c72025c9d918694f38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Karl,6XmHQPPaoZIAy2N9ENvjRL,M83,63MQldklfxkjYDoUE4Tppz,Knife + Heart (Official Soundtrack),0RUjgQppW67OIBTkRv8fdt,6,not available
55,NOCTURNAL,6tNlmaeHPzsfebO01HwDkS,Cavalier,2CFpRtRipRXDATD6UPmCOw,NOCTURNAL,7J81bjF90DdUdWj8Yv4kuA,28,https://p.scdn.co/mp3-preview/9df16ff95ad2c6b14e9564e2ddd1a79be4c1bab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,ELYSIAN FIELDS - RON TRENT RECONSTRUCTION,2drLI5z2iQPrBB7D2selRH,DAVID AUGUST,1cS5EoXVqz7aON00AkVBBA,DAVID AUGUST X RON TRENT X RAFAEL ANTON IRISARRI,1GExqOsZ5I3bmgNxuYIobf,32,https://p.scdn.co/mp3-preview/412189aecf0abeaa71083b33156e83263eb271f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,When the World Ended,3t4Nj5o9DdGAlu8TFN3Pvj,Tim Legend,3pfQKkyELe3zxBQDgQP6Py,When the World Ended,7GgW98ZsgeDUyLUzRSJ2Qt,41,https://p.scdn.co/mp3-preview/e4c5ab148746ccfb701e53109a57dbc30420a5c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Blossoming Limburg,3sWqxx1aXbkGE9LCM1HRUw,Thyladomid,2ZK6csW8YIGpGGUiQO6wfW,Places,4tgY1UPv1iOv2vqEQ0yhf3,32,https://p.scdn.co/mp3-preview/16b9cf0bb1d51843b31903e28c5b28246613617c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,"Grown Into You - quickly, quickly Remix",3fRjHeh320gO0KvbSDHjYN,Somni,7qFssj4KoOxd1IOPfv9iT7,"Grown Into You (quickly, quickly Remix)",5PO3xBnMCg1sXSXWPKwpJ0,53,https://p.scdn.co/mp3-preview/b76d303e8a538812e9148d693978cbfc2c84d746?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Dancers,03xyBEUCBBWZejQvDPXE94,Plaid,5akVqMzdZOdbMYbE4vNZWD,Dancers,4iQSYDp89iqkwpt1eenPUX,22,https://p.scdn.co/mp3-preview/515f58b7d5a160a06e10d6feb7dbce4f7eb9a1fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
