Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,In My Mind,1c79SozES9Eb3Lzf9KVaIa,85,https://p.scdn.co/mp3-preview/93c16bb3fc2389f39db64a559ddac0d84bb15e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Your Song,6lrm01OVZZVmarH2XLSAXZ,74,https://p.scdn.co/mp3-preview/91a31303c4101d8cdd1a7a3894644cc236c6e776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Hot2Touch,1sBhJGPUKrdRycgKxve70v,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Hot2Touch,6eBx4YwPpHIcdPmR9JBJT2,16,not available
38,La Cintura,1BFmBgVOnLy3Ekrxz1lBOK,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,Mar De Colores,4JKhcsTTBrRxA01gvYPm6s,27,not available
39,Body,3jvpPbTJqfyKvEOtOsn83m,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,5IwDFhelg9o8vrPNlYDpQR,68,https://p.scdn.co/mp3-preview/cc8dc2d90a923e024f1c71dec1cd4f0a8650a1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Solo Dance,3BcNHuKlAm57APDcwh7LJq,18,not available
41,Willst du - Radio Mix,2LkUiZy08G0PAOzvRQ3oxY,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Prayer,1SrvubPy1Dg2BWJyTMcmgr,61,https://p.scdn.co/mp3-preview/ebb555b46908d8180877095941d8217085bf0d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lieder,5Zd6xRDfkWRT1FF1CnmvOG,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,Lieder,2ddLpxUJMWmq49zsOSBHGQ,8,not available
43,Kogong,0eBEo8ckRAmUEdrbmgpevQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Kogong,4SgQnitl0j0MXsloj8KoBI,55,https://p.scdn.co/mp3-preview/a10a5aebafbb9efc5dfb0e771c94bd15bce06eac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Unter meiner Haut - Radio Mix,5NZlsLgfdg8HlP8RaXPIeP,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Gestört aber GeiL,48YTCB5qNHU6F2FGAufIxJ,59,https://p.scdn.co/mp3-preview/0ed52d136f15531bd0733377043a874a0e6688a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),6jO7hs4GsF6924w10xQTyA,72,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars) - Bad Royale Remix,24KqrIoofDAJ5uNEFFH0zC,Vice,0q4NrXqJnc367PieejuROJ,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars) [Bad Royale Remix],4m15hokxvdZT9sDbTkb1Gm,44,https://p.scdn.co/mp3-preview/fc047ba7dd7fb90ed728e3599cb89320676fcaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Solo (feat. Demi Lovato),3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,6MDME20pz9RveH9rEXvrOM,What Is Love? (Deluxe Edition),1MvF4ulZKH7SaDQs9rE5nc,74,https://p.scdn.co/mp3-preview/3012a9efa7581dbd4754aeb8eaa41be5d3eae219?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ciao Adios,3EfugazgSddQvzZpkof5I4,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Ciao Adios,7BaS787qIlgKTMOFR2e91E,67,https://p.scdn.co/mp3-preview/c7b941dd440644eef03bc442c3b977abef82cbe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Musik sein,1v0wLY3hnzzfGeceWS3dS4,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Musik sein,6XWRp10bjfDOV3RWuX8HqE,9,not available
50,Auf uns,6dXt4t5jgySnVTeTpT4C0l,Andreas Bourani,6quRLJ5SiWHgcVMoE9TEJj,Hey,6DXLgOP56mhoi6jvy60D8l,61,not available
51,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,More Than You Know,4q8PHoRsPUB52LFylX8Ulz,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,5wtHzowB37Fre3iXWQW5v5,24,not available
