Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Waende,0jIymbEdH6q5ZgFVwGJehs,Ceeys,6K8BBZapSLE6XGXF4htbIT,Waende,3w9bvWO480nCjEQuxzwrkc,41,https://p.scdn.co/mp3-preview/13dacb7a0078260d5d64b70c6d7d386f10177fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Timeless,2N2SrDqaD0Kf4k2ITxieMQ,John Abercrombie,1OCdpTg8d7Ehpj8B9j4iqa,Timeless,3zrFls5MpfT6VOquQmuXaW,14,not available
13,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,50,not available
14,O’cean Dream,1By0PJ77a8zPaPN8Xi0SXH,Matthewdavid’s Mindflight,6QA05gHLqWpw4hMPqcuHD3,Trust the Guide and Glide,2OUnArCKNtZoMZef1WPzVg,36,https://p.scdn.co/mp3-preview/5ee432f6571e08326c75cc09439712c2f587e35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Broken Hearted Kota,3JV9KTvErBJzQi9Wcr7ouR,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Broken Hearted Kota,5lMXsZtAMCRodyRAeKvDjt,41,https://p.scdn.co/mp3-preview/938eab8c0964dc4d12bbe6cc34ca08177e0db58e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Plight (The Spiralling of Winter Ghosts),5plQUaqgpIdCMiXZpdP5v8,David Sylvian,2oyWkw7sq99yqj12hVUHtw,Plight & Premonition Flux & Mutability,5OVfsYMz3YtQbOpvmygebT,21,https://p.scdn.co/mp3-preview/92306955a5650adc48bb1d3e9ec6034e32a64684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Black Is The Color Of My True Love's Hair,35HX8z7O4MaVVrT40YEujJ,Marc Johnson,3AT9157jK9F2gMSViMdRUH,Bass Desires,3ENSb9BRGFVzNinQh8cFhg,51,not available
18,Spells,0dIg2sKreVGnWJPSPotagc,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Encores 2,2C2LdCgWMw6MkJ5RGJi5eg,44,https://p.scdn.co/mp3-preview/700f8cdbb6ce8c412da27cbfd1869021b6c7a0ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sleeper,1GimT5ZWkbqjzIb6DBWOI9,Trentemøller,4O71i7ke5iIBX6RNSFoZbS,Sleeper,3Tm0MLEI2YF3z7G3rcU5En,43,https://p.scdn.co/mp3-preview/c5d8b17ddb4118b6c289fca5ca60e78b52fccff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,The Space Between,7FNpgKsAUFgt5ONasflWtc,Joanna Brouk,3yITaOTDcBPYNnYxlxQuUt,The Space Between,7JO8XrLsnzmn6cBP5kyMUH,36,https://p.scdn.co/mp3-preview/7520a5ec5c60e9f79532c9168368a42ac409c9e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mirages,5ARGa1YCWbgNobFCM2F6JB,JB Dunckel,0yN05taoXcja1ibMBraWrm,Mirages,1YHTOqf2Ph97yqfLVr9QYT,43,https://p.scdn.co/mp3-preview/5c7c41712061cd2723cc8bc53698b369b9fb7709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Over & Over,4jbmBkyBit7Geqa5tALgWf,Seahawks,6WHCgS2g18qWw45K66DdRZ,Eyes of the Moon,0pmvwDNcm1CBWIwOYsiBDB,9,not available
23,The Colours Of Chloë,41IIGbcmsYDgZYsgyyKg6Z,Eberhard Weber,2BPSfZHtSYon5DKvp95xXT,The Colours Of Chloë,6q8vN3Qdyxk6o1fGpY64qz,53,not available
24,A Place,2j1tj1GQCDCRM5tzLQG06V,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,5,not available
25,Arrival,0kAIEMckzx7krVzOP0xIZZ,Danny Mulhern,4tc9PdoWcfLTI5ZcNIhWuU,Safe House,31cCUJWMaRWwexarEm86Y1,38,not available
26,Dalston Junction Feb. 1970,3PAubbsJ8CQoIqXlVgPRZu,Al Gromer Khan,7sGvSRxJMoJdO530qjic7H,Another Kind Of Silence,4iLZcdUa17xrCewSUiBffU,35,https://p.scdn.co/mp3-preview/9a44052be006ed6988653f262e063155966edb21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,If Mountains Could Sing,1zKbNpXsJjuA3VtGAxSlQO,Terje Rypdal,3EFzYPEP2mCQoqcLjoWwK1,If Mountains Could Sing,4lv1X1oSpU4tHn6PZfkaCj,36,not available
28,TOBIUME,5JpfGKhIFJqGYdTf8wlr8q,Susumu Yokota,3ND5NWoKzlelYDDyWqSQpQ,Sakura,4eN1ho9NT7q1YlG5xDNYNM,43,https://p.scdn.co/mp3-preview/1c419c05b0f859954d9365f5fdb61ed8563adf4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Cliffside,5R76xMp2qvsV3VKUGBc9mG,Hammock,0VOR7Ie9xUSb45fzIIVJQ1,Universalis,7FvkaK0tizVHsWRcVP5WO5,6,not available
30,On Deer Island,3B4gWlazMuJjYYoP4Y8Ocn,Alaskan Tapes,5GHBk4xcO1UqlbyrUXv5dq,On Deer Island/Where They Lay,4er8vCjtXwJf9R5DPw3sj5,44,https://p.scdn.co/mp3-preview/c3d673646fd1c8446049b059038b383ea07b538d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Being Here,7kGuC6pmqKvvxRah5QuH05,Mammal Hands,497rp5TEzJffeBnUT0BeE1,Shadow Work,0D6EnTkqcbwzV5RWhxu4Rg,47,https://p.scdn.co/mp3-preview/7e26d555832fc8699bdd1177d4385fa457bd0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,#3,2Bc4llhjJBW77I552RgA3L,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Selected Ambient Works Volume II,17vHPMmoxN5B8cdhCDeMTe,58,https://p.scdn.co/mp3-preview/768515ec51df38f5ce5fb8bfb2a39827a9d35c39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Asia,6kg3oZmQjDU1nMLOWU3gVP,Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82,Early Tape Works 1986 - 1993 Vol. 2,4h1Yp6ITa0R2ZAB9YTsuyL,38,https://p.scdn.co/mp3-preview/11e985bb69c7e359e63868f4fde343e6c53296da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Die Dinge des Lebens,031TQHn8ICGcAKkOwWvMNG,To Rococo Rot,0DRlmNJq133uYhzXxJfF3a,The Amateur View,5zXCkTQBeSfeSxEG82DRRM,37,https://p.scdn.co/mp3-preview/19b7d54887a59e3922d78dba88123edec9e2aecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Existing Closer or Deeper in Space,6kzNAm0RiDW3UyxTOimSLU,Earthen Sea,3vP8rFfMW7ZZtUFfYyN5QH,Grass and Trees,5BWggRFjTVj5uC1lqjjFU7,40,https://p.scdn.co/mp3-preview/bfd3c112eda464ac1a7f971b5db683a87e0527e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Cuckoo Wake up Call,2BwiTu8QrHm09soMmegJbu,Cosmo Sheldrake,6hV6oxGLeLFw17DGjIPkYD,Wake up Calls,6zZr0Y6Z6khPwf2LuZTK4K,45,https://p.scdn.co/mp3-preview/17e03b2f555744db34f724c1079bc91a7e384f04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Trancemission Four,6zW4Ei7aIDEdAgF1KJ2QHD,Delta Rain Dance,57Huj8dWG51u6J5HA3dyZD,Trancemission/Transmission,5oobmYeG0w5lb6nkMUBRBs,35,https://p.scdn.co/mp3-preview/4eb9ae28fc4dfce9b8cd24b06ef5bed553c46848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,A Summer Long Since Passed,5kpsqtyZTWyGFtr5bifMbt,Virginia Astley,0Cc6v6tsUT1FktqPQYXME3,Hope In a Darkened Heart,19kfp7HHxQEFWuaJNTGas6,35,https://p.scdn.co/mp3-preview/e7fbd706f6acb83b506188ff8e4ef3f5a00a0be5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,40,https://p.scdn.co/mp3-preview/da05f52b176ce6e39388ec5ca1ce00470a867902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Arc,4uF2emNSHWd4yLx93yB0ce,Scanner,7FEmduuEjfoagq6Qrgviji,Spore,3Qf9wyaHzgiaaSzhfO5jqi,34,https://p.scdn.co/mp3-preview/152baa49a0be2af2512dcefc8e751f691119bc40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,solari,56TYvI2rgYT3tdH77D44jZ,Ryuichi Sakamoto,1tcgfoMTT1szjUeaikxRjA,async,55BwNuGPkSSKOCBkTSCQWA,36,https://p.scdn.co/mp3-preview/32677ec6c4fa45397059b8672873879ee494f66f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Piano Aquieu,3sLgMuBTIEp761Zi7bl5im,Stars Of The Lid,36pCa1JHc6hlGbfEmLzJQc,The Tired Sounds of Stars of the Lid,2TnJPCSX9i2etg8jbaMcbl,35,https://p.scdn.co/mp3-preview/824ac249348b55770a79860f49e768cecf630710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Barcarolle,5yTYVsQPA7ujLOANcjdDTW,Saloli,6tZ3TVCfSW7ZuoPovDYKWj,The Deep End,3Fwmzb3B5GXy6aUWfFEFXm,40,https://p.scdn.co/mp3-preview/6371f656fdb70032be42116cd02b47dccf367687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sekoilu Seestyy - The Madness Subsides,2O5tzTGzB0StE81ogR3rko,Pekka Pohjola,19ijg5n90fExbOKQd3E0p6,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",2dApocl3L27Wa7y6ZKdyDZ,52,https://p.scdn.co/mp3-preview/10a5272a6c42db8f4e87547e94c0e1df1d1f1cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Chronon,3UFviRZ9tFLVG096m0jQCM,Lotte Pen,09klzeoydwwlN5eyyQNNss,Chronon,29OIBexiGE5YpHEF8vqdxo,34,https://p.scdn.co/mp3-preview/61ab668738c85e4d59cd236636d17fa6e4f59ea6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Gallery Love,0soip91PhVqvN0g9g65GKz,oso leone,0iViECTHd21gYy1zIEvusi,Gallery Love,6yiSCx0tmLTFK9IRso2tJJ,35,https://p.scdn.co/mp3-preview/1e8a101438dac2c1f738e8835b2214cc849ff2d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Trance Celestial Movement 1,7uf6nwORsuYPgz32lFS30X,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Connecting with the Inner Healer Through Music,1MvhUL3U2IFIjuLbMfFqwk,0,not available
48,Impossible Island,312f1c2NbtQKam65h7Mq39,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,44,https://p.scdn.co/mp3-preview/ff760b21f76e2eaa7d32ac279090dc46ec4e1080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Requiem Again,5gBJgL7NUz3dlTBv4Laz50,The Durutti Column,7fh7bwX9qV60tLxxsp9bTe,Vini Reilly,6loUyyw92WAaXM3lzyRwNj,4,not available
50,Bergsbotn I,2o2kesEPWqDCcvOkFpkoUT,Biosphere,2rcnAZ6DvORQ365X3zVYpr,The Senja Recordings,5FwxcdIt5HKvuFIUaopKp9,38,https://p.scdn.co/mp3-preview/4fd701acbce3faebd26c374c9d1d3f4472f6f2e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
