Shisha Club,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Cuba Libre,3SyC8iTq2hLlFD2S2eZVHZ,JIGGO,5Pmsa0FeoMFWsjhpo2bIAK,Cuba Libre,5iCDmcySVXVRlzc84qeA37,61,https://p.scdn.co/mp3-preview/854cf70d2f2e74c92aa5841d48a8eb532a6c83fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Prinzessin,0Y9JMgeG9UL0B3o2FGpYD3,Payman,01Rh6oei872W6mW6Zz0ueQ,Prinzessin,7tYWf9pCUwdz6fINGX4XqY,60,https://p.scdn.co/mp3-preview/7cebfa40fe285eb83f19484f81de4edbcd135cdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Verliebt - TMW Edit,0vW9HFxNb1vGgDP5QlCI0a,Jean-Cyrille,0Ex34IFE4zbnBv9A9afMb3,Verliebt (TMW Edit),19KLSyvm6OU7z2Jt40DI9c,58,https://p.scdn.co/mp3-preview/6d5195b6db64f365440be43270dfb21bf62e43b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Nala,06LvKELThd1uUFOA45VFqB,Kurdo,1yIifIA91WgmfzBcjbQB8i,Nala,4bnkmgJvOtHjQ2aCJCsc1z,68,not available
45,Brillis,0sHeIbgbNzKF8rGspC1FHV,Shirin David,0JBdTCGs111JKKYfLqOEBa,Brillis,0PlfAQ9XV9SdlHTECL7Coc,76,not available
46,Ca$h Flouz,0EyyIHThaBw0SiVbYYKeGa,MEL,6FlJleUXbFb19c0U2BocbM,Ca$h Flouz,35BaZiroPwQxGwX3LFGdxZ,51,https://p.scdn.co/mp3-preview/4a55bcc7eb7e0422af7fc6eb1774d1e0c14539d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,J-Lo,55dO32dZaz8E840Hy1LRVa,AriBeatz,6cNWiizYLCClZdnIvqU968,J-Lo,7blFGnsSr61RRklRJ3wUcb,66,https://p.scdn.co/mp3-preview/e6a3111af71a8ad54866cf6c444e888ca8066179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Anders,0r0ZPedI4ZNsYIkxpzjcaD,1stTHEREWASDECEMBR,5FE6QzSSg9kTStUI6ObWSr,Anders,05DoLGdkIfhhK6Q57uhlY7,48,https://p.scdn.co/mp3-preview/c92c32ebc6f31e7657b505f6fb3a9180350f29f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,So High (feat. Fredo) [Monet192 Remix],6uinyoxSva5n6NvO8uDHrI,MIST,63X1WKthLQidtqxxO2sgeq,So High (feat. Fredo) [Monet192 Remix],4lfnUdWfI5mXmRrm1itiEy,48,https://p.scdn.co/mp3-preview/b2f453992c1f3f05d58a77f92e46d9b9edb08d4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Flow sein Baba,3h4BFmzKinrXl8jUfkfA88,Der Veib,3GV9j23Ua9O4vPDJEFwWUK,Flow sein Baba,3RILWRYcFGuFlSmBMeHZOF,48,not available
