Happy Dance,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Worst In Me,25Y0KetMqtb0BW5iOS4A8L,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Worst In Me,4tiDubj7oVabomfzSAIsnw,49,https://p.scdn.co/mp3-preview/e977515e694796f05140647aa9fced5c40f1dd41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Mamma Mia (feat. Amber Van Day),5pqH6aEfTKoFCr7IE6urm3,HUGEL,5PlfkPxwCpRRWQJBxCa0By,Mamma Mia (feat. Amber Van Day),1p2RB74tfWtjWVMu9OCAlZ,58,https://p.scdn.co/mp3-preview/9e5ca8c62bb02b8eecf077b9215380b0d6c4876b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,This Is How We Party (with Icona Pop),02rbSCTm2smTIZ6d8im2NP,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,This Is How We Party (with Icona Pop),43qpL2ImleGrgxCEHLAA4p,64,https://p.scdn.co/mp3-preview/9df5785e6f25019bc99e1e0daea2b73f3f83abbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Praise You,4GRYjEZJFqpkhsfEFcT9zl,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Praise You,2DFTa7ls0ZDZKXT2UJsx5u,59,https://p.scdn.co/mp3-preview/784a1dae03d9c10c9a20bf7eb7c0c0ab71bd06f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,We Ain't Going Home,2jt07RFUMtDGxLgf9Ib9LN,Bolier,65NscqgsoMPqBtoLbkP3jD,We Ain't Going Home,3iHYnF0AKFFcyAXkqizsNL,45,https://p.scdn.co/mp3-preview/7a27b26629c2fd6c55cc29e15b1e8ba136cd7fc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Bottles,6uBDgLalRT3Ume0WyYae8f,Jacala,5TdUZkpbYaOWn9ec5mWzAm,Bottles,07gsuFmG5stL5WcQoS23CT,40,https://p.scdn.co/mp3-preview/402eeb5f5e934cb0ca69aedc4992adaa84423c3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Obsessed,4rTZbEQtDtlZZW1Ag9Umbk,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,Obsessed,4EpexszAUjJ7J6OqjH0f8h,42,not available
43,Always On My Mind,43hmlDW4H4NHdvy6Cf60XD,Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Always On My Mind,3yV3cSbd83Hx9z6dL9Cdb3,57,https://p.scdn.co/mp3-preview/279cd22e67831a6fa696d0ccef5696332271ed53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Needed You (feat. Trove),1VWUvQbNSmvYcMORiYXunQ,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,Needed You (feat. Trove),5Q2mNzMZd0C6HpgE79CZRm,26,not available
45,Tidy Dancer,7tYMxWMcQyO2IfZbxb7SVb,Henri Purnell,7cyJzgiJTXR3hf62l5zLOr,Tidy Dancer,0X93PQMHYgGt0CiNTYsFgE,49,https://p.scdn.co/mp3-preview/51e541e59355ebb7b9ce6c0261cc9f2b3adb6478?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,We Found Love,4OwKZypvOJY94XUTHCG1DY,Sultan + Shepard,14Tg9FvbNismPR1PJHxRau,We Found Love,17BzNUPlCiiVLA1oNOs4Oa,56,https://p.scdn.co/mp3-preview/52589da1cb1cffde0e77f11ff5093681bb563930?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ready To Love,4VQk1NgfaQkzeyZkLMgyPK,The Magician,4WUGQykLBGFfsl0Qjl6TDM,Ready To Love,6E2cHyNf3S4x59SN1cl2ar,58,https://p.scdn.co/mp3-preview/fa482dde74f568a3e0d11e08c1b7254cfab4bcf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Danser - Radio Edit,4M81U0b3DSiHwPLy09fdEx,Pretty Pink,78GHS9zWXcj8tBke222g5N,Blooming Danser,0ydmY34BXsdQYVHwNxMYbq,41,https://p.scdn.co/mp3-preview/acc202ccb25e76c6bf1027adb7bfe9a0753564e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,So What,22Ckl8uaVR71UMChg6NLRQ,Jay Pryor,1ZUpQr4VSnnP86WbaRRMpd,So What,7c5V6ykHcEZRhxlDFdfaTr,57,not available
50,Wassup (Listen To The Horns),64pTtwiDSYx4Y8ozBc38jo,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Wassup (Listen To The Horns),1wMjDlMc7ncmA5OxOxyLOQ,39,not available
51,Everybody Dance Now - Plastik Funk Edit,4yS88DYpNUHlcCtZ2JXNPg,Carrillo,29a2OYzGWKZLJKEBtLln5i,Everybody Dance Now (Plastik Funk Mix),7GBrUMamDCjC2v1oQMXvMa,10,https://p.scdn.co/mp3-preview/75a03d14c3869495e4cb6cc1a29d2add0f9c37a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Be the One,74LZdjvdDxkg5QpmH0zydZ,twoloud,6eUtrZgzxqbV7zMxzN3Sz2,Be the One,3yssxYe6xSoSOf4NGP7AO4,47,https://p.scdn.co/mp3-preview/221ec9fd44ebbed9d53fc8e40c86072f766e46b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Halfway There (feat. Lena Leon),3EKKIR8be1kfAAwaz1fzyS,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Halfway There (feat. Lena Leon),1o7RMlwMagNna98i4e8VpN,63,https://p.scdn.co/mp3-preview/e99e6a9f3bae6648d256d05c89f4a192e345814c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Running Wild,2VSaBLyfbtJZzFg5jhAFjn,Wahlstedt,7yOWqfe8iP613Ne5SV9XPP,Running Wild,2fbqPsSHUE21zVC2JXAhhO,43,https://p.scdn.co/mp3-preview/bf0a09fd9a11fa959aaeba18b99b55155304a034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Mad Love,6P7Qezj2LV5kHc2VihAJWp,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Mad Love,7jSjMM5qGh9IvRGmIYHoPx,54,https://p.scdn.co/mp3-preview/b2fbd0642ce78b7dccd0d9aac7279d25528b8aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,What Do You Feel,4vm2PPoONCFp6oj56xUqn6,Jolyon Petch,00Ja3YjvU4DYCHWt6cPs42,What Do You Feel,25hm1BIiG74o42DVx36XSa,42,https://p.scdn.co/mp3-preview/a707e2706230b8092c8b9d0cbc3a37669ca575c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Humans (Let Me Love You),1IB1GFSTgmeecjscmAJ0lW,Sick Individuals,0XqFDQJjqW5PfhfBCb53LR,Humans (Let Me Love You),5L7tRsDCBk9fXodzcpUksI,62,https://p.scdn.co/mp3-preview/aadab6c7e2ad8bd52f18ab1e1e897675e73247dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,Sevenn,7bNqXqIrIfwJnipx7oGeU4,Loco Papi,7ehHSfldPNGr0rRbdxffcs,62,https://p.scdn.co/mp3-preview/56482a3e527982bf7f7833b4997db6164d16a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,All To Me (feat. Lola Rhodes),4cQD7ykxaVNIWml3GvNZwA,Deekey,1sMpoues4n6d0qXFN7AHdz,All To Me (feat. Lola Rhodes),0yysudOLR6lHpxQVmiivDi,43,https://p.scdn.co/mp3-preview/9c809786bd9e3cf45e3172cac8a127c8f87132a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,One More Chance,6W3MfwGv8dULl2gvb9u7Y5,RetroVision,6heMlLFM6RDDHRz99uKMqS,One More Chance,0h7U2BhfUxYvhxApD8ITIe,48,https://p.scdn.co/mp3-preview/2d0154a58e76e708422faae7812dd4acad6e8332?cid=fa83a2fec7c440b7a2795d600d6b2c7e
