Electronic Rising,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Torch,0OcME0MLglLCSUABwfObS1,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,Torch / The Highs Are Higher,1oGZxY1b5cxa3CnK52Wzif,45,https://p.scdn.co/mp3-preview/c10b92f921d69e01d13dcb39c65aec5389e637c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Keep a Secret,7vnXYssBMgNWXt2CA4pPws,Black Loops,6AwGe2F49hD3ANXvmOwqQB,Gwei Lo,738CMzhDPQXrmoatkpha3Y,40,https://p.scdn.co/mp3-preview/4e18f45625c5248a2954fd93ae2fd804ea3e75b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,My Beat,0lCJ5EEuEXmvZc5u1aIJbw,Dompe,6izT1rIpURdkh4cjgsileU,Beat,140thPrHVRiQsIqymho1DP,18,https://p.scdn.co/mp3-preview/cd0527a711ca653ce5663dab02363d345302b085?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Tania - Honey Dijon Remix,7HuTLuEGUH0dD0k7fW3QFE,Harry Romero,36AJmodiIrwV9U3QOiLMYM,Tania (Honey Dijon Remix),5gM43uSDlJsW2tZYWDjcdc,46,https://p.scdn.co/mp3-preview/164b4f8c8cce2c609ca365dd41ad17f995bc6222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ombak - Original Mix,1PzoDgZ6aNywYKrv8jqhiI,Lexer,2vDXLZ9mI3CdTPPIzFUKlY,Ombak,2xXq9rQasLIu6EREyVyrwk,40,https://p.scdn.co/mp3-preview/8018990c87426aff9e9838c8356f1ec87caf4878?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dreams Of You (feat. Rae Morris),6pu5jQqenr37n0z6eBKOh0,Icarus,0nUF7iT0e6D5xEl743Jfu3,Dreams Of You (feat. Rae Morris),26et8vS0ynfWtbIFKKtZi4,40,https://p.scdn.co/mp3-preview/53a9cea425d69c91bcadbe38792b6c6fb1874c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Take Me as I Am,4arqWYlOUc6KYMJxainVcE,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj,Take Me as I Am,6Q9A8WKylhaERYmuJyYP4I,49,https://p.scdn.co/mp3-preview/6f3cb90b146febb9276e623b65bcf4742cf2d065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Yr Love - Midnight Version,6bi5y4yr0aBAu2Hbxw2gkz,Roosevelt,4AQrqVz6BYwy29iMxcGtx7,"Midnight Versions, Pt. 2",3n5X2MTNv9w4Wejb0GzH95,32,https://p.scdn.co/mp3-preview/53239031613f19c7a483951bdff4e345ac0d70af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Pray - Miss Kittin Remix,5CVPOSCngRQq9W1qdkvlaW,Scratch Massive,5udXThiZTVoHa4g0GDjgxA,Pray (Miss Kittin Remix),6XbncqfFHmD4AhS3Kq9YTX,25,https://p.scdn.co/mp3-preview/e702a3d8530f7d530c21635ab63fb3d301e482b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Don't Wanna Stop - DJ Boring Remix,6TYQWGEf2fdL1yXqzogilt,Jacques Renault,0Gh7afAT1qZJGDdS6xDskN,LPHWHT20RMX1,6cvyTr9YWw6LJFKDVXXhCc,37,https://p.scdn.co/mp3-preview/6fe21126dc1c73f389a8fd71eebf0e59fce02b23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Raven,5ZH403kcb8nGzVdBpJJbQT,Denney,7vm3musYjzfqoMloVCEF7v,Raven,74G5sYXoWnFUGmIkuqdYR8,19,https://p.scdn.co/mp3-preview/3fae0b68f6de38052628401c24d8ccd17a0c595f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,SpaceRider - Original mix,0V9vNWEJfipF1XPVJeQDeU,F-Rontal,7xcEuNcEPzlYUuAKyqfJMS,SpaceRider E.P,2jEJBTbAzhtJf5wBAMQVnD,32,https://p.scdn.co/mp3-preview/739a18540b4492aef6f219a7cd6de90ae16256b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Desire,1Gr71uYwPqiWY9flq31MNa,Butch,5kLzaeSHrmS7okc5XNE6lv,Desire,677dIUdvAf8V3RfRodlz2l,38,https://p.scdn.co/mp3-preview/e7283ac03c8e7c1de572c7a2f9f344c3f9c778a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Absorption,0CCKFfbpXAcCGrgzv7S0XJ,Elisa Bee,3S7HQV1qUD8yBppcFbsBfX,See You There EP,1E19N5BjXzEsQGKClUnPb1,27,https://p.scdn.co/mp3-preview/2ebe54344c9e871b163799d6a47fa1505a9c9d53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Tutan Jamon - Chaim & Ozart Remix,2wXf4D7LOsvqNe66HrlqHv,Franz Matthews,0BIEy45aaKCjwertpSGy4K,Meditation / Tutan Jamon Remixes,7cBF103MAiNBFtNE9yn4bu,32,https://p.scdn.co/mp3-preview/f7164f51d9f92d253cab6477f75ec56f5668ea22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Metamorphoses,26DlNiM65CQpLZ7iW2QBNE,Estiva,1ltDgA6tV4utKM6y1BOYIE,Metamorphoses,670k1I7dtojjK2eO1UVU59,39,https://p.scdn.co/mp3-preview/a92f8a2903d86c982b7acd5a9be99c2b7d25108d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Call Me - Extended Mix,6xiiiQdj5Czz7PKLIt3g09,Hannah Wants,7sK4hnuUOXw6VStDw0q8NI,Call Me,4RyZIG7MPY7bCzsJTpKnRZ,32,https://p.scdn.co/mp3-preview/8768f0ae60f44c1e6b24aac74f927e9937794bec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Spin the Wheel :Styx - Janus Rasmussen Remix,4Zc2SW90OxT1SqENyrvwp5,Delhia De France,7A4TdwdnxfR9auD1yAmpWD,Spin the Wheel :Styx (Janus Rasmussen Remix),4rONPnUE8mC5eMU62EcucG,31,https://p.scdn.co/mp3-preview/fdff90fee386ef43ca9048c3fb65bede45202972?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,More Than a Machine,1uwIrcwZxYfQDFUTkrC9LS,PHCK,6lT9HcARJpVR1bij9Qo6Fk,More Than a Machine,2a5BJJ9BFTbywb1zE0PhRR,30,https://p.scdn.co/mp3-preview/858d1c3b815021114d27be46c6c252536886a83a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mindless Sex Track,59eWgb8ratIPPMxngnRRni,Justus Köhncke,7M9FwnKOKR4zl9iYCfy3bv,Mindless Sex Track,0Nv0DFa8hBDQa9kgnxzTi6,35,https://p.scdn.co/mp3-preview/904044f1cdd2c05e60223be777da79fd508a3700?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Snake Dance,58XtmsJsmyCcEqwuGWudcG,Danito & Athina,4Sa0Izacj6A61uSlU6jp4o,Gemini,0bgoIRBpRRlC2CgSX1Z5aC,31,https://p.scdn.co/mp3-preview/17d67ad1cfb1dd7f6b720329af96bd91e40706bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Mangata,1b1xsJxcacFAv5Y9wybBQf,Sam Shure,51YmUpitluHsvMTXJ2rsiN,Laconia,5KzPSUu9nrd53wZqESbx6w,33,https://p.scdn.co/mp3-preview/823b488c02c07ceb2120c1f30a3e84ddc1fe00a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Space Chants,0ZykKpfjw56pAQnkvRIFZS,Spieltape,6Et53z8rREv56kKxJi0an6,Space Chants,0XQ8IM2Rye1ODNPJ93AepE,28,https://p.scdn.co/mp3-preview/9618c5d96dd755851cba8cf34d28e0c55e4475f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Jarvis,6NLvFQXROQDhOVArt7yFCy,Cosmic Boys,2jvTYwyzxK1FVYGEoKfZLQ,Jarvis,1Q4QZ7VgC2KkYZxayM60wx,29,https://p.scdn.co/mp3-preview/47f98c8c50e60b162e3dd7db2b91101964f802b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Absolom,69iOEWIRDNvMNaAgnwE2X0,Fat Sushi,1ZEy8yuRy9R9NU42wWqgy7,Absolom,2vt9FFKAG7nV70UelLP0tN,30,https://p.scdn.co/mp3-preview/28996a407e055c599c98a507573682090bdb2d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Dancing in the Trunk,4wOWVWNsyEN9RJAjKyxVnH,Acid Pauli,3LHqODf1hGAgZ5LTw1Gf4C,Had to Get rid of some shit,3tLOI5kaxrB67VVJ9qDSGu,41,https://p.scdn.co/mp3-preview/83a1b519e76a192263423790c1f2d53f2a08bfc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Hysteria,5uyCbUYUhG716s9ejZN7KL,Teho,7uZckwZIIL89Paj8E1GEFO,Hysteria,1y254oYk4koQH6MUy5ybBF,37,https://p.scdn.co/mp3-preview/21214fb14384f5221a8fbccbf4f0897374e6a6d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Dorsia,1nyLIMO0gPMchz3tARXr5x,MSTRKRFT,2squZ8HjM4AzR0j6jsPn4a,Dorsia,5U1nLgLoF3Zm0afNSFkfJ7,38,https://p.scdn.co/mp3-preview/d8eb97d6afbffca21e92f970f83039d6fe1e0527?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,L.I.,3smufRgTt15LgjcwyVeDPP,Dusky,5gqoUf9vKKv96b1c0GBKwu,Imagine What EP,6UJWLwqpRG7Uv68omAUYJI,45,https://p.scdn.co/mp3-preview/13f5b567f3fe9fcc1de6b3a1e92f40f9b94e6ee8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Mirrored Screen,26FEnHz7mfy9VFSoBEZD3k,Sobek,7id8eArvVd4finwH5fR2pL,Mirrored Screen,7DyWj4OZCzALyOLNdwY0rx,34,https://p.scdn.co/mp3-preview/759bca430b14eee2a2c50acfcd34c218754aab1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The Guitar Track,0WvCiCf7keu9q6UYPnDqd7,SKIY,39JhQRThBhrHgjXtIK3dGZ,The Guitar Track,6iUfzdiFJmWDbuxsE13vIh,38,https://p.scdn.co/mp3-preview/21d1c856cc1b56104ba50ae24649d577a6be01ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Non-Caring Fabulousness,3K5aQ8NzHtoLQPyG4U7E3y,Jas Shaw,1iYfEUKXzyy3bE2elxuipV,Exquisite Cops,5caTEeiMPQfmKUxrV9CF1S,29,https://p.scdn.co/mp3-preview/a7c449fdf627bef59552e0788fbfe267ba77d6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Bow UFO,2R7nqAOCzD8RUhU32mFeHF,Demi Riquísimo,1GIv2BGriYO1IdownXWWac,Bow UFO,0RhPRoHW61StpERilrzPY7,30,https://p.scdn.co/mp3-preview/ff362b73a583eff2d11bca2758e775958a27536d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Credit Jive,13tBdpnwRxv2ixBiRA7M7f,Johannes Albert,5FMcKm7A4LRwIJnkzuKZFt,Credit Jive,5ovkQt8FN2OFJP8pDGAJrt,27,https://p.scdn.co/mp3-preview/b29f079fc6ddf4717b6f2161f7b2253287b83785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,We Are The Future,1iDti6keomwfoFzkIKO7tt,Anthony Rother,5eWbdoIDCRxrPyiv7TEtw8,We Are The Future EP,4lhK4SWNLWrWksWNKD4s16,33,https://p.scdn.co/mp3-preview/7ddf38fea8a1a950379fbdc2afb1a848f52f2c4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Believe,1WuqsigVsrgIvzVGrmEEMi,Junior Sanchez,31ZNfGVEEcI9CyicPVJQni,Believe (EP),6pTFUs05EchCsBx5E5lk0G,41,https://p.scdn.co/mp3-preview/a2d1a8ee23505100d0a04d5f7f44f53cd804a9ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Can I Speak,1lXoybFkO3oyhlp16rc8S8,Atelier,5PAUagDN7Z44NX50NlxF1w,Can I Speak,23MiHHqMzjtWNsyauGAEjU,27,https://p.scdn.co/mp3-preview/8c2d21f0f78ccc8278b0adcd10f2c6dfb9788f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Stars Aligned,66KmM5EWdnOxEAx7O0txcr,Robot Koch,47V6nyjOrUR98qv6gkYssI,Otherwhere,4pvAneLi0qtuP1vnT15Dw3,40,https://p.scdn.co/mp3-preview/21c57a0afdb77d680c19b0c02ff42e055b16f3c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Total Anders,5bIe70uYV55KFG4m4A9mwl,Thomas/Mayer,1NhzjrdzN8POQybdV2Bx2Y,Kompakt: Total 19,4aZyMDEyCgpkU3W8ir73en,30,https://p.scdn.co/mp3-preview/e843532d9e7d5304381ce8efd202a7fa5e5b0e36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,VLVX Spiral Down,62FIAoPplMFeln8CuxHuV7,Viers,3vOu5BmXfs5rwPh9cE95i1,Hurt Me,5W9NEnZ9MrJtZevzIGvBLB,27,https://p.scdn.co/mp3-preview/3f647771d76d141cb86858104a85ed29ff09817c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Parallel Lines Of Stripes,7xmX1xgylBVz9itMvwn8NY,Oceanic,3bqOGIOIvLc9JsAIS7OfEb,"Microdosing, Vol. 2",3wsQ8zqAjPAaEYQfLlDF58,27,https://p.scdn.co/mp3-preview/26a5631eb89d31f0dd19129690d84549a7c3fbc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
