Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,I Don't Care (with Justin Bieber) - Loud Luxury Remix,6f807x0ima9a1j3VPbc7VN,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2oCs0DGTsRO98Gh5ZSl2Cx,69,https://p.scdn.co/mp3-preview/cfb07e043c8d92d1a70f2c3d008ce966eeb2692f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,All Star - Breathe Carolina Remix,6wKJjrWWP4qpzYbE8oQkc4,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,All Star (Breathe Carolina Remix),5lsHOl5P5mWLHeslZCLSaQ,63,not available
24,If I Can't Have You - Gryffin Remix,1IXGILkPm0tOCNeq00kCPa,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,If I Can't Have You (Gryffin Remix),4QxzbfSsVryEQwvPFEV5Iu,70,not available
25,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,69,https://p.scdn.co/mp3-preview/c4944bb413385d86fd1a4c7f1685ea108cb4ca28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Call You Mine - Asketa & Natan Chaim Remix,5EdYlCWou17k0N1PADLKfO,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Call You Mine - The Remixes,1nqYsOef1yKKuGOVchbsk6,67,https://p.scdn.co/mp3-preview/3184e1e98e93fab3ef0b5d3505d95f03ddc556c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Look Back at It - Tiësto and SWACQ Remix,3v1srNR64XH3BOjPKT8C70,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back at It (Tiësto and SWACQ Remix),4HJfoj7ThDvNVJpj0X9klT,61,https://p.scdn.co/mp3-preview/ba6525f53b08f8fa05b9c65ced89240596ac8955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",4fCAOaMs0PYL58OijKp2IS,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",1vtHFX1NTE4awfd2sR1VGP,65,https://p.scdn.co/mp3-preview/1da56c597adfbf2d69c2edad6c844bd19a922f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Heaven (David Guetta & MORTEN Remix),37bCTD5iLWMpDcBanNkkXB,72,not available
30,Phone Down - BRKLYN Remix,20qDJ35jF87v09RSsrcJpg,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Phone Down (Remixes),2HdXsOQmIXDKGrOjTKLMuB,56,https://p.scdn.co/mp3-preview/4fbc7d368040e4ae4674624680bb038be2ddeeac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Hold Me While You Wait - Steve Void Remix,5dy3WUywjZcalTno1io8TQ,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Hold Me While You Wait (Steve Void Remix),1LTVUVJQ9wNArrbm02ZOVL,64,not available
32,One Thing Right - Firebeatz Remix,2M9GeaCQXrV12J0wzBxIwi,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right (Remixes),13pvchQvJxxpvvtsasA4NG,68,https://p.scdn.co/mp3-preview/5e5c8bc50619b80a1718e863193777e2b40c85d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hate Me - R3HAB Remix,3iJeF2izF1QcpCgUc97BLl,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Hate Me (R3HAB Remix),6e6RVFWdZaoTiLAZOCMnps,69,not available
34,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,5Shjuje8PRcX7ueEVajrLH,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],4shNfMW19y4WnkuhCHum19,64,not available
36,SOS - Laidback Luke Tribute Remix / Radio Edit,3eLdNmnRWr9gIyBcqTSSti,Avicii,1vCWHaC5f2uS3yhpwWbIA6,SOS (Laidback Luke Tribute Remix),7Al4TIo0c5twNLfdOh1y1u,69,not available
37,Talk - Disclosure VIP,3uXHSf9sSIpOJWuC1H8DiU,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk (Disclosure VIP),3zKB8eOzx6nPOnKUf0A4CS,62,https://p.scdn.co/mp3-preview/2847dd7eb4277c719d9af1fb6574fcadf4f5b882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,4sqABRRGU7CzcHXCyxUzFw,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),5vf16sRhXB2f3sS5kteU2T,58,https://p.scdn.co/mp3-preview/c2305c7f58e6faa9a6c1673a65b05c48118a7cb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,55nMnifaQWKe3f9cbwOXwx,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2vx3BtBMn8Ed3ygEg1OT2t,65,https://p.scdn.co/mp3-preview/50db7d9a294791a3161cbf0b57ed3217ffaaa45f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Can We Pretend (feat. Cash Cash) - Yves V Remix,38Or8cAURIsnNgT8R6IAzY,P!nk,1KCSPY1glIKqW2TotWuXOR,Can We Pretend (The Remixes) (feat. Cash Cash),0G5SBhGfYhS1n8b6HWNPEB,55,https://p.scdn.co/mp3-preview/5f41a8b7282c2e37550d471e9bcab1f82ee0ad2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Never Really Over - R3HAB Remix,2OAylPUDDfwRGfe0lYqlCQ,Katy Perry,6jJ0s89eD6GaHleKKya26X,Never Really Over (R3HAB Remix),7INHYSeusaFlyrHSNxm8qH,62,not available
42,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,ILLENIUM,45eNHdiiabvmbp4erw26rg,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],1r4KIEhxQJ7o3b5Fbv2sRe,68,not available
43,With You,1xK7enJZVdv37fnnxoZlPq,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You,03Rd91m56yw4XklwHF9FHq,73,https://p.scdn.co/mp3-preview/fc26c2bf1e69bb7f1602d690f7a60f5c5e6db2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Dancing With A Stranger (With Normani) - Cheat Codes Remix,0GfS3y8Jd7SHWd9R51s7Fo,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2LDzwN4iZ4qbSA32E9CG4Q,71,not available
45,Brave - Don Diablo VIP Mix,01niGNTcFtX1wweTTWQbb2,Don Diablo,1l2ekx5skC4gJH8djERwh1,Brave (Don Diablo VIP Mix),3QL4O5znN5o247TdiInzBL,60,not available
46,Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Side Effects - Remixes,3Yb3f9PL7aBpjuJPyiV0ot,65,https://p.scdn.co/mp3-preview/982cce8afc3f7b4742e60897c536d57e664c5419?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,3Mong1BzxMKwTZ0SbfLdcQ,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],4CdWEwelJIofGEEjSc62N9,68,https://p.scdn.co/mp3-preview/42dcff70313259a841890b80fe98b4ca4a03e5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Easier - Seeb Remix,6GIRtKNXokeu25nn7U6Hu8,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Easier (Seeb Remix),1N3m1ZId0DMGaCN83haJLs,72,not available
49,All the Time - Don Diablo Remix,1z1Hg7Vb0AhHDiEmnDE79l,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,All the Time (Don Diablo Remix),1HoSmj2eLcsrR0vE9gThr4,71,https://p.scdn.co/mp3-preview/561332cbe1dc118decfe60529e5e24bf78350abb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,3eFJI470ALf1EYjywPRsJy,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],49bXZtlI5kQSqQMSCnSaWO,56,https://p.scdn.co/mp3-preview/7dbdc5127f297e5ceeac2860971400132a8f9ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,The Upside (feat. Elle King),6mPstbtzhyqKmwefY4eVWD,Lindsey Stirling,378dH6EszOLFShpRzAQkVM,The Upside (feat. Elle King) / The Upside / Underground,1B9rsSz0Prc3R2NtDrs5nN,54,not available
52,Body On My,6e0CvGZf7CouOpYF8toXHC,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body On My,2R66I0nzp3NnuUlzIGWQ5P,68,https://p.scdn.co/mp3-preview/7bd13e0e9f13ace348529a8e2222501490e59a11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Caught Up In The Country (Sam Feldt Remix),6MYshGKhcheOSGquz6NKbC,Rodney Atkins,2qgvmDsc4jrqbAbjq1HGM2,Caught Up In The Country (Sam Feldt Remix),1b6BA0fpdHJyYsO04QQIb6,56,https://p.scdn.co/mp3-preview/dfe03ca7ffbde59ea34e668a060a6ccf102c06c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Find U Again - MK Remix,1Yk6VWzkYzpDarxEVmrz7O,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (MK Remix),7i1XW7To089jnBRzH8YaNp,59,https://p.scdn.co/mp3-preview/03c45b10871e6dbbb66e603834c835364164a717?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Obvious,6kjQysvjECur5GYJ0e9Uo5,Eden Prince,31Eea8xaK1xAMyJy2iWE0z,Obvious,59il59rsCzYs8YsmXXLAzD,53,https://p.scdn.co/mp3-preview/e762021d758e7405e1bec1e246e058996ad6501d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,6NHS3hV16MZyfcp0nSHdrd,86,not available
57,So Am I - Toby Green Remix,4OFFY6L5ywYM1TwhXX69wQ,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,So Am I (Toby Green Remix),4pl2838fY2YPaqiT2yWuMo,55,https://p.scdn.co/mp3-preview/a6faade4a92cf81cb2e38163e87ffe292652c8c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,4RaN7556EogBfF80klMEX2,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],5DInvPwtc0gzZuZjpu1BHc,59,https://p.scdn.co/mp3-preview/d985a9b8e08374769f1950949407588ce6d52ce0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Baby Shark - Jauz Remix,3E4a16orMZ7IVg5KzlMAMM,Pinkfong,7cTXfwpe9peK0UE1bZyIWZ,Baby Shark (Jauz Remix),5QpI2vzVRazxEjTf06gYVq,58,https://p.scdn.co/mp3-preview/03d291aaf1f4246d7e641fd6416a043c75204d46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,The Way I Am - Eden Prince Remix,6DrjofzZm5s8xpMn4IBMyI,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,The Way I Am (Eden Prince Remix),37mKbVyPaoPAdj0h2rgDEs,57,https://p.scdn.co/mp3-preview/5d7b70603671a1e3965c0f688adf133e75a8087b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Best Friend's Ass - Dimitri Vegas & Ariel Vromen Radio Remix,4pGqgBoijsxPIziGoz4AON,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Best Friend's Ass (Dimitri Vegas & Ariel Vromen Remix),236R5oS0e9zlBOte4IqKNc,59,https://p.scdn.co/mp3-preview/be4159b889580c90e64fa45276d3865bc7a9ff45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Trampoline - BKAYE Remix,4MuYNxE0Dgw0PFXz9Aquw6,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (BKAYE Remix),2k9YrpHFSQtlBUOZntPUJg,55,not available
63,Paradise - Bazzi vs. Black Caviar Remix,5Vwgf4MVO0vLv8fbxaGGiW,Bazzi vs.,0Z0T7qMFlcb0NfmrJ0Vu02,Paradise (Bazzi vs. Black Caviar Remix),0TLVzJLOGaY5j7UdKskpMx,55,https://p.scdn.co/mp3-preview/560f30f292c0df6d6383d0263b3e9b730476906b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Love Me - MOTi & Terry McLove Remix,7Cvda4zbeXHvQF69GetRdR,Stanaj,3zrUX1hQrUB9aXcOiyQLmN,Love Me (MOTi & Terry McLove Remix),0Eb4cMzFo5goA0OaUZC57E,52,not available
65,Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix,5JLDDfDzrRYreGS13X8wec,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Lips Don't Lie (feat. A Boogie Wit da Hoodie) [R3HAB Remix],2VJaUeMCysrmmuVpSzfxPt,63,https://p.scdn.co/mp3-preview/32c21cd55ae6a2fe1e1f9030ebc79adf73c8279d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Way To Break My Heart (feat. Skrillex),5d1rmWWF1725tnYjq6rMDB,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,74,https://p.scdn.co/mp3-preview/019973614fa762562f662100c315022d5109e2bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Signs - Eden Prince Remix,4YaU1EjXIkdRdkOI4cCZys,Starley,02A3cEvlLLCbIMVDrK2GHV,Signs (Eden Prince Remix),249wM0bMES3O4nFuwARq9i,53,https://p.scdn.co/mp3-preview/630524aa04c1c5100b0f2d18b55f68a7da22ce04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,One Kiss (with Dua Lipa) - Oliver Heldens Remix,7b4vbqgzMhbFa0wdjfftQJ,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa) [Remixes],5vH3ugictBcayQWRWgfvpN,66,https://p.scdn.co/mp3-preview/10f787eae19fd1634bc2381191aed0c03dcc9b99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,COPYCAT - Sofi Tukker Remix,2njUxZ4151DWIrfIK3loFj,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,COPYCAT (Sofi Tukker Remix),5XRJoC2QtsNbAubsCrBBbG,70,not available
70,Positivo,6cXhFE4IB59Z1AzdxHhadY,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Positivo,3c8hkhNTRu4wPuhe6uHlr5,62,not available
71,When You Leave - Breathe Carolina Remix,1hr5Y2i4NlE3LPvQZ9Q5Ao,Nikki Vianna,5YyGLejM00snCF1RJKlocJ,When You Leave (Breathe Carolina Remix),6MhbDWEsAP9Xsgoj0TuEOc,61,https://p.scdn.co/mp3-preview/2485fa4dda88f8a604cb5d2e46443a23df2ba247?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,1zzOMDmkRZy0g9f4JTAZKn,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Close To Me (Remixes),5bMicFMWsZlRZNTDq9h3oA,9,not available
73,7 Billion (Dave Audé Remix),4VvyNdp4D0mj8Pak84tv23,OBB,2j8Rhj6E5iiRJFh6DO7e5t,7 Billion (Dave Audé Remix),13Wn8MCHPK4iGUFYP4TXom,50,https://p.scdn.co/mp3-preview/c1980369ffbdd1a8317d5a8069a2a37eedb68f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Happier - Matt Medved Remix,508lUjbGcPrL0CfvHC7UvI,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier (Remixes Pt. 2),44iw4l4Syoi5HZgCQzNSKJ,59,not available
75,High Hopes - Don Diablo Remix,1FlIzyCvRFQUE4pc7PiaIo,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes (Don Diablo Remix),1cBoBrARkIfC4wGhxlK2qB,65,https://p.scdn.co/mp3-preview/7b6b02481fa3aa2b8395b3035eb6984ea243a44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Whatcha Gon Do - QUIX Remix,1yVSdy4jqzSgzeWgVaXL4p,Benzi,1dqyvasqrPO2j7VS8TOxDl,"Whatcha Gon Do (feat. Bhad Bhabie, Rich The Kid & 24hrs) [The Remixes]",6kj9q6vdXjUrxcJANtpLmq,58,https://p.scdn.co/mp3-preview/c6f295c1fb68c7c9e326464c4c7ed7d5c85e9483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,two nights part ii (Lykke Li x Skrillex x Ty Dolla $ign),47UnzjxpWvJKCverxM1OaS,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,two nights part ii (Lykke Li x Skrillex x Ty Dolla $ign),66k5Ex71uMEy9Wva7rDGQt,62,https://p.scdn.co/mp3-preview/8add7a2c62246f5ee4216b88e10c965f1df8dff3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,All My Friends - Eden Prince Remix,5WaXMQMlQpq8pwIdaFP43L,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,All My Friends (Eden Prince Remix),4lXBBbiEgwTzcfAkqdXJV1,54,https://p.scdn.co/mp3-preview/1eb8ec46501a914f9efa440d73c4aa4fa6ad4217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Born To Be Yours,0WVAQaxrT0wsGEG4BCVSn2,Kygo,23fqKkggKUBHNkbKtXEls4,Born To Be Yours,3Nlbg1BHLXDKqQVQ9ErCmg,67,not available
80,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,3TjLsDgL0bTbSQIF6M5Ki8,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],19z3vpbBT09lZ54neDfuFL,64,https://p.scdn.co/mp3-preview/931dda0c8e2911911240cb8359a9157a012c0c5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Mi Gente - Hugel Remix,7w1RxkQtEwKYEoyQuaxfXW,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Mi Gente (Hugel Remix),3gkp2XQHutF4tUk98uP6eI,55,not available
82,joy. (R3HAB Remix),1BmdqDrBU5eohtRwHBls6C,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,joy. (R3HAB Remix),2gGMD56Y8DAvIzpoYfA014,55,https://p.scdn.co/mp3-preview/0738e01bb92b6e21a7443a0c3768b8fe356cb9ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,What's Up Danger - Black Caviar Remix,0fOxkxw7FKXuzNs64bsmyb,Blackway,1QvK8bFc2WREH4LDlJcJbi,What's Up Danger (Black Caviar Remix),4zuVeB0Vr3EMzXzB5vy4Qt,53,not available
84,American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,Estelle,5T0MSzX9RC5NA6gAI6irSn,American Boy (Brooks Remix),2oUf4rrrptVC50h75WzjmI,54,https://p.scdn.co/mp3-preview/d9e904ce8c8800ed013ed671c8e99e1114641836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
