Merge 1999,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Hell Is an Open Door,71er1aPKnEBF81bVph6pVX,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,The Gasoline Age (Deluxe Reissue),4Us1sQ4MSCorVKNYnZE54Q,2,https://p.scdn.co/mp3-preview/b2fd0572694754aa362ae56a56839e6cb3e0a3af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,All You Little Suckers,0xzb6Qkxde9f7GXI41CSAy,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,The Gasoline Age (Deluxe Reissue),4Us1sQ4MSCorVKNYnZE54Q,1,https://p.scdn.co/mp3-preview/b6a4590203ec329fac9831a022d9ac8543ec19e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,The Book of Love,6UGpcXcENaUqQKPc6oqOe4,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,60,https://p.scdn.co/mp3-preview/010bb3238e1681fdac2d41bfc2db3d9825acb452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Luckiest Guy on the Lower East Side,2pL9xr4Mznff997e4jcoos,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,40,https://p.scdn.co/mp3-preview/82a299722713c670087428dc967e275e5cc627db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Parades Go By,4pBvs97vlgEHoBmbM1HCAT,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,30,https://p.scdn.co/mp3-preview/76cb4e0f3062b0ae874e7b3dd44ffca5b485e965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,(Crazy for You But) Not That Crazy,1gDPUTxcq8fnS7kj0uX9aS,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,29,https://p.scdn.co/mp3-preview/4c297cb13a201b11b8aa1be819487fd97549e13d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Kiss Me Like You Mean It,5v3lXGnrgmDxKruqJEvzxQ,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,28,https://p.scdn.co/mp3-preview/547a73f468a29eaa3a094b1599163e20f526b29e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Papa Was a Rodeo,5Yy3MkY3YEga1ecYOb2XqX,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,40,https://p.scdn.co/mp3-preview/d658468ba9aa13ef355528c964fce5ff3e7bc1e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,"Yeah! Oh, Yeah!",6eiJO4oT1yRH2m2NxGWQyb,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,30,https://p.scdn.co/mp3-preview/1ac972df13b9374d02a3fa5ebfbd6536847a57ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Meaningless,5UvppYMQv0V6zbaBJEIv5E,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,28,https://p.scdn.co/mp3-preview/fae57b27719ef80ae4fcc3bf9fe9f55ba12e1e57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,How to Say Goodbye,2yc7XZrlMj8DjoWHgeBKuI,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,25,https://p.scdn.co/mp3-preview/79535ed8475c1efda17651f7a4da3b4f6deb8957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Canopy,7zpZnIP9mObudxUPBhYXtq,Ganger,3DmOr9e8d9mOVtcui8t8L6,Canopy,21DySXVxGAnhmZRVgRxJ64,1,https://p.scdn.co/mp3-preview/08d2dff9c083f010a73fee71df9d39969257c12c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,State Conversion,0BbqsmtNDU9K516gcSbOPM,Ganger,3DmOr9e8d9mOVtcui8t8L6,Canopy,21DySXVxGAnhmZRVgRxJ64,0,https://p.scdn.co/mp3-preview/7b17d331bfef160f5fe4b2f0f11c3d1fdc7a9703?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Mistakes And Regrets,6QuUFMMtvAThPf1Wctnhw4,...And You Will Know Us by the Trail of Dead,6wBUn8gMP85n8dPu6LoUcF,Madonna,21LZrcSJWAQRbD7xJi37fH,27,https://p.scdn.co/mp3-preview/5c9b6575b03f1b1b6e39a1265dee84b47eaa7ea9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Marc David Chapman,3Wd95wB0jjkQ58NftcNUSV,...And You Will Know Us by the Trail of Dead,6wBUn8gMP85n8dPu6LoUcF,Madonna,21LZrcSJWAQRbD7xJi37fH,15,https://p.scdn.co/mp3-preview/af5c236f728e71e8b6a9afca4985fb31fda98cb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
