Merge 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
70,Paola,20RmPYfWOUKmz7CHVyHbAm,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Paola,6F2lkxMPuhNSlRBnRhltjt,22,https://p.scdn.co/mp3-preview/3d1aae03126f7919e72f7e785edfaa84fda4494c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Spiral,1HjU64ypiWiQFlzuiFtxwb,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Spiral / Wave Is Not the Water,1zYnpgneoeL5qhO7dNVpTW,43,https://p.scdn.co/mp3-preview/6d87dfa7e92a6bba721531de230c95294c0de236?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Wave Is Not the Water,2dhqP71mPUgP0uucNb6tFu,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Spiral / Wave Is Not the Water,1zYnpgneoeL5qhO7dNVpTW,19,https://p.scdn.co/mp3-preview/920907b95a8398e1c2e19995793fb21a8a1fced6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Ease My Mind,0YkZRKRifQW7HnBaRC860w,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Ease My Mind,14iV0WEdbGcdSfFMfTz1LU,14,https://p.scdn.co/mp3-preview/cf7beb552c22a8061f15304256146180be40871f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Throw Some Light,7rRc5PDPwBrXcSWb822HXI,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Ease My Mind,14iV0WEdbGcdSfFMfTz1LU,10,https://p.scdn.co/mp3-preview/b3932e01965b1a4bfb85fe5bd8573df8670c436b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Souvenirs,2r3343orgcmctRpPZUiKXN,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Ease My Mind,14iV0WEdbGcdSfFMfTz1LU,21,https://p.scdn.co/mp3-preview/0b2c48b7caed2099f477cf26effd58774d03ee4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,The Neighbour,5WaeckE8ENiBKIm9vGIcOT,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Music for the Age of Miracles,31EbfO1n9u8HTYgRPFBHa5,19,https://p.scdn.co/mp3-preview/114af22710071508a61b79f9aac9e17a6ae0b917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,The Circus,56D381wS5qJE9LN8wONApk,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Music for the Age of Miracles,31EbfO1n9u8HTYgRPFBHa5,10,https://p.scdn.co/mp3-preview/49e92bc50cbb1d40357b582e615a5007ea8e3311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,The Age of Miracles,3iYhU7pHuicZwbxWo4y7Zv,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Music for the Age of Miracles,31EbfO1n9u8HTYgRPFBHa5,16,https://p.scdn.co/mp3-preview/11bef0daaaa0587456443fe260900459099ce0c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Jenny of the Roses,3Ou7S3uP2gbRHAiqoGttJd,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,46,https://p.scdn.co/mp3-preview/e89e70bc9aa9dc58a4336df29dd4e1c1bce9c8e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
