Merge 2011,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Nantasket,1VKm8kkfG9hC56RmMvxmQs,The Music Tapes,0Xjtselvq13TzhtPlo7g0r,Purim's Shadows (The Dark Tours the World),4xtUKa7x8cGQIriVeQDL8c,5,https://p.scdn.co/mp3-preview/950f7ddeaafb5c0accdbe3de725da77b81823e97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,My Mistakes,6mUSypaLlRUkbQMSu1tf5v,Eleanor Friedberger,42WJFNdxsAgcn9PfjT61Z3,Last Summer,3X2qjcNWXDWcVpF67VlhO9,25,https://p.scdn.co/mp3-preview/c97330aff66585f48d8fbe34f6c09e4ce6940c9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Heaven,4itTlcFW7W5RiOntn8cdfc,Eleanor Friedberger,42WJFNdxsAgcn9PfjT61Z3,Last Summer,3X2qjcNWXDWcVpF67VlhO9,12,https://p.scdn.co/mp3-preview/34298a06e27d3b33297c34e3081ea61ae11dff59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,I Won't Fall Apart on You Tonight,2SGJMOppKNwYtR0XENiTBf,Eleanor Friedberger,42WJFNdxsAgcn9PfjT61Z3,Last Summer,3X2qjcNWXDWcVpF67VlhO9,12,https://p.scdn.co/mp3-preview/b5d3d89bcc529057df00d2aa9b73401c6f04f123?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Heavy Detour,3KsuH09ckhxisyIb3QJLyV,Polvo,0pbIqPTefLfuOcbM2ojXdl,Heavy Detour B/W Anchoress,1apFoIPpdfEcGKcivCvPPK,4,https://p.scdn.co/mp3-preview/c4758df21e12016541a81418f8bfb53ab9eef164?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Anchoress,4kKuNsQFt7Q6MvUOiCotF0,Polvo,0pbIqPTefLfuOcbM2ojXdl,Heavy Detour B/W Anchoress,1apFoIPpdfEcGKcivCvPPK,3,https://p.scdn.co/mp3-preview/b2976b096966e995a1c6ef99380032c0cddac865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Escape,4xivQdGZn0n21xKykgnvSx,Richard Buckner,6vrwcJbfs2QyRtApdx1hXX,Our Blood,7BwBAOhTZuXkk8jadZxNuj,8,https://p.scdn.co/mp3-preview/0733245e2604c9df7417c650eda0f8bfda01049c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Collusion,4WgiEyVcvigrsCnFevW6DX,Richard Buckner,6vrwcJbfs2QyRtApdx1hXX,Our Blood,7BwBAOhTZuXkk8jadZxNuj,4,https://p.scdn.co/mp3-preview/2cda9d386cd61ed1ed4e283fdb59aba94870cabd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Thief,2oNnjBcfPPpJ1BupcMxg1u,Richard Buckner,6vrwcJbfs2QyRtApdx1hXX,Our Blood,7BwBAOhTZuXkk8jadZxNuj,3,https://p.scdn.co/mp3-preview/e5698c02f5ad9a429513c3d23bf58a13fcd4a0b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Web in Front,3NvlurGsg6RgPlgY2VVfl9,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,44,https://p.scdn.co/mp3-preview/7df378ac91ec265e1489b638b4f0421e4c8e4af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Wrong,2puN41crpRbHGmrXqsCT0q,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,31,https://p.scdn.co/mp3-preview/e7534e21cbee199db6cfe92e835146dea5f093d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Plumb Line,7bkhSRgLC950I22rntsMe6,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,24,https://p.scdn.co/mp3-preview/71cbac8460547da83bd7eb2cb12dde1992b07d82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Modern Man,7vawX5UUVTXIBs05hz3JqN,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs Deluxe,76Rnn8D33IjnJxv4hQdmRX,0,not available
61,Month of May,7p9Ok3ktwCtz9iLGrv6SAE,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs Deluxe,76Rnn8D33IjnJxv4hQdmRX,0,not available
62,We Used to Wait,1UyNur2qvjxjpQKyYY3TLF,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs Deluxe,76Rnn8D33IjnJxv4hQdmRX,0,not available
63,"I Don't Believe You - 7"" Version",2QafAt5vyCdqaERwmjg0uu,Stephin Merritt,2x7iCl510O317XjOcG7iOf,Obscurities,426tUoGEOChScOAzPbfqyB,9,https://p.scdn.co/mp3-preview/b7264a58d1e07f0a507f36461aa6ad4b5636d699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Forever and a Day,5awU53WBhGXYnZUjIltVRo,Stephin Merritt,2x7iCl510O317XjOcG7iOf,Obscurities,426tUoGEOChScOAzPbfqyB,12,https://p.scdn.co/mp3-preview/99529cf69dcc1cf86433e3ed9421a10594227f65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Plant White Roses - Buffalo Rome Version,6rFJSDtuZw5X7AHCr8AZuB,Stephin Merritt,2x7iCl510O317XjOcG7iOf,Obscurities,426tUoGEOChScOAzPbfqyB,9,https://p.scdn.co/mp3-preview/e805adda861e77af0fbee0600dc139900525fe4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Romance,662xOLbcQsT8zFFjeADLEl,WILD FLAG,4G3PykZuN4ts87LgYKI9Zu,Wild Flag,2HcZpInX7XfjQ69EsGKrhS,29,https://p.scdn.co/mp3-preview/b17e15fdb6b6a3a34a4d6dafcd9757468cca111b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Something Came Over Me,5GZmh6kAnzcfubR4r3b98f,WILD FLAG,4G3PykZuN4ts87LgYKI9Zu,Wild Flag,2HcZpInX7XfjQ69EsGKrhS,17,https://p.scdn.co/mp3-preview/c8351a6bfa1bd873098cb7acb165ce9a99f878f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Electric Band,3k7juvLY5LBr2yG8eYE3IZ,WILD FLAG,4G3PykZuN4ts87LgYKI9Zu,Wild Flag,2HcZpInX7XfjQ69EsGKrhS,16,https://p.scdn.co/mp3-preview/295a36ae701c9a8eb1e03c9512dd0ea67438f03c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Driveway to Driveway,1C65EMS98C2cnJZA5DEEq8,Superchunk,7lmde7T1WJPFwv1eR6melP,Foolish (Remastered),1qmuiYImHKC0qwKQXH1U1O,39,https://p.scdn.co/mp3-preview/d0e796692a1d8f6f12638372b1c6f425564d33e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Like a Fool,471iNhUWJLrbBZueQRBy83,Superchunk,7lmde7T1WJPFwv1eR6melP,Foolish (Remastered),1qmuiYImHKC0qwKQXH1U1O,32,https://p.scdn.co/mp3-preview/8a6d65954fc51ab458b5c78f3c37d5fcd9637f48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Heavy Hours,5TC6lkSkZEZBppd5nqwgEm,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,33,https://p.scdn.co/mp3-preview/2ebd360b230181ede204ec37dc4b79c7d5729e39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,The Counterfeiter,3bfKN2Pb6eo2BiRIgnkqui,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,8,https://p.scdn.co/mp3-preview/fbbcb6de0f3e7233c2f1b5b4a636b7bccab01bf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Bad Blood,3aZ6h4iN8cqWu55aAPmEcl,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,8,https://p.scdn.co/mp3-preview/17f153c4c203bf04d7951b44304dc0308913d75d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Night Time,6gU9ruSYbGMFJfccpmCeAy,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Night Time EP,4dqhfdXIWmUHsEJVvOhqU2,3,https://p.scdn.co/mp3-preview/3d1a831c3df20a8e9a9d98fd2628715fbd460811?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Swimming (Visionquest Remix Ewan Pearson Re-Edit),5VoE1oEvr4A63hPEQ5WnGD,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Night Time EP,4dqhfdXIWmUHsEJVvOhqU2,0,https://p.scdn.co/mp3-preview/88c12f57b98bce5692cdae399b22a19d79977131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Taxi Cab (Vampire Weekend Cover),1RDVQI8g54kqaX14heDgXB,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Extended Plays 2010-2011,3Iz9kbFjeh8ZWNaGvYpFDO,10,https://p.scdn.co/mp3-preview/aa3d7e3dbfe4aafe29bddca04e24739d2b071380?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Kentish Town (Walls Remix),34DY4xU6UjTMqWG5v4tEv3,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Extended Plays 2010-2011,3Iz9kbFjeh8ZWNaGvYpFDO,0,https://p.scdn.co/mp3-preview/ec2224bdeafc006c2440814b3a5cde6cdc097264?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Strangers (The Kinks cover),4So2X7OC8Z7Rk2iaAl96AU,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Strangers BW Mother,7chgt3HUjQMBGmCg10OepD,19,https://p.scdn.co/mp3-preview/2b4963dffebe9c82f1c1ef80aaa3f7d19f1d704d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Mother (Danzig cover),5CKyIePGgD48bdH388rmRh,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Strangers BW Mother,7chgt3HUjQMBGmCg10OepD,17,https://p.scdn.co/mp3-preview/c100e03e4b49941c2af054663aaff77a490da421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
