En el Trabajo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Flaca,1p7m9H4H8s0Y7SgRm7j3ED,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Alta Suciedad,44D07i1Lk0zFtWHRARMih6,73,https://p.scdn.co/mp3-preview/1d8b25d233f792654ab1e5592926c7451d94bbb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Perdón,4iCJFRTRsFlj4UWoEd7bS9,David Bisbal,5gOJTI4TusSENizxhcG7jB,Perdón,3mS6qSzJvfbFkhLsp6hO8P,71,not available
13,La flaca,2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,La Flaca,6mD9lN6mqu4313KpY1RfIp,72,https://p.scdn.co/mp3-preview/de8001a943205b7ac3ebc910633a5e67421e2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Déjala Que Baile,2KK9N6iBAisA0booTu3bGd,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,69,https://p.scdn.co/mp3-preview/330975ffaa921235ab1a9fca0f57f1b2b87db2ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,0EmeFodog0BfCgMzAIvKQp,Clandestino,1h1hnfRyc45IIDnxUCaGIf,75,https://p.scdn.co/mp3-preview/da02f5da679715064baf20741d1ac80b2fc67a3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,No Es Justo,1RTlTuLOdnmgbe11ynwR7c,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,No Es Justo,3CjbO5ZFF7fPc3XFxONAE6,72,not available
17,A Partir De Hoy,1FMNuRMIcPD6PDQGoi5Ifn,David Bisbal,5gOJTI4TusSENizxhcG7jB,A Partir De Hoy,44QO7jYy2AkfO9rWT4b34p,12,not available
18,Cómo Te Atreves,2z0EshEO4XptiepEb9j3Og,Morat,5C4PDR4LnhZTbVnKWXuDKD,Sobre El Amor Y Sus Efectos Secundarios,5x7VOruWJbNqZGfIHczhmV,8,not available
19,To My Love - Tainy Remix,5LciLoxa1gK70yIUeoHgRx,Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,Amanecer (Remixed),7jo5KFYHLHpbVX0glLHiIA,74,https://p.scdn.co/mp3-preview/fe5d0555597f1a611a58fb4e2b69b00bb6f7627b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,18,not available
21,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,90,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Bésame,2qON8SpeBDBSoWCvDKuwbU,David Bisbal,5gOJTI4TusSENizxhcG7jB,Bésame,4RvfXzwyyTmAGfjW4WFAsE,75,not available
23,TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,7eLcDZDYHXZCebtQmVFL25,TELÉFONO,3hgpPBjZ7yR1yHyrVEngZL,65,not available
24,Disparos,5QbqwbvoBEwPD9xD9aQ2IO,Dani Fernández,0CVOcYvRcSvOXyuR4YGKaC,Disparos - EP,6gz6OkwC7rZ44dPzAjf2D1,65,https://p.scdn.co/mp3-preview/105d921e1c6bcc8cb7645ba111acb3d5139ff49b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Qué Bonito Es Querer,6uzGmmQ4CuG9HvZktEy0LF,Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,La Cruz Del Mapa,1FwsOQLBtsdLjy2OGsCZZa,71,not available
26,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,97,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Salvajes irracionales,2FP96cQu5YG4wdg9nRQs7d,Efecto Pasillo,6CSa1r92LtHHdLG6kRabU3,Salvajes irracionales,7yvsEVYXUWlPet6iJxN3Dk,53,https://p.scdn.co/mp3-preview/15150d0b98fe52244f62d4038694ec125bdb71ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Soldadito marinero,0eVborSuxUeSg0meWYd9dZ,Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,Lo mas lejos a tu lado,5ARI6MI0J9CnAqT9vfhd4n,69,https://p.scdn.co/mp3-preview/6e7b30d3842fb5ec0fe017920067f41e8c1da543?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I Want To Break Free,3mvoMBK8QDtnhz8U2L2XK2,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Works,39MMaY4ampwjkSOFahHnKi,17,not available
30,Brasilera,7mMig4MDWJYIIMlChGMXQr,Dvicio,2KxjMGXFgX1vt9grpbD3xI,Brasilera,2pu5NZTs0YATr6reQAq9gp,65,https://p.scdn.co/mp3-preview/ff277269d1236c100235600beb703f157c9713bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Antes Que Ver El Sol - Con Dani (El Canto Del Loco),0BJdpD3m8414QOj8iqFYMR,Coti,1OUDQLymoysITxprkd0Qvj,Coti,1msFprmU8cqzLu66TOX4rf,60,not available
32,Calypso,4178A5NkEjcsGc64jpBO6d,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Calypso,5vroSoweHs5AK7bFe7bBqi,71,not available
33,Indios y Vaqueros,3u5GmyJP2MU3tEJgyiAG2T,Sinsinati,2rGri7YZ2eiCS58zgvmlQb,Indios y Vaqueros,2t9PxUaBK9Jk2G9vPOaqy5,76,https://p.scdn.co/mp3-preview/74ebf73cbe18ff030505d315c3a75055cb443af7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Me Rehúso,6Zosz8w6CmdGMZM6p4JlbQ,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Me Rehúso,6qIOlt2SVkfs9NynvpaQ1j,13,not available
36,Quédate,5XXxxfDWGvI6OaXPEniklV,Manuel Medrano,0i5iO6icb7kxg48thi9gBM,Manuel Medrano,3XeEBV0owMhwHmyLfaMxwg,70,https://p.scdn.co/mp3-preview/921c9465ca69fe54e3b4625a52a4142cf4ba2aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bella - Remix,0SaYeGhSXN0dDWstyNTQ56,Wolfine,2OnKRchqP7tT0FzTvWIFI7,Bella (Remix),1UsmrwFQhk483czxWluhS6,69,https://p.scdn.co/mp3-preview/e5ba7fc4af7518b4bbbf689147efe84633dfb63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,La Revolución Sexual,5zHvsFZoCzLmhbRbYDkg42,La Casa Azul,2Ynst7DZrEJnlaMM41ZCxd,La Revolución Sexual,6136J8VjN76qt3frhLedzK,61,https://p.scdn.co/mp3-preview/d4f28ac3fe6e29e7fc03bcfeb8d9bf7c54efaa4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Un Planeta Llamado Nosotros,4r65XDXpFbFgds3lDIf0EP,Maldita Nerea,3heR1it0slFXjaa7E62zpw,Un Planeta Llamado Nosotros,0UpmmWPb1xeZeN25hT4r6B,66,https://p.scdn.co/mp3-preview/e614c955ff3201406f7b3f7cfbac7099eba16065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Con La Miel En Los Labios,5VOPzPBHcubxHK1BEru2G5,Aitana,7eLcDZDYHXZCebtQmVFL25,Con La Miel En Los Labios,4pIf4sqEVKaTjXUgLsG6aD,67,not available
41,Me haces bien,4UKe38tm5NkRpuFCxwewEe,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Sea,5MAlr4sv266fgE8qVQUeuO,65,https://p.scdn.co/mp3-preview/eebc301ca85256997fba2d6353b3ae063293dbe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,21451j1KhjAiaYKflxBjr1,La Player (Bandolera),57BGq6lpz8RK1cqr2fPVIi,78,https://p.scdn.co/mp3-preview/8b13790ddfd68fc7db370d01668d3ae3e42c836a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Me llama,7piXNyrajEfqhOkzgDq2Ts,Beret,0ZHPrnImGh4re3TbSNkoZl,Me llama,78kDVB6S4lASWVdtegF6CP,72,https://p.scdn.co/mp3-preview/8c90f8ea58adf9258a1816f8089ce47d8ba201fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Me Quedo,6Nqi1fWKYXrVXmF3RtQbSf,Aitana,7eLcDZDYHXZCebtQmVFL25,Spoiler,0UMkp3B0Dqf3t0HkLmoX0j,72,not available
46,Soldadito de Hierro,3DfUO7e24abpbIreUpUK4B,Nil Moliner,6X8uzem5Dbl4l2so4CeexD,Soldadito de Hierro,4aF473yAU7HOafe47RWrLk,71,https://p.scdn.co/mp3-preview/7301d43650c1a60a69e3d4f134c877b290be6fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ahora Dime,5DLgtLEh5BwtfwlrutVVxE,Sofia Ellar,0zuqz96cs1dQcxc2FpLPcR,Ahora Dime,4C4zSHDgA2nRH2MhBMonLd,61,https://p.scdn.co/mp3-preview/1da360aa1a46faa7aa404bebd15b98246965769b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Celébrate,05QSb3QDjUjn3EUnEPXSIz,Miki Núñez,2hahtdJusGYC77DKod4qfB,Celébrate,39nbNp9lg5oZqRoy5RRhLI,67,not available
49,Fuego,6ye25NazQfUWrCTdCH3cXX,Estopa,5ZqnEfVdEGmoPxtELhN7ai,Fuego,7gwr296CMKt0FETD6fr01y,67,https://p.scdn.co/mp3-preview/76452347e360ad31e86862000c6601c01fc5a227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,81,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Bien Alta la Mirada,52JrL8SXXUGxtd0LsC0jRV,Amaral,4OkeTQCk0fvX6VBYpOOxDi,Bien Alta la Mirada,3z3DKOPSOj3YpoFc0DNpdX,39,not available
52,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1jHSAfCHKUFx5imuezI7HE,77,https://p.scdn.co/mp3-preview/93d0ac52041e580e2dfb7a451f1f9c6443677761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Cae el Sol,2nBOPYRoAYOwv6go12SQDs,Airbag,1wKDGglKV4FsFS85r2Dmpr,Voragine,7IlDM4DB3KkquIIQh0KDOb,64,https://p.scdn.co/mp3-preview/325f96f6a3852c7d223a065049c2a97433d214a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Ni La Hora,1he4G9w0zh5GokInpOSINW,Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,Ni La Hora,4ICMTx81FzdZHeNdLmHud3,61,not available
55,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,62,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Adiós,1rh4kDY9T4fHVDum8Foi5k,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,68,https://p.scdn.co/mp3-preview/6a88c6c7e00fb84f12f4887816a82ea32451ef75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Mirenla,027NtsXW0vpDFhzxsJKmTL,Ciro y los Persas,2Eo4Yaukt9d6dnZrY5hQKi,27,2TzE5fyGKtTkci8iFNf6zW,64,https://p.scdn.co/mp3-preview/661daffa7527af17851f18fea00cc7d3f1f23533?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"Quiero, Quiero y Quiero",1LyZX8u8DqVFULMViZUwcn,Arnau Griso,5gnF05YcUt010aB7EWk96U,"Quiero, Quiero y Quiero",6O13QTgdeRO9eAPIneCO3m,65,https://p.scdn.co/mp3-preview/fc13a4a10da62634c52ad43feb2ff82bedd99106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Ibiza,1h9P5WJwyvK8OB7O2YiXgp,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Aura,0SukGZiXMtmsZoxstkBtNR,76,https://p.scdn.co/mp3-preview/bf3706f0957c6b468c8b6a0e028c1afbd464664a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Usted,79HTe42PihWUUq4BDjcuCq,Juan Magán,1ackd5XprZEkH3McKbQD51,Usted,6OLV0MQndoAqa6kLLIjWsK,67,not available
61,Obsesionario en la Mayor,5yI4trOBy1XAiAFWTX1LGg,Tan Bionica,37MCoi4pcUf9EKsPXeuCqU,Obsesionario,2jBQoNDiAgXyjJMh1aDRSU,61,https://p.scdn.co/mp3-preview/faf6b2c4706ba08079a176fee966ca10454a7000?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Lo Malo,5bhDL4GgUvr5LBrpjqyrte,Aitana,7eLcDZDYHXZCebtQmVFL25,Lo Malo,0BtpL9HEIaBg95FefsA3Hn,62,not available
63,Princesas,3hlWUNjAlbZ6nOjAbrivBv,Pereza,6mfK6Q2tzLMEchAr0e9Uzu,Animales,6TFvbSAqnlvjOSkuryxUKe,67,https://p.scdn.co/mp3-preview/402c45f1972acbb36ba8be8b398f8db5f26ca20c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Caminando por la vida,3v1dCP3hk2djfWryqfp7sx,Melendi,1EXjXQpDx2pROygh8zvHs4,Que El Cielo Espere Sentao..,1nRo70xzejpUW36UNp0ZF8,64,https://p.scdn.co/mp3-preview/0a7c5118e8f979dde1847701aad680cdda199dd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,De Tranquilote,1IDFcb3cjkj2dhv3UaxX9b,Danny Romero,30HlKUFTsqlFQsPfyv2yuM,De Tranquilote,6Rdeo87NR0q1pxlxxx6Ies,80,https://p.scdn.co/mp3-preview/dc741c62a8143d9c210f5cb149af3e49547e6bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Carolina - En directo 2000,4UtREbGYnd1nZLckEb5y8J,M-Clan,4oVqMVHC03xnYJ7fyb1dh6,Sin Enchufe,4ek3tTygesccVT9WDCkgKj,63,https://p.scdn.co/mp3-preview/d25b8115b4cc24fed1f95e78a75ac206b4528624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,La Cintura,5Ao1r4qOUoRBUSPovTbKR9,21,not available
68,En Redondel,2bvP9MboEyUadosZOYC93K,Ella Es Tan Cargosa,2fGM1BtKeCWjnriro6BaPS,Polos,4zd88TW1Vxi35LLUOWjKZ4,55,https://p.scdn.co/mp3-preview/5e5410036583980a55dd8befaf3a4b5b5ede094f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Échame La Culpa,2wRRkEL20LRmLg64NI2Ru2,23,not available
70,Besos,7MKO7rUZzjw8p87zdZDgqa,El Canto Del Loco,5RK6c1tyaKpwcDpbgCGNgj,Zapatillas,3dToFs6qDSWkR1HttqgpnF,63,https://p.scdn.co/mp3-preview/26e932af41b0563851d2daa7db6f75414f5d0659?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Campanas en la Noche,0C9V5jMElp7laZZdsCHufD,Los Tipitos,1SykQGBiBwkQ1fcGpJ1BJt,Armando Camaleón,1d8IGsUrIw7cXqFcwUM5pP,61,https://p.scdn.co/mp3-preview/1dc65f3f0c52d121a95de182da3438e54236e30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Celoso,33zcmmElV1YbRZe57biUjg,Lele Pons,6i3DxIlAqnDkwELLw4aVrx,Celoso,0gXUZc4bTQzNqLvIyeObHm,71,not available
73,Lloverá y Yo Veré,2gKmJ6OgQRnOy36MY8qK3V,La Pegatina,4xvB67czbtvemGVXGa81oK,Eureka!,7vBGOvsvDYqFFxdRvMmX1C,35,not available
74,Who We Are,1u0MAhOBrWIkAKOf8ssiaU,FTampa,6P6fVBXZjnqdgq2z2b8WlO,Who We Are,1dhJH0kVx35B16EBuaDPSt,61,https://p.scdn.co/mp3-preview/8189b0f355bba736ff21e1071947a068785f48de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Como Camarón,1VB4sadHjFcFklHcZuoROi,Estopa,5ZqnEfVdEGmoPxtELhN7ai,Estopa,5EiebUqlX025HxiCvVTsNs,66,https://p.scdn.co/mp3-preview/2a4d3d7cdabf861688c6e0cf0cdce1322225b327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,El Secreto de las Tortugas - Version 2010,3hlYxsbq75SWlRfN7XR7Ax,Maldita Nerea,3heR1it0slFXjaa7E62zpw,El Secreto de las Tortugas (Version 2010),3HCbcwsHZ8nLflxd68Yy2N,61,https://p.scdn.co/mp3-preview/970a13087599db01a2cf2a0fa39b7f97d21f7c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,64aJYyrXljOodnUG6jvhRD,Verte Ir,76XsfdI0kGODDdhHAJKZi3,88,https://p.scdn.co/mp3-preview/977db034b13775c79b1e16a2462553380b23f232?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Pupilas Lejanas,4k3K6Ke6KfAWb7zyQWrTEA,Los Pericos,7FnZWGw9lwOr7WzieTKEPR,Mystic Love,3yUzbMVyjAV7oU7G42rPUa,63,not available
79,Un Dia Perfecto,5w3GTe4W2fHBC3tLnqCr1B,Estelares,6Nm62oNQCdPxVoiQtFSksF,Sistema Nervioso Central,6IbJShCtiqesFKNWnNfZp4,61,https://p.scdn.co/mp3-preview/c806a020779ca6366f71837bef9e6ade9641f647?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Por la boca vive el pez,24UStI5AYA7g5ufFDh3LH0,Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,Por la boca vive el pez,5iW5yzlJsGBIfsemMr8v8y,64,https://p.scdn.co/mp3-preview/bf0cd320a031098d3b12c809e02a75a7aee16f5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
