Hits Alegres,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,Te Quiero un Poco,0WDAYiPgyIlAEaZ6sMR5T8,Carlos Sadness,2LCcy9CZWwZ7Vvykt8IVVq,Diferentes Tipos de Luz,2ApLZfsw7yYrztoaNkwLe5,65,https://p.scdn.co/mp3-preview/8d793ea6ad7095c26e98c132edd0e9d6f30d99c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Me Rehúso,4RrvIEhnaHKpFxsjXc4D7d,78,https://p.scdn.co/mp3-preview/e44589534ea9a8956c0305e1545977ae8a1a482c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Lost on You,3SqvR3HYLlCTYzbDXJ52OC,LP,0J7U24vlOOIeMpuaO6Q85A,Lost on You,3R2TVCA5PMMnEcVlIOCMEG,68,https://p.scdn.co/mp3-preview/313cff9d964dd65fa29e7a07e9146f9d183a809c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Vasos Vacíos - Remasterizado 2008,198qSChSMQFuSimdeeY9gK,Los Fabulosos Cadillacs,2FS22haX3FYbyOsUAkuYqZ,El Ritmo Mundial,4jrl8361FYPSK2gdEEKATh,74,https://p.scdn.co/mp3-preview/bf656ab96c49afb8e9d540a1a93518f0f926ed35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Algo Contigo,4zsDA31stWMtLveU61hejd,Vicentico,25THA9HUHoxpCT4LBp7UsZ,Vicentico,6Qt9Yiol5QcAEeKPyIQafo,68,https://p.scdn.co/mp3-preview/c0f5ac4114f826a700f47213b537e9da9fda2e25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,1otwHKoQ5KPaiekpYk4tWh,90,not available
34,Quédate,5XXxxfDWGvI6OaXPEniklV,Manuel Medrano,0i5iO6icb7kxg48thi9gBM,Manuel Medrano,3XeEBV0owMhwHmyLfaMxwg,70,https://p.scdn.co/mp3-preview/921c9465ca69fe54e3b4625a52a4142cf4ba2aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,81,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I Want To Break Free,3mvoMBK8QDtnhz8U2L2XK2,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Works,39MMaY4ampwjkSOFahHnKi,17,not available
37,La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,21451j1KhjAiaYKflxBjr1,La Player (Bandolera),57BGq6lpz8RK1cqr2fPVIi,78,https://p.scdn.co/mp3-preview/8b13790ddfd68fc7db370d01668d3ae3e42c836a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Me Quedo,6Nqi1fWKYXrVXmF3RtQbSf,Aitana,7eLcDZDYHXZCebtQmVFL25,Spoiler,0UMkp3B0Dqf3t0HkLmoX0j,72,not available
39,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Me haces bien,4UKe38tm5NkRpuFCxwewEe,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Sea,5MAlr4sv266fgE8qVQUeuO,65,https://p.scdn.co/mp3-preview/eebc301ca85256997fba2d6353b3ae063293dbe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Los Caminos De La Vida,1crk0MXXyFQ1zVow6YTJOo,Vicentico,25THA9HUHoxpCT4LBp7UsZ,Los Rayos,3V1lU1Jy0eKU2wMCsmJ0TF,68,https://p.scdn.co/mp3-preview/6ae3dc84a31d3b2f86c0363e653b00d96902e826?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1jHSAfCHKUFx5imuezI7HE,77,https://p.scdn.co/mp3-preview/93d0ac52041e580e2dfb7a451f1f9c6443677761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Who We Are,1u0MAhOBrWIkAKOf8ssiaU,FTampa,6P6fVBXZjnqdgq2z2b8WlO,Who We Are,1dhJH0kVx35B16EBuaDPSt,61,https://p.scdn.co/mp3-preview/8189b0f355bba736ff21e1071947a068785f48de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,La Revolución Sexual,15KN4rvxCnsge5cCBOzRxe,La Casa Azul,2Ynst7DZrEJnlaMM41ZCxd,La Revolución Sexual (Special Reissue),6KXvZ2e5Iqkfx84QrNRAdd,57,https://p.scdn.co/mp3-preview/d4f28ac3fe6e29e7fc03bcfeb8d9bf7c54efaa4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Hablar de Ti,1vV2FBKYvu6sJDqzSCNgbI,Gepe,1fHGzTSloWCtrlKfbLNVhM,Ciencia Exacta,4n65tDbR2iIn5e9jgo9Zwv,65,https://p.scdn.co/mp3-preview/dab9f1e15ad6730bf1aa40cbc775b203907d1d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,R.I.P. (feat. Rita Ora & Anitta),6JqpFboOH2bq9pzaYbkKBn,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,R.I.P. (feat. Rita Ora & Anitta),2yN1kxrx1Z1CHO5VMdO2Yk,79,https://p.scdn.co/mp3-preview/2613c3e23661682d68a3e8eee0281c8a0bb5c917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Usted,79HTe42PihWUUq4BDjcuCq,Juan Magán,1ackd5XprZEkH3McKbQD51,Usted,6OLV0MQndoAqa6kLLIjWsK,67,not available
49,Avanti Morocha,411J3pP54W1K9PMo72Fg2w,Los Caballeros De La Quema,6Iv9dXeKX45ff7qe0LDuFW,La Paciencia De La Araña,7urCdolaxQ3YUQlI8Bhj41,62,https://p.scdn.co/mp3-preview/d8a6383bcb6bee7144a4c7cbf1e8f3eb039722bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,La Cintura,5Ao1r4qOUoRBUSPovTbKR9,21,not available
51,De Música Ligera - Remasterizado 2007,2lpIh6Gr6HYjg1CFBaucS5,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Canción Animal (Remastered),3GoSlKTNcVOp1ZxE5OOXeN,72,https://p.scdn.co/mp3-preview/c55fcc88f202341e219140dcca042bf8dcd53eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Seguir Viviendo Sin Tu Amor,2qBirMakpTdz9ymxrZEyzg,Luis Alberto Spinetta,1MuQ2m2tg7naeRGAOxYZer,Peluson Of Milk,0sEqp7Del2dp8HmXE8Geqv,67,not available
53,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),75iQSBSaztFIAun9qLLCnb,82,not available
54,Amanece En La Ruta,5pKVGrmItsCubKWTrYpxSZ,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Inconsciente Colectivo,3AzpHdFjpWrGE4cCwyXAoE,62,https://p.scdn.co/mp3-preview/2460f6b5730e335aa71554c80e2e26fcbda2e1c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Me Gusta,3pMo77B4r1NwwIK78lO4xf,Ciro y los Persas,2Eo4Yaukt9d6dnZrY5hQKi,27,2TzE5fyGKtTkci8iFNf6zW,66,https://p.scdn.co/mp3-preview/f1392c299367a62a4677c4e5cc603cd383b5e42a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,64aJYyrXljOodnUG6jvhRD,Verte Ir,76XsfdI0kGODDdhHAJKZi3,88,https://p.scdn.co/mp3-preview/977db034b13775c79b1e16a2462553380b23f232?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Baila Baila Baila,6xQurnsfSvF3hQwU5EIqB8,83,https://p.scdn.co/mp3-preview/4c1bb98af6bb9e678489c6f4f85332caf58b9e1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Milionària,2K3bjojp1sCLdMMoO5lJ2p,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Fucking Money Man,7qJZgNj9IMy9onoTe5uhZc,77,https://p.scdn.co/mp3-preview/fbc597f2dafce551da12a396fb45ea50af69404d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Fue Amor,7c7e0Gr9AOzmJ8rDvOknI1,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Inconsciente Colectivo,3AzpHdFjpWrGE4cCwyXAoE,56,https://p.scdn.co/mp3-preview/1fd10ebde76c781edc06621b45e2c26de99df784?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Mirenla,027NtsXW0vpDFhzxsJKmTL,Ciro y los Persas,2Eo4Yaukt9d6dnZrY5hQKi,27,2TzE5fyGKtTkci8iFNf6zW,64,https://p.scdn.co/mp3-preview/661daffa7527af17851f18fea00cc7d3f1f23533?cid=fa83a2fec7c440b7a2795d600d6b2c7e
