Los 80 España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,¡Chas! Y aparezco a tu lado,1eRgClFGphd2MgpyIBsbfS,Alex Y Christina,0KCH1PXlG8girK5UrHIA4y,Alex Y Christina,2gFaLEkHmpAGoNcBvxZ47o,50,https://p.scdn.co/mp3-preview/8b3d00e589396b9acfc43057699a48abd51d8073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Santa Lucia,4rOf6mtF2MpDwWipaila0L,Miguel Rios,1dpnxi6xgoB2kaRYnnoatZ,Canciones De Amor Para Tiempos Dificiles,1HITxEQK7ac082gDH7ynDR,58,not available
12,El Mundo Tras el Cristal,1VHM7HjNxtZkApy2EabI4e,La Guardia,5UYbCAN2H4Yr4f46tN5AeD,2 En 1 - Vamonos - Cuando Brille El Sol,1hQmICC4YS92qv5flhbNYs,52,https://p.scdn.co/mp3-preview/b7dde493ba582c1abe77634d5a9140eb0ad6b199?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Corazón de neón,5zAnoLd8d4ssifVCnSDrwG,Orquesta Mondragon,6d7LEKCmi5168sop16K9oI,Viaje Con Nosotros A Través De 21 Exitos Feroces,1zFPrHua1e0a3dePXw3cGj,50,https://p.scdn.co/mp3-preview/742ab4dfe85404de3bbeec8d5bddc48df56f2a6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Rufino,1uaJUd68rBoPYNvafL8ymh,Luz Casal,1HUbv0v2f9HNE6qIbB35El,Rufino,3s3pxilDQPFP4AhEKk2otC,44,https://p.scdn.co/mp3-preview/9d232c52300492ce51c43d846c8869c39ee35ca9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ni tú ni nadie,7LpS82vPDLgZAHWRtWBBRj,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,Deseo Carnal,0WCUpdYXsvpM8Bed8w4vQF,64,https://p.scdn.co/mp3-preview/0fb52c0b7e0ba4914bcb634fbcf5df4c92a87a9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,El Ritmo Del Garaje,2VIzHaFXpUB7lMtXmaZZ4N,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,El Ritmo Del Garaje y Dónde Estabas Tú En El 77.,0kGhcJ4eaHTbYjv4tbhCjN,1,not available
17,Chiquilla,4eJikwHYHJ3yMg1tvS1Mom,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Que No Se Extinga La Llama!,100SajoSYlozWJ2wRFKob3,57,https://p.scdn.co/mp3-preview/89bd34d32cf921d544d433e8ec46adad4694b6c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mediterraneo,6QBLmxP1tU6lw1dhKQulau,Los Rebeldes,5xL4xxrHU7qleELxk85vAo,Mediterránaeo,7CZDkvrW1btWAv7oV0Sl3o,54,https://p.scdn.co/mp3-preview/8a246296729b7bba4081a4090fdffaa4df3180fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,No me importa nada,77eDrs7w2utSdbBdpbefol,Luz Casal,1HUbv0v2f9HNE6qIbB35El,Luz V,495PNGzppo3wT27Em5Yy8o,56,https://p.scdn.co/mp3-preview/409026af47f1bbb35dfb0195facaf846edc5987f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,A quién le importa,3Qa1r7Ii95K0A9Gerh4dKS,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,The Platinum Collection: Alaska,7qwvrBicEWpZWYRoWvM8OA,56,https://p.scdn.co/mp3-preview/a649665fd98a04f6cb56de18b2325e05ab2be645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Un Año Mas,28ZI5zNcgu2nPaP2FnTnFj,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Descanso Dominical/Une Femme Avec Une Femme,2JBsEO5oMKpvXpMwSK04pU,51,https://p.scdn.co/mp3-preview/0d332feb26c9bc5b870809ab64494b053090afd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Enamorado De La Moda Juvenil,43d4GHeS2lfZOdgGE49NPA,Radio Futura,4qKJA8Cf8R44cMThP6q8KM,30 Años De La Movida,2X7cAMJg3sTureGBixd8VB,46,https://p.scdn.co/mp3-preview/cd493c9e6da1b59c20b7da29579403658efe6167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Una calle de París,1nLOdVT581H7SA0ttCZRF9,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,El Grito Del Tiempo,53ysLjWIelVJ47Si7ouHB3,49,https://p.scdn.co/mp3-preview/51a02a5268ecfb22e3b2461da037377aa86f6bbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,El calor del amor en un bar,4EGEeuaeyL4JK6N6EOb4vf,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Los singles,4dNRhNZ1IkA5iGW5zFCLDk,40,https://p.scdn.co/mp3-preview/d021ee3e969cd562edc26fdc98c428ef4c58c966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Hoy Puede Ser un Gran Dia,5YxgSArh0FDP0CEDuZcYnC,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,En Transito,2OlJAOxMhMBR7wfS5CkfwJ,47,https://p.scdn.co/mp3-preview/5f4e3911b520d10779bca8d7a34e85eae561b76c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,El rompeolas - Remaster 2017,0sX3XmiVd8BAIh6kqiCk9Q,Loquillo Y Los Trogloditas,4EM1gc21UrYHQ3eal963Xl,Morir en primavera (Remaster 2017),2Z1e7MY9FPehW4kCIVtkl6,50,https://p.scdn.co/mp3-preview/e9703621d29dff64a3f08f2112a4836786c5880f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Bajo la Luz de la Luna,2hfv8QRES8BwT49kO0Hhmd,Los Rebeldes,5xL4xxrHU7qleELxk85vAo,Mediterránaeo,7CZDkvrW1btWAv7oV0Sl3o,45,https://p.scdn.co/mp3-preview/bc0854600582d0d9c5ebc192ae12b716ddf2036b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Te vi correr,0ro22vd79Gj7N2WJrmqz8X,Tennessee,53c6LILCfJcDt4MfXOWClk,Una noche en Malibu,2XTIJvPP1QFPIgRwuBAHv5,40,https://p.scdn.co/mp3-preview/3b3b1a612279ce178fce421ebda7ca3560269dac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dime Que Me Quieres,2IofpcCv3PjgZ5AjX446fi,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Viva Tequila/New Booklet,3ovUVxowHnFWTGx0KyYnBk,51,https://p.scdn.co/mp3-preview/acbb29ae21e15e1c5bc2ff541fda8945652e0659?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Abracadabra,0ZwG6ttqzRJpThmgW6IDCZ,Alaska,5ppm4jKbRPVMwuBO3DwnWB,La bola de cristal,2IuPyIGlrHjoJj5nX3Uial,41,https://p.scdn.co/mp3-preview/5fee4630206fd10fa6473fcaa0f137609d87133f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sobre Un Vidrio Mojado,2tsdjiIi3h7ywJh9SNsPlY,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,Grandes Exitos,0skEDEdGkKIp8vLFHgJaAM,46,https://p.scdn.co/mp3-preview/9301655042dd61e4f64e162634d48d8f3a189041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Eloise,6M6UYA5dPuu4kcOb7Y9x3q,Tino Casal,3PWELXN8Bl961nrQGPVk3u,The Platinum Collection: Tino Casal,6Xh8LcYMTJQfB6wKDFw90M,48,https://p.scdn.co/mp3-preview/eca53d80c384179fa213e33e86cf2e151e00dae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,El Limite,0NFcUhw2uKzX0zqH81tWOu,La Frontera,4WeIMVqCUH09dxtBsstIw3,La Rosa De Los Vientos,51ohZ4F4nZ40R8eGyK7tZT,52,not available
34,Salta!!!,00o2gSF6lqv3XjRZyjROW5,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Vuelve Tequila,5ktQDuyw6LdjrtV8BjDpxW,48,https://p.scdn.co/mp3-preview/756a400f6aa504a0b326ffe08f3ddc4a6448335b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pacto Entre Caballeros,41JrRedwrJxbBPwI8Qku04,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"Hotel, Dulce Hotel",4UBv7VLi5eBakkBymrMCN4,47,https://p.scdn.co/mp3-preview/9694ffdf7aba16d3d7ab75f7a3de8de754775209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,El Hombre del Piano ( Piano Man),059MeGrjckx2jFjw7jkBgt,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Con Las Manos Llenas,5ubgULFZG0skjRLEmQLaN9,30,https://p.scdn.co/mp3-preview/a3f0264fb3b9109f0969999abc294fbaed37adc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Que Hace una Chica Como Tu en un Sitio Como Este,4kYdaN5ECfrCPPuUUiCiTr,Burning,5nhDsJ4yNy8BD4LbGMsb1v,Burning (Singles Collection),1mq9A7RUXMO88fontI2jCN,49,https://p.scdn.co/mp3-preview/7a070333d9b25b996660f7446376a57950ab34ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Voy a pasármelo bien,78FJd3BMjDQCA1Hh2QfKqS,Hombres G,60uh2KYYSCqAgJNxcU4DA0,Voy A Pasarmelo Bien,50XOsvW7uGrpaCtzqUm2bv,54,https://p.scdn.co/mp3-preview/04fba2eadd518052781dacb2a808e1aeb5ac4263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Como una Ola,1gNXYvLc14OmqK6gSJKLUM,Rocío Jurado,1FlYevYLENR3IMgMlnMvf9,Coleccion Original: Rocio Jurado,2z7fXV5xBlpkmfnqe5b7D4,49,https://p.scdn.co/mp3-preview/3bee855dca2ad63e97de32f0863cc6ccb9f8e27b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Groenlandia,4fecwWpiLBXPEt4h5g0M0n,Zombies,6ux3PhdqQ1cP8LZOpUvihc,Groenlandia,4HrsNxHmoNsdvp3zrCnSdz,43,https://p.scdn.co/mp3-preview/da027b27595ca7d69176dd741e8d65ca7a8c8b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Me Colé en una Fiesta,7zteNrLJJwjGa8e2IodVOp,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Mecano,7K1Hg5vLSW39vWYquAXmMm,58,https://p.scdn.co/mp3-preview/7dc36f25d1ec8eca95735786a8f851b04c8bd260?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Agradecido,7F5AYZAPcNE9rIpCCHFEeh,Rosendo,0P4FkbP57uc9XBnJ9aoA3N,Loco Por Incordiar,3hj77nYJUvYUpGtZv8JPvB,49,https://p.scdn.co/mp3-preview/b0b29bac52e1140d7471f2e29d8389cdc234974b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,La culpa fue del cha-cha-chá,4v2WZwihAzu0RZFUMl4y8l,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Privado,75vFVCLOnOhkGvIOp7laB7,45,https://p.scdn.co/mp3-preview/7bf59e3ff48c06868e82e7515efca22f74f1cbae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Aire - Remastered,3QiRtWfWlZtLz43VbJRiEm,Pedro Marin,3Lro9ZSn1oz639uXUPjQdV,Todas sus grabaciones en Hispavox (1979-1986) [Remastered 2015],526a8VvekJ5SyPslkNycvd,42,https://p.scdn.co/mp3-preview/1481fca571dd77f8f9545bf7631689ce43b4da6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Yo Tenía Un Novio (Que Tocaba En Un Conjunto Beat),5Ilb5x703muHwYfrL8bIT3,Rubi,3510DsTIfnfwEQeCqZ9F9T,Todas Fueron Buenas Chicas,0zSMf2hD26WAc8hZPivsB3,37,not available
46,Me Cuesta Tanto Olvidarte,4iqXKJhwbOtOT5aHZr7Fxj,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Entre El Cielo Y El Suelo,63ndRW1N0SGkK7Az9CTrxF,65,https://p.scdn.co/mp3-preview/f70e9a16fd7e2b157d6df7cb665374b5a2627445?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,No Controles,1suKCYjsR9rZKnFYM5uK1k,Ole Ole,7qHvHD5y98by1dMKGHT1kY,Grandes Exitos,7hnWtUNbC77CJAQiNBIwjI,45,https://p.scdn.co/mp3-preview/c1e6506f3740b3dc06289d3aa5f47f51ea09ba68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Frio,4ru7QG2oeKf4nC5nsMwOn4,Alarma,3rc3gI1StGDqkOaZuWRBM3,Alarma,7rUvOCKLihqKGIPceHtHrj,42,not available
49,Esos ojos negros,13MV4IsrVMUmGzuqz0T6oK,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,Canciones,42Gjhf7f1h2dKvWTKDHd90,41,https://p.scdn.co/mp3-preview/1f3ae8053f79137d0b95daffe9300793c7e372a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Camino Soria - 2018 Remaster,7hiREmwFzwoVYOqjxDBhKj,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Camino Soria (30 Aniversario Remaster),6Au8WYKaPZjMe2VOKInFqB,41,https://p.scdn.co/mp3-preview/0e250c55dc2cc975c392610d4446d14c558070d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
