Trapeo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Cuerpo en Venta,2B94bbI1a4LyBpK1439oP7,Noriel,3RtNN1VnooWEn3KQk03DUL,Cuerpo en Venta,2JRundp5dldujo6pVchZco,85,https://p.scdn.co/mp3-preview/8d23864fc43b49b377f64aba6a0b20b4aa45cff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Diavla,1KfrcxnOLyDhd3p4hGrhVe,Chris Viz,40jZHpxIT7SOkZF9YrxGYq,Diavla,6eAAnlABuk7DZP6nVAMCJv,82,https://p.scdn.co/mp3-preview/273147fcebfb92c8ea409fd53b80158c95bb260a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Trueno: Bzrp Music Sessions, Vol. 16",7ouulWlZPefmEIGYWNyiPH,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Trueno: Bzrp Music Sessions, Vol. 16",7kFz96gqKdPARpbHJZhyyj,66,https://p.scdn.co/mp3-preview/48e357d876d39136be10df40a08fd22bb3851bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Velitas,7q3NthaBqFI6s0WnAlnIvq,Darell,1TtXnWcUs0FCkaZDPGYHdf,Velitas,12jwb6dkXYHWYg2YXvNCuA,83,https://p.scdn.co/mp3-preview/c0af36ceb14f6e189d3d5410f5b8892ee7bc2558?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,89,not available
15,LHNA (with Anuel AA),4n050GO5qafy6WP3aDcnDr,RobGz,7y5vacxuCM2lyUEEPnQcwd,LHNA (with Anuel AA),0ni6ZcwciXwAkoqIlnPjAL,71,https://p.scdn.co/mp3-preview/c9650caff70fb03fb8cc895c5e06db2c2f3d87da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Mi Participación,6MzClzA9tDPrVVd1bG0KAT,Miky Woodz,1pf0MPKfKdvS8J779mS1Ay,EL OG WEEK,1Q94qFhL5BcJvMDdUX52hY,67,https://p.scdn.co/mp3-preview/62f6c992f63804601db34c363935ff76d65f5354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Trueno: Bzrp Freestyle Sessions, Vol. 6",1DckcUSLpCfYsD1htu4JnF,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Trueno: Bzrp Freestyle Sessions, Vol. 6",4FhwE2ew9hsPjRTBMbnYx0,79,https://p.scdn.co/mp3-preview/3597899d001fd3fdea8c13b3446ad9d99006950c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",2S93hylQBYLndMnaJuso8S,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",11kIpu7f0W1xLshyUW1z7n,84,https://p.scdn.co/mp3-preview/d798cdd39070014dfb0c25c4e1b9e449ee63da20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,Myke Towers,7iK8PXO48WeuP03g8YR51W,Si Se da Remix,75Y4sJ1vwZfEivbsKPzAx6,88,https://p.scdn.co/mp3-preview/7a73a1eb9342fbdb4dcd0e48b5fd92a9b659d246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,No Puedo,6MbSMSXrSlvsyHf4kcaLQi,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Homerun,0qJkFmVwwNXP6fvSemDZqn,77,https://p.scdn.co/mp3-preview/2d038c96bb2e9e3af16e69393f41245db4acbcf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Estamos Arriba,0bCPJsVGDxPYwQMDZMi4NW,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Estamos Arriba,48eb5w6QS1v1YnLsw1fNkG,75,https://p.scdn.co/mp3-preview/1676ed18356aa6fb020db8c6cedf948567dcd53f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,87,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"¿CÓMO TE VA, QUERIDA?",1uiX0bdc2sPHcL1k02bC2G,Rels B,2IMZYfNi21MGqxopj9fWx8,"¿CÓMO TE VA, QUERIDA?",7uaxfvg8tcUtnHy1xEVuXr,75,https://p.scdn.co/mp3-preview/7b3f92aff784919ebc47aa47e18ff24f571b9eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,En La Mía,05pt64GwpTsPRVJVB1EDfE,Jhay Cortez,0EFisYRi20PTADoJrifHrz,Famouz,1V9QpD8kjA2iHCElhFGvlo,57,not available
25,Nota Loca - Remix,4N5Z6UnOzfED2kArFpc8CD,Eklectico,16ZQZS3ZH1cXixotWa5LwC,Nota Loca (Remix),1q7yummybjiKEgSsxGxNA5,64,https://p.scdn.co/mp3-preview/a0c0a1d0123b8565d37b4b0948f28002efab9f9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Moon Talk,6pgUgIgbzovuuUYqpfnVNz,Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km,Moon Talk,6s2UZLpqLczO8kWmyiYUoI,69,https://p.scdn.co/mp3-preview/755a7822c08cf0df2a3c55eda6b8b61197f2cda4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,No Te Veo - Remix,0stKSegkdrfLTDvm5sIO38,Casper Magico,1fux65HMCBvfJHqlBc4Nno,No Te Veo,5hwGqi428VUXq9w1Lg8rIP,80,https://p.scdn.co/mp3-preview/199fff96fae4ac434569667905ebfd010ac7ab4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,Jhay Cortez,0EFisYRi20PTADoJrifHrz,No Me Conoce (Remix),2t2aNgqXTXuCh9fqT05g9U,89,not available
29,Tú No Amas,5J64qSSq0VZuh0CiI9o9Nq,Mambo Kingz,2T1aUibqR2QC2sINIDQOAK,Tú No Amas,3eFEGgySyFZSq66Mq43Jwh,79,https://p.scdn.co/mp3-preview/09720944595f4f783343e6782083d57b0f53c5e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,94,not available
31,Stressed Out,5sxKkSfnuokdgfAsJ08Vk9,Babi,5nP79s99csrvcOiXTGjVfg,Stressed Out,0jvmYAsRBjICERla3LleHo,43,https://p.scdn.co/mp3-preview/51a2eec235365774b358de9f6a274551baabd1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Santa María (Feat. Busy Signal),4R0sTxCaskwCPbzkfXHfWg,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,Santa Maria,44I3wnIjshc9lxW23HXMW6,72,not available
33,Bellaqueo - Remix,7m4JxvI4UXnlOYgtdVAcjq,Afrojuice 195,4zsSo50Ho4eLQWprgqidlP,Bellaqueo (Remix),3UW2MfnYHIpRJwMQfUE2xn,59,https://p.scdn.co/mp3-preview/209a91933169934ca72f033d7b4ffe527f733aa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"Aleman: Bzrp Music Sessions, Vol. 15",7xRWmHZ2wt3zDgM5mAL0JU,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Aleman: Bzrp Music Sessions, Vol. 15",3clF95vv6O71LUshRmF2q8,79,https://p.scdn.co/mp3-preview/6a950d0c7c6d40b2c3347c6782a657c665451525?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Cambio,3cg9A9GVyZAT2CPevqWr65,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Cambio,2pPWcgEOlrdKw2JVcjNutY,78,https://p.scdn.co/mp3-preview/886810812f6919cb86d73c0c9c0cb2b909d581a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Niñxs Malxs,5LvtO3umWRUI5FFZjKhcpu,Paranoid 1966,6GP540ZTiOPTz8uI76k43u,Niñxs Malxs,0a1oqXlO6nH53R3v76F1ZW,45,https://p.scdn.co/mp3-preview/00473e831e3a08a825b1608d1072bd01ed0fcd28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Dime A Ver,2uGyZNHyMNFhB8iM107qb4,Cosculluela,00me4Ke1LsvMxt5kydlMyU,Dime A Ver,5Ym76s7BarfeaDV6tOCqt6,69,https://p.scdn.co/mp3-preview/a93c5a2f2fa65ea65b589be4d076532d8328fd24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,64aJYyrXljOodnUG6jvhRD,Verte Ir,76XsfdI0kGODDdhHAJKZi3,88,https://p.scdn.co/mp3-preview/977db034b13775c79b1e16a2462553380b23f232?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Al Mismo Tiempo,7CF4dWivLZf3Hdg0FKL9Eb,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"Trap Cake, Vol. 1",37rUi63O4koMFvrSC1EMam,68,https://p.scdn.co/mp3-preview/c9ac835ca477a5f9c1d8aa3685823999448871ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ibiza (Summer Series 3),6gXouM2JAel7NDpDC0J5U6,Juancho Marqués,5JcO3FHEBbWTQMUHmWtU2g,Ibiza (Summer Series 3),0hBzdFOy1f8xPZ0CnzOJ3P,64,https://p.scdn.co/mp3-preview/4a78c196576ad49768c64fae491764099147a51d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,¿Entonces?,4cQwU9jDzA67xbF2VA0PJ3,Robledo,5VyXOfvTQljStUXx1coETY,¿Entonces?,6UEIHaK7dX0bPwxI0AE1HH,53,https://p.scdn.co/mp3-preview/a1ae805eaa5d141214623c14b3a290b76c45a1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ojalá Te Vaya Bien,5lKPVQ0bUl7rqRShbzR7l0,Funzo & Baby Loud,1nwjHzOUQZsNYX8xoWiGVC,Ojalá Te Vaya Bien,59ctqk9hBHCIKH879yopse,58,https://p.scdn.co/mp3-preview/705b4b75b6d1dc3780db372fe2b5130ad6829a2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Ahora Dice - Real Hasta La Muerte Remix,5JrI3Wxx71pwxmtTC7jXys,Chris Jeday,0qTZZWLzuD59Un5r1speHm,Ahora Dice (Real Hasta La Muerte Remix),1KBJPWBB0lEHQVaUnaZ0yj,70,not available
44,Easy,1SERiQCMNvo6ySot2jqGCz,Drea Dury,7euT1r89ub1s001dTqp3gh,Easy,1BAvif465TXp9n6z3wIJmo,40,https://p.scdn.co/mp3-preview/0362fcf44f18e119812c7b310667bb63156407b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Comunicado de prensa,1UGYiBDr73Oshjlstk7Nse,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,Comunicado de prensa,2TqroO6KYdj3I6bW5zdRP9,62,https://p.scdn.co/mp3-preview/97d3e336f0c54b09733ab64dbcd53ba0ae1d7752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Ojitos Aguaos,2Qbeil6yG03J5IZbyEG8PO,Cruz Cafuné,0jeYkqwckGJoHQhhXwgzk3,Ojitos Aguaos,6Vd3nPGDVqfO4CbWPz95mz,57,https://p.scdn.co/mp3-preview/4cb9fc4140507da24208ae852e26649dde8daadb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Pinky Ring,3vH3cmfrLIVRKR2UWjTBxM,Miky Woodz,1pf0MPKfKdvS8J779mS1Ay,Pinky Ring,3ipb3qIiGOXIOptm7Y57Bf,67,https://p.scdn.co/mp3-preview/8391098354d99b589c82a908b7da1ae57a3fab50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
