Momento Acústico,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Déjame Pasar,4CVFk9T022SVdHMOZpaJbH,La Isla Centeno,7EnLmrL4jTZKjeseaZyA0L,Déjame Pasar,4tpY1TbaUci7PsUCfWphOd,47,https://p.scdn.co/mp3-preview/5b7c2f3b041f963257d9e0befe8b342b279f3b91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Amor Papaya en Invierno,4TZ0kv6Elbb4cTsoNXxBZJ,Carlos Sadness,2LCcy9CZWwZ7Vvykt8IVVq,Amor Papaya,4SedZWefA0qnDU6mnDiXI6,56,https://p.scdn.co/mp3-preview/7244b2332963b262b5f668bc181833148e08532c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,nana triste,7zH4rnKKGm5vACoSEXBEDe,Natalia Lacunza,3Zs59sqZJ6fWQqWbRC8bOP,nana triste,6piXewR2Si4LT96r9mUXl2,65,not available
13,Cempasúchil (Versión Acústica),2DTLApG32w3cg9sXZx9rPL,Los Choclok,2iEDalkx4bi0VkRuW0QkYD,Cempasúchil (Versión Acústica),0hRx0pdbGhnhWe3rJ18LIe,42,https://p.scdn.co/mp3-preview/61e8277ffd304bdb02ffe3d84f16787a55add322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Juntos a La Par,2MgfD774UjkeSlIkgFzdD6,Joaco Terán,1cy3VfdlWVJIquPPSeJ81Z,Juntos a La Par,6zMcJYxg7ShVInOlnvLgOg,52,https://p.scdn.co/mp3-preview/c115cdfacc97d618d74245a9e7298092e981dfd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Luna Llena,0TWly1kFjXtCFSy85IICRO,Simon Grossmann,6t38N9HASTn9ca0PIxfReQ,Ciclo,0PdHrBTszQMv7M2nqhMy6z,4,not available
16,Ven Que Te Quiero Ver,2u9aCJ3FVhcPPyfReGBeiG,Alex Ferreira,3COVuPWvshbsdm0kdMMTr7,Ven Que Te Quiero Ver,7xwK9QydmsBr3tfR32639J,45,https://p.scdn.co/mp3-preview/e0f76ae6e9db58bd51258bf9f6befa31a8e5aad5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Agua y Mezcal,5tMLIgw6yxobsAyIVvfHo5,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Agua y Mezcal,73pVSGyUpVervpSru5En9G,62,https://p.scdn.co/mp3-preview/7d2f9175ab405225754401f5aba19160be54251c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Extranjera,4a0okwUUMQIxWKAAYpx5oS,Claudia Prieto,3sjhqldeYK5lqWkyefb1jG,Extranjera,4jLqUVi7hUooAgpB5xJc2A,7,not available
19,Sola,0rmMciOccq9HDXeKOfkABd,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Sola,3PM9tAkyuSAwQscctOqWlA,1,not available
20,Llegué hasta ti (feat. Juanito Makandé),1JnrSFltARbpAUX4kuJ36k,Muerdo,3Tn4gmQQde9am94ntk2NBq,Llegué hasta ti (feat. Juanito Makandé),3GGoeVNdy9IpN0f2nGRQqW,53,https://p.scdn.co/mp3-preview/415836a81d4a4a745e2e49deeba7127370bd2140?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Vámonos a Marte,2TzkIzgzIHhewMxyh1u4hh,Kevin Kaarl,6OBGbSaBUvQtk9wpQfDbOE,Hasta el Fin Del Mundo,7M4AeOUpTfAHk1Ch4xKUC7,63,https://p.scdn.co/mp3-preview/e2c3ba4caa2dbb4af1c475fb80b293b060fbd566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Guantanamera,0OGwGIp2WLU3jOC2xRq3id,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Guantanamera,7MWq5d6CmMfMcCNF0bBsFF,67,https://p.scdn.co/mp3-preview/fe553eb875f9185a2ea425317977ed36c00f537f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Si Siempre,0uSzINRFQWXcSA07c24ffv,Fernando Milagros,73swvRHLV2DJfD57xx5CBN,Milagros,0aqITiHZWBsyLE08GNMotE,44,https://p.scdn.co/mp3-preview/f672da7ef70c6b9543dbff91e68f5f99ee99fa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Viento y Tiempo,1zRI8XRq0Np1JoTtQYRZ3D,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,Viento y Tiempo,5CpzQuOIcxVvn0IsP2GeL3,42,https://p.scdn.co/mp3-preview/cc1b00535e5d8f74ccf0132596f1900807637be9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Espera,3MrXk4Ith7Syk480bdmezc,Joaquín Vitola,4GHo23JMbtceTkGJdnEaXd,Espera - Single,1Ob6bXmg7Xjmg30XKi1wpy,39,https://p.scdn.co/mp3-preview/a7c8306292a171c48040e3c1d2a2e71cd79a7844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Pepe Maní,2Jy0Mi5iIh6MDbuINIc5Ou,Bebo San Juan,6R0hKSmcMzNVxPYCeojKw2,La Vuelta al Mundo,2QEil2mIQdn0L0Sydyp2z0,41,https://p.scdn.co/mp3-preview/08b5ee3f618f411159f7d65336b2b511b57f61ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Somos Amigos (Solo Te Quiero para Que Juegues Conmigo),1tQFaamJXTXAjsPaB6wIP8,Mi Sobrino Memo,2ae7hwWgesyGJVI2vebofH,Somos Amigos (Solo Te Quiero para Que Juegues Conmigo),2s8tr0rAreEYQ0Sll4wDU8,49,https://p.scdn.co/mp3-preview/aa83424944858847a535ab4d44c6b247dcc1611b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Riéndose de Mí,0ZnmpuDFDqokEM0gget638,Los Rumberos,05k3uSz8dyKtbllIY988Ip,Riéndose de Mí,5DZuc93pCvPra5ecaYgNKa,48,https://p.scdn.co/mp3-preview/6306af27faeb7d09c44b4ace197b6297be81349a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Abril,77pmlj5NnkVBdh0HtBBPG3,Carlos Siles,3sJJKX1BqYADl9YGEYOzEO,Todos Mis Caminos Han Terminado Contigo,5xSiyL2ZavYnuN6AtiU4AK,46,https://p.scdn.co/mp3-preview/26d4d80f262945aa5e4ab6ba4a206a98d38d0333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Vas a Encontrar Alguien Mejor,539maB4zDXFXO1Ddv5FAp3,Julio y Agosto,1RnU8yJGAD2kxrrp2nXnCr,Deja Lo Malo Atrás: Capítulo 3,39Z3ncWStnY9DB88y6w1D1,40,https://p.scdn.co/mp3-preview/abcbabd846ab5af9321a2856030a672cdf602129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,El Origen del Arcoiris,1towfaOJ1x8NlAjCQsgoTg,Camila Moreno,0SJy1J0FgP21lbvGBMKT8H,El Origen del Arcoiris,1mz4DG8vji8MQaNjTT4nvH,48,https://p.scdn.co/mp3-preview/e13b5a2767060fa129701e16e4df73a31e550ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ricocó,0VQr4Bv3aRRK2ybbN2n5xG,Ø Suave,01vBq5MohZmlTE7W9oavib,Ricocó,3HkYSwb1uewdVgpsKN2etL,46,https://p.scdn.co/mp3-preview/ee22c5a06cb80578c92e78fa77ded6c8b08f046c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,El Más Común De Los Sentidos,0Na5HcdpxSYG3yTAx05g0r,Gustavo Casas y Los Que Buscan,5kbjRV8TEU1m3brTrigqtp,El Más Común De Los Sentidos,0ROFDJzHEnjHLZPeUdVmq9,1,not available
34,Cómo Me Sientas Tú Tan Bien,0cGbeeDa9ptxOZcTwSRuUw,Pantoja,1sSMrejChoHWBnCe7w6fKc,Cómo Me Sientas Tú Tan Bien,77oDZjx7G3mhHleDEaweW0,46,https://p.scdn.co/mp3-preview/b4b5a6232dfc7d8295dfe7029e03eff7de3782ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Causa Perdida,0TPcVTyTk7dvSp3H8kzbMm,El David Aguilar,4exC9EVGcJb6F33htBWbkk,Causa Perdida,3SSlBDBeqNRnicOk5uw8n8,43,not available
36,Cuando Tú Apareces,6Tnfm32OzigKk5vnc3ny3S,Miguel Dantart,1vFQssPxqAUPHmJpaHPqYZ,Cuando Tú Apareces,4KJWePBllfYtZaVUDQTdeg,36,https://p.scdn.co/mp3-preview/9f8de122a3df80ccec4ab1eb0a2309b25a148fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Aún Hay Más,3F8R2PU29MUX2Qf1MmBQou,José Madero,62nVRNDLaS8m1p31F6omGw,Alba,2CbSto4bH8Nn0Kusv7MXE2,49,not available
38,Gotas,0wELzsHOsEKWTuioQ96HsT,Tomás del Real,0LhgYcyninijD4GAKXPa3v,Tomando Forma,516bkbE6cH1JU39NGYHORG,14,not available
39,Siempre Con Vos,2HS54eoW62ToqORF6cQQs7,Nacho Rodriguez,3fgNTqoWRiML6iMv4asqn9,Siempre Con Vos,29id6pPsueBfcSr2QvY0ZR,36,https://p.scdn.co/mp3-preview/ba43d5cb33612dd7cc9b7c024d2f5ce362e67e8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ola Adiós,4Ko9JaLUvf54PmluMaDCqm,Vacación,0VDRX95OX96cR7q15oaXgd,Ola Adiós,2u4DIClRI7TDUbRY4mDZyr,49,not available
41,El Valor,5gNIp69h35QFolrSLpUUEE,( Me Llamo ) Sebastián,5PoJhiT21fXvZitg3guhiJ,El Valor,3NCBTlh4b6KwtbGq7R0Bku,45,https://p.scdn.co/mp3-preview/09e0ff1e83b09b4264a9abfe9a7e8e3c326bab1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Carrasco, Montevideo",5SkYPQVr550VYLM9OoBfip,Isasa,43T8QRjGHiSG2xynCnru26,"Carrasco, Montevideo",4uO504F56OeiXJMuY4RrXb,34,https://p.scdn.co/mp3-preview/e8ab7e95bd0a5d956cad7e0d6126a585254adc36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,El Plan,6sYfD5if57jFQTw2pbWgga,Pantoja,1sSMrejChoHWBnCe7w6fKc,El Plan,06PgQ5WJUiV16QaRZLjIFm,38,https://p.scdn.co/mp3-preview/1e154eaad20e6338e90133e2a1f5bcc17d9ccfd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Como Los Gatos en la Calle,2vYnrUzOT6b47WHQtlpZGJ,Sebastián .Otero,3L2dVGSHEWKWl2QyuXffwx,Como Los Gatos en la Calle,52aAI2VJTUFqf9KQTx356v,37,https://p.scdn.co/mp3-preview/d2a59c050e489c9d9ded0cd3ada17bc9cb51f2c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Siempre Tan Ron,23AlECRNyoiDwmx9o9E0tD,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,Siempre Tan Ron,5K9eNlOyKb4qjM7T25C3Ca,40,https://p.scdn.co/mp3-preview/d22167aed53b19ee36a7163fc6ad82f98335c59e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Darling,4kPkPrcXQatTtT8KqrbX59,Sara Ontaneda,3gNLzb7aAJ0ZfUkyEvomsC,Entre Espacios y Colores,6yQ8axVOleu7AGg4LaKr1t,37,https://p.scdn.co/mp3-preview/7be8fd10844a151ed949332bbbca1237d37bb454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bajo el Agua,4SgK50EhkCOt3kqOEGximC,Pablo Neptuno,3wcvDHkiKo11isqS7yvjyG,Bajo el Agua,2GxyAUmm04k2Z4m0MXMj1Q,36,https://p.scdn.co/mp3-preview/1626d364cafb43b4a1b59ab789c29e200ce443fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Cucurrucucú Paloma,6nhf3W6Hde1jvkbwMeonHq,Kirby Brown,1pe81cUBCGxM11cnOq17kr,Dream Songs,2xPx8bFZP16HZSfq4W1rnV,32,https://p.scdn.co/mp3-preview/06f36c6b05019b17b4c8d206b29f02a2fffdc1ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,El Dolor es un Momento,1rytrTNO2Eadka8ucjgneZ,( Me Llamo ) Sebastián,5PoJhiT21fXvZitg3guhiJ,El Dolor es un Momento. El Valor. Es la Fogata,4pEHbx1xZbdRRtfOrqcy2E,45,https://p.scdn.co/mp3-preview/26c5e4cbed3286e88d7d5e5458da7f8945bc885f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,La Caverna,0t3tlcVoZNol0f6PMdLX2j,Vicente Cifuentes,3b06h05NjiPizwnTeGybfG,La Caverna,0dfx414h3ukLsye99c2XnY,39,https://p.scdn.co/mp3-preview/f39a5c062122c29aba0a6ec01e5492371439f36e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
