100% LatinX,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Mami,3bDD7GGvIzAZeHz2TOYD3A,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Mami,069LGoUMDaNgoKStPYdSi8,78,https://p.scdn.co/mp3-preview/7fc85e58775f26a840990f3f251af120fb9af63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,Anuel AA,2R21vXR83lH98kGeO99Y66,Ella Quiere Beber (Remix),58NQUIHQRJnXyBUeGtG8KG,85,https://p.scdn.co/mp3-preview/6865a25782825b85d6dba3b8fc26b06c7faf5438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,1otwHKoQ5KPaiekpYk4tWh,90,not available
31,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,YO LE LLEGO,0uIfrUwwg0Z7KTitul7E3T,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,78,not available
33,Mamacita (feat. Farruko),7iwhbx1YQcQ675DTj6AmAb,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Mamacita (feat. Farruko),5IGJ2tmnMeHUDAJonQ3ppj,73,https://p.scdn.co/mp3-preview/b9a9540db82931bfba141b11189fbc5fd3df2d3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,X 100PRE,7CjJb2mikwAWA1V6kewFBF,79,https://p.scdn.co/mp3-preview/340f2b16c8f2e94de4f3892e19a9b336573552db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Se Revelo,3R6HDbU0koXvImpQEtHkji,Eix,384MqcXCGGFh9UcjI5Tpc5,Se Revelo,5JlGwQRrbsq9MTHRL7mGeO,54,not available
36,Atrévete,3KekO5WUfJsh7kYU9o2w50,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Atrévete,06HFdHnekZil7Rl5WdqAiK,86,https://p.scdn.co/mp3-preview/5920033084c8b49b80d96f47fabbaa747081af55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bellacoso,1kMUGCt7XLDc5Q64Vl0H8S,Residente,5GcWBUX00IPuWVGMIRK1sS,Bellacoso,0un8ZRojNl6fYFRHYzQ9GG,85,https://p.scdn.co/mp3-preview/b8b21e99fc33ccd5e727883f14b5690dce2f791f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Love With A Quality,6F9DPkjP6Tbz9FLgLyYgX6,KAROL G,790FomKkXshlbRYZFtlgla,OCEAN,4i5b4YWuMtneUSvQPONwzK,68,not available
39,I'm Doin Good,5StqZjqrI7cv7VmnTyKeYC,Kat Dahlia,1peH5tSqnYm8W6Bo3I5egE,I'm Doin Good,1kqsNyYS2SCRerEW9KGhLk,44,https://p.scdn.co/mp3-preview/8a738625c839a88bbb13886e171ea9bc904850b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Me Traicionaste,3GiPW9U9KASQZfHiv6ix0w,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,For The Throne (Music Inspired by the HBO Series Game of Thrones),00xUnMv4KFgxTBvNMsUy3T,61,https://p.scdn.co/mp3-preview/666a5c1e0454019a403bb711273e6dad209396fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,R.I.P. (feat. Rita Ora & Anitta),6JqpFboOH2bq9pzaYbkKBn,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,R.I.P. (feat. Rita Ora & Anitta),2yN1kxrx1Z1CHO5VMdO2Yk,79,https://p.scdn.co/mp3-preview/2613c3e23661682d68a3e8eee0281c8a0bb5c917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,benny blanco,5CiGnKThu5ctn9pBxv7DGa,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2IUVG5x1G7l0TW1LA61Eyy,81,not available
43,A Fuego Por Ahi (feat. Darkiel),0qeXgnhB4bYNhrwBzOsIJd,Jon Z,5bWUlnPx9OYKsLiUJrhCA1,Voodoo,25DkQ0GfRnhxLZBEiNHIs6,54,https://p.scdn.co/mp3-preview/9c2635ca718e9b4839a1725af4aefa65bc7078f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Inmortal,2swZ0X1njeU32SNJeBKIfW,Aventura,1qto4hHid1P71emI6Fd8xi,Utopia,1yM8iaMk4Slsqr94LabgN1,75,https://p.scdn.co/mp3-preview/1756d090e67c9e3543310d0c49c8944d92ba1490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,TBT Remix,5bdM8kyjBVVyA5I4cJQtVa,Eix,384MqcXCGGFh9UcjI5Tpc5,TBT Remix,4Krp60Fnm2Lb48anIPIUPN,52,not available
46,Mamacita,0OIXkSisUiEUKNtVRTZoF7,VOILÀ,6NnBBumbcMYsaPTHFhPtXD,Mamacita,6q6F3ajPHEnal0ZQtI6FMZ,44,https://p.scdn.co/mp3-preview/f4565887c4ed7e07bbef3c0cf7f7fc299d8993c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Vuelva A Ver - Remix,0GrGfs8ldZRWOrksG5uraH,Dalex,0KPX4Ucy9dk82uj4GpKesn,Climaxxx,6stPNzjz40FWTiwlOR98Lp,74,https://p.scdn.co/mp3-preview/87b934cce8b58d01fcb09206b00db07fd8a30e33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Dime Tu,1l5E7krjP8I4SaspMCVNUB,Yashua,4zTLrRqcBmj7ZDuLUrKBL1,Dime Tu,7tRap40SziA0ctviQrqF46,44,https://p.scdn.co/mp3-preview/c9818c34c1cc26ab68345b7716b3c25f7722b363?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Don't Talk About Me,0cfqbF7GBQJMYg0S6GEqG4,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,Don't Talk About Me,2DoYEnu13XoeNZ6hYvUprJ,68,https://p.scdn.co/mp3-preview/28c61d08cda4e623e76c7feeac4fd695b212171c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Tus Maldades,5HLKIivUo8EmM51PPTzZiV,Frankie Negrón,3QPEwHBLL8xX8p8HaT4S16,Tus Maldades,7A0qSXqnXEmC3R2sJYAi2Y,38,https://p.scdn.co/mp3-preview/822ad0630cf4ac453b2d77b18150f20f780c6681?cid=fa83a2fec7c440b7a2795d600d6b2c7e
