Hardly Art Records: Beginner's Guide,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Falling,7Ge8lSYXQVWzbw5cDs35cx,Dude York,5AV475oA3v91U6e9tOGRm9,Falling,5wfcvf9qOkStFgIfecgQjZ,29,https://p.scdn.co/mp3-preview/ffe903f311554cafed660ba00275845aba74a684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,A Couple Highs,2coyDMFMyQr6ZQDtns6rNr,Julia Shapiro,278GKwKbKXZXFAk1ns0aPR,A Couple Highs,7joL9aqNubcZrAKyojYxvw,22,https://p.scdn.co/mp3-preview/10b2c6f95a3a7b5b45be0245ede215639e3e688f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Renew,0yAIvuU28qobZ7nO9QcwWL,Versing,2EBCJ8wwWpJXAyjVoiwCw8,Renew,2JqAt90rEWisIk3iuw849v,20,https://p.scdn.co/mp3-preview/094113cd501be8dbf0556c42c93d6c2640d252fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Natural,2PwS9pdX2fKVAd1M0Zrnpm,Julia Shapiro,278GKwKbKXZXFAk1ns0aPR,Natural,5aGZhFhUxcUTLPAFTte2GR,29,https://p.scdn.co/mp3-preview/d6afaddc7c75e153e244c8780ac2738668721383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Night of the Worm Moon,3YClilbuEVi6pYvKgAeEiX,Shana Cleveland,5E6dR5oDjhT39zr1YuXRq0,Night of the Worm Moon,1xMeN9ti3WnHFdpzphkjH3,11,https://p.scdn.co/mp3-preview/3cc482cff0d9614b1d8d73f3341c63ba517a1871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Offering,1WeRHFIRaIgoPgT8oJWz4p,Versing,2EBCJ8wwWpJXAyjVoiwCw8,Offering,0pyL27nkGChAQIXXa3771o,18,https://p.scdn.co/mp3-preview/d1297f38814450eb297a43517554899707885012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Don't Let Me Sleep,5jjdQjQWCPouzTDZkxdRpx,Shana Cleveland,5E6dR5oDjhT39zr1YuXRq0,Don't Let Me Sleep,31Chimn3bTYmuhRNtMiZwa,11,https://p.scdn.co/mp3-preview/478af13c11d6f5bdb7012642da8869f3c1364c74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Tethered,4supF1zsQ3VPJPqBoq98Xv,Versing,2EBCJ8wwWpJXAyjVoiwCw8,Tethered,6uUeUvTH9rirUZBqSOG6hT,26,https://p.scdn.co/mp3-preview/ae00a06a9c84f095c1359ea0aca456bbe1fb6819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Run,2wb56bGfuzzXpq7KsdxDdN,Dude York,5AV475oA3v91U6e9tOGRm9,Happy in the Meantime,3pwSSIoPb7QrgpKO5ghd0g,11,https://p.scdn.co/mp3-preview/6c2a15c75aaa2a962fe4c534ec424c165d32a6d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Face of the Sun,1IN1Crb0cBwVu56a42cnsn,Shana Cleveland,5E6dR5oDjhT39zr1YuXRq0,Face of the Sun,7EkD9gfsZ48KfWiAKpSl38,22,https://p.scdn.co/mp3-preview/b6fe47f8455cf3b5224aec3180324da8b6b88464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Siren 042,75nN4kH1uzSsUdMrdUVfrq,Lala Lala,492I2sQFcHDcsZECYX25dE,Siren 042,3LOxkgI7QgviI2B6yfLx9N,50,https://p.scdn.co/mp3-preview/c7f4fd8ca56c6aaa23c905f5520f6543cb704771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Copycat,4BS7DsVryBoS8V0okGosra,Lala Lala,492I2sQFcHDcsZECYX25dE,The Lamb,5GFULjIyZ5Yf02OE2sKrPJ,30,https://p.scdn.co/mp3-preview/fc9d92072b53b98a69992b501719c83a800328ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,It's Obvious,1x2kwhBJvdArbCMIJG7Chz,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,I Used to Spend So Much Time Alone,0FbP54ka6fkCzYE6wGyRj7,0,not available
25,Holographic Jesus,1YumZef4BjBa0RpFNvibnR,IAN SWEET,6mrOjLZyPub9LcecUarcMD,Holographic Jesus,56wqqkYo2mEX5CJ8p6Wotw,8,https://p.scdn.co/mp3-preview/b1e10cdd9dd4e525d8b8888b6361143242312ab9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I Get Cut,5xupmfaga3hndDJkyE6ZYd,Lala Lala,492I2sQFcHDcsZECYX25dE,The Lamb,5GFULjIyZ5Yf02OE2sKrPJ,34,https://p.scdn.co/mp3-preview/156d6393a2cdbcc1c8f2089c6b240bd29923961a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Scary Movie,1phW4Y7GTHgAcdOHWztDXg,Lala Lala,492I2sQFcHDcsZECYX25dE,The Lamb,5GFULjIyZ5Yf02OE2sKrPJ,28,https://p.scdn.co/mp3-preview/46b4779f7d31ddb96c83e40c0fa342d57f8d52d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Spit,4vJONXYajTkqx1ZOpWVg6t,IAN SWEET,6mrOjLZyPub9LcecUarcMD,Spit,6i26SDmjlRyso0haHLXLpo,8,https://p.scdn.co/mp3-preview/218761bc9b390a048f26d637a85de4996ef7f462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dove,129Rv5RrHT5yZ5972v5bRO,Lala Lala,492I2sQFcHDcsZECYX25dE,Dove,2axVPKCuqa6jVLOz8WXQCf,16,https://p.scdn.co/mp3-preview/1e4b1f31c2a6b00a9d8f4b9c8eb04f5b13cfa725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Water Over Sex,0Dscuqqf6l7xhGwQ0Cmkb1,Lala Lala,492I2sQFcHDcsZECYX25dE,Water Over Sex,2RDmiGkewV68iWAS5HLHnB,31,https://p.scdn.co/mp3-preview/4dd6cf68a3bbb24960a0e15be0837d30aedd0256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,What Would You Do if You Had Some Money Now?,3yZVPanXnlZzyuQGjrr09f,Dude York,5AV475oA3v91U6e9tOGRm9,What Would You Do if You Had Some Money Now?,5mmrjctEl9A62e0UDkGhR6,8,https://p.scdn.co/mp3-preview/a4039347daf09c9a098a8bf59636c064ad760a92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Destroyer,77INq7FM7AzjbxLDjELwKR,Lala Lala,492I2sQFcHDcsZECYX25dE,Destroyer,1EWzpzv8cAT3tW3EnYeoL7,35,https://p.scdn.co/mp3-preview/02ed379ce0698fb70a28df210fbc8287d97d28b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Silver Dollar,4qfEHvcqP4lhqbkmhaSIQ9,Versing,2EBCJ8wwWpJXAyjVoiwCw8,Silver Dollar,1IKz7QZZTjlko2ekmvbGtX,8,https://p.scdn.co/mp3-preview/4b4b3a847d29ee9a55c7fd8282a41fb7b49cc559?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Coming for You,7ueziCnZiJBPeih9GVJhCQ,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,Coming for You,3fpqpy2owKSntAympOpAna,18,https://p.scdn.co/mp3-preview/a501ac14fd11fa1e782f4fd6e0337ad24118ad2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Time to Regulate,7nkOwZoCBqaFcPr1IiJKMe,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,Time to Regulate,6FmJeSrqD2mHIqUucOqQ6N,20,https://p.scdn.co/mp3-preview/3dba71e0a892ac94e5976aca96bf8e43c077b0d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Moon,1vpyw3X7d9o8WE0YnMgoWt,Dude York,5AV475oA3v91U6e9tOGRm9,Moon,7ttzKXYsKd0fr3yhqhNQdG,10,https://p.scdn.co/mp3-preview/4129291dabbb4d3b6892418e4ff6a4e711d093eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,O.M.G. (I'm All Over It),0hpyeeBBpPOhMO0mC6ba9z,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,O.M.G. (I'm All Over It),5hI5Fn5T5t7xKiuMHZiTY4,43,https://p.scdn.co/mp3-preview/4604b6a3bea024f55890431986f9fb924f8dfa06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Owner of a Lonely Heart,3HEG2NZUEejvqXmeavZPWo,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,Owner of a Lonely Heart,7aiiXrE2KXYanuUhm35V7C,13,https://p.scdn.co/mp3-preview/e85a25f0b1faa06b6247a25a7fb689338140d87f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Creature,6UYl6baQYaKifK3eZqf3ZF,La Luz,6QRlkjrHz5A62mqeNZz7t3,The Creature,3JVdQtnuos3lp20mwQOBih,28,https://p.scdn.co/mp3-preview/2ccb3123ed1f5a89731a0252891abf49d751abd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Shapeshifter,22piNsmLBRgnWs88IL7wpv,IAN SWEET,6mrOjLZyPub9LcecUarcMD,Shapeshifter,4h0MTnCV92J8jl8Z7fdfcQ,0,not available
41,Soviet Barn Fire,6m7EZ91j87oCfr5VssqSiE,The Moondoggies,0nigeIZAD68zTl4PfFbVFB,Soviet Barn Fire,4yntbavFaPcKOOtAehpqpl,5,https://p.scdn.co/mp3-preview/95e9326ea01e4451eabc1ba400b2c0b9217aed88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,California Finally,4WZDqm09O9jeQJzuCkVTAP,La Luz,6QRlkjrHz5A62mqeNZz7t3,California Finally,0CIKH81rh68VzvD2Sv5QPo,24,https://p.scdn.co/mp3-preview/4d8adc3557ad47f2fe592e76d9b56d07842501b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Sick in Bed - Single Version,5pjnKglrWMMmDU0y3255lv,The Moondoggies,0nigeIZAD68zTl4PfFbVFB,Sick in Bed,3E6PUTUSsPMRlB0rFIxmY5,8,https://p.scdn.co/mp3-preview/c72d8b8e9ff9b09df21df6d5f56908351bf97ded?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Getting Loose,1KcMh2RbKrxXad7WWO6x8Y,Dick Stusso,7yUlwLhbOmjtsj4Uk5mviU,Getting Loose,7MFoC68r7UgbiHxskJsfCh,5,https://p.scdn.co/mp3-preview/e7f9927746ee8fd3e95ae42f8fb0002f1601d90b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Cicada,2AWcTO55L6oS9Iuh6YhKVc,La Luz,6QRlkjrHz5A62mqeNZz7t3,Cicada,3DBFDIQQ4OXAqoU0xaRz0L,21,https://p.scdn.co/mp3-preview/a25d353f5188920a593a32a26a7bac64de6d06c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Easy Coming - Single Version,2dUm9Jlof0jllOjHgZbMl5,The Moondoggies,0nigeIZAD68zTl4PfFbVFB,Easy Coming,2iToZI3Y4GTXUp45R9CHsm,10,https://p.scdn.co/mp3-preview/7c40a3d112ade52836e8da397f0fcdc4aec10925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Modern Music - Single Version,5SFWIBwwnjEGeXtZuwecJq,Dick Stusso,7yUlwLhbOmjtsj4Uk5mviU,Modern Music,7JgmTgN9LeV8PxUmFJDy2i,12,https://p.scdn.co/mp3-preview/bc747e5f7ed1aa26c1f21b3936ba18784b13a240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Break Up Holiday,1TQaN6gd939bAW7MmZJ6mA,Dude York,5AV475oA3v91U6e9tOGRm9,Break Up Holiday,4qSSCXto6q2kKSp94BkP2b,12,https://p.scdn.co/mp3-preview/325ae7b4ebc077d1b38b9e0cbf2c2138943b06fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Baby of the Band,2NmcJLFwq1w3K17FWNYyik,Hunx & His Punx,5xTWck1vHVlTTI0jTQzUuF,Baby of the Band,3m8vCnCnXmBmtlwAjpUTrS,0,not available
50,Oh Baby,4s5bfn7xp9E6DJ2Of19mMT,Colleen Green,0LHZaUvES8NniRWNuhHNJl,Oh Baby,5XmElSaJcaYhxf8EX0CHhN,0,not available
51,580 Memories,5uxLIq7xUSHWUxKQ8cMmzP,Protomartyr,2YFBqMMiIIL4XyiEwqySUQ,580 Memories,0bI4nqk1NEGLWXcH8u4V9b,0,not available
52,Believe My Eyes,1AxzkYm2uLPgkuL64txB6f,La Luz,6QRlkjrHz5A62mqeNZz7t3,Believe My Eyes,5miapuY633E31UUTOfi4gJ,0,not available
53,Dull,1RFfkBxhCGm1n5NN1hIwa9,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Dull,0KHDry7K45PqC8bBbc9mLh,0,not available
54,Tapper,7ABjOF4eJyn1ObrkdZzLbN,Gazebos,5QP6YlOw9QlFgb6pRG6euk,Tapper,2kNLGKC83oxMCTakhMVCBJ,0,not available
55,Kill Me,1nnmCNHgfce28KjZ5ibSoB,Grave Babies,7b1ogPT2uJwhwGjsJW0HgQ,Kill Me,2no5BA795XY6qTnMPoZVnZ,0,not available
56,Bug Museum,0N3FARRN9PKrf05gLkoYwp,IAN SWEET,6mrOjLZyPub9LcecUarcMD,Bug Museum,0uz8d5DhdAbsmXY2qcuVBP,0,not available
57,The Haze,39BY9xAcE9L5Uh1F67i6z3,Hausu,3cyUicaq9QXn18N21Sxpwk,The Haze,34XiJUGHhXRkwpdZEHmkrY,0,not available
58,I Steal You - demo,7I5hFCQCQInSd0AziRAXQO,The Dutchess & The Duke,0Pqt0UDLpfUPo0zw6zezeF,I Steal You (demo),38URnzgRCWiVmVrBEDhvcR,0,not available
59,Someone New,6Bi0JutTMBnlUZswuMJ8vN,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,Someone New,3rjdaAv2EPTBafUg4v6FL4,0,not available
60,Punk Song - demo,243mEyaqMhy7lpVp8tkWzP,Seapony,2oXlRFuAhCNnKcjQDu64GI,Punk Song (demo),53qbcA1dJMIqzRu9ZRGsOA,0,not available
61,Mines of Io,0v5xe4avPjBfFaH7YNsXtQ,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Mines of Io,0lkKCafGSMc3HY1zq9vs7V,0,not available
62,Roll Away,0KbpLlkzpqix5R3GLBF8MO,The Moondoggies,0nigeIZAD68zTl4PfFbVFB,Roll Away,3Zbx2T4qG9RwThb1dPGbPz,0,not available
63,Fake Flowers,3BCCmnJmzm2rCEw0LJ5xAt,Jacuzzi Boys,6Jy8DN56YeZwPFUjdPa0QB,Fake Flowers,5t8IEjkbraOdRszqel4Mpp,0,not available
64,Pilot's Out,2civ0OjtTX7BxmOaztGfjL,Arthur & Yu,26wNf74KJuJNrmWhkLSTMK,Pilot's Out,188rxMnajkszTgdYMSp31b,0,not available
65,Powerful Lovin' - live,0RunkA6R5TTkOWbEqX6kqM,Fergus & Geronimo,2PYGCPBQHmSXFx8iQmL706,Powerful Lovin' (live),70g21JedMGEROmDjU4CIlf,0,not available
66,Used to Spend,69gzYwcOL8xtT4VLBBMKtj,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,I Used to Spend So Much Time Alone,0FbP54ka6fkCzYE6wGyRj7,0,not available
67,5am,4DOJpnkEWV5rDRATnVvwEJ,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,5am,2G00mwgzKnAAzb2U8ICuAP,0,not available
68,Caught in a Lie,09xPDoj5XaoxHFKfr8ZI4f,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Caught in a Lie,1MxTzkn1r0cOhGlmChBq3v,0,not available
69,Different Now,5tA5shSEKB44zDYKkLfTOx,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Different Now,6J78A61dRJvFO0K5BdGrZL,3,not available
70,Love Is,7JdujWQHCDR3sC62J0B1SH,Dude York,5AV475oA3v91U6e9tOGRm9,Love Is,2hLGXKpkBECzQUxSw1XuJH,0,not available
71,Tonight,0RyjSRagrL3uHWnQqNF8po,Dude York,5AV475oA3v91U6e9tOGRm9,Tonight,6l7dqJTYfKSOtWwVbX2Bcd,0,not available
72,The Internet,1KRuHMpsWUyoBC3OaVoBXF,Tacocat,3h0MN1neFknEvlYKxFmSQW,Lost Time,0VYPxPMRu8D7PYvsCgwuRE,0,not available
73,Oh Now Honey,0JOVBdnwiZBg59jer21YAB,The Moondoggies,0nigeIZAD68zTl4PfFbVFB,Oh Now Honey,3f566vETWGFEHJ2v0aHVR9,0,not available
74,All Skaters Go to Heaven,2iGU9r2IqMg9qqyDpqlfCT,IAN SWEET,6mrOjLZyPub9LcecUarcMD,All Skaters Go to Heaven,0FtKkOCoTIwfUARyhgDxen,0,not available
75,Mr. So and So,5C8PhHzu3O9d5Cdx2Xq02l,The Julie Ruin,3jCDV35GjiUGWYWKgMd9CF,Hit Reset,4D4vLiYKRycKzBSX1Y1sjg,0,not available
76,#23,1AzypfWR7BDwBn9DcWBXKR,IAN SWEET,6mrOjLZyPub9LcecUarcMD,#23,3vRbDA5y466HgXxZnRlPbJ,0,not available
77,No One,3mrJPT6guhEOqtcdes8USS,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,No One,74cKX4A6Dq3t6KrLqgdIui,0,not available
78,Black Jack,5GjsA4Mik9nvpdBkfdgTuR,Dude York,5AV475oA3v91U6e9tOGRm9,Black Jack,7lEhmDGYebhHuzJZvETYXG,0,not available
79,Slime Time Live,6kZqQ1p9MUWqxMz8COZyVk,IAN SWEET,6mrOjLZyPub9LcecUarcMD,Slime Time Live,6ft5WCNq50f0WumJUTMdPX,0,not available
80,I'm Done,218y70b3jpsjexnE1Yq2fh,The Julie Ruin,3jCDV35GjiUGWYWKgMd9CF,I'm Done,4wE6SXj1AVydOeT49M0zEL,0,not available
81,I Decide,1vxxjkHTDIvJDs5SOTcj6D,The Julie Ruin,3jCDV35GjiUGWYWKgMd9CF,I Decide,2p6T3fRUcEg1rrvNcT0dvp,0,not available
82,Dana Katherine Scully,5mmgUNS61cmXpy9wmGC17l,Tacocat,3h0MN1neFknEvlYKxFmSQW,Lost Time,0VYPxPMRu8D7PYvsCgwuRE,0,not available
83,Talk,6xwdYcR7oNYF9AMefmOvac,Tacocat,3h0MN1neFknEvlYKxFmSQW,Talk,0vZ9tfDEXW2RxHlDWMWZsO,0,not available
84,Just Get High,1ZvpZd8mOELySsvGU6UrER,Gazebos,5QP6YlOw9QlFgb6pRG6euk,Just Get High,1Uf9lJD5fTqUN6FFGtO56k,0,not available
85,The Bog,2rk9lDLXCmaFPJnVVGOTxa,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Gone by the Dawn,7eNHEO8VL9jVzwhdSkqLsb,0,not available
86,I Hate the Weekend,2rSuWBGR6li7anapMGgPhu,Tacocat,3h0MN1neFknEvlYKxFmSQW,I Hate the Weekend,3winanUX7hk0gYN8LIBCZP,0,not available
87,I Don't Wanna Be Here,0kiQC8FlARWQf20ZslZFaD,Gazebos,5QP6YlOw9QlFgb6pRG6euk,I Don't Wanna Be Here,2xVTnzewolFtnRA0cUPctv,0,not available
88,It's Too Late,0fQ1vgGd2wQXOpeoZa4q08,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Gone by the Dawn,7eNHEO8VL9jVzwhdSkqLsb,0,not available
89,Metal Me,2XFH9JxVgQmeeOoeySHejt,Grave Babies,7b1ogPT2uJwhwGjsJW0HgQ,Holographic Violence,3xJQmsDbmekkMwH3WnNA7I,0,not available
90,Remember Love,47MJqZ9l6RmwUr2X7VqnbK,S,1ZdExG4ySeqy04z4DwAXgI,Cool Choices,3UWE6KGxJ1GvqIr621HdVs,2,not available
91,Point of Being Right,2oUggO9ymqZIoodeXHmWCk,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Gone by the Dawn,7eNHEO8VL9jVzwhdSkqLsb,0,not available
92,Dope Cloud,5fyIwQVDHKHqRhgQR3EmqW,Protomartyr,2YFBqMMiIIL4XyiEwqySUQ,Dope Cloud,3TEeIrBjAwxVkG9wHek8en,0,not available
93,"Black Hole, Weirdo Shrine",5NjuM3xuVrQxcpHsbNrqvc,La Luz,6QRlkjrHz5A62mqeNZz7t3,Weirdo Shrine,6q4OSe8nsfQ6eHYETx7yis,0,not available
94,Braid,1zcEDhNeOhque1DDGnnsde,Gem Club,7mfGqyAztYr0FI5gK5OCNp,In Roses,5tFX6Cl8byjXfgoFjedQWY,0,not available
95,Like Gangbusters!,3w6HTX2TgmrC8jpKf1hJfO,S,1ZdExG4ySeqy04z4DwAXgI,Cool Choices,3UWE6KGxJ1GvqIr621HdVs,0,not available
96,Why Does It Shake?,6fcyjkhUYa4bSEX5TV4jTF,Protomartyr,2YFBqMMiIIL4XyiEwqySUQ,Why Does It Shake?,58qI8k7nykN2qNWP6qSb6C,0,not available
97,Don't Wanna Be Anywhere,2zOrN0FjAgST6afaVMfzRH,La Luz,6QRlkjrHz5A62mqeNZz7t3,Don't Wanna Be Anywhere,0mJZgmllCwxKqhc8fSUJgS,0,not available
98,Joke,2sOFb3iokT8caudADc3ZnN,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Time to Go Home,10kPjDQXraJLGgXVO3cLz9,0,not available
99,Corvette,4A1dAwvnqCNaePhT9L2sw2,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Corvette,1uKWxcaA7dD1J4I8Q1ypxg,0,not available
100,You Disappear,6kTFyUJOHScLXalVWBc7Ov,La Luz,6QRlkjrHz5A62mqeNZz7t3,You Disappear,1pABke2yji38acjJufc4Qn,0,not available
