Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,The One I Love,4CTkHewevcDjIT3j9qb36e,Ellen Krauss,1hY6WSJRQy3FPTnmprOBVh,The One I Love,6Pf7ZUDD3Oup6DQOEhrBol,62,https://p.scdn.co/mp3-preview/ed3ce3f5378df87b98313c7737055287acefb31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Bloodstream,1UgUpku6JtGVBerwDVurHr,Conor Byrne,0hEeBhTVYUKs2B4PY2IdMB,Bloodstream,25F5v8WWVCCSL7II7HXZJu,56,https://p.scdn.co/mp3-preview/39cfa464d834f4e61c4e506faf10b906391281fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Heavy In The Morning,1ERPi46mkhiCL5XmTAdZAc,KAWALA,58bHgbHOExsHSOGlf0uUkL,Heavy In The Morning,6jp1isHMWcqdyXJQPc8fML,47,not available
51,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,72,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Different Kind of Love,1u1gxhg453Qv1sBUYtomtd,Hannah Grace,597GQ9dmhOQoBfqmfQINKB,Different Kind of Love,7Ad8aMOpk50RA9KmlEtCZK,9,not available
53,I Won't,0d8ecVQ21crDPnkOmstmig,Richard Walters,3rUqgY188kWz0hKkqnpk9F,I Won't,7GlB46U9wtvRcAu95TeAjt,56,https://p.scdn.co/mp3-preview/ac33b35d31aaa65fb8f8aeb3143a5b96cd074c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Copenhagen,7InbW1uQxnPs3pIvh6gGu8,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Copenhagen,5VLdsaraoRFqlVypErg2lq,56,https://p.scdn.co/mp3-preview/d111e61f93a9dd6d4b969d308f859b87571db901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,July,5a6pdCHlWS2ekOOQ70QnAr,Noah Cyrus,55fhWPvDiMpLnE4ZzNXZyW,July,2YQptVBjUJeIOBavD1AyXg,80,https://p.scdn.co/mp3-preview/b772266fa0e6a75c3d73a816f86098c0a96de110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,85,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,You Say,6Up545NUflOiXo8cEraH49,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,6pmoTLfsPpn0wisT3YFJSN,83,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Breathe In,05jMBDlGSJgIqEuw5xo38F,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Breathe In,2td0d4u3UYjWusxqccZVIo,48,https://p.scdn.co/mp3-preview/2e458caa2a0bf6b43c18aa383e47ac05d3ed3469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Dynamite,6e7Eudq88wcygOphhtQnrN,Sigrid,4TrraAsitQKl821DQY42cZ,Sucker Punch,4OaTrPkuAYkelxCnm92njS,59,not available
61,Betsy,44MymW41kEmbIfJK0mGHzI,Billie Marten,02YLJJnWC7YQVixkjEBRn7,Betsy,3PULVt0k5VViDDMmOudDhq,49,https://p.scdn.co/mp3-preview/d29505691376172f341007798944c62d553ecb71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,October,2cDcrN0P5EupLuv0iye5Oy,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,October,3NArrZxpa1TP6h1xVis146,67,not available
63,Carry Your Light,1aGdvA6S033vzVT7NEh0IP,Nick Wilson,09Z3wZ88af1pfyJxziESQF,A Face I've Never Seen Before,4V5lduQnf5bfrx4FnLno4T,55,https://p.scdn.co/mp3-preview/89a5b05c6e38e00e874f6bf57244d1a3aff29781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Real Life,1YKWVtChHNu95KWJQMgtwi,Emeli Sandé,7sfgqEdoeBTjd8lQsPT3Cy,REAL LIFE,2IDveJpLabNqS3bSavJ9T6,56,not available
65,A Little More,4MjMWeU6r2aOrH0kqEVTTU,Peter Whitaker,20ummgOmQDjIjshUVQSmGa,A Little More,1VQFMUgQamT43hK4mmIPt5,48,https://p.scdn.co/mp3-preview/8503f2320ebcadd2b8039c70cbe6c51f58321451?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Must Have Been The Wind,0A5GgdYeE7UJDnBeXuZWma,77,https://p.scdn.co/mp3-preview/68b70525da23fd56860cf53bd7c4d8429e56f4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Sorry for Loving You,7pGVO5MSqbM4XNrbEijLJO,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Sorry for Loving You,2G6OyMuEbPKo1As3ySDZnP,52,https://p.scdn.co/mp3-preview/30907b2de76386e850d4d5e187bada5ca835b539?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,XO,0K4MI9SPEoCFF21Ss4BuOG,Lucy Mason,5le0MJ677dF3FFRwVEaMO7,XO,6LbdCdK8vzP0Zm5k0GEQLO,45,https://p.scdn.co/mp3-preview/e3f28ac0c863f4c7ede7913516bf1b640af4952e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Headlights,3IHdzl5BgvBJCScbAC8BPH,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,Permanent Way,4SJv0ML9KXGtEk6YdPK9Sv,59,https://p.scdn.co/mp3-preview/0a8e5264ac5f310430ad7c195674853b546e66da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Into the Night,5ac1GaQrBIZXs72SaSy9R8,Tom Speight,02U4dXZhGSo07f66l8JZ91,Into the Night,6JVMLCooxuMEnudQzxZGSb,49,https://p.scdn.co/mp3-preview/5abc3717d063dd6918d8adfa0286e3cefcaa0d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Lovely,4edwvi993VpzQDn4gGaDdO,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Lovely,6jEPmqUTjbrKTQY7X4RdZ1,11,not available
72,Barcelona,0Obw4BtHqS4xkgKLliS9sa,Brother Leo,4FEOZMbo7XIdGHVrrioAP6,Barcelona,3LGMGt3NT68OsawMb7eXAr,48,https://p.scdn.co/mp3-preview/7a04c55e66e68e8b69556aa1fcfb182dbe456e30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Sparrow - Acoustic,4bqrX6NqGUeB0UJMeAlRym,Emeli Sandé,7sfgqEdoeBTjd8lQsPT3Cy,Sparrow (Acoustic),0pR2KtDYOW8WI8Gkfmb0Vb,44,not available
74,Saint,2yhCKiofDY2KHA8rMrQ5La,Mabes,1kTrYYWMLQsBKlbINUg1Su,Saint,3wuwMu2GRL3DndY9upxRsK,16,not available
75,My Town,4byXfN1jpa3c0Zsf6caGUa,Emily Burns,6Gi8ZaXGx8MK79HwzXpuVZ,My Town,0L89zjByU70tf0cxK7rv20,55,not available
76,Easy Tiger,2IbzYGcve6P1QV94UFxtik,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Easy Tiger,21rJkp3ysXGOSL7320EFTL,62,not available
77,Inside Out,2vnocfBFbXPm4g9gsqquXf,Mokita,3sKeaby6GMSJWgYueZaSjE,Inside Out,1KJOwJ0GGbbGPoOPGf0qda,58,https://p.scdn.co/mp3-preview/63a4cb6cfc90ae85e29e4951d74263859a6e1a21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Hand in Hand,6QDF4mjfJE0uGQaksGGdC4,JODIAC,5kQNAKOTMNGwPbqfzW3uJA,Hand In Hand,6bWTxcfn8fFJxTEV2rP6D0,48,https://p.scdn.co/mp3-preview/6a239b7437a446a705dc4a417dfa1ff6d044affc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,please,0TzeZppPwhEhySYaNRulr9,Chelsea Cutler,5JMLG56F1X5mFmWNmS0iAp,brent,16mjtcKPxpQ4ajFHmJ0hJC,70,not available
80,See You In Life,4dNZaLSXpJMQowi7LX3gtC,Valentina Ploy,4RnzpVhMevUeU16FlV4e3e,See You In Life,7CmqyXDDAdWTBdkgNxPEGI,64,https://p.scdn.co/mp3-preview/1809a7f6bc4e56daa29c19aeb80279b58266001e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
