Your Coffee Break,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Willy Moore,0z22unYBjF5ipxX79ifQgA,John Smith,56GNqAFg9wJNTwcHsJhyS2,Willy Moore,5KAfRnS9BZEBZXYGKxVVvu,39,https://p.scdn.co/mp3-preview/d66649e229927d4b0b2853b079cdac1b1334e6e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Willing to Learn,2ra3iNlmcfy88qgb6sgGzt,Archie Faulks,2hCzdMMvBblxJRezKNz5BY,Willing to Learn,0znXiXlK1HZfGBdQXjGw7R,41,https://p.scdn.co/mp3-preview/bed1d956ce593f7c0bfa65019f4a48fe0d1c4fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sleepless River,0m9CDmNcK0iIAaWiWFKTPJ,Matthew And The Atlas,0lSENl3bteP8p2NbiSP7RM,Cali EP,5nkAtk1zo3PzAYEuWZPbnr,43,https://p.scdn.co/mp3-preview/f0ec6c1f588f93d710d27a3f90611c75af099eea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Elevate,4vSV8eyKPAUNtMLSpBOtHK,Ian Britt,38XL5Cgg38mgNp6C5wtYmv,Elevate,3ER0KAZXwJCn3fIsx8eGuv,41,https://p.scdn.co/mp3-preview/d245554a117ddf44638036dc99ab75890cd10ac6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Easy Tiger,2IbzYGcve6P1QV94UFxtik,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Easy Tiger,21rJkp3ysXGOSL7320EFTL,62,not available
27,Apollo (New Love),2JLPTE5z1NM1x4dlM2xFt8,Tommy Ashby,7y1RS42LqlRYnpONXTjN3t,Apollo (New Love),2BVVCzCVeIISiALcGndu8j,49,https://p.scdn.co/mp3-preview/013542305f19d17065158a5ebdd5c5b00b0210f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Second Moon,3uiaMYZs4V2a0qOIo6GhUW,A. Smyth,1W8wCW1bueJLSneFMyYReA,Second Moon,1LhRTlQRHimOilKpNmhErk,40,https://p.scdn.co/mp3-preview/64cfb1041f88d2056db984026fea78d09458c197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Little Love,7kuknPPa148Ex9XUpYvvIZ,Tom Speight,02U4dXZhGSo07f66l8JZ91,Little Love,2Q21uR1dGlu2eLpH6skFc2,52,https://p.scdn.co/mp3-preview/af7d4ffc9d574ca815e9bfa0bb63ab4f011f17f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,I Make Sparks,5SDHPiJN0Z7qlUNvXJhPFo,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,I Make Sparks,41C6CAsnARCxcgE26D0Sxm,61,https://p.scdn.co/mp3-preview/db2a49bf20d840321459fdd1138029d88a313657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,America,2ydhxOqJQrYEETtWcuD06y,Mabes,1kTrYYWMLQsBKlbINUg1Su,America,165tYANcQE4kZWM0NHx6Y6,61,https://p.scdn.co/mp3-preview/c6b31ec30e0cbe4e4b9230061490a49030c462b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
