Chilled Pop Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,I Wish You Knew,60Vj9zLAwQUf922DztbFEs,CAGGIE,1heHpKKrCRibu4H4CjNjAD,I Wish You Knew,57jW8WhggnbfKLnKzrfrgc,48,https://p.scdn.co/mp3-preview/dc8ce0242ce86129cb5b5b2637f6da04ed96e872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Best Part of Me (feat. YEBBA),6Z5DhADmyybfKNdymaPLjB,79,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Obvious,571VNc92B31a5QMcE6eCAO,Adam Rom,4oOcOSicmBDeT6JfIWnCbf,Obvious,1WOAdT3PLWzDVWJpNm7nqF,46,not available
27,Let it Be Me,12PJCkZit47Sr3K705SZIm,Justin Jesso,1QDrz3DMMaz3TB1cm0PGDu,Let it Be Me,2TrHCst807agFlmPDgR7Ta,61,https://p.scdn.co/mp3-preview/8d9acb0bc4c62ca4e71e1e4c454910c306e723a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,I Don't Know You Anymore - demo,6QSH5lHbiKxOTqc9WSdi09,Sody,01y8iBZYk8aeNfPsuTVrAt,I Don't Know You Anymore (demo),0oEcktTBdE01o80o1ZSFsO,58,https://p.scdn.co/mp3-preview/579a6a753a202f5e7a55e35cdd725f94c53c4a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,58,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Seven Seas,6vmXmaxmMv69vNskxdWFJx,Curtis Walsh,1skYjCzZNmy9Zjk7mdFgeS,Seven Seas,7EEBJaDByFeEmiEfFrALwC,53,https://p.scdn.co/mp3-preview/8b45ecb0a067312168d4b1754592d8440b005888?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,I Believe,1vYh9x8UmFTLbXiizk9Qc5,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,75,not available
32,Those Nights,4R06uQw0yBQXWmatdIOlch,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Doom Days,2QzbL1DICo4xZnWr8Sw4fF,69,not available
33,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,72,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
