Alternative 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Creep,6b2oQwSGFkzsMtQruIWm2p,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Pablo Honey,6400dnyeDyD2mIFHfkwHXN,83,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Into My Arms,0dDDB5Y0USPabzqBmajLJr,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,The Boatman's Call (Remastered),4ij84pOJd9kY2uNdT2dOH1,14,not available
14,Bitter Sweet Symphony,5yEPxDjbbzUzyauGtnmVEC,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns,2okCg9scHue9GNELoB8U9g,28,not available
15,Babies,1pUNeXXcmAJOyK6TiVL49n,Pulp,36E7oYfz3LLRto6l2WmDcD,His 'N' Hers,4YhFzXoRDlowowzzNnNnP5,9,not available
16,Where Is My Mind?,6mcxQ1Y3uQRU0IHsvdNLH1,Pixies,6zvul52xwTWzilBZl6BUbT,Surfer Rosa (Remastered),2l7RPWC3E6eStJJLBsUeCI,75,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Laid,3PJqVKBvamWgzODoRwqZGm,James,0qLNsNKm8bQcMoRFkR8Hmh,James: The Best Of,0ce2oLBbMhAL3TFcsZZHpb,14,not available
18,Live Forever,0ZyrgDl8C0Cq9Gt3nPxqvd,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe,5pH9YRGTX44n0G3p2pHBlx,8,not available
19,Dry The Rain (Remaster),3soLwFvqNYT90pZHSZhmK2,The Beta Band,2LMR8u7DOMF0FBseDpTsRa,Dry the Rain (Remaster),3vgtPUuKQeisfGXQohiewS,43,https://p.scdn.co/mp3-preview/835efad2be59c67fd79dcfd07012028490ee8b0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Grace,113VT0dXCsqDAAfe8JQ2xm,Jeff Buckley,3nnQpaTvKb5jCQabZefACI,Grace (Legacy Edition),07Fr36M0hRPJrSJMFWGnvD,40,not available
21,Waltz #2 (XO),5AMrnF761nziCWUfjBgRUI,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,XO,1zOxlHQGGV6EH7n4OIFTyh,58,not available
22,Something Changed,05FgZdqxXg40X0WG8MmWMA,Pulp,36E7oYfz3LLRto6l2WmDcD,Different Class,3ly9T2L4pqTZijFgQssd3x,55,not available
23,No Rain,6txWz9UapYHVxEd7dDIHXT,Blind Melon,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,55jET4vDioHHd7ztX7OX3h,75,not available
24,The Universal,0qmCWYu7hOvriyuqXfPw7I,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,55,https://p.scdn.co/mp3-preview/9cbfbed3fc8ce3c4a7f7df35f4058d32fe86fea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Slight Return,3ATIyi8OsM5ciO0CDd2iCs,The Bluetones,66nOkPJTFgK25NMmojG04V,The Bluetones Collection,4Y1kBAxpJPxH8dQykSv9kz,46,not available
26,No Surprises,1bSpwPhAxZwlR2enJJsv7U,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer,7dxKtc08dYeRVHt3p9CZJn,72,https://p.scdn.co/mp3-preview/de1369604de29117d80cfe277054c5d0d11ef732?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Girl From Mars,1JYs5OOgeW1jAOaiiLlJdx,Ash,2evydP72Z45DouM4uMGsIE,The Best Of Ash (Remastered Version),5BFwMp5Uzs15Zasy5YOqib,57,https://p.scdn.co/mp3-preview/b7ee0d04e0bb511f4aef5df9f55f96880cf79d0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Regret - 2015 Remaster,1UVll7jjUlqSGxCZ6uXVaD,New Order,0yNLKJebCb8Aueb54LYya3,Republic,7mIOgbore2HTzdh2ZyS4rH,59,https://p.scdn.co/mp3-preview/d0b7b9eea3ec5a818feaa40e9094c9e8ae4164bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Spreads,1vW6lAtewJNs7oezT8wDQd,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,Second Coming,6cCshTDWi2wp5eluBlCfrv,8,not available
30,Disco 2000,2aC8wwfrM0YeTAzzk8hxqC,Pulp,36E7oYfz3LLRto6l2WmDcD,Different Class,3ly9T2L4pqTZijFgQssd3x,66,not available
31,The Drugs Don't Work,2KArbNRAnfGcnZ1gSYhVy5,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns,2okCg9scHue9GNELoB8U9g,11,not available
32,Alright,5xC8uOesnn0udeXAYlAnoY,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,I Should Coco,3YfIjaJEWqiSbKPguS9Bxd,73,https://p.scdn.co/mp3-preview/b8476ad1aa953668867aa8fadbfb2a9800ad017e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Only One I Know,17hdos7cv1vAvcfoTU4Pym,The Charlatans,5fScAXreYFnuqwOgBsJgSd,Some Friendly,0JWdN38GXUuoG3zHmXKmnj,62,https://p.scdn.co/mp3-preview/d7eb5679bebd9628a81303705d706533e84c6240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The Riverboat Song,1oPg2EYKf2hbS7aDyE8j3S,Ocean Colour Scene,5vIOGcdmx1eIkq3ZtuS12U,Songs For The Front Row - The Best Of Ocean Colour Scene,11UaUnzpCWmm1ARcZtEtFG,49,not available
35,Do You Remember The First Time?,3rhITD3Q7qlOMCebBTHL8N,Pulp,36E7oYfz3LLRto6l2WmDcD,His 'N' Hers,4YhFzXoRDlowowzzNnNnP5,6,not available
36,The Wild Ones (Remastered),10hLkl5k0NjO7QAJvoVzIy,Suede,6PHIK3kjWggLtVygsOtpqS,Dog Man Star (Remastered),1LgpJjBJIRQhkJ01oZR3Cn,41,https://p.scdn.co/mp3-preview/1214dd0052c4089d4ca4475b55302723bc622e8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The First Of The Gang To Die,5zflsn7VI8qyvzrowMoTgF,Morrissey,3iTsJGG39nMg9YiolUgLMQ,You Are The Quarry,2fx319btAq5glC9N6tQ8Wr,24,not available
38,Let Forever Be,3m1JFLpKLYgMi1jf6Bu16P,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Surrender,1QJP73UumgERuzp3yJSXw3,56,not available
39,Race For The Prize,0XczuPchMUnMpsLvHOsg9Y,The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,The Soft Bulletin,0Gpcuci4CMpKHvZPM34KWg,7,not available
40,Man On The Moon,4jLv3tDBu8ww2R07DvL12s,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Automatic For The People,0BiNb8HYR4JvuxUa31Z58Q,67,not available
41,Beetlebum - 2012 Remaster,4OHVCeQYPncEwZOtNAJZZx,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,57,https://p.scdn.co/mp3-preview/28ba45b522401cb7363bbf0467cc8ea551dca8b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Day We Caught The Train,5bWLIVKl5UrbQ2xEGfAXOK,Ocean Colour Scene,5vIOGcdmx1eIkq3ZtuS12U,Songs For The Front Row - The Best Of Ocean Colour Scene,11UaUnzpCWmm1ARcZtEtFG,51,not available
43,Just,4SE81CrzH0qPA8KHqM9Syz,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,The Bends,500FEaUzn8lN9zWFyZG5C2,62,https://p.scdn.co/mp3-preview/1559e516a6ae34f2a3aff2ea411e6ecf2881e173?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Goddess On A Hiway - Remastered,1ddq4weEupa9Mh4SH1ruIY,Mercury Rev,77oD8X9qLXZhpbCjv53l5n,Deserter's Songs,7djamhNmvVLPDg9FbO149d,54,https://p.scdn.co/mp3-preview/47ee64bf8e28f1406420b32f7befaed664fec43a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Out Of Time (25th Anniversary Edition),6yEuIwTQpciH1qtj7mP5GK,71,not available
46,Here's Where The Story Ends,4SPi5Pl7aAtauFsH9Lk5LB,The Sundays,4nlqDmbzFzbNITaqjJv7D7,"Reading, Writing & Arithmetic",4bofszhtDfGY6smHBGeyTT,50,not available
47,End of a Century - 2012 Remaster,4em17FyyrOE8Miw8rJwJhn,Blur,7MhMgCo0Bl0Kukl93PZbYS,Parklife,0YS25Dr3hMtMFlVTfuvzl4,49,https://p.scdn.co/mp3-preview/9d7af662856eaa92627875893b1acc8527586110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Malibu,5bVOX6eyHsML2sB4aMlZEi,Hole,5SHQUMAmEK5KmuSb0aDvsn,Celebrity Skin,2KE8WCHtD8qnAxXeIzNEId,61,not available
49,If You Tolerate This Your Children Will Be Next,2VmyLy2HQlkevZYboXHM5O,Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX,This Is My Truth Tell Me Yours,3gUL89r4nMGlkjRdfiZfZW,62,https://p.scdn.co/mp3-preview/fb93b197850d0cdb2bdb5bb3c4a15873cdbd6c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Susan's House,6DJGcxLJlkK7egBtb8iu8o,Eels,3zunDAtRDg7kflREzWAhxl,Beautiful Freak,1GJwrOcVkg2kCtI8RUZEdy,5,not available
51,Chasing Rainbows,5l6ab2amq8jjuNqaxFsVrl,Shed Seven,3iejrAcqxYoVgyxp6zkWgs,Let It Ride,7wTnoelmadLnvEXH8Je1nA,7,not available
52,Parklife,3mqRLlD9j92BBv1ueFhJ1l,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,56,https://p.scdn.co/mp3-preview/752746889d024cfcb6a5c39d3c28157f20079317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Let's Get Together (In Our Minds),2uspdNlxOmsOZ0jViTXKzj,Gorky's Zygotic Mynci,5ShFRZUGJZL1qMkIPtYV5M,Gorky 5,4lVjw9d2tP1jAHVutVGGV7,38,not available
54,All I Need (feat. Beth Hirsch),7jOM0KIKgIppqIEvEjixaj,Air,1P6U1dCeHxPui5pIrGmndZ,Moon Safari,206GTDefY2qRMQxYXmfb0a,47,https://p.scdn.co/mp3-preview/eb694445a2ea5f7f290fbf753ce28bedd98619d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Alive,1L94M3KIu7QluZe63g64rv,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Ten,5B4PYA7wNN4WdEXdIJu58a,76,https://p.scdn.co/mp3-preview/628f678adab15d9b2b8a144e4bdffd5b2c493436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Black Hole Sun,7fURZRPkB2S70sYR1naKTK,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Superunknown,1xHWwGSoF1DNE4hqgBRkJX,50,not available
57,Brimful of Asha (Norman Cook Remix) (Single Version),29capylmokCeuNAWqGitij,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,Brimful of Asha,3zImpd2BehQCHbnTiIJlZB,64,https://p.scdn.co/mp3-preview/da622af9726d1dd10b920640c46bbb91179b2d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Vapour Trail,5gLZDzJ4mIWUtYbSWF5sXn,Ride,0WPY9nnBy01s5QOt4o4oQX,Nowhere (Remastered),2diUbPZw26xieOjm3l6oNd,41,https://p.scdn.co/mp3-preview/debdeaf0a2ddb7dcca0530fa163e63724bf9cfd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Novocaine For The Soul,4uPi47C1WcnhIbvCx4zCu6,Eels,3zunDAtRDg7kflREzWAhxl,Beautiful Freak,7sqwuxORaCogFGgygafdSt,54,not available
60,Teardrop,67Hna13dNDkZvBpTXRIaOJ,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Mezzanine,49MNmJhZQewjt06rpwp6QR,70,not available
61,It's A Shame About Ray,4AzgZff7Jp0zfKljrPWz15,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,It's A Shame About Ray [Expanded Edition],1DxkKAQDMX4H1TlXCJAYyS,4,not available
62,Cannonball,11nv53N7ZnNTCgyl8yxvYd,The Breeders,1xgFexIwrf2QjbU0buCNnp,Last Splash,4lxW0axOKlImAQ0akMRz61,10,not available
63,Sour Times,6vTtCOimcPs5H1Jr9d0Aep,Portishead,6liAMWkVf5LH7YR9yfFy1Y,Dummy,3539EbNgIdEDGBKkUf4wno,60,not available
64,Yes - Full Version,6joAGL5IuD66Qgcz049ObW,McAlmont & Butler,0BV7lpkyFTbzzML7DuUnpZ,The Sound Of McAlmont And Butler,0gquqV1L3QZjZJ0ExzxtMo,49,not available
65,Unfinished Sympathy,10CiC7n8xCJJpbNcBpHsXc,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Collected,1X4zW7kIY8bQHO9gDTsIVh,53,not available
66,A Letter To Elise,7mEGddVRDdESAibWOnbXoA,The Cure,7bu3H8JO7d0UbMoVzbo70s,Wish,0aEL0zQ4XLuxQP0j7sLlS1,56,not available
67,You Get What You Give,1Cwsd5xI8CajJz795oy4XF,New Radicals,0Grjlu7ncIuCaSYvCs9fcd,Maybe You've Been Brainwashed Too,13btXEnBerpA1UjIVtsMAR,75,not available
68,Walkaway,3drQLSnECw7QSHMysFqFx7,Cast,0vBDEQ1aLZpe4zgn2fPH6Z,All Change,4QpYfKscCgJ7cciYCEysg5,54,not available
69,A Design for Life - Remastered,0uJyE3M3ecGZgzltsQKs3a,Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX,Everything Must Go 10th Anniversary Edition,3jvKfPU4A2j7tVOFkhcEi2,58,https://p.scdn.co/mp3-preview/2cf01a68a9d94489361e7a1ab3734fe9947cc012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Road Rage,1A7pz58VR2Lpc19c58QdSo,Catatonia,4Bgfzia8wyaGaTn42egzTv,International Velvet,5oORHAxHQggskA01yI3l6a,53,https://p.scdn.co/mp3-preview/7f84a82cf69d27291fc4cae6bd0c1e645bc53305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Rock ‘n’ Roll Star - Remastered,1lCuf3uU0ZdAiqxVuZUv67,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Remastered) [Deluxe Edition Remastered],3F7qb5AiQdWxuMgSyQ9zyg,57,https://p.scdn.co/mp3-preview/5715702e74edaeb04e686e61c504729d0ed08eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,History - Remastered 2016,52p8lRbIrKYjzwDMXgBVFO,The Verve,2cGwlqi3k18jFpUyTrsR84,A Northern Soul (2016 Remastered / Deluxe),4V8NUW8yUln846aiOZ8ANR,52,not available
73,You & Me Song,5KiKFJdmU6m0QWxpW9xjOB,The Wannadies,7GBLSeDdlx3gl2cxHvYuOh,Be A Girl,7bx60z6sWg9fz9Ve2AruOI,58,https://p.scdn.co/mp3-preview/7a6bfee3e37a7ce16bb54f5699f3fee8f5319ba9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Losing My Religion,4d9RTWdrFLVAGhdzvqxkwn,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Out Of Time,22c9GGhLosljU2p3xPmOfe,16,not available
75,Birdhouse in Your Soul,6pmuu4qSz2WrtGkBjUfyuz,They Might Be Giants,6zB02lwP6L6ZH32nggQiJT,Flood,7FwAtuhhWivxvK4aPgyyUD,57,https://p.scdn.co/mp3-preview/e1e68bbd3c13317b0f7f58fd3181feed4720c7cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Patio Song,6fNg0XJSCq1Dn8GEtoDxbB,Gorky's Zygotic Mynci,5ShFRZUGJZL1qMkIPtYV5M,Barafundle,4gPAbPEWrnz3KmSvJJBS1f,42,not available
77,Corpses In Their Mouths,3kkDPzmtGVHhmedF3v9k7v,Ian Brown,3s398TKZNahAURRacx7oIT,Unfinished Monkey Business,7MtDCSa2vkF4yfNCNLjgLx,48,not available
78,Beautiful Ones (Remastered),0RxWeRjUUQqGUxOYn5gniE,Suede,6PHIK3kjWggLtVygsOtpqS,Coming Up (Remastered),3XCVHuvuKhqPY5sOFEw0Qv,51,https://p.scdn.co/mp3-preview/6f3cb6220b2abd53ab3af7860d83a4967388d24d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Every You Every Me,3tRv4ZYZimrL27flnjgeR6,Placebo,6RZUqkomCmb8zCRqc9eznB,Without You I'm Nothing,2cDDG5rnwEgjNL8Q0cO9Zd,67,https://p.scdn.co/mp3-preview/a281fc491f2249d525284d1762566e27f94ae169?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Staying Out For The Summer,59GIjxze4m7lutOfemmKvu,Dodgy,1dekSPU23UC5hw5b8Uxk9W,The Collection,2ThnpEHmCmIHJuzAx9nQxt,6,not available
