Indémodable,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Everything In Its Right Place,5AiNZnMDCWwujIENPj9PV9,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Kid A,19RUXBFyM4PpmrLRdtqWbp,64,https://p.scdn.co/mp3-preview/54f1a88d16e6a4be7f82fccc62f8047652686b16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Something Good Can Work,4gLKwyeBDtXoqe5ev9QcqP,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Tourist History,4V1rQRHuuOWs8fXRl16OMY,64,https://p.scdn.co/mp3-preview/7717f734cc51035b1d1fd7664acaabf54ce5beaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Elephant,6HqWcIutC3Bwk6awM1jnGP,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Lonerism,76vY9yohh4kVwSKkyKbyEQ,11,not available
38,Golden Skans,3aFSo24NwIQHeO3aJdyJb9,Klaxons,2qlAMLpUyBjZgnzuFXXZXI,Myths Of The Near Future (New Edition),3J6p4WI9VMROlrs3ozIJ9N,7,not available
39,Sweet Disposition,5RoIXwyTCdyUjpMMkk4uPd,The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,Conditions,47enZlu6ssi5aFaAxHc0wt,65,https://p.scdn.co/mp3-preview/385f0135b7ba06c3ac3bdbadd15eb9b02c5ecdf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Down The Drain,2CDwlYqBIm9X3G8OEFvCbu,Lilly Wood and The Prick,50OApTJurDusIo9dGTqSU4,Invincible Friends,09cVRkXeGEMJ4oiZmMxnc1,43,https://p.scdn.co/mp3-preview/49cd1518dcb6db61df14c961323e0331bafb34c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Look,0GVQb2UqgxEUrXidPgklFj,Sébastien Tellier,23ymPLjbtAMzTJS2qRtQ8Z,Sexuality,5XKp5IjYVitTx6XIFIC6PA,52,https://p.scdn.co/mp3-preview/a9e58d05a0b799534841f65f8eb244f9b8f1ba31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Animal,4XTTwW06rMgud7yS1nySZf,Miike Snow,4l1cKWYW591xnwEGxpUg3J,Miike Snow,6OfYVC4m7EmGIxaKOgaoZs,58,https://p.scdn.co/mp3-preview/87f46fcc3901a0948c20c0830a98e8971b928198?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,How Deep Is Your Love?,0V2SavjRuimH4TIbrKyyN0,The Rapture,166Dz1GX3xonSQ3Z6CQW26,In The Grace Of Your Love,5Kox84UsFlTccF2Uku19yF,53,https://p.scdn.co/mp3-preview/d702208b58f1f0a022c7ad9fdb4a6f1a90d4db82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Retrograde,03CLsFk6JSz301bKuukPSD,James Blake,53KwLdlmrlCelAZMaLVZqU,Overgrown,12ExNn0hx85F8UNzoKCyCD,10,not available
45,Gooey,1gk3FhAV07q9Jg77UxnVjX,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,ZABA,14IOe7ahxQPTwUYUQX3IFi,71,not available
46,My Number,4c9WmjVlQMr0s1IjbYO52Z,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Holy Fire,0PIR7PK8DMB4pgoxq7F9Ad,71,https://p.scdn.co/mp3-preview/39bd1218c0f50535cfab309d6cd2f34aadf1637b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,West Coast,2nvZv4qatgsDIbEqqbQLUT,Coconut Records,2YKp8Odp8GGbAkVU60Yk2Y,Nighttiming,4FeD2BdcaGX75b5X1gvvsg,58,https://p.scdn.co/mp3-preview/5f4833f1ba936f1b67cdf14a59f7871d27b05c33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,1517,6xVdHfNIcWB0Bzd1obzcwj,The Whitest Boy Alive,1qcU8NabUQ5efQf8UGW6CV,Rules,2YXH04kALe6nTsLi6jEPDT,53,https://p.scdn.co/mp3-preview/9e03880f0736196715724d2f69cd021b5baf0f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Everybody Wants To Be Famous,4BVFVaa1fDo20Ud1q5Gd2N,Superorganism,0Wkm45quqfx3NepJpXDvwE,Superorganism,15TFB6uLZlb3gnCysRrLix,55,https://p.scdn.co/mp3-preview/c5d97dccff4cf688ea96631e1015984aef4bcab5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Pretty Pimpin,3l9eg9RtisizG12a1D6nZl,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,b'lieve i'm goin down...,2uRTsStAmo7Z2UwCIvuwMv,65,https://p.scdn.co/mp3-preview/d6bd42554a0391982a2bf0d22fead98c971fddd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
