Savoir-Faire,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,five waves,0ZE2SzzAdatJcBtxi8A1U1,65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g,five waves,60sb7nBKS1p5WhamRQ3JzB,39,https://p.scdn.co/mp3-preview/042b9e57039ce79f63012ae79d59210f8b90136d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,The Amputees,3l32CEk12nBZA6QyVAFiAv,Tindersticks,3dmSPhg0tdao8ePj4pySJ5,The Amputees,4VDArtEcApp4cszZFadNk0,42,https://p.scdn.co/mp3-preview/cd2241299226e701ac468c2bc65559adbcb88352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,No Bullets Spent,2atf946FbB7wpXr2Kwdx1t,Spoon,0K1q0nXQ8is36PzOKAMbNe,No Bullets Spent,4MMH177sCQHkE5lpK46Om6,59,https://p.scdn.co/mp3-preview/5c55f9646752e75608419586413ff73e1e504474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Queuejumper,7BRgxDcM6b4N23oWjrW71J,The Divine Comedy,7EV6jW6dotBdvsHj6xPixi,Office Politics,4pnX8RkztAQj5EgyKKPHyL,41,https://p.scdn.co/mp3-preview/9758c188c23e3346c9be5cd10faed4c76c9675e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Autant en faire quelque chose,47YoXjRrJvKid2OIlwQkrP,Jean-Louis Murat,1vSHzGHsVOCrgPSCmKNimP,Innamorato,7IzVzmb0o4OEjhicbndCwN,15,https://p.scdn.co/mp3-preview/4e90f3853fbfff2250490667818111565eecd0db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Crowded Cell,6OfdoJfhsnZcN3sgH0EQre,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,The Crowded Cell,3dGRz1GUQ1kI0KwJR8MbYW,39,https://p.scdn.co/mp3-preview/8892fc6967273f53158676c55ea094038a577d17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Louisiana Man (feat. Erika Wennerstrom),2eiTFdG4kOcZy183XaTRys,Mercury Rev,77oD8X9qLXZhpbCjv53l5n,Louisiana Man (feat. Erika Wennerstrom),12LF960TCOU7QAR15OtWWz,34,https://p.scdn.co/mp3-preview/7a439b6b7b402660dfc4a8be6a1af6d0f9255001?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Future Love,0dGhRxLwhFdyqxAKEuwW4C,Ride,0WPY9nnBy01s5QOt4o4oQX,This Is Not A Safe Place,7sFvuGqSAHkmzkjSccSiDK,43,https://p.scdn.co/mp3-preview/a2540702f103487cd492b9a9259f670eea3cc3fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The Goal,4fQrdV9Ix7liAabCeWM84O,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,The Goal,78mgPlVbIzu79foxkPABc9,58,https://p.scdn.co/mp3-preview/ae62d8bdd42799650b708a6aa666978d10a0e20e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Prisonnière,4xTODWwJDMdyUCnyAlUGRu,Stephan Eicher,29My6ypNwcVp0mjpy3sX2E,Homeless Songs,1KYLJsST0whYIYjia25m8S,41,not available
30,Love Yourself,1Gna86CVYMyQxLNHqqp8fK,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Love Yourself / With My Whole Heart,1sIogRBpTHg0jkbrgIJWR0,55,https://p.scdn.co/mp3-preview/65729d834201f2586a7ef1a7aae061e5793f9a0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Destroying Angels (feat. John Doe & Exene Cervenka),1nhgmoi29g4xqeiwtjP0yy,Garbage,6S0GHTqz5sxK5f9HtLXn9q,Destroying Angels / Starman,2tPzIX66aL50Y1fdfBQUl7,9,not available
32,Everyone Hides,2dZ0PelHrnlIEGJ6nwpcW1,Wilco,2QoU3awHVdcHS8LrZEKvSM,Everyone Hides,0kkc5CptgKQFIil9DaGiu8,59,https://p.scdn.co/mp3-preview/92cbd9fc6d33b1a57afb9b4de93743a3bbf46b3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Kids in '99,3NDBWGh9jyZm4YQzISYONb,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Kids in '99,1ZwT6UigF8XRU1hjXd2p0X,55,https://p.scdn.co/mp3-preview/07bda6e039b31b001572ec2dbacd9c76e9127e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Daily Battles,6xCBiZLbhAFAolDGkiinUF,Thom Yorke,4CvTDPKA6W06DRfBnZKrau,Daily Battles (From Motherless Brooklyn: Original Motion Picture Soundtrack),6EqM2rlOCixg83ma0o4uDB,54,https://p.scdn.co/mp3-preview/4a37cedaeee097517dd32c9dd2d4b86fa23416f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,ANIMAL,527a6iye040ptAzyXeO3TK,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,ANIMAL,1vJZHHQuZMnYNKVSeettU5,17,https://p.scdn.co/mp3-preview/07dfaecbea5228fcd86c23e3f0418a424e3549af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Kel Tinawen,6SLCqgfuOZ3EtNnGmKTSTF,Tinariwen,2sf2owtFSCvz2MLfxmNdkb,Kel Tinawen,13WoP1PevhYIK7BiDCmmwZ,38,https://p.scdn.co/mp3-preview/56afb4cb3cfff4c5fdee49fa7347b90812d9341f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Dexter & Sinister,3vfhRRIxTrmduLf7sBPdYp,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Dexter & Sinister,0eGNEXDcsY4EXKVpsRTya5,49,not available
38,Kids In The Dark,2dqq3YMX6nlJKXhrjY5W4J,Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,Kids In The Dark,29bwG0rJEaBBjcEQdrGiuO,51,https://p.scdn.co/mp3-preview/8e1d1286f4a34adbd063610f7c2eafb4a1bb0a5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Georgia,55m3YQ3w5R0HXaezmk6d6z,Brittany Howard,4XquDVA8pkg5Lx91No1JxB,Jaime,5xQrvHK0YbNaFslrvJYMNR,52,https://p.scdn.co/mp3-preview/0326277c7c410561b472c1e59d1af719dba2113b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Engine of Paradise,6rEZzRAUUvt5fAgs5XnwO8,Adam Green,3RyJG8xp58XSmsiuIySzUj,Engine of Paradise,2MStcJnfIeOgnkA3R4JYko,39,https://p.scdn.co/mp3-preview/aa21e022f2a18ccdf3f3fa65f50ceaeac571d64e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Come Get Me,3CcwqR9BL3wYFc3ppq5ZMg,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Groove Denied,3nCYY1EzP8ikfXCS13wcC8,31,https://p.scdn.co/mp3-preview/4af55ffdda3edbfb147f2b2b4501bea34082fa62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,A Nightingale Sang in Berkeley Square,12WffXbZCt9VPfqM8z72cm,Tori Amos,1KsASRNugxU85T0u6zSg32,Good Omens (Original Television Soundtrack),7oDE1GRatrvFpNfeppRdOt,39,https://p.scdn.co/mp3-preview/3bbbf68d4313e061e0004eae01d88d95cd6b28de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,How Can A Head,2CjucWL5PD4YCvDi0QHXOf,The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,King's Mouth,11mYwtHCClRXl8wbT40UHJ,33,https://p.scdn.co/mp3-preview/90e31afd0d117f80a391f80bfc7efb8670387912?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Paper Thin,3ZlseGwRPVHW3OpqXMN20q,Gang Of Four,3AmWjMXXtBJOmNGpUFSOAl,Happy Now,3jNWI5HPXI5IXrEqeyYkhI,31,https://p.scdn.co/mp3-preview/082550e4f341bae9c8addc90d7975a8929affb09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sister Buddha,3PbkfhTGceJS643NZUeHYx,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Sister Buddha,1lO2brT2RUbog6gBvwgcxI,51,https://p.scdn.co/mp3-preview/65f50cf6a20d222b223ff9cedf5489cb647c1de4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
