New Music Friday France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Marla Loves You,3AesN4SOlOpcIekTSMO5C6,FUZETA,1qlyhk1POBMOFpQ7LNANSO,Marla Loves You,4QocOPFk9sr9uXv6084ghp,28,https://p.scdn.co/mp3-preview/ce39aed56bfb5e4bfe197ca87bbf23a6422521bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Baila Mami (feat. Nailah Blackman & Lao Ra),2APpmnoJDrqt4bh1TO0418,Calypso Rose,56QlZ0AFfkaaHyANLVkg5h,Calypso Rose and Friends,7MgwUyuMwrhpoufm1MHcuB,34,https://p.scdn.co/mp3-preview/e72157009863325c2f8e0263eedf66883c5ebb36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Le garçon,6DmuW03kLPOJhe4mnRX77M,Da Silva,2DOrhe8H1WfcD6PPkgJH8X,Le garçon,6afBDAl0QjXDztuMiJvGtG,12,https://p.scdn.co/mp3-preview/e3296dbfac45a6cb48b7453596d511344dd26874?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Ecstasy,4N42Ta28mOYeiyMlypgCTK,Fabich,1mwP5J1kB8clYx0SoNL0uh,Ecstasy,5Hrkn1HmX82KNlTbsUUweN,39,https://p.scdn.co/mp3-preview/7041ef8a23cf100c145f07cb87fe0e8b46908f3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,AU REVOIR À VOUS,0otBn2j19tGObi0Fh29jTz,Bagarre,3oDsNnVKW3T4MflgJlLysJ,AU REVOIR À VOUS,5PO44lVWqfCTiGlNIWDD4s,19,https://p.scdn.co/mp3-preview/555e637a652eb12865a68d1cf2f78072aa7ad29e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Anasickmodular,3Cxn93PO2AsL93ZnB9qHg8,Floating Points,2AR42Ur9PcchQDtEdwkv4L,Anasickmodular,6kkA492r6X59UwnZcHW9lL,48,https://p.scdn.co/mp3-preview/f78e9f8763f0c0859a5a874bb593b3f66d044a03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,61,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Attila,1XxoY3UR0pRlKZ95LEv5gy,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,FLAG,5UVNJ6QyEjGLP2rBWO5oRI,47,not available
49,Dear Luca,7Ljup0IeL8UUq66XbVyzeI,ayokay,4BzCdhJTyTS3gumq9xmymb,we come alive. (Side A),2skGwvEYMarZwKaPGXtetw,51,https://p.scdn.co/mp3-preview/d5f5e4785fc1504fc0c6f0ae236104f0e003f876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,65,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Il est où le SAV ?,5ixvb6gROIBE3BtqP9WtEC,Suzane,00CTomLgA78xvwEwL0woWx,Il est où le SAV ?,0jbPbbw9f6txppGbD5niHV,36,https://p.scdn.co/mp3-preview/48559d57b1589b9304d5381a2f666039946c8213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Difficult Love,5B036NTl35McrlKBVEYqid,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1FgQzEqXePnyHC8YxaRl04,40,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Sitôt,47N4GLAQwudCP1JJMPCD50,Alex Beaupain,0ujtf16xyDe6upgQpNNSWo,Pas plus le jour que la nuit,0JVqZIyu3vFhMTS7NK7LpL,34,not available
54,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,64,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Galleon Ship,0Z04fUQyKGls1iV1LLHVER,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Ghosteen,6UOvMBrdfOWGqSvtQohiso,61,https://p.scdn.co/mp3-preview/4f3e74ea37eb5629d210c0d35cc20e60accc5483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,63,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,59,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Téléphone,7ET2i4dF9fbmrcUvwJrJ2k,7 Jaws,2HXioEvQuzCcNmRsImBTET,Téléphone,6jcXxJITCqRMEEW5Dtue01,41,https://p.scdn.co/mp3-preview/f7d443e5c4aed2a1a67100c2139e0fed3cad6e09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Gone - Happy Nina Kraviz Mix,5BUkbyY8v4XMjl5upq6zNL,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Gone (Happy Nina Kraviz Mix),4yaQqsQzYXbNDuJOf8RSS2,52,https://p.scdn.co/mp3-preview/a9f2648f1110bdc56623f6aa971fbe89753a0200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Orck,13AsTzqHpaD6qleOQ7ypPM,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,Novo Sonic System,18y6apqHKwutkZho4fc8Sj,54,https://p.scdn.co/mp3-preview/bbaa17bdb3a628feea1b8229319c8f2c9b3f0b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Tokyo Ghoul (feat. Young Thug & Terrible Johnny),6YP8ruvFSc6UdLobWKXn9F,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,Tokyo Ghoul (feat. Young Thug & Terrible Johnny),3UtG96LxPoJbTdR3x95oRJ,58,https://p.scdn.co/mp3-preview/96ff3a602b5d0812bf0c8d642abb13f796d56eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Forgotten Eyes,6N1ngx4OdhaksnPwMXKUFe,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Forgotten Eyes,1aQWvziTqtpK4nJ3Dmnecy,55,https://p.scdn.co/mp3-preview/1d2dbde81661befe84381769cd30457be01bc412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Good Day,7iTwzSe2fg5xYwCgXXFkEe,Surfaces,4ETSs924pXMzjIeD6E9b4u,Good Day,1HPmeTZ2Mgx0NvynTKpWOj,60,not available
64,Ready To Call This Love,0jVkwEBmoTHyxZyXDoCMnG,MIKA,5MmVJVhhYKQ86izuGHzJYA,My Name Is Michael Holbrook,4bVlbOipapiqrTusSsgvIc,57,not available
65,minuit quelque part,7yzqscIBxT73bI3LfQzpCK,Mélodie Lauret,4gceoi6b3eqGyx9dLQU1S4,minuit quelque part,3juQncqOU14jnpnYJIaZge,28,https://p.scdn.co/mp3-preview/0ac5df6b05efb7d7156cc419f33f2c82681435b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,All This Music Must Fade,6pymDBwVLIAyoiW8BdlRbF,The Who,67ea9eGLXYMsO2eYQRui3w,All This Music Must Fade,0joAFKb8bHE3TF3bOomE08,53,not available
67,One and a Half Stars,3M8r3PzKmL0G87N9KlcAlY,Wilco,2QoU3awHVdcHS8LrZEKvSM,Ode to Joy,0RR7qfOCOOHXbPAO1P3G5b,54,https://p.scdn.co/mp3-preview/c222b2c64c56076f36f860dd630e919021260ba7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Amazing Grace,2V7a9VxaHaXGt2BUNlPhue,SKYGGE,4aGSoPUP1v4qh7RfBlvgbR,American Folk Songs,6NbX54oOpEZhSOjfdSYepw,21,https://p.scdn.co/mp3-preview/a0dfec3a1f631fa8154dd482d87905d5da8cdce8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,"Diégo, libre dans sa tête",2pT6aj4EeTKjMsadIEOEoS,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,"Diégo, libre dans sa tête",6QM8xEy9i1A7U6Bgoe1IBp,40,not available
