Suprême R&B,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Suga Suga,6Nq5lE0CeOAAAqN4qhkbZU,Baby Bash,12PSlydMSjEHzSCj9X5qv7,Tha Smokin' Nephew,42LlDinsxjsByAqqpZXRp4,73,not available
12,What Goes Around...Comes Around - Radio Edit,6LtidZ09rh1n991F8qYPui,Justin Timberlake,31TPClRtHm23RisEBtV3X7,What Goes Around...Comes Around,0yu01H0qmaBlXH4TISoAT8,5,not available
13,Birthday Sex,4Q3TpOXEJZY04PwDDqrAeb,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Jeremih,1wGPp9NpcstFCrmylyzhWr,7,not available
14,Long Way 2 Go,4v5kAh2wWyCSuKuhMJK8u6,Cassie,27FGXRNruFoOdf1vP8dqcH,Cassie (U.S. Version),0j1qzjaJmsF1FkcICf3hRu,61,https://p.scdn.co/mp3-preview/6bab26c34cafb31563e69a24c8eb25cc52334c00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,2yr2HnFYl7XvqJk4fXoQBt,Mario Winans,4BIQA9vRkqXEnA2twmq7mU,Bad Boy 20th Anniversary Box Set Edition,52TqKxbJkOBsbjKxlKgLwu,69,https://p.scdn.co/mp3-preview/d7c72dafb92eb2e4a6240fb979450213607fc93b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Miss Independent,6glklpxk7EtKIdxA3kYQS5,Ne-Yo,21E3waRsmPlU7jZsS13rcj,Year Of The Gentleman,1nv3KEXZPmcwOXMoLTs1vn,11,not available
17,Me & U,7k6IzwMGpxnRghE7YosnXT,Cassie,27FGXRNruFoOdf1vP8dqcH,Cassie (U.S. Version),0j1qzjaJmsF1FkcICf3hRu,72,https://p.scdn.co/mp3-preview/af06bccc66a9062aa4655fdd22c151c4ae577a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Give It To Me,2KjpWqvSKoQh0XIAywplWn,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,Shock Value Deluxe Version (International Version),2nbVfJlA3nGuaYPuMjq2sv,10,not available
19,Down On Me,0wpbHnOW0zVUtV10LSj9c9,Jeremih,3KV3p5EY4AvKxOlhGHORLg,All About You,0AncEWfBO3eGlBNTvaEBb7,7,not available
20,Mirror,6MreoQf8oixWI2xRcw3Fv1,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter IV (Deluxe),7oc6i8xUILaWwQ5BJMZS3c,70,not available
21,Whatcha Say,7xkQdy0cy5ymoWT7nedvLz,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo (International),0DEsmIQ5ir7tz52Nkf4i1K,72,https://p.scdn.co/mp3-preview/9c0288e332c151689bf465a3f8b52a6c9d056e3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Don't Tell 'Em,4TNbaUX5szRSr1O5ffM1mq,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,4p9QlliNvKndyKSPyuJlP8,6,not available
23,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day Deluxe Edition,0Zd10MKN5j9KwUST0TdBBB,73,https://p.scdn.co/mp3-preview/b1cd9ecf3b5108363846f497897b5bcbec44343a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,4ZOyH6KjomjlqCz3oFqglr,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,This Is Me...Then,2NG4OLyeNMwcLqirwwwvs2,67,https://p.scdn.co/mp3-preview/63b07ee2a77f0f18603dfca450314c4957af7795?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,Usher,23zg3TcAtWQy7J6upgbUnj,8701,6k16WXh4rKyusIoN00rmpi,74,https://p.scdn.co/mp3-preview/b94b8fba4179746fbb1f23dd124d1aa076f50131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Like a Boy,358bOvBiZCS9fRzNYosw6c,Ciara,2NdeV5rLm47xAvogXrYhJX,The Evolution,0hfJ35SzCkWesdUpLKXLto,62,https://p.scdn.co/mp3-preview/ba07e7b700d619d5fb9f874affe8633a6e9d03c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Drunk in Love,6jG2YzhxptolDzLHTGLt7S,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,73,https://p.scdn.co/mp3-preview/7052c45ae9298c38fdbd1b45bec7fc5f554fafa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Don't Cha,24kGngQeXHt0uhffKpq0zj,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,PCD (Revised International Version),0ylxpXE00fVxh6d60tevT8,17,not available
29,My Boo,68vgtRHr7iZHpzGpon6Jlo,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,77,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"One, Two Step",7uKcScNXuO3MWw6LowBjW1,Ciara,2NdeV5rLm47xAvogXrYhJX,Goodies,71gUhKYZIWmmjqAHlY4Br3,76,https://p.scdn.co/mp3-preview/ebc79c6e835bd18a744307d51c942a749e3ad2ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,I'm Real - Murder Remix,7rOIWUhSfjWh4E7443PYE8,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,J To Tha L-O! The Remixes (Explicit Version),6qchFuC4TcijFIIvXFxenB,7,not available
32,My Love,0gs72Zn1Nxin1kvKpo9ee5,Justin Timberlake,31TPClRtHm23RisEBtV3X7,FutureSex/LoveSounds,3EaBZNWtqfr7Ju5iTrctnB,8,not available
33,Right Here (Departed),06G1SCVVYRSDCFGMSnDvpv,Brandy,05oH07COxkXKIMt6mIPRee,Human,5FzwCzwtVRuep9jjnhGpn4,52,https://p.scdn.co/mp3-preview/cfd125fb831bc43392ffe1460dc01a77fb353d23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,With You,7ByfFjT83MNmisdzhZ50Fv,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Exclusive - The Forever Edition,2NC8QmrFfN8ojgxzamiM4b,9,not available
35,I Need a Girl (Pt. One) (feat. Usher & Loon),7lVNTXkI3cHFvcXiI8damb,Diddy,59wfkuBoNyhDMQGCljbUbA,R&B Hits,5Bp5PZqYJ9tiz0Hf6lOD5Q,65,https://p.scdn.co/mp3-preview/51009fab8f1b1bbf2a06f9736fb7758c00f4dce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,R&B 2 Rue,59DfPIDioIs5WolSQNPID4,Matt,6ElYQTPVqau3RR3D8Xd2Nl,R&B 2 Rue,5oSt99FmZrQjLaFoKJRTdW,3,not available
37,Hate That I Love You,4789yoeBIsBi6et3z0fyly,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,1G2ZRwcqN6warfakvcPgEs,12,not available
38,Touch My Body,3gzvhbYPlFplWwZdNlBXlZ,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,E=MC²,3qskwkDBhncn7UJTeyw74z,54,not available
39,Deuces (feat. Tyga & Kevin McCall),3MdRT6yPhMbvAN4D4MzDKq,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,F.A.M.E. (Deluxe Version),4Y0fafStNYB3LWQS6aa7H5,4,not available
40,Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS,iSouljaBoyTellem,2zwyBK8ea29FqWuY8IiRJu,76,not available
41,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,83,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,No Scrubs,1KGi9sZVMeszgZOWivFpxs,TLC,0TImkz4nPqjegtVSMZnMRq,Fanmail,1CvjjpvqVMoyprsf74bpYW,81,https://p.scdn.co/mp3-preview/69daa711bddd8fe7aa9acf17106ca85cf1ccfa14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Be Without You - Kendu Mix,2YegxR5As7BeQuVp2U6pek,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,The Breakthrough,5cnNuunPepqlcT0VoFdLOh,64,not available
44,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,7/27 (Deluxe),0pF0oyuPNdOObniB1Ng0kW,79,https://p.scdn.co/mp3-preview/b2d6e6ea9163eb361f5406f75264de490243964a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Don't Mind,27PmvZoffODNFW2p7ehZTQ,Kent Jones,3jHBxvZ9gbBkZ17wKUqVsO,Don't Mind,0l28Q1FFEA0mtpEdEQw1r3,68,https://p.scdn.co/mp3-preview/d239d792c6a8c706ff0e57aa7b38eaa1b3a5ad48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Buttons,314QzMOrpNUqWBUozYshf6,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,PCD,53zV9rZ5yfWgigsmuJtYpG,67,not available
47,No One,6IwKcFdiRQZOWeYNhUiWIv,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,As I Am (Expanded Edition),6KlxyxhXEDo1LdheFulN7h,80,https://p.scdn.co/mp3-preview/319836ba32dfc550e7818c95885382c3bf1da61a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Wiggle (feat. Snoop Dogg),4B4zDmbHdkXZ1wUJv1yKFy,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Tattoos (Deluxe Edition),3wDeTllVvayYsWTHsFNWZQ,66,https://p.scdn.co/mp3-preview/25eb644e3ec8a11d0ad4876e266e56a9174b91fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Take A Bow,3goSVuTt3fDYDP6kRnFwuL,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,78,not available
50,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,Drake,3TVXtAsR1Inumwj472S9r4,Views,40GMAhriYJRO1rsY4YdrZb,77,not available
