¡Dame Más Cumbia!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Hoy Te Vi - Remasterizado 2019,2XpNHiC5BMpfaZRJngdz5a,La Liga,0WG7v7wcDK5ZsUHjnZo9E6,Hoy Te Vi,3zTgssC09xvqTyx0P9K55d,44,https://p.scdn.co/mp3-preview/522c5e917abe1a06a67ac6341b97bcba8d9a98b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Típico (Tu Histeriqueo),4UwDVzYbGMTBLUGIB6B48T,Mano Arriba,4YBAOrBF9vBB9inOLtpRzp,Típico (Tu Histeriqueo),67X3TLwyIELvJZqqBDRxHl,43,https://p.scdn.co/mp3-preview/1e22e4c93f45184faafbbf878e9e859ace3e7a40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,La Incondicional - Version Cumbia Pop,3IxVP7vjukxmjk1T9gZ7kf,Otto Bunge,52B23cu0u8HfuhNLQIhtZn,La Incondicional (Version Cumbia Pop),6pc3Ttq5xewStsRuE1ErIs,44,https://p.scdn.co/mp3-preview/26c50deb79c323f016a8787b5c3f65f844439d7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Te Robare,36vJyCuqse0zidFibh1ybx,CantoParaBailar,288dJOiQmxw6pTZ6fqpbiQ,Te Robaré,4art0k5sZUSkdS1aKaKJ5C,49,https://p.scdn.co/mp3-preview/318ad1e0e670711d3c362fdb2b1eed90ed25dfe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Tiri Tiri,7edRqfki0110PfmJQ0xYTC,Agustín Casanova,2WhGojaMjv4VVn2HQSqrLM,Tiri Tiri,24wc3hcAzpTicFjWuQGDQS,52,https://p.scdn.co/mp3-preview/ee05b5f95baf2524ac904a51eee932b7825198d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Comerte a Besos (feat. Cande Buasso),4UHZMWgKDjJ1zS0t6f6qPv,Pijama Party,1aOhJVEGjCbYJLYPCitGdm,Comerte a Besos (feat. Cande Buasso),2RFmwlATPy1lvg5WrAwm8A,50,https://p.scdn.co/mp3-preview/ae341857d6de790de76c95dc48801cadbfdf0764?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Asereje,3hxIQnOuduberlo2sRKo4z,Las Culisueltas,6GfDEGpIgzDdxCBpNCF4Np,Asereje,131drrK6cHK722xsUrj7zZ,47,https://p.scdn.co/mp3-preview/8d4741000e3dc019f5324c2b67f1283b29f1aa01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Quédate,34d2vAHqnQfyf0bMvhPIcy,Agapornis,27Yc5RzJf27tJfqezJnHY1,Quédate,0qNQvXNWtxvTF244YQC0zi,45,https://p.scdn.co/mp3-preview/05b8dd9d230422f40b13d170a19d64a9f3797fe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Enganchado #TocoParaVos - Cumbia Mix,7zW4IqrzU6dTLw3CM72Qbo,#TocoParaVos,4PdggFNYwGfjRfkdG5OfES,Enganchado #TocoParaVos (Cumbia mix),5qFl9f5Vqa9Vq9kDThhGFy,43,https://p.scdn.co/mp3-preview/c24a6c2c0307fa5d32fb1f1055226dd2bf92c588?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Ruku Mueva,2jL9QRNzlij9N6mpjed5wn,El Polaco,3ucYybVr1mTuB04HtoBDCc,Ruku Mueva,2kP4p1GmQM15cFfPcDpnoA,51,https://p.scdn.co/mp3-preview/1cce86b96705c18c11c134577e5837a534f20c98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Lo Que Pasa en la Noche,2eOleVJlGvBE027wpnYt2H,Mano Arriba,4YBAOrBF9vBB9inOLtpRzp,Lo Que Pasa en la Noche,2kQ9FRcU8hcr77TecMXmX3,43,https://p.scdn.co/mp3-preview/201002a35c3fb6a08abd9c5b985202c73045ce2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Alejate de Mi,7jPevkKbyJNGuITh17YV8O,Grupo Play,2PFG7Z9o7dUTCCVAuzZYJS,Alejate de Mi,0DlmaZKSHLXEKmhYdYNqdo,36,https://p.scdn.co/mp3-preview/a49f76a08ab8d9cdf6c5431e5ece464bf58d5c8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,No Te Contaron Mal,3kTbCMCftDxUscAi7VO4nA,Roman El Original,72kCHSLbK0D94Bgpo7G4sJ,No Te Contaron Mal,1SA0I1FbYvDLQ4KJ3KORMl,45,https://p.scdn.co/mp3-preview/4b6ccb8a06e86b89eb78dbba12e4021072fc6753?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Vete de mi vida,3OvS8okuqMz2ejTfhSHfZV,#TocoParaVos,4PdggFNYwGfjRfkdG5OfES,Vete de mi vida,7GwRDySz6NW9sJMRpI9jTb,48,https://p.scdn.co/mp3-preview/2e72c1071ed1879acd136a4cae12728250a7c6ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Get Lucky,14jzo7RhjlL9LmfzYDkMUU,Los del Fuego,5L6GbwWUM3Oi5GPnkmmp24,A 30 Años de una Pasión Inexplicable... Solo He Nacido para Amarte,2oAr9qO4Lfm8PgSBHgox8l,47,https://p.scdn.co/mp3-preview/172aa2149e6b6a00a5d4bc4c91e78a49123c3b25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Se Pone Loca,0FVuUna31PTRmWGLs8W1o4,CantoParaBailar,288dJOiQmxw6pTZ6fqpbiQ,Por Eso Canto para Bailar,1q5McGPHaKrkksCbFYFzdA,48,https://p.scdn.co/mp3-preview/69015fd9e8df7c140ac17f4bd400e471175daa7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Amor para un Rato,47EEKhimMiDtUfYNR5Ii58,Olvidate!,7Czvx73uua4PB239Dza1Je,Amor para un Rato,6d2tfDq3ySYq0EfwRsWtl0,48,https://p.scdn.co/mp3-preview/fd00b01bdd36df2cd20559b6a769d7e49c685378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Carnavalintro,0tGAPnTFwRJA6FZgYZ0BAe,CHANO,14lvrkdaXxggonwjKZpePM,Carnavalintro,68mjWwD3sLh4wONFIb2Upq,1,not available
63,Hasta la luna,1A3yLIqelu1D7MCtw06Cu7,#TocoParaVos,4PdggFNYwGfjRfkdG5OfES,#Tocoparavos,3cz9fxBXppuImbufikGk2D,53,https://p.scdn.co/mp3-preview/fc5decb26994dd43ad2b612e774784e5a736ab92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Lo Intentamos,4Kzk0koKwzCMiIx4rAqCZp,Marama,4GepMkTgrIZECoCC55vqjW,Lo Intentamos,5u9w3PGTEyH9t7S62oIPhw,50,https://p.scdn.co/mp3-preview/f8d2b182e1cc3221d9b887a5b3a1af3a5607b548?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Telefono - Remix,0eSZT3DP39tN2zGi0MaGYY,CantoParaBailar,288dJOiQmxw6pTZ6fqpbiQ,Telefono,1AGLDN8zCwPROtIvEb6QHu,45,https://p.scdn.co/mp3-preview/8cc392e47c663a7855017223ae7a5448b39a4d92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,A Veces Responde,3qawstmTK8GwZMy9zx9cKd,Nestor En Bloque,2to8xMgnoxHCXPF7eWJPvg,A Veces Responde,3rBBGPpNxPCcTOpRfb6jxx,45,https://p.scdn.co/mp3-preview/133cf6c0541bf281d3454b9c25cc498f6e7ad48d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Eres / Me Vas a Extrañar / Desesperado - En Vivo,46Q868d09swJSRaZYMNYjE,Marito,6635eN3p3KGQiPdlFFvred,Eres / Me Vas a Extrañar / Desesperado,7uYgHCFhqnxrSbN8mFxb3r,38,https://p.scdn.co/mp3-preview/71e56fc279d3fe836db4d0584328f3ed0529278b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Sola Otra Vez,1zwH02KhFWC4wOtiZ1We1g,El Polaco,3ucYybVr1mTuB04HtoBDCc,Sola Otra Vez,2lVKzhuuSFd1JVJe9U1gbV,48,https://p.scdn.co/mp3-preview/987070044be2fa56d4633fa27b18e1d494dd359e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Hablar Es Gratis,0fuV4yFwwUcB76eboj0qwF,Dame 5,0J65S0gB0D1gDEd0hK196k,Hablar Es Gratis,28qvQaR4FC1Wdtvbxhi5og,53,https://p.scdn.co/mp3-preview/68d70f0af9bb59d3cb853dc875afd8f08a682377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Ando Buscando,24k4QxSAavX21LJbKnKhJI,Agustín Casanova,2WhGojaMjv4VVn2HQSqrLM,Ando Buscando,6JjlYbZuGL4CocfNtYUI5V,47,not available
71,Me Rehuso,40LwWoR8KL8tK4JLFiL53j,Jackita,4QPzOa9mWjgUVvy9ObVGo8,#ATR,0yfjiOX5Vmg2uZebLzToq3,37,https://p.scdn.co/mp3-preview/e12a521d8bee978eefd948db275877548ade46c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Con Calma,4rHCsdlraJ36u00sqeVlzT,Marito,6635eN3p3KGQiPdlFFvred,Con Calma,7xyMJM00ssoz6JTx21Ugre,41,https://p.scdn.co/mp3-preview/408c0b6096e3fc777c9755c1eb4783294c28d4b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Pasarla Bien,0ZzVPCGdkpKcxAzMNDD5UZ,Marama,4GepMkTgrIZECoCC55vqjW,Pasarla Bien,1P2btVGfdXQYnOrZKCglpN,49,https://p.scdn.co/mp3-preview/29f6ed12053a48ee16a995f3d9248d329d983ed5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Lejos,6Kk4fza1rX70tVY3ZZcsic,Dame 5,0J65S0gB0D1gDEd0hK196k,Lejos,7v9qHkapXVdxsjp9F2DKo8,51,https://p.scdn.co/mp3-preview/329d3117157d84a5a6b6a682636c8bd684b95c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
