Bandas Sonoras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,"The Windmills of Your Mind (Theme from ""The Thomas Crown Affair"")",1kPVX59cLLaWRZ8bFsRyew,Michel Legrand,1EtE0iSY6iFlN9L9c53ETy,The Very Best Of,2r9JUZZlrS1yUAnzFga1l3,34,https://p.scdn.co/mp3-preview/7276dc3ad18b00b1d4a1f08b7fbec81aef8f3425?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,It Will Rain,7L90qWedLcA3188xOku316,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),2lkbTVYUYHXoXt17WXIAVc,39,https://p.scdn.co/mp3-preview/3d9c0425bd0e1b2395ad581b440e33a3b47fb101?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Flashdance… What A Feeling,44SLjUsOa1ChiuKlIsUmDP,Irene Cara,3oZa8Xs6IjlIUGLAhVyK4G,Flashdance… What A Feeling - EP,6q5JAUaGNy7jkAMhWygnUj,41,https://p.scdn.co/mp3-preview/7ab3db15d2a4dbbd95b1d2aea2e912847bf783ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,My Favorite Things,4IGXfhZYM3gFQVcNtWQ9pB,Julie Andrews,5RdqZVi36tpDPYNPw8jJbO,The Sound of Music - Original Soundtrack Recording,583SgyGBxtEzsk9J8zBqiy,54,https://p.scdn.co/mp3-preview/97e1579560631b83cf46287bb06b8594f5f3181a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,"Lucía Y El Sexo. ""Me Voy A Morir De Tanto Amor""",364649Gk11uza7rn5rbCSs,Alberto IglesiasIIAlberto Iglesias,3mZgOTjmb4xk1iUh94dYoI,"Una Música De Cine Español, Volumen 1",4wxcwwxwYNgD55HmUSv5bN,35,https://p.scdn.co/mp3-preview/707d80b547f5031088aceee8cd74142f35f4bc6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Over the Rainbow,0BX8gWrZF2N694qaRhgFMQ,Judy Garland,0hItVPjwJLVZrFqOyIsxPf,The Wizard of Oz: The Film Musicals Collection (Original Motion Picture Soundtrack),3K0sbWyJpRcEvyHSoh9HoZ,0,not available
49,P.S. I Love You - 05:11,38AWJo4ElYxVNXDG5NZVkM,John Powell,3EAHF3jdnHHdko5DBrhRUP,P.S. I Love You,7pPi9SK6dnnSudqz1sQ2Gw,2,not available
50,Silver Lining,2v7U7HdnC3EolJFLg9MBYI,Diane Warren,3A2jfQOLgo5rV4GYFHbEA2,Silver Linings Playbook,4uSUoccL3KiZP3KGz3gMHl,39,https://p.scdn.co/mp3-preview/471305a605146023fe79a2fa33c5661a389690a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Al otro lado del Río,405GRNAlCXcL4npYlJrCCJ,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Motorcycle Diaries with additional Music,3Y2pRAJIiCHHqWzTLcv2je,38,not available
52,The Wings,0NLinDVPDkD2OCCqhh6PZ5,Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt,Brokeback Mountain Soundtrack,6NGMvqRZ7JZUnBrU4qoG3N,28,not available
