Cantautores,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Aquellas Pequeñas Cosas,0AYP9qfJJumsxSOZF3MndI,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,Mediterráneo,7h6vVYPUiuDF6KKcqMdE72,51,https://p.scdn.co/mp3-preview/18013172a4468840f071bccde0eedfa01916bd91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Toda una Vida,5wQsHNpF6ivosuimPeo7Lo,Pedro Guerra,2GrNjfw23jqL1NTopPlc6c,Contigo En La Distancia,7bouBjt8bjfdAHivSZ6hui,52,https://p.scdn.co/mp3-preview/a4afdaf1c657a5820f15ce499540b01c497741fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,El sitio de mi recreo,2tkMVjFwDzUCG3ulmz3fCb,Antonio Vega,0r4YtlmJPQk1xhiVKHuPeF,Canciones 1980-2009,07JZVPABSbkGmTHDHDCt6u,55,https://p.scdn.co/mp3-preview/9e20849a987928bca004fe3d3e03276b89876a57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Quién Me Ha Robado el Mes de Abril,1HX9kKDz6dG4fmLBuKVzOF,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,El Hombre Del Traje Gris,0Hf59j4braIFrtH0rFXjwZ,50,https://p.scdn.co/mp3-preview/f14e998494c329346540c0503858b1727afc066f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,La vida es más compleja de lo que parece,0KF9s5HhXY9om1zpyo6Uox,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,12 segundos de oscuridad,7CzMD65vBeWb6xRRK9iHgz,52,https://p.scdn.co/mp3-preview/b1a2136b1cfe5527f761dc41fe8e1f44696eab61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Mediterraneo,7Bewui7KtaMzROeteRitRz,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,Mediterráneo,7h6vVYPUiuDF6KKcqMdE72,58,https://p.scdn.co/mp3-preview/7966cc6a963f529d65f55074031adda70a9f5d05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Yolanda,1g5dfzxtSWEhLoGW0CWszT,Pablo Milanés,4vOfKh5wz7lTcdqB3EwsC5,La Mas Completa Coleccion,216TXqfJoWlmx1FOoTKoiH,3,not available
19,Volver a los Diecisiete,0jBntYRuvoTS2sBBq1pzvy,Marilia,0vpLum5X3NNpmdvLPMm5El,Volver a los Diecisiete,2YSAXfUC5dh5GaoSLnMaFZ,26,https://p.scdn.co/mp3-preview/642f947ad48cb01d81f09e62db0189156e524e99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Prefiero amar,3Ig5t3esx6oEXPzFfn837w,Luis Eduardo Aute,67h1eGw2OFs89l8EnaOdoS,Aire,3eiUKyEarSxAvjZLqIJ1M6,42,https://p.scdn.co/mp3-preview/3e7c56079f05ce14a8b75683265f4ccb492df3cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Alfonsina Y El Mar,1fsNhKJoPB4sHd3bVL1bcw,Mercedes Sosa,2HvyR5FsU37QMqVzIbGwl7,Amigos Míos,1fnfqWQnHLlWKSLmuf8eAn,49,not available
22,Lo Niego Todo,4OpjKvt0ZXA117dqzOrV1y,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Lo Niego Todo,5hkq8Af2XQd5wYSQwscjOs,2,not available
23,El Hombre del Piano,61ccRl3FBtLs3U5HuBtP6e,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,26 Grandes Canciones Y Una Nube Blanca,45MhAsX9X7z5siVUxUjUk7,54,https://p.scdn.co/mp3-preview/20b6f9fe4477b64cd39d9716a9445e62e89d134a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Todo se transforma,4YEU9N2XAE0DfUwxWI5ijA,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Eco,5iy3qKctiZAsvb2ORx8vR7,65,https://p.scdn.co/mp3-preview/73def48496dce634a788ebd4ff92db407766cd6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Aunque tú no lo sepas,2VybHZvsshGs8GpOaB0wS1,Enrique Urquijo y Los problemas,43Q662o1VzhO3xwj97FWxT,Desde Que No Nos Vemos,1pQrDGSI9b3W3ur1XEYhVN,53,https://p.scdn.co/mp3-preview/3bcf0849a45c9bcffb46df2890123f9bf493cd86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Contigo,6bXhCHurSM6988FKos7DLY,Rosana,5ttV0N9HvMH3KLqNKcS2M0,Luna nueva,06wdTbvLdXkO7dC2TdrzUd,50,https://p.scdn.co/mp3-preview/ffe993eb3b2eb2a24e7e3214b549eb798a87aea0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,La Flor de la Canela (with Joaquín Sabina),7uWPGOYJ5VD9ygh33Eemex,Maria Dolores Pradera,58LNn3iNPmmHusH1EkyBm4,Gracias A Vosotros,0U2kCRus4ANRCL4SoDkNRO,51,https://p.scdn.co/mp3-preview/3076b77c9225d677f3ce8d3efba7e36c9b0fa794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Solo Otra Vez - Alone Again,2Oeu9Qz2fRSgtKohOvGgEP,Vicentico,25THA9HUHoxpCT4LBp7UsZ,Último Acto,3ZwIwLuB8YNlhwV2xuGWbt,52,https://p.scdn.co/mp3-preview/cd0058813f127cf96f4d6b701c4f58d9ddc8a134?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Contamíname - En Directo,41Ewbqzdnv82EV494sQRua,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Esencial Ana y Victor,5PqWboO8JlSZ2OGBlJGBBn,42,https://p.scdn.co/mp3-preview/c673b9e1a8752a97c5d796bd95f6f16c86db6c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Solo le Pido a Dios,5zXJVUTFMZlwZ3BKC9FBSC,Mercedes Sosa,2HvyR5FsU37QMqVzIbGwl7,La Negra - The Definitive Collection,0a46V30Rb49IYla0NQQaqe,34,https://p.scdn.co/mp3-preview/60f30521c9ef4eefe0855113d4f718e4dc5dd077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Para la Libertad,2MbBeecWBAEHAYEC37Gk6s,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,Miguel Hernandez,16CjMJTRsm3KSEgudueP2S,43,https://p.scdn.co/mp3-preview/07e0983b623efdfda0336fecce7c43b0c9e6cd52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Por el Bulevar de los Sueños Rotos,7KcFlbQmzhVczGMor3Fhr9,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Esta Boca Es Mia,5PRLhyzly43RBl6ZAeydzk,61,https://p.scdn.co/mp3-preview/4a27cb2a1b642c290afcd7542a70853651583f62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,El Marido de la Peluquera,4C9wlbc9ttH9WH7QCtfb2J,Pedro Guerra,2GrNjfw23jqL1NTopPlc6c,Golosinas,3tZBEjAniNH6OwIdTGbxtf,38,https://p.scdn.co/mp3-preview/6f48972b99f430680bdb81822eb567075f9ad689?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Carta urgente (feat. Abel Pintos),7ljsdGh3oj4bNGqQsx4UM7,Rosana,5ttV0N9HvMH3KLqNKcS2M0,8 Lunas,4zsSDL0SbCqgifIHgiNxll,57,https://p.scdn.co/mp3-preview/ccce8485b9496ea2f439a95caaa5bc85fdc22975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Nieve - En Directo,4KRNPEyIFRp7MH7ZSxP9k6,Ismael Serrano,4eyF2eDCunzeFykH90Ej34,Nieve (En Directo),2Xx03JK3g0ZqRnvHkJokjs,0,not available
36,Crímenes perfectos,6guoJhM9n5Fm7npXJ1rfsM,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Alta Suciedad,44D07i1Lk0zFtWHRARMih6,58,https://p.scdn.co/mp3-preview/a913461761ea825a829fa747b8a48f38c07ace1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Te sigo soñando (feat. Luz Casal) - En Estudio Uno,3A0nxq1JYftweBELu8rxP0,DePedro,3wpNKcE7grYUIRKCMpmBOb,Te sigo soñando (feat. Luz Casal) [En Estudio Uno],52nuQBcfmXxwM5LRXNscI9,43,https://p.scdn.co/mp3-preview/b054d30547eae79e2acac287e3ac948ff3885cf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Contigo En La Distancia,7820J99MJU42DADC6DsMfh,Pedro Guerra,2GrNjfw23jqL1NTopPlc6c,Contigo En La Distancia,7bouBjt8bjfdAHivSZ6hui,47,https://p.scdn.co/mp3-preview/13ee5c709c56dd15e22f4fa48b1dc532c4636bdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Nos ocupamos del mar,7Febi3DfSotzGaUSLF1aPW,Rosa Leon,03ukvtQJzZmG7CEOmnkoMW,De alguna manera,6dNGZJXgJmucK3j5XwTB47,25,https://p.scdn.co/mp3-preview/5546ad4dba85ac570464ed66fdaca2c6ba216a94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mi Problema,6PIRiVNVZk0vN9ZyUJTqKj,Ismael Serrano,4eyF2eDCunzeFykH90Ej34,La Llamada,4IKa51k08eP9C6MhKslZ21,48,https://p.scdn.co/mp3-preview/4e7a9d01c88982be674206dc1feb862019a3c039?cid=fa83a2fec7c440b7a2795d600d6b2c7e
