Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,No me llames iluso,1xobZzJ5b478hISL3oKskp,La Cabra Mecanica,1g2kmC27Pg8fcsT3O9ecje,Ni jaulas ni peceras,4YQKh4b18oo805c9LP89dw,45,https://p.scdn.co/mp3-preview/e6214e1561108b91f52786e18b75b638204eda60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,María Isabel,6y1b0YZufCb63Mnv3fnlBY,Los Payos,1ONcwA5aZxzgOelWDmQ51X,Lo Mejor De Los Payos,5tQa4jvBXDzlaB7ebZb0UG,38,https://p.scdn.co/mp3-preview/a496444c2826a97925f6d4750dc42f69e456ed17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Torero,709CndJJB3GTUhQD0LLFse,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Grandes Exitos,1HR0VmKYncW4JyMwRCSi9N,61,https://p.scdn.co/mp3-preview/129e05b04a0bb4a56d16f152a521bd3cf10f4fe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Salsa Con Reggaetón,7KnfMJhMvciKC9TKEWVXi8,K-Narias,6bwz9tsKnEgaWbwGobFWQR,Hombres Con Pañales,0hS0znsJelROTBJXG6l8sT,46,https://p.scdn.co/mp3-preview/3f9d26583df666d59358e7265fb775ec92470900?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Yo Quiero Bailar,4rFCPjKfgbEeNvs1Ku4nbd,Sonia Y Selena,0wWRxCuyckZOJQVEGqE1f8,Yo Quiero Bailar,1Z3oRjE6kaIhj9GS0IFwxF,52,not available
46,Sueño Su Boca,6gMyJAtpnAOU92I9hjpSNe,Raul,6EJ4mFJMPWz9lHCNP36vOC,Sueño Su Boca,5iOtSGdGnwl8yQmBT97EUt,46,https://p.scdn.co/mp3-preview/ccaed488cafae5229c931a37f030f22e009b8c7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ritmo de la Noche,1RnmgzFAq0AACVdBuCZoxJ,Mystic,4ahFEIM1vjjjrl0xTsfzSd,"Entre los 80 y los 90, Vol.2",44EBCc8u7uK1HFpY35cmz3,0,not available
48,Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,0EmeFodog0BfCgMzAIvKQp,Clandestino,1h1hnfRyc45IIDnxUCaGIf,75,https://p.scdn.co/mp3-preview/da02f5da679715064baf20741d1ac80b2fc67a3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Hay que venir al sur,1kXTqAV4IshAbOQpWl9PkE,Raffaela Carrá,0tglKBr1Cbb1c6kWuLJpw0,Las 101 mejores canciones Italianas,6uPvsXGBZE1brBn67RgMtI,45,https://p.scdn.co/mp3-preview/06db1c574f7a950e05181f6ffb330aef6a2556de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Bailando por Ahi,4QJznEbuwYc5CnPzI7xAZy,Juan Magán,1ackd5XprZEkH3McKbQD51,The King Of Dance,0ReZGnwwE1cwqgyIwOfluR,55,https://p.scdn.co/mp3-preview/4cbcb18e1f150478b0f7ade3e4d22c910dd8eddf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Sopa de Caracol,4V8uHuLaBRxQ02H4YNCOO7,Banda Blanca,1Ykx49KpY0FqIXUwyuD3TJ,Lo Mejor de Banda Blanca - 16 Exitos,696Y05qV9YgqTqA8gPmY20,58,https://p.scdn.co/mp3-preview/ad7a15aeed58aa06c437dc4c10878ad5a2a04e49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Salomé,4l8i9h5PNoJte95Es3HftJ,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,MLB Caliente,32FJnbptijIkaBp6OlzbUU,53,https://p.scdn.co/mp3-preview/5bda6f73e7134cd4e50a41357971e48c4dc194c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Peligrosa,3Nkqp3NSGWMXVVO08zGpN7,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Vibras,5kprdYds6oZb4iSldfflOT,69,not available
54,Sólo Se Vive una Vez,5dg7OfEwTVvUZfqt24ObwI,Azucar Moreno,2WrKqjMRKr5MitNYaNgvl3,Mucho Azucar (Grandes Exitos),7xcIu7L8tCgaKYWndaS0uV,56,https://p.scdn.co/mp3-preview/6069dc7172199e9b1c713e0204cdc711f9d86a58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Verano Azul,2TrzgfBaSP387EEFDgG4FW,Juan Magán,1ackd5XprZEkH3McKbQD51,Verano Azul,6GxHVUwxvviiCffH7coRPC,1,not available
