Salsa Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Amigos,7F6O4IJtrHNBdKFpcHwMJg,Mucho Manolo,007jdNDl62xieDnxfg4Q3c,Amigos,5wSffm6Xgsh7hmZJHY6TpT,55,https://p.scdn.co/mp3-preview/4209dae5a1583e7086b1a35c23306bb9bd2737f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,BachaSalsa Vol. 1,1MZGLqbtT6BQs3OM7R92UY,Chiquito Team Band,0vEYOFlkqy2FUy1UOF7RiV,BachaSalsa Vol. 1,65x4QKTTVbni9kOmzkPJiy,55,https://p.scdn.co/mp3-preview/4c6685d18e9389fec1c6221839abf979f7b1e811?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Vivir Mi Vida,3QHMxEOAGD51PDlbFPHLyJ,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,3.0,6vBpLg3T8bojcqzoKI6m0R,76,https://p.scdn.co/mp3-preview/8af6670450b5b016ad57e38e32a19d43fe4774d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Micaela,1m3paVx65imhvCjPx505Oy,Sonora Carruseles,34qU0b0yRjEzRJtknerEDS,The Best,6HTMGKWidJzcm9IHP4iolu,59,https://p.scdn.co/mp3-preview/0bd53e7862cbef4805a80dca928dd3d1c25c2296?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Mira - Versión Salsa,4nYuL6R1SuWAOJRwAWasct,Jerry Rivera,7wOZy3KdFVVINgNFFxkxwO,Mira,2wrbLhESYlyhzIlhJ1Lo8X,58,https://p.scdn.co/mp3-preview/0b11e0f93b05ddc3de5b03ab3867d7851faec47f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Pedro Navaja,5y37hGmb0LU3YiZRlFJGUR,Rubén Blades,5BwMgvRwlq61SmknvsVIQj,Ruben Blades - Greatest Hits,6JwZQl7WzZmOMj3bfoBuiE,25,not available
38,Juliana,5uUtqceCsKoQ2J7DDGNbIE,D.L.G.,0z0w28IvsF1gsKhVAMbh9p,10 De Colección,1GGTaWKQOR9zBR8jsb33GD,56,https://p.scdn.co/mp3-preview/9358aae053d4a149dd710e220b1b609776793329?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,El Cantante,0C279YvVWJcmFMSDtqIGfq,Héctor Lavoe,7opp16lU7VM3l2WBdGMYHP,El Cantante de los Cantantes,1uj6t6QrkyuyeHdHcKporK,28,not available
40,La Vida Es Un Carnaval,0yp6jw6F0LNnjbxLejWaPK,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Amores Perros (Soundtrack),6pccc4jYCY75jhGwV8qFVe,11,not available
41,Soledad,3bpqoOSDwdaK003DPMvDJQ,La-33,1Y2yzHPbBWZouNYTOGFq7u,La-33,38sJtIZtuLAMfphGWBtHSt,56,https://p.scdn.co/mp3-preview/cea17af9f200ceff47d370f2b85a876f0f987b44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Volveré,1XuSve6t0vLCm8MG7CZJOA,Chiquito Team Band,0vEYOFlkqy2FUy1UOF7RiV,La Industria Salsera,7hXokbpf0kaStZVJH1FaYM,54,https://p.scdn.co/mp3-preview/ffe9c8c5235c43ce5b92cb88b06d2e582b89736d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Me Enamore,60VVaKgIJNftR2UWkLIYah,Michael Stuart,5iaO1NHFcaQigDtuJi0mhe,Me Enamore,3jM0m1h8r76o74B3EiYlCJ,54,https://p.scdn.co/mp3-preview/3315e940c4262d82f449648f967133db0b3d7f0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Tu Ausencia,3c5PYEQmBkxqxsb0xMsRnk,Alex Matos,4nwpr7Msz5dvHftcPNkDRC,Tu Ausencia,5t6zOm5ZGI6FCbZyqkqjgk,54,https://p.scdn.co/mp3-preview/7fbd11bfb974b2c6e5925598e91a6c59de3fa473?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Ya No Queda Nada - Ángeles Version,4OQrHFhoNSDxSFitx9KCbx,Angeles,5530FPrhZcOnERw2hsCpQB,Venimos del Cielo (Bonus Track Version),01a3BpEPSB6ifL05AhuzkU,55,https://p.scdn.co/mp3-preview/f8bbccbc74227897a99a57555382c18a09f829df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Así Es la Mujer,6Mo9TgSE7iKBNSoIdLaP40,Víctor Manuelle,4N5fp4zhTsVITZTVfsXpc2,Historia De Un Sonero,1v1eJiZh9virmkSaMeMwi4,54,https://p.scdn.co/mp3-preview/4d29db402278eb65ccc77f2b69f749267228bea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Rumba Pal Bailador,5E7tWGNU9baL3BODJmApsV,Septeto Acarey,5Vz74ibGHBQaUa2ALDOH0v,Rumba Pal Bailador,7ltPA9Nc15deGY4skHpcDy,53,https://p.scdn.co/mp3-preview/9f29be22ea79ed8dec82842512babddaa70f34cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,La Murga,23Vb5teQKNSNvPgUjLtI8j,Héctor Lavoe,7opp16lU7VM3l2WBdGMYHP,Anthology,27RB4wbSSei1uyDJfrsxT2,29,not available
49,Vive Todo Ahora,15LaR0cTTGwM9D6Q02ay2L,Carlos Xavier,1Cy6ga7M5e90LrfSbLH05T,Vive Todo Ahora,0ZDJfoNfbiuFAeNhdiHdY3,53,https://p.scdn.co/mp3-preview/285d611ecb1987713074c57f7786ddd9eee92097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ven a Medellín,5OYAkymF4NECxYhNIero4j,Grupo Galé,4152ZUds7gXsqYQexUonDP,Grandes Hits,43d93eNSEC3jfizdtuOrUE,54,https://p.scdn.co/mp3-preview/c79d07b85caf6b317b4ed68086e025243af2c128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Tú Cómo Estás,39cz1Ua6M1YFAjxKxipgOK,Domingo Quiñones,4JqvRbbOIF4EUmsVQMTgjs,Serie Cinco Estrellas,5BpVkIMEFkJuBc78SbJyZY,4,not available
52,I Love Salsa,2fhcGmlZZ0j3oAKTaiuk91,N'Klabe,3sXLxfvWccL0EI4Q3xxO3q,I Love Salsa (re-release),4nGpYxZxPjnqD2zJQCyGzB,54,https://p.scdn.co/mp3-preview/722fec8d95f47e6d7586e049576e8cbbcf0e2d73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
