My Indie Valentine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,"Archie, Marry Me",5HLes17mwCwKt81mi0Tk35,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,4PrBMzWzzoMOwm55Bfo3dt,60,https://p.scdn.co/mp3-preview/044ff036b0e459da670f022a4ca882d25a743dfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Caledonia, My Love",7cgka1GOkbcvNqQYrs2FwE,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,58,https://p.scdn.co/mp3-preview/6f2f59f1c69913df3525752bde6a540eefe68ec0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,We Never Argue,3mnzRPHD3xQz4O82svcFOe,Lambchop,2Lhs0asnFQiLuntn3s8p78,How I Quit Smoking,2OhSe7hNJZwXf3I79K44co,8,https://p.scdn.co/mp3-preview/21df395b2ff6722fdd0d5c7a1c6031cab68eb003?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,We Dance,1cd9lvysIhRiPd5z4QmdSn,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Wowee Zowee,5C1ePFbSzOGHdypuNBIDZh,29,https://p.scdn.co/mp3-preview/a4a7eab70b3e14c3f2e9765ed5ad06e53dc647f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,French Navy,0xVU3b2ZWl8cq8QuZ6oYPl,Camera Obscura,5gInJ5P5gQnOKPM3SUEVFt,My Maudlin Career,4MlYueB39zmkX1ScPAdczS,53,https://p.scdn.co/mp3-preview/4464dfb009fa92d39de279d45fa66647b85ddfe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Walk On By,1jwKdqb7OindD204ocIryP,Isaac Hayes,3IKV7o6WPphDB7cCWXaG3E,Hot Buttered Soul,71rxIr6MJYUzDG9ge6Jq3J,39,not available
18,Yes She Is My Skinhead Girl,7tr9b1MZJd4tN6U41clMbY,Unrest,0Hko1NgISX00BkCPOuyVzQ,Imperial F.F.R.R.,2cFT3E5jpi82TT9f4G01df,3,https://p.scdn.co/mp3-preview/785d8d86455212427280af7f329243994f35c0a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Across the Piedmont,2PDQR36jZ5jdO7L6QEK8Bf,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Golden Time,4Au4Rc2ChPzfIn1jkTBuPl,3,https://p.scdn.co/mp3-preview/8d893add391fe6ada7e8be5e1462f33ed832bfc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Can't Do Without You,6xiQVuzbG52jkyRmLpEFj2,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love (Expanded Edition),7k7LfcXJsRSWzzlNb3zjDC,32,https://p.scdn.co/mp3-preview/3b134bc40fd32246151adae2a91467e211ba8752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,When You Were Mine,7i7K8K1kOAyJUvzAigM9x6,Lambchop,2Lhs0asnFQiLuntn3s8p78,When You Were Mine,1RKhMURhlQnwHxBejzE4pU,26,https://p.scdn.co/mp3-preview/fb385fcbd4c8f586957d7631ba8ab4f81a027a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"If We Can Land A Man On The Moon, Surely I Can Win Your Heart",4LiXHmW4SUAKRASql87Vzv,Beulah,0O5sXbPJPWbHKnbLfdLARS,When Your Heartstrings Break,20aXIU81UUF1K8KVRTy58D,0,not available
23,I Do Love You,0LATRnKyJoES5de9ydXHBG,Coco Hames,0jOzDGdyJtAt5bYX7xpWYV,I Do Love You,79RZ8f13yNn1hCSGqGAmOc,1,https://p.scdn.co/mp3-preview/3af61d134ccf85306e0e7443f51257827006210a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Earthquake Of '73,7lkEjKjx2W5HpXIsHlLI9w,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Spelled In Bones,1H18bzVkCPHe1EirAHzxY7,0,not available
25,Did I Tell You,1D94TmNqM0ixAJywhiGyYO,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Fakebook,1B0vzhEsnZAuwtsNXT59Cm,17,https://p.scdn.co/mp3-preview/d7c64cf93102449b2c038557b2ed5cc0303db59a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Book of Love,6UGpcXcENaUqQKPc6oqOe4,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,69 Love Songs,2js3lkzAjWpD656NK7ZaJX,59,https://p.scdn.co/mp3-preview/010bb3238e1681fdac2d41bfc2db3d9825acb452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,House Of Cards,3Jc6X15OZCCyhGSHBF4hwB,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,In Rainbows,7eyQXxuf2nGj9d2367Gi5f,61,https://p.scdn.co/mp3-preview/096e09089915ad8df9c83f2c3bebf6ea80b3f473?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,I Miss Your Bones,5w8AOfkCNB3IhyBRTRGrCn,Hospitality,6xgfDCWKp5rIIO7sllJ6us,Trouble,4IpjPZhNDBRwPSOmhIC6aF,27,https://p.scdn.co/mp3-preview/d0a798c127b74072b42491095f28df875188adda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Mass Romantic,3I016oj9UguIs4DKkFzlGv,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Mass Romantic (Remastered),2IISeN6dGv4BPMmz4ArMnK,40,https://p.scdn.co/mp3-preview/c985aaed5cf62bb0c0c08c76b5cffea50101d73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Fall Me in Love,2zhJf5HSExDXULWvVVjEkz,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,33,https://p.scdn.co/mp3-preview/ef23ac63bebc20f4a6aa6bf1b3e5dec6c65d05f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Beautiful Things,4zNciwldOtNhptbYZkCLqF,3Ds,1ZwVncciWUroQ1SbaU4Rcg,The Venus Trail,30BCpEI5zuSGMhcqqIR7wL,8,https://p.scdn.co/mp3-preview/0c0aeae4bb7e4b0093aeec2f31b9350a6ba334e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Some Girls Like Cigarettes,0qqU1JVq5RsXiwMcPaEC1R,The Karl Hendricks Trio,38CCFJhHaYVRAMy9JlU5kz,Some Girls Like Cigarettes,6b9JmTLskjuCvIS73yXvi5,2,https://p.scdn.co/mp3-preview/5b89cf29063b74cdf1f521087cae36199b14b042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Here Comes the Sun Again,7ccYErn8oTBtll6cmJnhUm,M. Ward,6nXSnNEdLuKTzAQozRtqiI,Transistor Radio (Deluxe Version),4dNsNK0rFtOtDHWZgrmSwx,21,https://p.scdn.co/mp3-preview/645858331767ac25b60972485b449b15b1148222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,(I Can't Seem to) Make You Mine,6AiLZI8dFoi4ThQOf5ELuG,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Alone and Unreal: The Best of the Clientele (Deluxe Version),20bZ90rNXEqkgYvxUIrx0z,15,https://p.scdn.co/mp3-preview/03e1da46a796cbcf762f8f12b7ad1603976ac665?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sleep All Summer,3ImYc5hhlFtS7GCwo6R1R4,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Dignity and Shame,300X9iphkJZZ8ZZwIDGFSK,32,https://p.scdn.co/mp3-preview/843bcdae3c9d6365208d85aa4d608912a10fd31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Thirteen,3BQLTtpQOYGXQY2lT3ZZeU,Big Star,3UvcmAOZt64oKpP95f6MMM,#1 Record,1BumwwIEw1EC3xAHyf1ive,52,not available
37,My Love Is Real,0jn2uT8awFtj9JpzWhly71,Divine Fits,4uuUGaQKEYJW2b78K0HD6X,A Thing Called Divine Fits,6g8Lynv75UwyJuEMSyiORS,23,https://p.scdn.co/mp3-preview/a4351f264284a4e42b4ffcc1c736d1bd2e013a78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Peace of Mind,4RgeQpHvBTfSu7TCLbvuRX,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,MCII,2spxrQq50aGqf9Barvc8fg,20,https://p.scdn.co/mp3-preview/3a243cbed6d9898fb811113ea6e9c3006dadc298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Look At Where We Are,3a4o1Yj1j7fATDxFSBgUYe,Hot Chip,37uLId6Z5ZXCx19vuruvv5,In Our Heads,31UV1XHUWAUfKH8vQQ0DD0,0,not available
40,Heart to Tell,1KLei8vr5one88ra2XfxK0,The Love Language,44OridJEgBZRRGJXQfOScR,Libraries,2GhtRqqAWewD3iDe5CjiIk,29,https://p.scdn.co/mp3-preview/e009737421f3170dbb82d07cc1806c85be84aadb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Tonight I Have To Leave It,0EioI2vnyTBc7B3rrrNDoB,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Our Ill Wills,5o6LGjOHAaHpUMZncZGdEl,41,https://p.scdn.co/mp3-preview/d7bb515a97b9d057d983a35e9f4cc477bf428a91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Just Like Heaven,2taiFEr466TWMGPZN719m5,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,You're Living All Over Me,7LpjAJON4CNX6PmY9SICs3,48,https://p.scdn.co/mp3-preview/45695945dbe41ab464d457b61ff1bdc4066adda5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Coast of Carolina,4YWrmb8NpKY1gKN012G5Ro,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Telekinesis!,2vZKhcxTCnB8ytm0fyy8fz,36,https://p.scdn.co/mp3-preview/b0c58acda4cedc7bd2f496c636f6797a51528847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Barbra,1wCgtNzMcRLIPu0nsHsB1y,Modernettes,4wKpj3B41fFf5HThqL3ORF,Get it Straight,6kJf22bFG6U5CoKsQ7gIzt,14,https://p.scdn.co/mp3-preview/9e0aca68609df49c16b3d9a5a1f4c5d7ad41729f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,My My,0fVOIu1OQI6xxEYnY4hDaM,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Shattered,5SEJxl1hYnNjyNBpPpHTMo,20,https://p.scdn.co/mp3-preview/5db7ed65c948f3e11fcbe19002ef1174f722b812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Lovers' Rights,7Mxswg9N16EXPQxJ28oBAr,The Rosebuds,1uatpkp2CbVMmQlMKFMAwe,Birds Make Good Neighbors,5JNsyuGr1MSR58d37Wigdm,7,https://p.scdn.co/mp3-preview/45d2f4dbf0246e65a10514899efaba0d2382dbe9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,I Think I'm In Love,4MUjdrWSsyQgJnK8KeumgW,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Ladies & Gentlemen We Are Floating In Space,4GMgNPA4fMv3U0QQsdRLJk,49,https://p.scdn.co/mp3-preview/50d9763d5de1084b9dbde472a6860e74a2f3ee55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"100,000 Fireflies",0DULl8SJbrfd337JKdFj4p,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Wayward Bus / Distant Plastic Trees,1oeYfsEd3AQkKkLHCjoopp,0,not available
49,Watery Hands,2mPWJQ4HTfAHf821I7lDTc,Superchunk,7lmde7T1WJPFwv1eR6melP,Indoor Living (Remastered),4NydphOh8w46qpEpD4jOzV,14,https://p.scdn.co/mp3-preview/f3513e0b940abf44c9fe8d45e61121ccdc47de98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,We Used to Wait,7cE9EO9fFcNJQ6VLtPq8ra,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs,7ywq1sBkcgkXsF3MduUPWi,0,not available
51,Is Love Forever?,3YBLAW1bQ0X0CYk3v70RK9,Spoon,0K1q0nXQ8is36PzOKAMbNe,Transference,2laFBdVKIFTExgJ46dsRna,26,not available
52,Falling Rain,4EIV80drM2c86I9C0YfO4o,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Shattered,5SEJxl1hYnNjyNBpPpHTMo,22,https://p.scdn.co/mp3-preview/5b8ee477604860629cb17d45a50d36d8a431871a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,C Is The Heavenly Option,3xZQdk2g0GDAkkIQKGepgw,Heavenly,1sDWIdL18InXgES9TwvsL2,Le Jardin De Heavenly,4H9yXqhiYYqBLV7Lk7Jmvi,0,not available
54,Love Goes On!,4x7uwEgTYtM5pBLjppkcGb,The Go-Betweens,4HCubdy7diarb4KZo8etrq,16 Lovers Lane,5VndKXEULqqpQ2GiZhi94k,32,https://p.scdn.co/mp3-preview/be961aa32f99df1e6b3fb42c0e288b80ffa2e56c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,L.O.V.E. Love,5ANPcIbYvWPBJ6IJvtYJrB,Orange Juice,2u7xZP39dtED9EuRX9MUwu,You Can't Hide Your Love Forever,18nP1n85g0brq7EC6mbZaL,0,not available
56,Paola,0PkUhyp3B1jqJd1am9uyvH,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Ease My Mind,14iV0WEdbGcdSfFMfTz1LU,18,https://p.scdn.co/mp3-preview/3d1aae03126f7919e72f7e785edfaa84fda4494c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Simple Feelings,1s48OStuuHGNufdC3aRoXf,Twerps,4vkIW79PRnJM8PNylIMTQB,Range Anxiety,7HvsEhwXQhIGSa07bpyBmp,18,https://p.scdn.co/mp3-preview/2cc61245106c463be80fd674282389a956400ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Our Love,5aYSS57bSuOF5eM0N8C6WS,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love (Expanded Edition),7k7LfcXJsRSWzzlNb3zjDC,30,https://p.scdn.co/mp3-preview/feab27f371cee7cd85ee6c9d748f2a0895ba39c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Lunar Days,1p8QidTgOHHM4egnZALSRx,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Music for the Age of Miracles,31EbfO1n9u8HTYgRPFBHa5,26,https://p.scdn.co/mp3-preview/552fa226a8d9646bfac45b2aa5a2564d2eac4712?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Call Your Girlfriend,2sCoROOlNQyFpRQEe6A5lv,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Body Talk,0Rzg7fqyWE39G6wKipxrns,54,not available
61,Stay Alive,0tc3RWcszYAFS0GOKuyV4Z,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Vessel of Love,5GdBwp9XyC9EBC0f4x2ee1,35,https://p.scdn.co/mp3-preview/7f9887310d543ec7191d1d3b34a0a0e42fb7f227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Romance,662xOLbcQsT8zFFjeADLEl,WILD FLAG,4G3PykZuN4ts87LgYKI9Zu,Wild Flag,2HcZpInX7XfjQ69EsGKrhS,29,https://p.scdn.co/mp3-preview/b17e15fdb6b6a3a34a4d6dafcd9757468cca111b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Love You More,0KgDz7b5rK1jamJtRHpo3P,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Singles Going Steady,2P0baUWHo9FQ5No7QjpCO7,0,not available
64,Goodbye Girl,6lN1OCoa7avKZsmngLWJrn,Squeeze,6Jrj26oAY96EEC2lqC6fua,Cool For Cats,6BXnJVcUbSdC6E82xouYK5,38,not available
65,Lucky Ladybug,7ht60oLJDT8vYnUgOHRyzH,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Break a Promise,3B9TEmycq3Zy7NAMkz8QFH,2,https://p.scdn.co/mp3-preview/b45b47848e65bdf8474a474ec2f95432cdbf1e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Satellite of Love,5WyuRWUcOOhAic0tj9Pl28,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Transformer,5SqbMEyAt8332ISGiLX0St,62,https://p.scdn.co/mp3-preview/a6a6c40d9e0bb8b87de8e3f11f6f15d3e60763f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Web in Front,3NvlurGsg6RgPlgY2VVfl9,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,44,https://p.scdn.co/mp3-preview/7df378ac91ec265e1489b638b4f0421e4c8e4af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Rosalita (Come Out Tonight),4Z80C8NlDd1AO4axf1O3n0,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,"The Wild, the Innocent & The E Street Shuffle",1rmhti8uHw21LnaWMQy608,54,https://p.scdn.co/mp3-preview/4980fb8680cddafb530967a39720cf06ac4b956d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Love Is Stronger Than Witchcraft,4ixMBBBRffm83YRgKxNgRl,Robert Pollard,0L8gNE8U7v7YvefZenVKo5,From a Compound Eye,0ncmBcgnOIehGylR0GXewv,8,https://p.scdn.co/mp3-preview/438df7690f9fd792d14a90db68e568e7724abf07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Ever Falling in Love,1ph0LOYWFytKDOA84GfIqv,Times New Viking,0oFIPnarjYKDTVgNQU0bbo,Dancer Equired,1msZdPtKikoU9K093cARmY,9,https://p.scdn.co/mp3-preview/b906ada02b42d3c7866d9ee092b4bc02de23ff87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,I've Got My Love,6Y08Yv9N8jGNfGM7MKrVpc,The Music Tapes,0Xjtselvq13TzhtPlo7g0r,The Orbiting Human Circus,5iw9ZG6VPi2hgwihWDxfAZ,16,https://p.scdn.co/mp3-preview/c2d794e4a54ba5d73366614ea9fe61c4f0007bc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Thirteen,19XbNdlmKfqUZdhpLJuxVC,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,New Moon,53F7Hln8r2NAjrzkpSC1GE,8,not available
73,It Hurts Me Too,4wACv3JAUdAzmRdGat6ZuK,Karen Dalton,5O5V29YvM6AzAQ0rNt59fy,It's So Hard To Tell Who's Going To Love You The Best,1O330PE8lc1dDXduHBwLXe,45,not available
74,In Love,6WhnZL1squnpYrJfhdLGak,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp,The Raincoats,190Tx9jPHndq0qUlq79BJJ,26,https://p.scdn.co/mp3-preview/5a38182d508b0f9b7a6923fb6ddcbe679aacb48d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Driveway to Driveway,1C65EMS98C2cnJZA5DEEq8,Superchunk,7lmde7T1WJPFwv1eR6melP,Foolish (Remastered),1qmuiYImHKC0qwKQXH1U1O,39,https://p.scdn.co/mp3-preview/d0e796692a1d8f6f12638372b1c6f425564d33e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Burn Me Alive,7CBQqkPuxWPmeP95zrnh0f,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,The Year of Magical Drinking,1SXvgEPxhtrcwEqj83pzUh,14,https://p.scdn.co/mp3-preview/831146d8df46f9bb1cc39a0fe91b248ee2181cae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Forever and a Day,5awU53WBhGXYnZUjIltVRo,Stephin Merritt,2x7iCl510O317XjOcG7iOf,Obscurities,426tUoGEOChScOAzPbfqyB,12,https://p.scdn.co/mp3-preview/99529cf69dcc1cf86433e3ed9421a10594227f65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Friday I'm in Love,6yH4PtEs8t43GkU7DVORaN,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Stuff Like That There,3TlSSVWAeW4TB2FkVZ94dI,53,https://p.scdn.co/mp3-preview/c955682b44ae10cf048a319743c7182a49db5d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Dream Lover,3OHcXfMOxIfroDvYrLkaS3,Destroyer,22ojy4H4ZVpowC4lRRC8In,Poison Season,1W2B8qW1EDywGkYE6UYDKB,25,https://p.scdn.co/mp3-preview/c359c7ab4eafe3e012fbb2a8e50439f6d379f0fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,She's the One - 2002 Remaster,7whg94OM1U8AkodkEHcwDb,Ramones,1co4F2pPNH8JjTutZkmgSm,Road to Ruin,4uYGMRwon6fQ2zOJhfr0iC,20,https://p.scdn.co/mp3-preview/52c3e7e5658d71ea5d2af42f344d7609e47c0781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Song Against Sex,7ssaUVHbfPV4XX7k8idurx,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,On Avery Island,61JMheCQqO6UsoR8H3QZDK,41,https://p.scdn.co/mp3-preview/ab62ca7c8ce1993314df79c4d24a1fc7fa0ba877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Expatriate,1YH7DdDW5Ek4y6Z2BNSrXG,Allison Crutchfield,1zIiCQLbCV0la5eLdT0FIj,Tourist in This Town,4F72gIqyJvqYkxDd1iIQG1,11,https://p.scdn.co/mp3-preview/c926dd727ac795d42b81baaf84830ce0bad313a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Reconnez Cherie,4CzS79p1jN6ZZE8n91goei,Wreckless Eric,46mRV6kvhsGvih0dMKktto,Wreckless Eric,0eloxcVDhu3S0A9ZujGRJR,0,not available
84,Valentine,06nLxPBB652e6NyaCXRFeg,Small Factory,5pOWVDKxb1Ez25LgTGCXuW,I Do Not Love You,2zNn65ZVpCGgSNhUmAR9s4,4,https://p.scdn.co/mp3-preview/a9edd92eec48ebc1856d9587d21bb7d268884137?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,My Darling,75Nl8F9d3tFGWxZOqdMq20,Wilco,2QoU3awHVdcHS8LrZEKvSM,Summerteeth,1JpaFJzzcsiulO6MdIcQdK,36,https://p.scdn.co/mp3-preview/55f77829c1d9b616bae2e45e722732cee294ff8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,All My Love,3kVYe1DFHuNV9tDlYK259X,American Music Club,6uHjKRsYGaElOrKWlSEji3,The Golden Age,5uG9Jojqovia6Vj3inYwCk,5,https://p.scdn.co/mp3-preview/a83c2c1a0b3d0b4790fd40a3b96572e050028818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Heroes - 1999 Remaster,5j6ZZwA9BnxZi5Bk0Ng4jB,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Heroes,3lFioPGhn7x5Y3H3YbPV83,25,not available
88,Sleepwalking (Couples Only Dance Prom Night),4PCRawItOrjbAqZnZTBsca,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,Interstate 8,0ofLJouO3dgFhUNOx1hRRz,48,https://p.scdn.co/mp3-preview/7ea8b41064d908ae7b9525f11f1448e4693e94ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Something About John Coltrane,6p1D7kXSeW6saOJteQ7orb,Alice Coltrane,0oKYiTD5CdNbrofRvM1dIr,Journey in Satchidananda,6zV55F6W8kh1qe8LHhqRbz,27,not available
90,Halfway To Paradise,4vEe9ZYLYAq5dnS86Mzsbi,Nick Lowe,3BqaUtuQmqIHg7B5Bc7fP7,Jesus of Cool (Reissue),3736199ba3m8LEfWMCCgTh,5,not available
91,Anything You Want,3nitZCvnTwDu8uXbwvUxvV,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,36,not available
