"Vampires, Ghosts, Zombies - A Halloween Mix",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
46,Dracula's Daughter,3pTEePjO77VF81zIIYw3xC,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Researching the Blues,6vOaJ92ijz7RCFHUXHM6fD,13,https://p.scdn.co/mp3-preview/757883ead32c98059353ee5baf0be272bd27f8b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Minotaur,4qzHCbimokPRT7iuNjkL6b,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Minotaur,4ppU7Ofj8EZaFM6zq7lCbK,9,https://p.scdn.co/mp3-preview/cfd7ccb10449574f5782f374167ef8c9736157b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Black Candy,4GeKVoiOOZ8eoN8yjxw0C9,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Early Recordings,2x9qdf3HONruwTQhrbvqfD,13,https://p.scdn.co/mp3-preview/27ab46f40216a22b4b72af6c04f0985f130f010e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Lookalike,4ZczlLzGRoTdNotmSDc4nr,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,The Most Lamentable Tragedy,6tcFu0TqSurn0s4unYDXSO,18,https://p.scdn.co/mp3-preview/081c4dc5b80d130a73986a00bca8bd5b6d6665bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Blood Capsules,0VTvfl1U1B2Bs097N4ZHco,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Blood Capsules / Dub Capsules,4ean20x8mNzBnLxJIqoDfu,14,https://p.scdn.co/mp3-preview/6c1841759f3e5f86b03d11c4450bd611a8f599e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Real Darkness,0WdSg06Q1vENtSil44W6mf,Mac McCaughan,3pLUCmcxLXGeLoYI5rw3O4,Non-Believers,4RPRmfSobFWkd1eFEbMKwy,2,https://p.scdn.co/mp3-preview/a3fb5b2898519f715cb6c971e75603fa15155f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Shriek,6kEr0iFOQZNVzQ5E0ZmQKp,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Shriek (Deluxe Version),09sdJjMX4JGdAj6VmC6LLv,23,https://p.scdn.co/mp3-preview/101256acb441fd6797de3f5f08f4b9d2e3f27cef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Animal Mask,5yRyZhD5oHOt4zj0NycVOV,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Beat the Champ,7HWC61Sl93gYdBqCV5EIka,30,https://p.scdn.co/mp3-preview/da86f820bc8a24c94dd54d4d3dab2f924590a09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Shadow of a Ghost (Black Mt. Demo),1anl03JLEaiRNB7AyzJAuv,The Love Language,44OridJEgBZRRGJXQfOScR,Ruby Red Deluxe,7FUzrEpmV7gkNwVukiLYUg,2,https://p.scdn.co/mp3-preview/82dca07d1bc0fca4c7607c9696c7a58e57797e8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Werewolf Gimmick,601sKQRE4ZVptFWVwLw8k7,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Beat the Champ,7HWC61Sl93gYdBqCV5EIka,34,https://p.scdn.co/mp3-preview/7c404b0c466dff3d46f376d25661bc78cad57e71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Illusions,2IWrMpJi3Om3MexLwcNUXf,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Optica (Bonus Track Version),1KicDYXZH0j2bPCWCTWQ4O,18,https://p.scdn.co/mp3-preview/6712601e79ce3c5aa30a5248b5f18fc965607a46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Spectral Worship,4nKosPui9iJLFXEzQfLYtz,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Spectral Worship,7B3uNy4QQTWQosUqOFpDAh,1,https://p.scdn.co/mp3-preview/f6b5e2b00fc8fbea5e846b7fe3f2914ea8cc691d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Demons and Avalanches,4xW0tFjuNBdq2T4fBCcgNh,Butterglory,1IoLoJPjCK2vxADHfu5OmG,Downed: A Singles Collection,5aSC8xbyYFaLhkShsRvUK7,3,https://p.scdn.co/mp3-preview/6523d489d9ded14e29741f2553492a4e357b4c0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Plague,7CGIgKXFyjXqwrw5cAH5IB,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,Trust Fund,1AoVYjRaQSwgdMJcVc4JK0,0,https://p.scdn.co/mp3-preview/09d30709ad056e58a84771e6264e0b1510cc532a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
