Rock This: Best of 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Cold Cold Cold,1Q3t9fWvHUXKsMmpD2XpUu,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Tell Me I'm Pretty,0nW0w37lrQ87k7PLZvC4qJ,70,https://p.scdn.co/mp3-preview/9b620191ec96b84e47bf572d43bd32a65316a9e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sorry,6rAXHPd18PZ6W8m9EectzH,Nothing But Thieves,1kDGbuxWknIKx4FlgWxiSp,Broken Machine (Deluxe),0r7wrRVD77lNrD9t2QgZrq,63,https://p.scdn.co/mp3-preview/ce0e14b165720570893330c3234b5ed2f2bdf76d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,It's A Trip!,6IY3cC281mz9q0bViUEldz,Joywave,1UfzhwcOR4yfX7yHTPfC9m,Content,5RKLyPZ4P8WhO1uxDMXGe7,61,not available
22,Cocoon,6acDlNeA06MCVCzsTVGr9V,Milky Chance,1hzfo8twXdOegF3xireCYs,Blossom (Deluxe),72xhsdVmVWFXJuSjABjqtC,62,not available
23,Reverend,5cm47Nc1MWBVIkRFaXxvHY,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,WALLS,08ibdX8K0GETv20UEku3sm,63,https://p.scdn.co/mp3-preview/a8c27e8977ce7f0cef0043a9947564c43c1f1df0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,One More Light,3xXBsjrbG1xQIm1xv1cKOt,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,One More Light,5Eevxp2BCbWq25ZdiXRwYd,75,https://p.scdn.co/mp3-preview/7ea4eef2ed25e30cd90bbef3dc5ef3503ac1afeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sweet Disaster,7bEDDsy2LFC0KSqhZp5nPE,DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,This Album Does Not Exist,2dtruUPZ49oSh468hKErtf,64,not available
26,Roman Sky,06r4cRb2dnmCSyZ5MgEUGY,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,The Stage,0vINJeraREv5ySgWs57Dko,47,not available
27,Vacation,7lgvGRC1gN0JGgY9VGXsQT,Dirty Heads,6GkJh85o22LfD2vgL9DP6f,SWIM TEAM,0wNiULI2D1sSbM60XaLJH1,60,https://p.scdn.co/mp3-preview/bb0ede798b01af57eaf1c54260bf4fec89f14a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,We Fight,4vSGt6RC1GcfA07OGE3rcs,Dashboard Confessional,4ERtgeBbWRkFzIz6LaFCeY,We Fight,0gTOUVU4gby3KApKH410ek,36,https://p.scdn.co/mp3-preview/3593a8605ffeca913685fe9da6b9a5a4994433e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Get Right,19cVww3dRYFzVvslJu2NtL,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Integrity Blues,03hVtUfmQW3fhMbYoliIod,44,https://p.scdn.co/mp3-preview/fdc368e69abe590c4ff8fd121b98a91b8eddee9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,American Soul,7F0wm6AJKih5JU0fjEbzkr,U2,51Blml2LZPmy7TTiAg47vQ,American Soul,3xTUOQo8xptmvIg7m0SU3A,0,not available
31,Born For Greatness,5cRPdqpWkaNmIbPi6wJDg2,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Crooked Teeth (Deluxe),4KTUNKma9YpiSbioeui4pW,68,https://p.scdn.co/mp3-preview/703410326597052e66e572c7490ee4f143aafb01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Feels Like Summer,2jz1bw1p0WQj0PDnVDP0uY,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Pacific Daydream,3EwfQtjvyRAXsPWAKO5FDP,61,https://p.scdn.co/mp3-preview/530a0fa1eaf7bc59c46b4695610be07e7ce80d12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Heavydirtysoul,7i9763l5SSfOnqZ35VOcfy,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,73,https://p.scdn.co/mp3-preview/568ead4979ba086dc9391641e05c78c812d21a5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The Violence,12C6ufD5zOWsQGHQY7aXRM,Rise Against,6Wr3hh341P84m3EI8qdn9O,Wolves,4sz6Fn4BYORRLIc1AvQwQx,64,not available
35,How Did You Love,2le5xHvcWF8PDp608d4L8D,Shinedown,70BYFdaZbEKbeauJ670ysI,Threat To Survival,7969zwJB8p021EBcCUjsv9,61,https://p.scdn.co/mp3-preview/384dfe77f235fd9bc969f8256a2cb3e75fc75730?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Run,1wLQwg0mloy3yXjL0jPE0N,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Concrete and Gold,6KMkuqIwKkwUhUYRPL6dUc,66,https://p.scdn.co/mp3-preview/fded09b73c6308a8e8dccfad257bee228848481a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Show Yourself,1dfHpGeaXunLRNvzSZOZtc,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,Emperor of Sand,1VzmKgEG38fsUBZVe15wuF,56,https://p.scdn.co/mp3-preview/3cfe1766553bf1820c5b1fc7dda0dff873faf414?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hellfire,57ala3dITsOzu59EfKMTlA,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,The Dull Drums - EP,4VK3Q5h20xhrakwpBnxDDf,46,not available
39,Dig Down,7JhTr0G0gr3ESY3B9uqPi4,Muse,12Chz98pHFMPJEknJQMWvI,Dig Down,2mugumSqUWxhW2InJ9dPTv,9,not available
40,Battle Symphony,3FQCJI2t5LTbsRPfYVBSVB,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,One More Light,5Eevxp2BCbWq25ZdiXRwYd,66,https://p.scdn.co/mp3-preview/0d5e44827994c1530c93331aacbd774def9f0511?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Bottom Of The Deep Blue Sea,4hg8D0wW7CXEUsc0fl9vnN,MISSIO,2HOMW1liAxI3URnEq95SMS,Bottom Of The Deep Blue Sea,58CDsLKHOAKFTkAwFefW6d,46,https://p.scdn.co/mp3-preview/b6ee3e3d859ab44f78a0cb3d8a82936612050327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Suit And Jacket,2ZYBwkmtYhgUj1A7teYAZ7,Judah & the Lion,3wWtfT7S2uVJJ3hGZlOLkZ,Folk Hop N' Roll (Deluxe),7vLmY8rLjLvOTQ0wk7Hqeh,64,not available
43,High Enough,1qwno7xb5mJe71xtMS6jl2,K.Flay,0pCNk4D3E2xtszsm6hMsWr,Every Where Is Some Where,4QwcXvqLh5Yj35wBt2DnTr,58,not available
44,For What It's Worth,5Ih40KFkj3cSzxgisQxBvX,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,As You Were (Deluxe Edition),2V3WS9tlPYmscBNWHHYu9X,63,https://p.scdn.co/mp3-preview/9891b6b04c25fcdc9b4941059f00ad8dda6ade4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Holy Mountain,7iQmD0bfguAQOpU1V3Bp8w,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,Who Built The Moon?,2pzI39O9jAVFghND0SiQHm,46,not available
46,KILL4ME,6UIo6YbaXihIZ72MWUpcGb,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Heaven Upside Down,6kbfR3NJmBGlgsTPAYmezz,63,not available
47,Song #3,5jsDxDkJ1PqyYUWhDMr86B,Stone Sour,49qiE8dj4JuNdpYGRPdKbF,Hydrograd,4PERSgw7TXqpEZlIVN6zHr,67,https://p.scdn.co/mp3-preview/8007adb1bfba236b2f4ad8f01a92a3dbe5f32880?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Champion,09oCOptpWAPyV0gqxBUCJr,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Champion,3isVltr2QZQk23EQGWYfHz,1,not available
49,Lullaby,7ASF3rcQSjd8bK9jmSTC2d,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Modern Ruin,50kEeuhjaYhaYPge6pXlG8,52,https://p.scdn.co/mp3-preview/4221b14d97b076aa989a7fc99dc3e6092f34a8f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Alone,6c9xVWbPeVPgrmWTYYeMTr,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,Lifelines,1GpxP0nEqmQoQimVAp8bAZ,62,not available
51,Hated,2NRa4W3rH4e5GKQMN5Qwyr,Beartooth,6vwjIs0tbIiseJMR3pqwiL,Aggressive,5nQE80zQR1NqKDBo4oE4EJ,62,https://p.scdn.co/mp3-preview/8a6865311c7ca00ac2821f94e1c382dcb2239998?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Black Rose,1Po4pby30EDHDFUKGE9hgJ,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,Seal The Deal & Let's Boogie,43UPS43heoPmecwkeQhAnI,51,not available
53,Goodbye Angels,2XTkpF9T2PKvcLgamGJGx1,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,The Getaway,43otFXrY0bgaq5fB3GrZj6,66,https://p.scdn.co/mp3-preview/69191d42691a7605cd25270fb2aca0e888a7f0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Down To The Bottom,5jddjli3YTIxueb3xFdLaA,Dorothy,6IOvhXyk5edbA2DVaeP9Up,Down To The Bottom,6QRQuIulSyoqOlNGJGLkmG,56,not available
55,Monster,0criiQKIY1hyU0lRbVhZ8L,STARSET,0kD8IT1CzF7js2XKM9lLLa,Vessels,4iJ9B2uDKJzclQo7U9BqS8,63,not available
56,Living On The 110,5x6MLzwruLYyUiaeYct5Io,Prophets Of Rage,1fSzW5cXBmquli5laFnoGY,Prophets Of Rage,2tdK7VRcq6ATSgnxdYV17X,46,not available
57,Go (Let Me Save You),56yibFyvkzoB59MVVImulZ,Citizen Zero,1T1KjHB3Fzgr3P1sBFjcud,State Of Mind,1y5Y5Q4VgXoYdSBQgSJZt0,37,not available
58,King,4M6HNRHyV2MykKp7gKQcyD,SAINT PHNX,1Tdg7NIdyWx9icE2GNZzxk,King,0Y33Ki8fZCKljrmweGgISm,54,https://p.scdn.co/mp3-preview/527c0f02a778084f7eec202bbc783482b45a19c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Up All Night,6Z884oSfliz0mKqTJTXrwb,Beck,3vbKDsSS70ZX9D2OcvbZmS,Up All Night,4bODUI8yWQc2ZtBMr9tQHB,5,not available
60,Adore,1rPCgtaIF0CyKRgAwhtpbF,Amy Shark,2DORQjKJVYZMx9uu82UGtT,Adore,4XW4uoRtDulaUs4Qb81UDx,59,https://p.scdn.co/mp3-preview/772a03b7d104196cd1f89982e3bdb0ce39fb5750?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Lay It On Me,7MUNNBJKYo3cdokp06wEOB,Vance Joy,10exVja0key0uqUkk6LJRT,Lay It On Me,47NwFzyKpP2MlT7lRMt0kY,56,https://p.scdn.co/mp3-preview/0533acec7e530a0d2cdd3227a193552482a177a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,One of Us,3zSaWBoojpQGDPO2oIL80H,New Politics,3RbyaF3Pq6iDUKNp04AIcU,Lost in Translation,3levaBZGDRTa0ZtzWpL8jp,47,https://p.scdn.co/mp3-preview/181b9dfb7adf1bf0af08ce2dbb5e39da800f208e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Passion,2E2r97GUoaRP3jCVX3nLa5,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,Passion,4UhqQqpPUdwrP2ymVmhybJ,43,https://p.scdn.co/mp3-preview/8492d876bbb0266df148d2a5c381a813e82ac19f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Oh No,1H5a6C6jqWN6XQI0Unq7W3,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,That's The Spirit,7FqHuAvmREiIwVXVpZ9ooP,60,https://p.scdn.co/mp3-preview/052b345a41cf917a8e9a481a90f3a4e4c7f7b0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Hurricane,3I50P6a8P4c9SxIYSeZUhS,Thrice,3NChzMpu9exTlNPiqUQ2DE,To Be Everywhere Is To Be Nowhere,4hFDcpvIU9F4OleRAR9nNZ,53,https://p.scdn.co/mp3-preview/cc3bb6bb987687f09b4e40694e74d715a3209638?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,She's Out Of Her Mind,6EE19skJ32p58xihYj2Waa,blink-182,6FBDaR13swtiWwGhX1WQsP,California,4wuYQ9hyF1EGmrtjMpgpE9,64,https://p.scdn.co/mp3-preview/296e7d8f24c9d20242eed764b4bdb10957ffbb7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Sweat,398yyQgNK4gUDUONBlQOYa,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,Sweat,0QqrTxRtjqQmH5XyqwORlU,54,not available
68,One Night Only,3DRZp9kykKCfnaU1Kd2AWY,The Struts,3lDpdwM8KILepMHqBWUhIA,One Night Only,6q0O4Hlf2h3BntR0TAwdTl,53,not available
69,Thank God I'm Not You,4YZVtRbdGOhHdGNi4JpCL5,Himalayas,71NBOcJ9lMeXqnbnya1z0x,Thank God I'm Not You,78vmVv9bN0amzSiE1Fvzav,61,https://p.scdn.co/mp3-preview/607f3c2e7e58949602b3d12abff0e2cdab46e332?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,What's Wrong,6U82eC2OHyiQM4Wr5Bejar,PVRIS,6oFs3qk4VepIVFdoD4jmsy,"All We Know Of Heaven, All We Need Of Hell",0jLafOidtMogAbdIjOXXIe,53,https://p.scdn.co/mp3-preview/f3639616095339331216478a113fc388781f8df4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Don't Take The Money,0d3BJRrklQ6sTfbmrojuZI,Bleachers,2eam0iDomRHGBypaDQLwWI,Don't Take The Money,6XVw1ysE3HyYF9T9axP33Y,55,https://p.scdn.co/mp3-preview/584d4a239ff18b7a6918a7d4211cd7b1969565b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,She Said,0Sgu2kKr8M0uuqKygi2wrH,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,Youth is Only Ever Fun in Retrospect,11vjbOVFGoGXWFQF5PwzUN,50,https://p.scdn.co/mp3-preview/c676b7cd3dcedebb5466433dbe55f86e8e16f848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Saviour,4sYcmNeAgIE8w4KpJgLlxn,Mallory Knox,7bHTSvk96ULRLZPZr1SoCZ,Wired,1RSAewFsJ7Q2vM5QaYMY1W,35,https://p.scdn.co/mp3-preview/9bb4745bf4b3a06bcb4231636adb798df3433f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,I Only Lie When I Love You,1LbwMX3159t6QxG3u7DRWe,Royal Blood,2S5hlvw4CMtMGswFtfdK15,How Did We Get So Dark?,3Rz6kF8eGqrDOEteo5YsBj,62,https://p.scdn.co/mp3-preview/cb774a821cfdf25994d26202d3e4957507907f46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Howl,6ZF6PsmadIgyuxp0wqD9qO,Biffy Clyro,1km0R7wy712AzLkA1WjKET,Ellipsis (Deluxe),4gSoMEnVL0sZlROP2bDVqd,52,https://p.scdn.co/mp3-preview/ea804b79f0425f963b3deaa4d7548c0e48e6186c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,7,5ykbOijJEfRhuo2Td1m0Qd,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,The Ride,07IHAhsG4FnnfHQSb3bbAZ,69,not available
77,The Wanting,5Aj28zjIRQV20WHE6pFznI,J. Roddy Walston & The Business,1FlpoZvmdqEMfKIzgMmSJX,Destroyers Of The Soft Life,3BfVRMIfODB0EHBaIPZrVO,38,not available
78,The Doomed,54RaEDwHbCJKMdDq68EyKE,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,The Doomed,4uHOQCxpSE2W3U7uaTd6Mg,4,not available
79,Judas,2QQDH8gt4nyxFu2XX6bhG8,Fozzy,59CIPNdUfewexxn1CJEdp5,Judas,3mr9etJ9IMRFRXAfLkGWcJ,61,https://p.scdn.co/mp3-preview/712613e598b8617040e0ee80a03ce57102d41b3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,American Attraction,0p8fUOBfWtGcaKGiD9drgJ,Anti-Flag,30sqtiTKIb1oDve0SdYayT,American Fall,2zcRMvP3i0me9zZqp61JF9,53,not available
81,In Bloom,6WoyghnMAvDDRbZfFbpwEo,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,The Peace And The Panic,6MiQ7JVsKlOBJFJzWQZ2Kz,64,https://p.scdn.co/mp3-preview/b9cad39e5e0421af43eb9c31190b064ab094e660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Oh No,6rF4s1wwsOa2EZF5MF6D3B,Goodbye June,1l9I7G8J8AnMScWQwlNJ4M,Magic Valley,4GQp1LbFHcJVkS9M5HUzAL,58,not available
83,Dream,6O3YFkyKCpBDb9uCrFohPf,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,Dream,2kP2L7f8uy8ztc6Xww1uW3,0,not available
84,Undefeated,5hMMDKXIKsOj8jl0Gx2vNA,Incubus,3YcBF2ttyueytpXtEzn1Za,8,3YdvnTLTd343C1osvUChnA,48,not available
85,Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Sacred Hearts Club,5lFvZh6pCTJzr9UStebyCF,75,https://p.scdn.co/mp3-preview/30818d41ad44b2b951bd28a404c38cdf5094b64d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,J-Boy,2eoZr92GWsqCaYkkCGWuxl,Phoenix,1xU878Z1QtBldR7ru9owdU,Ti Amo,08rZ2mw2qwx60vOJtozqbh,3,not available
87,Creature Comfort,2voWPWlDfIthC6GUjaIQyV,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Everything Now,1DNojVW079FU9YnAMk3Cgr,60,https://p.scdn.co/mp3-preview/3ca3aaca44998bc0e007d129ed681d6f3e3b5c11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Pain,59P1nrdEImkAKa1nyW9X2e,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,A Deeper Understanding,4TkmrrpjlPoCPpGyDN3rkF,62,https://p.scdn.co/mp3-preview/8078e8864123504b9edd529df81800039e0a799b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Periscope (feat. Skylar Grey),5ADZl5Ty5O9EGy8ABSqXCg,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Crooked Teeth (Deluxe),4KTUNKma9YpiSbioeui4pW,53,https://p.scdn.co/mp3-preview/2bb40789f1ffd84e02263c3cef6bc73fcf48faa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,So Tied Up - moreBishop,4IX15vcT5ZqDY7AlQcPB9a,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,SO SO SO SO Tied Up,2ocwMuAbMdEdvx2aSbD0Xp,23,not available
91,Sober Up,2QCndYqRherBtKjBpyySC6,AJR,6s22t5Y3prQHyaHWUN1R1C,The Click,6hpiZXzsZxlkTXY8zavu3N,70,https://p.scdn.co/mp3-preview/2d132ed179e45df4f9f7bbc36c0cd7ea842567b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Thunder,2zffJrsswcDnVhLW5sXYsp,Mondo Cozmo,7ybnRZKtRbWQzJfKyYSyh6,Plastic Soul,0LASSuakCUPGw4mVBSnXnA,43,not available
93,hometown,2kFKIFc5RSTlhuGed6ZNZ7,cleopatrick,6VTvaLJ9arNmKi8e1ekOwW,hometown,7yjLHSrliMRNIEeh9d02Kg,64,https://p.scdn.co/mp3-preview/b6af0f6e89e8f587f527713520bb87b979f84fa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Over and Over Again,7oGWqVwmgwGBYXkW4cROlK,The Used,55VydwMyCuGcavwPuhutPL,Over and Over Again,3mDmNt8Tub5DwdyVQgUWHT,35,https://p.scdn.co/mp3-preview/5b69833bde4be5f3c995d45180c77f9e1b6d298b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Less Than,7jDKJSjIjT93v7brsZDcoT,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,Add Violence,28DJ00Yr5oOhH0uOUgTQwc,50,https://p.scdn.co/mp3-preview/892766dc6d6f32fa28866979521b3551f6511ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Make War,6GdEIwsXvpfda24vliflHo,From First To Last,5n71fmAB8Un2IfAPn64erN,Make War,32l9F8JtIkqdoWKXULnU6s,54,https://p.scdn.co/mp3-preview/5ca5a685bb37844218d2798416b4934fe300dc62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Square Hammer,2XgTw2co6xv95TmKpMcL70,Ghost,1Qp56T7n950O3EGMsSl81D,Meliora (Deluxe Edition),3bChCUtpRC1NaCLYD4unbD,63,not available
98,Still Breathing,19YmvsVCetCBeVj6O2mljR,Green Day,7oPftvlwr6VrsViSDV7fJY,Revolution Radio,5a3LqvNt2nv1B4aRKXmgOV,65,https://p.scdn.co/mp3-preview/43872cebf1362055bf4fc1997ccb1992e2996b0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,The Promise,3tM778lBLL9SjnN0OHWgHH,Chris Cornell,0XHiH53dHrvbwfjYM7en7I,The Promise,44xvS1Lm42hYEMorJxwQ7z,50,https://p.scdn.co/mp3-preview/d484f69fc9729d93cd6242cc43501aba2855bec8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,Full Moon Fever,5d71Imt5CIb7LpQwDMQ093,77,not available
