All Out 70s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,America,35U9lQaRWSQISxQAB94Meo,Homecoming,7eqBAR9pblivMBOI70q2um,71,https://p.scdn.co/mp3-preview/1dbcc6d5eef4864f7a50d59128099455d4c21e2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,You Make Me Feel Like Dancing - Remastered,6gTrbqZnyljwXdYQTyBkSx,Leo Sayer,04LIHk1SobiQwt2tlupoAV,Endless Flight,1d79WI0e5XKTpBymbKADDQ,60,https://p.scdn.co/mp3-preview/7dfdabaabc1337e41ce7c2a9493e74f0b1e71514?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Reelin' In The Years,1I7zHEdDx8Ny5RxzYPqsU2,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Can't Buy A Thrill,4Gh6pRaXqXTtJx4plAJbBw,73,not available
36,Long Train Runnin',4nXkbcTj3nyww1cHkw5RAP,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,The Captain And Me,0M2KWMbvY5x1sUnIKNpyUt,73,https://p.scdn.co/mp3-preview/ab86af73d22ea24e920c1fe59abf5c51d8823aaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Into the Mystic - 2013 Remaster,3lh3iiiJeiBXHSZw6u0kh6,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Moondance,5PfnCqRbdfIDMb1x3MPQam,73,https://p.scdn.co/mp3-preview/e80d5c0efd271bd14f752d6c7ef11202e89d29f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Remastered),0jTGHV5xqHPvEcwL8f6YU5,80,not available
39,Sir Duke,4RQgqR09VmHn345vRhKQ6T,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Songs In The Key Of Life,2HVx2tiZnLX8xeaUthed1e,25,not available
40,More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,Boston,29kkCKKGXheHuoO829FxWK,Boston,2QLp07RO6anZHmtcKTEvSC,80,https://p.scdn.co/mp3-preview/97aaefeb43d0e2368526778487c7097607d5d78d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,The Boxer,76TZCvJ8GitQ2FA1q5dKu0,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Bridge Over Troubled Water,0JwHz5SSvpYWuuCNbtYZoV,72,https://p.scdn.co/mp3-preview/ba833158dd80b316a9a108b1578fe1113b931132?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Jolene,2SpEHTbUuebeLkgs9QB7Ue,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Jolene,5DyOxuvdSmTSNAmkfcsBsj,77,https://p.scdn.co/mp3-preview/3efb774956957eedf4ffff94e80d5f63dc2518cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,If You Leave Me Now,0KMGxYKeUzK9wc5DZCt3HT,Chicago,3iDD7bnsjL9J4fO298r0L0,Chicago X,4asBn7hzIq2Ka7rDzJN24P,75,https://p.scdn.co/mp3-preview/287d3ffb19d490044e831b88188efd282ad3878b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Signed, Sealed, Delivered (I'm Yours)",3M5eeHXgG4VplKNcsBC8Dj,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Signed Sealed And Delivered,4QxPK644Vy4FQrtMF90CMe,27,not available
45,Summer Breeze,01UYpHuzHi4eB9PAbDoPY2,Seals and Crofts,6jdObwsrIjSRnBbMw6lPBj,Seals & Crofts' Greatest Hits,4dkdQY484elFRfcVNY6uzj,70,https://p.scdn.co/mp3-preview/5c64316cf5c7bbf26a47987810b864723be6a02d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,It Never Rains in Southern California,6tunhVGD8C05MZNjSVIsjw,Albert Hammond,34E3csCxpXunPGEkOVVX2g,It Never Rains In Southern California,0gdQF4mVBPjv5hhjtoe3hM,64,https://p.scdn.co/mp3-preview/4cd438ec83cb3b52762997ad7aec3cd861b845cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Transformer,5SqbMEyAt8332ISGiLX0St,76,https://p.scdn.co/mp3-preview/ba3b4fe65d5198801dc5853e1d9f26f3dc47e8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Born to Run,6hTcuIQa0sxrrByu9wTD7s,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born To Run,43YIoHKSrEw2GJsWmhZIpu,75,https://p.scdn.co/mp3-preview/bac7b351bb2f85c715f66be9b36b8a1922081404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
