HOT97 Best of 2018 - Top 50 Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Questions,5XQMr19TL7Mfksq9zihbOu,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Questions,19Bu5rIKyUh3lXw8hfk6WO,68,https://p.scdn.co/mp3-preview/94c692b2db1bd951be264d9420b02af12f4f8240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,The World Is Yours,1Hno6CtKbaFNAEPjRHDrc6,79,not available
30,This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,7arx9qPJexCsDz67El4qvk,77,https://p.scdn.co/mp3-preview/01afc9c7c44d7b4b01d2340a00e586031827b243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,On & On (feat. Tory Lanez & HoodCelebrityy),4G2EZxuVFICrq0hurtxYaD,DJ Megan Ryte,74ZbNtN0o4zPxTZpaWV4Q1,On & On (feat. Tory Lanez & HoodCelebrityy),5kvRyTs8FXD4zAs37GS5KE,37,not available
32,"Smile (Living My Best Life) (feat. Snoop Dogg, Ball Greezy & Midnight Star)",17jeLyQcEUmKv3MXeEo79k,Lil Duval,6YiHht3u7FFszle72kpbdQ,Smile (Living My Best Life) [feat. Snoop Dogg & Ball Greezy & Midnight Star],3HCWkv1YtDDr9C7XFn6zlf,61,https://p.scdn.co/mp3-preview/f3d0c9e53a8b7fbaaa102c5053806a38a82e35ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,6vXTefBL93Dj5IqAWq6OTv,Jungle Rules,4c2p3TdN7NcQfCXyueCNnC,83,https://p.scdn.co/mp3-preview/3814de3ede7445566a5b176bb23120af44da62d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Nonstop,2Vx8E3K5icPZR7OCklWBXX,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,2o9McLtDM7mbODV7yZF2mc,15,not available
35,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,Leave Me Alone,4TUZUtCiZB4PYIoX20bOeX,82,https://p.scdn.co/mp3-preview/3c065af084df14fa442e78af648172074de3187a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Guatemala - From Swaecation,0TCnOEVeLQMXOUrpPlM7uY,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,SR3MM,4vLYreWxd2ptOAzPwTyBI3,75,not available
37,The Light,3oCJJksC12uFxkt3RQ7rbV,Jeremih,3KV3p5EY4AvKxOlhGHORLg,The Light,2dPMOEn0BkN8qpGVuuA3GT,66,not available
38,Fall,4ou5xyFUJX4VwX76tw1qb1,DaVido,0Y3agQaa6g2r0YmHPOO9rh,Fall,49EjkUgoE70dxKcXXd9szs,68,https://p.scdn.co/mp3-preview/27f7e0856a0d95711c6c4580bfa2e97c3cf60947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,76,not available
40,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,73,https://p.scdn.co/mp3-preview/d7287b5aa682a642ffba244e6410df7e8da21ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,APESHIT,0E6PsO3ymCfUh7pJQjBgkj,The Carters,4fpTMHe34LC5t3h5ztK8qu,EVERYTHING IS LOVE,3hCiP4V5Mu3Y0Z8lb70iDp,67,not available
42,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,51w9Jbat1pLeWINGCpnQUR,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,TAlk tO Me (with Rich The Kid feat. Lil Wayne) [Remix],5gj88AvRakDbbIUtC7cDzZ,75,not available
43,ATM,2UciqgwVDwro0fev3MFbxJ,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,KOD,4Wv5UAieM1LDEYVq5WmqDd,71,not available
44,Chun-Li,1e4rwBPVI32vZtTJu7mJ4J,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Queen,2acDkDTWdNFie1HjcFa4Ny,73,not available
45,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE,84,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard,0LfKQSbicPG4QTTVkS0fes,15,not available
47,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,246dkjvS1zLTtiykXe5h60,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,89,not available
48,No Stylist,04MLEeAMuV9IlHEsD8vF6A,French Montana,6vXTefBL93Dj5IqAWq6OTv,No Stylist,0DMvfJWc1DjSbmnJF1NW1o,80,https://p.scdn.co/mp3-preview/7bb40a00fbb1e258c4097856429b45ac02fec09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Wild Thoughts (feat. Rihanna & Bryson Tiller),45XhKYRRkyeqoW3teSOkCM,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Grateful,3HhZbSJdhOqMSaRbEt3gtw,68,https://p.scdn.co/mp3-preview/a1a92ff710bfbff7e7768922c5616f4571e2cc97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,FEFE,4QIyEq7TcTdAcxjI2AFlAK,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,DUMMY BOY,03KcW1ZhaSnj8pIk1LUNQs,43,not available
