AUGUST 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
18,The Adventures of Sally the Sea Turtle,4DNG5wtGw5ZDFBqIHXjShO,Part Time,5M0HAqHXyOh3q7WQnvce8o,Modern History,0RIUmUwRAYFFBfgnjDOmCj,29,https://p.scdn.co/mp3-preview/0c10d03fb3dff963c76e7ae02a4d90b60278f6aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Make It to the Party,3bsv0Fe59M9mkwSUNY4nhV,The Hollywood Stars,6piiChdjB4mmBVvOs7rWco,Sound City,6Wxah87xlxFhpUueWmYMiV,4,https://p.scdn.co/mp3-preview/a1e846792882f964c3e987737e3e233f1c9d712f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Have You Found Your Yoko Yet?,6GfZbaM968Lfd1p561EyuB,Stan McMahon,450bEkzWlokgWBYrLHshZ7,Stan McMahon,57aCjcPwB3diDg7RoT3utX,1,https://p.scdn.co/mp3-preview/b6af2935ec8f1ae7968bc0d72e31684623c66580?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,La Di Da,6QEo3CAkA03oaDY2EILiDx,Stan McMahon,450bEkzWlokgWBYrLHshZ7,La Di Da,0yHkoIyaUdThR9ko34yM9c,0,https://p.scdn.co/mp3-preview/ebb88e50767f79af160fee430e18a00883e6606d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,She's Coming Onto You - Live,2wssLTZXM4r9LctXdoVktE,Stan McMahon,450bEkzWlokgWBYrLHshZ7,Live in Salem,4HMcuvut4Kd9XluH6Imo4V,0,https://p.scdn.co/mp3-preview/958d1661741457d7f41fe37d8815f5d09a33dc6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Bitch From Hell,35Bo8kNldApiYQ5Wk0eTfx,Stan McMahon,450bEkzWlokgWBYrLHshZ7,Angels From Heaven... Bitches From Hell,4ilpOEgg1joSgIGkN4V29X,1,https://p.scdn.co/mp3-preview/4769240ccc770717d249fbf023e6247b37aec4f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,My Friend Dave,3ObuIf0uP0UH4LGkQtYveF,Gravys Drop,3Q5aIxK09ZEGq4ud5uL24d,For the Love of Gravy,70wzCHulkuTucpqY0Jr8U0,0,https://p.scdn.co/mp3-preview/a5d38ba8896347a5f6a51511b6f6a39b71fab733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Buddhist Guru - Single Version,1rbjCiZqi7OmDTTVLqW4A7,Gravys Drop,3Q5aIxK09ZEGq4ud5uL24d,Buddhist Guru,5nOGNXP7rSuN94YE9jFTd8,0,https://p.scdn.co/mp3-preview/3184cc7b3a61b4dd7cf493f017bcb489dbe684ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Six Foot Babe,0uRAYfwzXbpaBfiAIV4Rqi,Gravys Drop,3Q5aIxK09ZEGq4ud5uL24d,Gumball,17Cz2sZrXqI2rMgpY6BVIq,0,https://p.scdn.co/mp3-preview/0733af5115e01198a5f2abe88a3601f00b0cff0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Interstellar Lady,2ZtQ8cW8HGzrGMtm3tkglG,Hammered Satin,5AmFGUxMH6CvMQcLhxtx3z,Glamorama,3dDiZKnUEZtKwygSdHLjo5,3,https://p.scdn.co/mp3-preview/9a9468b582d8c42f66d9ec2effcd1575b7c6fc3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Summer of Cuts and Bruises,7xQ42oTxy1abwd5Nby2Ox4,Jack Drag,5KKmmG4Gv7YltQJ8V9aQsJ,The Summer of Cuts and Bruises,36SWDQhGAjxpuDFOvIOb8d,6,https://p.scdn.co/mp3-preview/67fa0735797f3a279945c41d23a70fa434dbf473?cid=fa83a2fec7c440b7a2795d600d6b2c7e
