10 YEARS OF BURGER RECORDS (2007-2017),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Famine,6Pulv7Muh3cJ9XCox18zAj,Poor Sons,1oPSPyypzsRhHhMNh79D5a,Dyunes,43kRrIp0MeOU44tY4uIruy,0,not available
11,That's My Man,0KjoBkhxzHdKbClgL8CElD,Eating Out,2xBaSGT0iXUrtPCa3nPlTK,Eating Out,4q6b8RYBB0pcfQVFxrcIn8,5,not available
12,Hold Tight,0lzCQ4aJsy6gyW0LXGQg2f,Mild Manners,5SQM35p7aH9cKyf7RfkNMQ,Excuse Me,2xblXsxJksP3at4uZ0XuLc,0,not available
13,The Apple,5pZj9KGB96wkBmbKClFpRs,The Garden,4UVlSeEFDPmlkYKaRMRoOz,The Life and Times of a Paperclip,1Gedw8BSGLD38u4kzhWVqD,30,https://p.scdn.co/mp3-preview/0fce1f849cf6dd28ecf78571b30f1410c34e74b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Hocus Pocus,6Vj40GgRVgvjfh2KriNLBs,Free Weed,6Faoj5h2jMC1mqhGlqmyWb,Fantasy,3qnNKSmbXcdBp4MNM7Y6oQ,0,not available
15,Action Man,4J6lOrcVtJpfbrDCdOjOko,The Go,2m0xdXsYglZKSzqVkZtFi8,FIESTA,5vXn4zbWMk4hbEwfVcklmp,1,not available
16,Built On The Sun,7kEQlnOMukiYQ78uBPpTNO,Mandy + Jason,2pZXeaeb7Irq5DP1aouW6F,For A Time,1uaGSRazI1XIbAJELyWgfo,0,not available
17,"Oh, Bird",7JlFoLdzErvCKpyYjHDEcG,Freezing Hands,6lwspN4Xsnruhq02vQzswr,Freezing Hands,4vLLLDHSh8bXKgPaIuZqLF,0,not available
18,Scary Dennis,46XKB86xsz3aOG8U1CTVbz,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Gap Dream,6smtf4lBUIwy18Web1cqen,6,https://p.scdn.co/mp3-preview/be5bdee2f36f4500f77ea640dead6102fa4fd0f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ocean Liner,2xA3fvacKLo4ecVUrqmwhn,The Pizazz,3eNVXTSKpnYM8SdaYOp7SQ,Get Out Of My House,4IwRmAw2jYaz9hwqLLFYzd,0,not available
20,He Makes My Heart Go Pop,5XzEWU6Pkz0eYOvOmC8VWB,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,Goes Pop!,1mgHUJpCs7nsmd8P4aH8p5,0,not available
21,Gold,2Ka5KIOsk5uxRCbaQjQfP1,Enjoy,46OZe7BgkZhisNbEMW4oqq,Gold,5oD4albuARv0MIzjI8VJ9h,24,https://p.scdn.co/mp3-preview/b1f0e5656f3a35d736e9d3ca51e2328180d1df6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Wrecked,2zmuNlCi8uTNT0XRKDOtXu,White Fang,5ii71trup0DRxQFq8meJn4,High Expectations,5NkIxGDGFCsAtwyIn6ncOt,0,not available
23,Man Near The Surface of the Earth,2QmHMF2qyY2G9KQTi2vlsV,DTCV,1Cioqqppu834K8hBajm2Ny,However Strange,4InGpU3TmVzqFHUPTw7dHG,0,not available
24,Broke My Dick,0XQn2FsxYa5HlzEdjGRjrk,Cum Stain,404N6Ct8NCf678KsIwO4Q3,"Hurry Up And Kill Yourself, Trust Me, Your Mother Won't Miss You",38T1DkUvRWL1Qi9gWH5GiA,0,not available
25,As Above,592sE1WbEFz8qtkZp0uAKB,Mmoss,728pTszDKtxAil9XWAwP12,i,1IpmBfZx06HOQBo1o7Hub3,0,not available
26,Razorblades,1fRMXub7Nf8dpMSfza9iyt,The Bank,7lg3HIWzs1nvp6aezTi2fN,I Love Each Other,6sUnjmuk6COWZd1fXZkS7L,0,not available
27,Motorcycle One,5RcMv92RTKyYLKsXai8Hyf,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,If You Wanna Die Then I Wanna Die,5kz4nAfoJU1N7MXKr7UXBP,4,not available
28,You Bury Me,1VcgU0lztc4KeUlbnvNWoS,Juniper Rising,3AlFQxcXZbvbKxiVjoaKgS,Juniper Rising,2fxv8YhwDYpYHeuhy9gcrs,0,not available
29,That Guy,4ZDqxYXhtvgCM9GQbeDlGf,Kid Little,3Myw7tI9ZZRG3xyBVVibTS,Let Yourself Go,3lGAM3xP02ngt3TeLExNCG,0,not available
30,En Espanol,4UtZKphDOFVtcYg5ro3HUl,The Memories,4sGXRKVt3jXcqjUCRuK67C,Love is the Law,3mmbFSDv8fzoIYkCvBVg6S,20,not available
31,Psychic Safari,6rad9U7BAYOzYEhBGbl6SL,Lust-Cats Of The Gutters,2l8mdYttPc8q6KtPKKHUNJ,Lust-Cats Of The Gutters,0uqJksLqI556XwqfVqagSQ,0,https://p.scdn.co/mp3-preview/c138d183cef0d48c577afb6c794fad4320697c84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Loving Knife,28Cr1IB6FYZXlImaiPrP33,Magic Jake and the Power Crystals,5SKTNwK87vBYNAtAdZFCb0,Magic Jake and the Power Crystals,5It4CjfMctNV3rjOtP8Qbv,0,not available
33,Red Handed,2gDpVbis5MgVjADlglbDu1,Massenger,0SsIyyCdH6V2CLzeiyA44H,Massenger,31arBR4syUt4GYgPrg2h2K,5,https://p.scdn.co/mp3-preview/2f510b31ed38aa5dfdbee6789d511a21c99e2bec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,LUV,3BF9Yzle9pWCKbprb1zcjK,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,Meet the Golden Ones,5z56UlZWotgFnRH7jdMpRf,0,https://p.scdn.co/mp3-preview/d15c7b52efbe59f08fa25fe8020e1995c23902fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Too Far Gone,2EsRtOZsgvdocpR6MH1rzX,Merlin's Magic Music Box,20phLTUWZkcBefNT78wzVZ,Merlin's Magic Music Box,5Yo5QNQs9Ow4sW1HmVOnBF,0,not available
36,Breaking Points,6lx4DkC8lA6gF6HXFdh01n,Seth Pettersen,3KZ9mFfZobwNmnrg16k5vp,Natural Machine,5rlWnzKOmy0SC82lEcqpZK,1,https://p.scdn.co/mp3-preview/5fd8721e09ecd595aa8a116ce37473bed68191c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Dreamboat,34TZF9vpkFjh1h7lO7Jb4e,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,New Psychic Denim,0RCodSsdmonR6PW4cudJWj,4,https://p.scdn.co/mp3-preview/c394d195b326fb6a5b02620512c0964c9d01bc2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Give Me What I Want,6SABDZthxoSoOXvXefsHaE,Thee Goochi Boiz,6Ix1ojMK7qDXe6rpHNddlm,Oops,0rEidUJRDVAfUX5wQYV0ne,0,https://p.scdn.co/mp3-preview/02e89f26b3436fde1584b3484fbceed74213f39a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Panchito Blues ii,2YJWSCGLEoRBCemnyl5L7t,Peach Kelli Pop,5xrA0STCpXYDPnfiyU8A3t,Peach Kelli Pop,6lbxVoJLOUnuHw2fRoD1wF,17,https://p.scdn.co/mp3-preview/875c0132aace661c4ce05d2620450778cb07f09a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Veronica Box Lunch,5aGBcpzF8rkQGUJIlOCaUl,BRANES,1DLO8ypn2riMrK9cimHwT7,Perfection Condition,43Ebeb4NqbQbeJSl4thkDN,1,https://p.scdn.co/mp3-preview/599518ef48f556ea80a9ca68d1cdb4aa953ea34e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Into The Sun,00UBud2aXFeCUWeuDAFbIj,Pipsqueak,6nmHf9r6CIM990i41UpA7y,Pipsqueak,1IzmhFlqbCx0jl8U4P9Zb2,0,not available
42,Crushin,66e7ZqWaP2kMJElPn0v6hN,Pookie and the Poodlez,7tCxGQO578hjhbz1WhsEDM,Pookie and the Poodlez,6vkPcC8ySuRR8DDdDdCnbC,11,https://p.scdn.co/mp3-preview/9946e684c9f481e648f33636f9c6bc4b0af14b5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,S.S. Homo,15PBcNo1UW93Bdp1vfbKQN,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Power Drowning,2Xti3sMoTMfigEppxpdYZz,5,https://p.scdn.co/mp3-preview/6194cb03c85f994a598b1a343211f16414b200c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Outside,5AzG2mLNUYk8NCk0bqr2Rl,Apache,6pil7q9v19qZD6K2Hc57Il,Radical Sabbatical,1gNUYP5HsAwGIKgIwSCwZH,2,https://p.scdn.co/mp3-preview/7545742bc8ef542df4d30aef55671dfba0fd85d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Monster Kiss,7v4xrOMwEEFOGERVIAsijk,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,11,https://p.scdn.co/mp3-preview/5e6e3a92dbfb7d2be8c601107e317a37eb6986f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Day That Never Ends,27Io3VGSmyuz2cnpIPcTRF,Andy Human,6NoQxsav6VhTbf9L0A4pyc,Red Plastic,6w4SVUglEhBxMTgjmyETKw,1,https://p.scdn.co/mp3-preview/ed13f1f6c3dc5576838bb38ed0739d370828ddce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Whatchoowant (Downhill),0OhfG0wAmzjpDhMGHpl8kP,Andy Human,6NoQxsav6VhTbf9L0A4pyc,Red Plastic,6w4SVUglEhBxMTgjmyETKw,0,https://p.scdn.co/mp3-preview/3f01df64c89a08d2ea4f117db63413b9f4d29967?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Gone To The House,2hOTb0QD1vhINoAbO4NcG6,Ruthie,6b2yPb3TXEXeeoS2zXBymd,Ruthie's Requests,7hhDLaEpoHHXAswzFRaOay,0,https://p.scdn.co/mp3-preview/f8dfb44a083d3f66abdb992537d995e1ee8ca9f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Miss You Love You,5AbDYypD4rveO3O3z6Alv9,Salsa Chips,5c4FVkVoU1DGyt9dOKqmQY,Salsa Chips,2Arty04bLhXUcdWJtiTxB5,1,https://p.scdn.co/mp3-preview/d674a80246f8c4759523b0c5c56e9ecb405bc9e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Happy Birthday,5GBq7G4Fbh9PL51zOgxRqD,Fletcher C Johnson,4mEzgDgwWm4ipz35XZLIrL,Salutations,6HWMkyLn6YnpCe32sNUP8W,5,https://p.scdn.co/mp3-preview/75893f20d935a2fef98014c0f64d8145e3ae8593?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,When Yr Alone,2OwjncPwr1AofsJBoLdHOS,Schatzi and Hazeltine,081tQmKTL0n4IrxKCDN24s,Schatzi and Hazeltine,1S00SrMOnf2xfeeJDNAH8J,0,https://p.scdn.co/mp3-preview/d4830ac91ef0c2547f57647c3aafc2fdd0ae2455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,We Missed Out,2jMbOsfePybrmAtN0O3qYm,The Zoltars,2SL1iOb8aXeQXBjky08c7D,The Zoltars,3n0A9gE8IVHPlUiHZfnRZh,3,https://p.scdn.co/mp3-preview/feea0962f7ed9017ff3f3ce7e89928fff7b91f7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I'll Be Waiting,2eznKI4oJqZoDnOYiDooxq,The Abigails,6LVJCmVIjAkNaVWahYlOli,Songs of Love & Despair,5Hs3RNMCwjrxOR6upVmnRQ,12,https://p.scdn.co/mp3-preview/dd183ac8b33755e8d99d894ce44195850368ef2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,"Linda, We're in Trouble",1tlOaq4ZqhMHgoS3rN6acT,The Go,2m0xdXsYglZKSzqVkZtFi8,Supercuts,7BjwEX35EdaWbxSTp88IsR,2,https://p.scdn.co/mp3-preview/97eb3f65e8f8c838cb98aece29af6fe493e88f74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,No Black Clouds Float By,3GUyizpWvG4RxOiyQP70st,The Resonars,0J7gocP56wqQ8OCRgtkrUN,That Evil Drone,3e6yimWjLAYsFayoMHaHVo,1,https://p.scdn.co/mp3-preview/ea8c8487f0e5e3e0d632bfd6ee069b8587a13e3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,The Feds,1g6grx1pIn9BTPid9MHjDd,Audacity,3JVDhFfcd5xPsFYJ1am9lM,The Anne Frank Tape,789OPyVXCt6tuuJns8RSAc,0,not available
57,The Castle,1X1esh528MJGWbaPSCTHQg,The Garden,4UVlSeEFDPmlkYKaRMRoOz,The Garden,2mP4QmgCIZaQyTYEC7lJAH,22,https://p.scdn.co/mp3-preview/bf580c1e96d5d4395e3aeb85e13368b64b8a3d47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Nice Guy,3lKrkQKh4zuyuGNz88KWmE,The Half Rats,1fG6rtlYW39gNJDmwiMird,The Half Rats,3Fjg8pKb7PC0tlcLG6KCb8,0,https://p.scdn.co/mp3-preview/7dd3ede854e6f7fa4786994c4dd5cc3301e1b9b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Blue Eyes,3Iu0fI27SX1T0aQZCcGlrj,The Meow Twins,6jMxXLkXyl7Ta4r7H41CT5,The Meow Twins,4crqovLcYlfRHjKU8wGXpL,1,https://p.scdn.co/mp3-preview/d5561a345a496c6faf20440f97c6c2cebfa09786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,I'm Easy,6yZtL30KjjaPuEoCcO6EVa,The Memories,4sGXRKVt3jXcqjUCRuK67C,The Rainy Day Tape,3AtEiOkuPLye5438ZoKYic,3,not available
61,Keep On Runnin',5r1bDC7L6fb0mqaMkSelJA,The Undertakers,1XmxpzoRhe1lHNID2BNQpJ,The Undertakers,0rdJIOV9YdYhMVE7rU6ChM,0,https://p.scdn.co/mp3-preview/4cf8c5512e4caa279b736bb8bfb50dd29d1a3e22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Saw Yr Tits,45VUWykdAGPjjJoDAn8b0V,The Vomettes,0KSXq3WUtYFPDbQ4XNBACF,The Vomettes,1UioWDgwJI3ES68hqOjnOJ,1,https://p.scdn.co/mp3-preview/3b7dd0bf519e87558330c3a1630b83154ebd7303?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,OJ Krush,2kFVxa0ms2GKPU2cEn6mSI,Thee Rain Cats,1uyuesDkJWRG7JpGc9NXg2,Thee Rain Cats + Demos,768nOanRdIL8nPNXsthyLP,3,https://p.scdn.co/mp3-preview/5caddc499e8b8a24b2afbc2d4d8f1ff797e7566d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Too Late To Cross,5a9tQHZXKvoWS73Z36eiGU,Baby J,5yjQKQYt12QjWzQK62T8ov,Thee Ultimate Baby J,2JRVwNPVr01Yt339STEpU7,0,not available
65,Beggar Sincere,32ctZQYNDqMbFMqt3T2dby,Jaill,2AubscTHZ6Gqo7hlIyDEaH,There's No Sky (Oh My My),0bPN24EDEhkRsbUCTivujT,5,https://p.scdn.co/mp3-preview/d2a32df3d923acc60c5ce25827bb52938db32770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Don't Ask Too Much,4qLSygsoVmaAUfGJmIIbk5,Almighty Do Me A Favor,4GGRnTyAXjEcksuC0KVnNi,Time Spent Movin' And Losin',00GYK5UXJGQHzL1hHGP6ID,2,https://p.scdn.co/mp3-preview/85004a89332433c8f580da877ddb847729310bb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,IMHO,0Mbr21pqDYzHUUUWFK4SD6,Wonderwheel,2lGM6kmV3BRaV63ik1p0nF,Total Bundy,5XBfDgARoQdNaMbW1YoN4g,0,https://p.scdn.co/mp3-preview/acd6a24d4b1ca6f217e077f6c37dfc718c276bf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Fat Cats,6zclNdI4qiXjKVQgl9suGt,White Night,5Ca01X8PiallVuDYD70Xdg,Tour EP,3KNyH5UwWOnLopmwQnDRvV,0,https://p.scdn.co/mp3-preview/65d46b1aacb5f380c6270202a360d51060c73070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Pigeons And Fools,601I41D9lBGKtwWbdc4KJr,Tyranis,239CFP7UNtZji3tKBtRYBV,Tyranis,2ThMdqFGcVU93SNo7YBb8r,0,https://p.scdn.co/mp3-preview/3f1660b4a9a6b63f250223ad91219bb0de0fd356?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Sha La La,01IS0Um7aoXhjDLUuz20Aq,The Aquadolls,75dqW38mCNfvNv9G3nqIE5,We Are Free EP,3lEGqsf5mOwjDvfjqisFna,6,not available
71,Summer's Gone,0wbT19jJuJyJagNGqhQSoo,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,West Coast Summer,1lEJb6kcAUcKxEKqAnAL3c,0,https://p.scdn.co/mp3-preview/a845a19b35d40e2091496cd824c0c197480153a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Boredom,4JOW4jOkr1yns6cCyKOoUi,Bad Antics,0fqmVvKimqtoNd5MCO5JmS,Where Did I Go Wrong?,0rYUxyuoTCegxfGhHiBUXZ,0,https://p.scdn.co/mp3-preview/798166846ee89b516f7552a1fa7d1490606afe55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Damaged,0K3Dajy1RivHCMX9rIFQPo,Forever Baby,3OcX78yFWS7AAqZ4vHEhsH,White People,3Nk5VS76wE9T8ghCU8EePP,0,https://p.scdn.co/mp3-preview/807c128ade43ea4c1342b8ecd290b17a89faa7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,No Future No Past,1UvjLUWIZumFCQpXFYd8kp,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Winter Tour Tape,7LffpcEiSEvfOd4TSb2k84,1,https://p.scdn.co/mp3-preview/5f39b290f220321561e087e3488996dcdb0772ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,The Tribe Is Back Together,18LIjSoXoZXphMRoUp7OaD,Matt McCluer,0wnQifDOXmf6L6KT4DhFkv,Wishful Thinking,3sEHThD96hvVOfActGfase,7,https://p.scdn.co/mp3-preview/7ab5308965574456e388d6bddc910331ed3b2d69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Fickle Little Child,2HMtLhNKbYZFS4yDg7pAap,Gestapo Khazi,3UmcbFTtReE6RiH7rZhaPj,Written in the Will,1IIxMiPQ6fjCoLZB6MkIV7,0,not available
77,Cloak,2GOYdFJM43u7kYbvbLIqe9,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,You'll Never Walk Alone,2MfIu7q2qikXLONw5BTRQu,0,not available
78,"Your Eyes Like Lightning Skies, Your Lips Like Wine",7oNmxGSVtJg1erUUESBIOR,Extra Classic,1VoUCOVvnHl6BlYkov1QXy,Showcase,5PpmEr1hlF5TvqcLj7tqO9,3,https://p.scdn.co/mp3-preview/1151f34b7a7aab22baee3479ebaec527859a5267?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Get Horizontal,2HEGES1h6O2fAEwyI9bMYN,Dry Feet,5ODxK41QK781bd2o6NcTKu,10 Songs by the Band Dry Feet,73funqBerR3AcXX9Zkhkn6,0,https://p.scdn.co/mp3-preview/33c1b2e8d2437803e2c625d735f306666d2666cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Chill Spot,6HB7o3vJl4064PlWlLV8F3,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Chill Spot - Single,2cdY6ojTu1L4VFMb0h7GFB,4,https://p.scdn.co/mp3-preview/256e0fa90a267b2487573df09781901e2e8c94ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Sweet Talk,3tJC5heNMzyGYM8EBb38G8,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,Wear Your Hair Like a Weapon / Sweet Talk,7wbK496Z07svxp36hvZJPW,2,https://p.scdn.co/mp3-preview/3adee877435abf02ea2b7d157532f1706f7d5cf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Freak When I'm Dead,1UaYfdO6Aq77vZrbuaTcRe,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,1z3fvPNY0OJE7ENsZ40nla,19,https://p.scdn.co/mp3-preview/7e96d7d20d8e5e3cc88bb06b772e1630fda690ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Siin,56W2pBOrwArsze7Rz5Nnfk,Habibi,600GgDUq9kzGJgNIrVsWfz,Habibi,5iqgIxsuoG0MGrw8nqKhps,26,not available
84,Devil's In The Details,3jMdRYWXO5FKhfQHIasSSt,Pop Zeus,5aEfUZWBjLVTfO8ExxrGOP,Pop Zeus,4ku4SL5uYs9wgEABZzIgT8,1,https://p.scdn.co/mp3-preview/8b33387f3a159781fb11034cb1d724c8d240f00a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Shine Your Light,3isw4hDYfVtVtth7YgcYpZ,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Shine Your Light,1xNdJUTSuC6ZuSyeuTll9q,18,https://p.scdn.co/mp3-preview/f5573810ee14e2a1c6d24045fa4ae2a781e0acf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Don't Waste Her Time,36tSMHcyAAKEwGKu6mOwa1,The Explorers Club,1CR8qMZVkRSoIioetcA8u3,Don't Waste Her Time - Single,08mjx6FYTY32OA207LV4oE,3,https://p.scdn.co/mp3-preview/9c67b58b277d5ff932467e2ba1dcacd14078b185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,On My Way,7uRixaDsQnfcvvkvQb390C,Night Sun,0DORYKUp1P6ezkJmO5izn9,No Pressure,4tWrvRoQzD0xdce5LL0fKt,6,https://p.scdn.co/mp3-preview/10b79c545192c331f7f639d909f5e11192eac8d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Nashville's A Groovy Little Town,7sKQu4khuTlMrRVbHXov0y,Natural Child,7epIIT85VR8OEggqKO3RSt,Dancin' with Wolves,4tAa6l64mYu7EuESPFfxkH,21,https://p.scdn.co/mp3-preview/7aa504402bb241cfec6344091a473c6efa3718ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Heaven's On The Other Side,62vnWTZpQUXitatQ6Z4aiB,Curtis Harding,0CUpzKPDfIVzYqMn47jiV3,Soul Power,2ohzE05KfJEKXXFx5ZKUAU,34,https://p.scdn.co/mp3-preview/10a4fcb6d75e22a25939f646ad029887ec06e5f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Tropicana,3Ugi3glKBnWYjTBsWEvRxR,Yacht Club,6cpHE7YSuXObn65nUedt5V,Tropicana,746iut7zRwmxEvSem37Bqq,5,https://p.scdn.co/mp3-preview/e9325175a0edb669b80c600a3ff3c1167a35a295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,I'm No Good,7kV3c2eaIJUIdzcPwa8cNM,Summer Twins,2Tfo5n4B74gg8c3n8hjDf1,Forget Me,25O1OgG1pF95KRcr1Stj4K,7,not available
92,Bye Bye Queenie,0sD7YyKIRTVQ6sHZIyPbfo,Denney and The Jets,6JmZaCTWhmJcjIqt4Sh0XC,Mexican Coke,3wrJ9gqVOVaZGNxPYaHmpN,8,https://p.scdn.co/mp3-preview/bc85a718d4a513d16a1f5e668a5e38c5dfebed30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Up and Down Around,1YVf7mUgjk1xVNOTz6RmOv,The Muffs,4FYk4moRCGHdXIK3AMcelO,Whoop Dee Doo,1E2SpOy5JpLYwO7G8MZtmD,16,https://p.scdn.co/mp3-preview/f832a091bcdf00af876d77239b6e185b9e3c88ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Twenty Nine,0mbRN6FOP7L6FlaDdV8ZGo,The Abigails,6LVJCmVIjAkNaVWahYlOli,Tundra,1alME4s9xqBzVtUQY2N3r8,24,https://p.scdn.co/mp3-preview/6014a68290ab888cab6ad60f7ca10c7fb8281c17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Lizz Hitt Queen of the Midwestern Punk Rock World,1gPkwkeuwKxqj4hAy65J5y,John Wesley Coleman III,0ZUDVcbyhpH7xEeysjDr6J,The Love That You Own,0O6BHzanwvUmQwqhrQYGH7,0,https://p.scdn.co/mp3-preview/f2e1c1e92c9c475897b385d5949d3d6a8cd7103c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Don't Mean Jack,1DzHCnAckJroN4a7gSDwI1,The Aquadolls,75dqW38mCNfvNv9G3nqIE5,Stoked On You,6ngT6rQOH0p9otYIA35Yjq,23,https://p.scdn.co/mp3-preview/282ca2641266b3d0efa33fc0bd8066d7291efcbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Social Introvert,1g52HkfqEt1Hhc1PhTDsMS,Wax Witches,7nS8YQBOr6A6k4wijbmrLv,Center of Your Universe,3xsSlwovUBbeQ1YwsiRZFK,0,not available
