🇪🇸 SPANISH BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Bamboo,670wKIVu9twsBP5oWBJUE9,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,34,https://p.scdn.co/mp3-preview/95c96609b7b12c4e659ba2b43491388ee093a876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,San Diego,2zJybIPEK8BK0ABSkWnu8I,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,23,https://p.scdn.co/mp3-preview/424bb14e0eb46a675a7f7f778e898bf362eb6b8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,And I Will Send Your Flowers Back,6cnA9Eh0jLVB1j59SpqOR3,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,19,https://p.scdn.co/mp3-preview/31e36b937282250edd88a4dfa50ccb6b5ee8cbf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I'll Be Your Man,5j3N9AB7iJ77Jtvc2XTcGG,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,19,https://p.scdn.co/mp3-preview/115a801439a95a18990bd59e6bb2687b8b60b927?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Walking Home,2sh82NibSXWQNp7nG1SlvV,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,18,https://p.scdn.co/mp3-preview/26d91a31f0cc432e933f6b206d80718c6cb5d32b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Castigadas En El Granero,58QwsVHCJiv8J28fJ9sKnQ,Hinds,4piFCokRN13muTud5Y2lhz,Barn,3ceGO0kakfqny5DuiR5A7Q,16,https://p.scdn.co/mp3-preview/a4866db78ab55c2e5e8c5d31a09c7a419e81e12d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Between Cans,0DdVRAxq8F3GsUSDt8pMnS,Hinds,4piFCokRN13muTud5Y2lhz,Barn,3ceGO0kakfqny5DuiR5A7Q,16,https://p.scdn.co/mp3-preview/72fb24af2a0a6567f74c9f7b4659a99dde20b05e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bamboo,4JgCQrPXAytyOcjSBaaHE6,Hinds,4piFCokRN13muTud5Y2lhz,Demo,6dA3T8GiJgbUlbWO67id21,7,https://p.scdn.co/mp3-preview/92df8545713f0f0434ead97773e5ceb274a2a918?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Trippy Gum,3mYG8AQsunKxrIAUhxss5c,Hinds,4piFCokRN13muTud5Y2lhz,Demo,6dA3T8GiJgbUlbWO67id21,19,https://p.scdn.co/mp3-preview/9be6a4af4ce63e57d9d60a4dedba56c19f540797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Chili Town,4S9eSqlu1UyODVeaUNYt63,Hinds,4piFCokRN13muTud5Y2lhz,Chili Town,6OfZhr03rgqr406fjZZymT,6,https://p.scdn.co/mp3-preview/0a78c8938a3c32fd4446086a36efc673755a8743?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Castigadas En El Granero,1gEnx8b1j5b5IwjsgvceUG,Hinds,4piFCokRN13muTud5Y2lhz,Very Best of Hinds So Far,7JHfCxDi6FDWCcRsNmQIPd,10,https://p.scdn.co/mp3-preview/a4866db78ab55c2e5e8c5d31a09c7a419e81e12d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Chili Town,5NybCUsiabRMuDnnBJklAJ,Hinds,4piFCokRN13muTud5Y2lhz,Very Best of Hinds So Far,7JHfCxDi6FDWCcRsNmQIPd,9,https://p.scdn.co/mp3-preview/0a78c8938a3c32fd4446086a36efc673755a8743?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Trippy Gum,33XCExA0JAToo0lRXqHFbm,Hinds,4piFCokRN13muTud5Y2lhz,Very Best of Hinds So Far,7JHfCxDi6FDWCcRsNmQIPd,10,https://p.scdn.co/mp3-preview/9be6a4af4ce63e57d9d60a4dedba56c19f540797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Davey Crockett,19R3Hpfc37ho3K4Y4mWQP7,Hinds,4piFCokRN13muTud5Y2lhz,Very Best of Hinds So Far,7JHfCxDi6FDWCcRsNmQIPd,20,https://p.scdn.co/mp3-preview/6cf3f98dc00695235b3764144d4afa8c4da67710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bamboo,4T7C7Oyp0zVIEd6VSiUTus,Hinds,4piFCokRN13muTud5Y2lhz,Very Best of Hinds So Far,7JHfCxDi6FDWCcRsNmQIPd,10,https://p.scdn.co/mp3-preview/92df8545713f0f0434ead97773e5ceb274a2a918?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Between Cans - Live at BBC,5fHpiHkqsGOQYwZYmQqZN5,Hinds,4piFCokRN13muTud5Y2lhz,Very Best of Hinds So Far,7JHfCxDi6FDWCcRsNmQIPd,10,https://p.scdn.co/mp3-preview/e627cb70b5df7f56eb37f661203c60c2cd9bae64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Too High to Die,6fwqPcOHFuyH1ApfX6FRGR,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,6,https://p.scdn.co/mp3-preview/98da16865566586902efb89b6fa6cbc7adf495f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Let's Do It Again,7qFZaVr0IzeBQqqk7fdyGx,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,6,https://p.scdn.co/mp3-preview/e9ee258729ab715bfeb8a6a2782e50a5fdcca2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,A Thousand Ways,3Dmnz3sUhpuUK2tXz7LyCk,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,3,https://p.scdn.co/mp3-preview/0e3ee3501b72c30c624b9787829b821979fc8acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Jame Gumb,53oBDqs7l87VIskxkzb7Of,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,4,https://p.scdn.co/mp3-preview/0374dc3624623e34d2bf7d39fce0931bdae62e9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Casper,2LciutWKDux5M3aPeAyHId,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,4,https://p.scdn.co/mp3-preview/d000fc8b6b4ae5bea18e506d2fd36c03fb7bc4bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,E.A. Presley,0LqnvzbIs1Vbg1OB1OaQYj,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,3,https://p.scdn.co/mp3-preview/146b959a12ae33734397e07537af03d672598f0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,The Road That Brings You Home,2KMb52hcY9B3bMH7iUuCN8,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,3,https://p.scdn.co/mp3-preview/5923fc1f0e7f66f138f2ab5c9846c6221df2e42f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Windows 98,7iKHrULQZLA3bRdCnmbrEr,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,3,https://p.scdn.co/mp3-preview/995b50c3db038162d3b8de2d9c5f118cb866baa3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Los Niños Sin Miedo,6Osxxwq9Ii3wFXOzUXyxCz,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,3,https://p.scdn.co/mp3-preview/a751854cad7a898eaa3cf820044fd6e34dfa8b40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Terror,5pWR03xtOUTVgC0NbAGk7L,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Weed for the Parrots,5f6pDcekELeI6zFjhHrT9k,13,https://p.scdn.co/mp3-preview/b3a2df5d71be3d098e295b1d0c397f454e41a93c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,White Fang,1SZVKP1ORMqjrsPHEOKpCa,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Weed for the Parrots,5f6pDcekELeI6zFjhHrT9k,23,https://p.scdn.co/mp3-preview/ebff827eae889c8f088999c66119b17ab594cf77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,To the People Who Showed Me Their Love Whilst I Was Here,2llFegnWqYlBbD0jBfx0hT,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Weed for the Parrots,5f6pDcekELeI6zFjhHrT9k,17,https://p.scdn.co/mp3-preview/faa1a03ee90f205e3726b763d81493bb62e6f5b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,All My Loving,4GltgvT60JrRtWLGIgEnse,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Weed for the Parrots,5f6pDcekELeI6zFjhHrT9k,17,https://p.scdn.co/mp3-preview/ae29f56d1ccf6ed75ee5389c5513d042b2dd75d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,I'm Not Alone,4K6WYD4IZTuZdI9srqbL7s,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Weed for the Parrots,5f6pDcekELeI6zFjhHrT9k,14,https://p.scdn.co/mp3-preview/ceffda769cb15aadac3c8e7edd662b54fa9b0cb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Wild,5yow8DcyNaCL9QsMuqV1V0,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Weed for the Parrots,5f6pDcekELeI6zFjhHrT9k,12,https://p.scdn.co/mp3-preview/ea37c9eea07f26b0b83514c89efb28c57b03eb50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Maybe After Tonight,5dzQJvRdmuESLSHJhUYTgJ,Tversky,2H2NwHErQadK2lAzZ4UXUt,Faking Funk,7pwYQG1GPpe31aZeCXeYpP,1,https://p.scdn.co/mp3-preview/438646fc51aac060e29d0298d176841dcbac0429?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,1985,3W6J96NWudEsSg9Hx9p1IM,Tversky,2H2NwHErQadK2lAzZ4UXUt,Faking Funk,7pwYQG1GPpe31aZeCXeYpP,0,https://p.scdn.co/mp3-preview/b4ce12a5ddafd1c66f40108144a5415378f3ee03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Krush,1DIMqh7dZms9eFZQNkpB2O,Tversky,2H2NwHErQadK2lAzZ4UXUt,Faking Funk,7pwYQG1GPpe31aZeCXeYpP,1,https://p.scdn.co/mp3-preview/dcd57efb69d3d07a39545610d376025ebf1a6263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
