100% LatinX,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Bellacoso,1kMUGCt7XLDc5Q64Vl0H8S,Residente,5GcWBUX00IPuWVGMIRK1sS,Bellacoso,0un8ZRojNl6fYFRHYzQ9GG,85,https://p.scdn.co/mp3-preview/b8b21e99fc33ccd5e727883f14b5690dce2f791f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,TBT Remix,5bdM8kyjBVVyA5I4cJQtVa,Eix,384MqcXCGGFh9UcjI5Tpc5,TBT Remix,4Krp60Fnm2Lb48anIPIUPN,52,not available
40,Sola,2sAXzDzH42hjqrVKkdP4hi,Leslie Grace,6BeO1KuAWBqFriL1mLHtNc,Sola,1vS653OjT1KG95dYSRk2a6,66,https://p.scdn.co/mp3-preview/59ff84f0d01dc37116a08a0d4df6a2bbc0614570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Easy - Remix,4CMrdHWqic0usIZfTrKoI3,DaniLeigh,0XIKGBo9PnK1ApI5tZA60d,Easy (Remix),07oupZyy8xBQq0RQmXmg5z,79,not available
42,Mamacita,0OIXkSisUiEUKNtVRTZoF7,VOILÀ,6NnBBumbcMYsaPTHFhPtXD,Mamacita,6q6F3ajPHEnal0ZQtI6FMZ,45,https://p.scdn.co/mp3-preview/f4565887c4ed7e07bbef3c0cf7f7fc299d8993c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Deséame Suerte,0dG7rYBDUEPhfqdwaCEhq0,Jhay Cortez,0EFisYRi20PTADoJrifHrz,Deséame Suerte,6YaQFA6Qb7z5nAkDYp2lkd,70,not available
44,Don't Talk About Me,0cfqbF7GBQJMYg0S6GEqG4,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,Don't Talk About Me,2DoYEnu13XoeNZ6hYvUprJ,68,https://p.scdn.co/mp3-preview/28c61d08cda4e623e76c7feeac4fd695b212171c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Chicharrón,5UVa8Qqb9L1dVxl3jKQ5J1,Guaynaa,0BqURncJM5B1BBu7UM51eq,Chicharrón,3AHRVgJw38uR1NiwpcbWXZ,82,not available
46,Secrets,5pAaXHSlxNLfS6RQBrpjm5,Becky G,4obzFoKoKRHIphyHzJ35G3,Secrets,3ETzU5ugHCLSTN2xCgfoBK,65,https://p.scdn.co/mp3-preview/f6db3240c4fca07c596ada90d1f9a0eb1dd9ac12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Feel It Too,70iKezMwKdKq7kRtORKY5B,Tainy,0GM7qgcRCORpGnfcN2tCiB,Feel It Too,35m5NO6I4o9OGY1Hc7LUXN,61,not available
48,Ya Tú Sabes,3DtqXRrp2DTv1eTT9a28rN,CNCO,0eecdvMrqBftK0M1VKhaF4,Ya Tú Sabes,07RPrMIAtZCS4mKpIVrv9t,65,https://p.scdn.co/mp3-preview/fc4fc92755875c250e489ebb0798930295be4cb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,74,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
