Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,4obzFoKoKRHIphyHzJ35G3,Cuando Te Besé,1rNj1DvnXIH5irucrzT4zo,81,https://p.scdn.co/mp3-preview/711aada3953b733c610466921e9bfb66a3b829d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Traicionera,1TnP5HDR6fxVZBIGZq6DgO,9,not available
17,Vamos Pa la Playa,2XdgVioNvENCspUhMzvyjH,FlowZeta,6Ocjln6CF4WJ5z1GTmGzUH,Vamos Pa la Playa,7cx81P0OPmK2MElGwJ9ggg,7,not available
18,Lo Malo - Remix,7vHzOI0lrq6dXsHuQWpBpT,Aitana,7eLcDZDYHXZCebtQmVFL25,Lo Malo (Remix),35NdeKuRZ9zxd21lvngNxf,62,not available
19,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
20,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1jHSAfCHKUFx5imuezI7HE,77,https://p.scdn.co/mp3-preview/93d0ac52041e580e2dfb7a451f1f9c6443677761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Levantando Las Manos,6aIOfv9A3FZtQjMjyWNiJJ,El Simbolo,276SjaOhqPfWqk3eDTDrz3,Éxitos,39823i6I0X4cFWoCQPZWOd,55,https://p.scdn.co/mp3-preview/4b991d874ab04fe832d417236334421f29ea59fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Bella - Remix,0SaYeGhSXN0dDWstyNTQ56,Wolfine,2OnKRchqP7tT0FzTvWIFI7,Bella (Remix),1UsmrwFQhk483czxWluhS6,69,https://p.scdn.co/mp3-preview/e5ba7fc4af7518b4bbbf689147efe84633dfb63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ni La Hora,1he4G9w0zh5GokInpOSINW,Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,Ni La Hora,4ICMTx81FzdZHeNdLmHud3,62,not available
24,Ibiza,1h9P5WJwyvK8OB7O2YiXgp,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Aura,0SukGZiXMtmsZoxstkBtNR,77,https://p.scdn.co/mp3-preview/bf3706f0957c6b468c8b6a0e028c1afbd464664a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ella (Tu Piel Morena),2DAeRk6J5C1Zu8iy32sUPf,Viceversa,401RKKAmr5xOK3FpoXud68,Lo Mejor De Viceversa,6mbQGg061o7PBBnb68rvZD,44,not available
26,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7yFrNYBdjgAeUKflMGtU8l,79,not available
27,Amigos para Siempre,6PfQB3xEbIlky1dXOb3Yyh,Los Manolos,4WsE6jJORlwp3OcAWkCUrj,Dulce Veneno,103iVGOwBBlDcdrRmORWDH,53,https://p.scdn.co/mp3-preview/5c3758e3209f64cf07ed0e6905d76d5dc3cf7a32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,1GT0Q2ZTeKtIBueYKr4vhr,Juan Luis Guerra 4.40,3nlpTZci9O5W8RsNoNH559,Asondeguerra Tour (En Vivo Estadio Olímpico De República Dominicana/2012),43lcnoRo7YBAYHEztiDRrG,66,not available
29,Verano Azul,2TrzgfBaSP387EEFDgG4FW,Juan Magán,1ackd5XprZEkH3McKbQD51,Verano Azul,6GxHVUwxvviiCffH7coRPC,1,not available
30,Salsa Con Reggaetón,7KnfMJhMvciKC9TKEWVXi8,K-Narias,6bwz9tsKnEgaWbwGobFWQR,Hombres Con Pañales,0hS0znsJelROTBJXG6l8sT,47,https://p.scdn.co/mp3-preview/3f9d26583df666d59358e7265fb775ec92470900?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sólo Se Vive una Vez,5dg7OfEwTVvUZfqt24ObwI,Azucar Moreno,2WrKqjMRKr5MitNYaNgvl3,Mucho Azucar (Grandes Exitos),7xcIu7L8tCgaKYWndaS0uV,56,https://p.scdn.co/mp3-preview/6069dc7172199e9b1c713e0204cdc711f9d86a58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,La Cintura,5Ao1r4qOUoRBUSPovTbKR9,21,not available
33,Ave María,70iXrOETHNdFJpEikr4h2C,David Bisbal,5gOJTI4TusSENizxhcG7jB,David Bisbal (International Version),3NAwGAUFcWaIuRk9aCRoCR,3,not available
34,Torero,709CndJJB3GTUhQD0LLFse,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Grandes Exitos,1HR0VmKYncW4JyMwRCSi9N,61,https://p.scdn.co/mp3-preview/129e05b04a0bb4a56d16f152a521bd3cf10f4fe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sueño Su Boca,6gMyJAtpnAOU92I9hjpSNe,Raul,6EJ4mFJMPWz9lHCNP36vOC,Sueño Su Boca,5iOtSGdGnwl8yQmBT97EUt,46,https://p.scdn.co/mp3-preview/ccaed488cafae5229c931a37f030f22e009b8c7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Salta!!!,0M2tanh26PWePnaGVV3h3y,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Confidencial/New Booklet,4MlGPzHeuch6yl8VBzDDmU,55,https://p.scdn.co/mp3-preview/e7d8b35135c86bd2d9aadf5fc4f2e85b05596607?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Celoso,33zcmmElV1YbRZe57biUjg,Lele Pons,6i3DxIlAqnDkwELLw4aVrx,Celoso,0gXUZc4bTQzNqLvIyeObHm,72,not available
38,Mediterraneo,6QBLmxP1tU6lw1dhKQulau,Los Rebeldes,5xL4xxrHU7qleELxk85vAo,Mediterránaeo,7CZDkvrW1btWAv7oV0Sl3o,54,https://p.scdn.co/mp3-preview/8a246296729b7bba4081a4090fdffaa4df3180fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,No me llames iluso,1xobZzJ5b478hISL3oKskp,La Cabra Mecanica,1g2kmC27Pg8fcsT3O9ecje,Ni jaulas ni peceras,4YQKh4b18oo805c9LP89dw,45,https://p.scdn.co/mp3-preview/e6214e1561108b91f52786e18b75b638204eda60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,1r4hJ1h58CWwUQe3MxPuau,Mala Mía,3Bj8Yd9ANO4KufZkqOmG0W,77,https://p.scdn.co/mp3-preview/273268627d21e468125e392a78c8c8669cf9e8e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Calypso - Remix,3B1q4Cv9PcYdiOpzqKSEIV,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Calypso (Remix),0Ru1vApAYHKIpCeyc7gGJn,55,not available
42,Me Pongo Colorada,4AA1JmBpy3Bx5ZLAnJxOto,Papa Levante,4gb13Uvpvz0EFEHtmYdgDf,Tomalacate,0tp5aBBT7GRafCQt0Nvgi2,34,not available
43,Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Dura (Remix),5XGcXkkiPQIgaNSDANurj7,74,not available
44,La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,21451j1KhjAiaYKflxBjr1,La Player (Bandolera),57BGq6lpz8RK1cqr2fPVIi,78,https://p.scdn.co/mp3-preview/8b13790ddfd68fc7db370d01668d3ae3e42c836a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,X - Remix,6JjPBQfI2Y8nIjnm65X6Pw,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,X (Remix),5VQfOfiYcDLGZo9HFW1IJM,75,https://p.scdn.co/mp3-preview/64097a7de214fefcd950a9ee7fff90438e7c6f49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Una Lagrima,0PoUyBBEghT7ufac3soDiB,Peret,2bhNZ8x8k2VfVhNRKESlcj,Orígenes,4moi9DmSUydEzm7N8VbbeT,51,https://p.scdn.co/mp3-preview/19ebda816293b43999b678aaa4814974bc3b0cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Vivir Mi Vida,6erLquseaSdLBL2DSYLweL,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Verano Hits,3SSMZMmE49zUBPG3M8mRgr,40,https://p.scdn.co/mp3-preview/8dd6f4f05c677b4b7a7dd41b4c1e7a5735aa36de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Hay que venir al sur,1kXTqAV4IshAbOQpWl9PkE,Raffaela Carrá,0tglKBr1Cbb1c6kWuLJpw0,Las 101 mejores canciones Italianas,6uPvsXGBZE1brBn67RgMtI,45,https://p.scdn.co/mp3-preview/06db1c574f7a950e05181f6ffb330aef6a2556de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,La Tortura (feat. Alejandro Sanz),5BSclXJTa9B0iURhUjZo50,Shakira,0EmeFodog0BfCgMzAIvKQp,"Fijación Oral, Vol. 1",3zHPYwiMJqa3hTBgk695Ae,72,https://p.scdn.co/mp3-preview/e62ae4649f0297290113b10afeaa1744c0e9b06e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mayonesa,5Qjx4obghhfhsh6DiUwpNM,Chocolate,4e3lv5qRgFpdILdEOHchbn,2000 Grandes Exitos,4dqiQqmKsYhgmrocMXhogw,60,https://p.scdn.co/mp3-preview/c6e92b5b47c848a24e7c75089cd746ef252916ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Yo Quiero Bailar,4rFCPjKfgbEeNvs1Ku4nbd,Sonia Y Selena,0wWRxCuyckZOJQVEGqE1f8,Yo Quiero Bailar,1Z3oRjE6kaIhj9GS0IFwxF,52,not available
52,La Gozadera,3ip2477VESffCtFkPFT0ov,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,La Gozadera,5m3zgE6dD2EESuUGcpJINF,8,not available
53,Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Despacito (Featuring Daddy Yankee),1HV4uCbhCicfl07dm2WvU0,23,not available
54,Summercat,1uK7U9LJlSdz8Lm5eRn9EM,Billie The Vision & The Dancers,5Gpi2vZtZtUPrMnlBDdpre,I Was So Unpopular In School And Now They're Giving Me This Beautyful Bicycle,2c1X2z3WzjSVC9PkXo2vdL,8,not available
55,Aqui No Hay Playa,7Ja3xxyLa5mdvAOlzBPXd2,The Refrescos,2dN0tlioLsFZ6319yNUNlX,Universal.es The Refrescos,16OaqDgZrf0mufBB0NyByn,3,not available
