mint Latin,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Me Gustaría,4Ff8VE7K4blzoFHnuWir8x,Lemarroy,0MbIn3hLqEhgj784ocMT1W,Me Gustaría,4gMI5AoKtdsf7wCfndS2Ts,52,https://p.scdn.co/mp3-preview/a4448cdad998b3807596b4fc3d5f0e37e17b8e1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Virtual Healing,0DTrm5ZOis6zkSYR10wrxu,Kyan Palmer,3W5hlKkJKXp7xY7R7IYfxp,Virtual Healing,4zsskjIHJPQ8P46bphzml9,39,https://p.scdn.co/mp3-preview/d7d4fc6a00c6f2b5a690ec074fdc5dc877cebd0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Shameless,5jOJ3jumH0eS1kZg6tSW5k,Sunnery James & Ryan Marciano,7kABWMhjA5GIl9PBEasBPt,Shameless,6H9eAMRnKQJmCh69ucj56K,4,https://p.scdn.co/mp3-preview/62a25b4bd288182d90a4452ad171993325140bae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hola Señorita - Robin Schulz Remix,44ETcHYUz11q8QbqcgSwL6,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Hola Señorita (Robin Schulz Remix),03nOUCfP5AwMD7cVEQwf9r,66,https://p.scdn.co/mp3-preview/226411ce328c09c8585d771708dad838039e844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,CLOSE TO ME,41nDM1IxSQN9YnIYuZhYYM,RYOKER,3f5H53m7DIJapLedJek1vK,CLOSE TO ME,6qkAqys8nnj3JuX5mDmcnM,36,https://p.scdn.co/mp3-preview/79791d9a3c1623d792347c4c5759955d0ac9d2d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,I Remember,4gSPEbFsw7dyU5tAW3JwF4,Dani Masi,3FvGw7wM0jzusOJIRyw0VK,I Remember,6CMUeyAxq6psjLnz5sgbro,35,https://p.scdn.co/mp3-preview/c78f43559b828e53c16f79d8144acabcce22c3dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Aqui Se Baila - Afro Latin Mix,6jo8xMFaWUqRzqb9WisxAS,Mijangos,55Y97uxwaGhvalkzZbxyzf,Aqui Se Baila (Afro Latin Mix),3o6A4t7AhdwGc0IZ1BUgzr,44,https://p.scdn.co/mp3-preview/827987dcaacc9eeecd7eb460d213cbc89e6fd175?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Music For The People,77cZ16ALVOTUcCR3u71X5z,Yves Larock,2P1h10tRBVlC2lVUqhl6wm,Music For The People,4ca9d9NrZQKsuBxa5aVp9D,40,https://p.scdn.co/mp3-preview/4612dbd46ffc6286e6ea943180b1450398feddb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Querer Mejor - Sam Feldt Remix,6BXsbQvznvaZj3SbQhDjyp,Juanes,0UWZUmn7sybxMCqrw9tGa7,Querer Mejor (Remixes),4ipRm9YvxPgx2PMJ19VH1S,52,not available
29,Baila Conmigo (feat. Kelly Ruiz),4Clmg1g8n2yBYG13Z1oSdG,Dayvi,2TWBei99x2tV70bdYbWdAf,Baila Conmigo (feat. Kelly Ruiz),68hy2xnNgeo0dO0YOm4Th7,87,https://p.scdn.co/mp3-preview/ea3a6fc2e0b1ac68421a14ed005ddfc8e6968006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Fusión,5vXw2UgXbX0LDCPqeBmV2y,Blanka Avila,7KzgRd3AI0jX0g7P6KNb0m,Fusión,5CbYRwDQTXy2fBKCSqDb09,35,https://p.scdn.co/mp3-preview/932e5cf7c3b15aeaea976a59003b7f09c707a6e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Make Me Feel Good,2SmCxNKmrWrFfSS4Lo1AC2,SPENCE,2zhOVmp1pHxMUZuA68Xdvb,Make Me Feel Good,4VcMCdZUM76h6Kx0nPPzeu,38,https://p.scdn.co/mp3-preview/620824e6bfd09c6eada0d8fb2bc38f95b75e8d3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ojos Negros,4ZyTzE0H80ujM6U61PbUZy,Sinego,3UlAQex8nw3vquHcmY8fpb,Ojos Negros,64VBPQHET47D39Qoc4e0mm,43,https://p.scdn.co/mp3-preview/5412fa41accae063198ba30dceaf1ae7085e8881?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Don't Wanna Wait,3hjV3o0fqEjEh3CNSag2GB,Michael J,7kvD8kfuiYBffdqFs9ksdE,Don't Wanna Wait,4hcDcqoN2d6Rtcu4PByGdE,31,https://p.scdn.co/mp3-preview/1d3408903fee7862a8a633d530fcbcfa78332b9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Last Chance,4HRGzVkOhwQxjIBFMyvqey,Frikstailers,3kGiP6mQDtEZG5UD7mAlBH,Extrasolar,3ZzDDc3SWKB9plzNlJHHUW,30,https://p.scdn.co/mp3-preview/5ac0f52ce97ada770fbaf97da7fd66c87377a43b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Confieso (Remix),2JRfjpHODpbqt4sUeVaU4n,F4ST,25zPr5malvJ4FznDZUVo1a,Confieso (Remix),4vSW3yEbgyW76TF2Slr4Se,36,https://p.scdn.co/mp3-preview/8978cc1da80e83e4931bf5ee444a37c95c6a9764?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Horsepower,05XHsSBgZanrla4cz3QtWS,Bufi,0ckrHQgGWuXzYxRM0jLOZZ,Mexico 70,0zIFIplwNUKb4ybsdmCcKz,36,https://p.scdn.co/mp3-preview/ac554dba8c4b37597d15d777ac07726abe811ea6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Keep Pushin',24H99MZSQRR1YfCzvWSZPl,Pato Watson,5UBAh8nYFgoHlD4bFNlqJ4,Keep Pushin',30y7GzUS0uMuYg6cpUWQxr,29,https://p.scdn.co/mp3-preview/aa5a7d0e7f2cb8bd76a8e8c6836f76aa466e42df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Me Llamas,4hy8XmWbT9HKrhdP0FbwfO,Arlon Vibes,761axOmT9EOfJw4q5Pu2yt,Me Llamas,7ExqZ1SQGscXKAer1Ei8sL,33,https://p.scdn.co/mp3-preview/d62edb72f352951f1d73164316d518e21b77fb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stay,3IC6BF7qEvsus7yORuxNJ9,Blader,4QkJMLI02U48Pe06h6HmtP,Stay,2pqJDytu971bFQTAuHYEvs,30,https://p.scdn.co/mp3-preview/639a5162a525ca1616f995a251bd10b79edf68d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Never Let You Go (feat. Sofia Reyes),7KY4hAPXXg9aeYczem8JBo,Slushii,41rVuRHYAiH7ltBTHVR9We,Never Let You Go (feat. Sofia Reyes),2p7Lm9KtGXUlDPA9lYl46V,57,https://p.scdn.co/mp3-preview/0253e7943a9b9c5710947f4cd27d6ef3869dc97e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,You & I,49Diq00G2E5qjKzbSR7GPM,Mastachi,2FUdSx0y6GUemXtB1xXIax,You & I,2xvLfiph363gFq0Kgfr7JS,29,https://p.scdn.co/mp3-preview/b7789ddf27722016fa969fc140b6ff5cb18a2f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Val Haunter - Original Mix,1QMWa3ayVZ4KbAkrJPDV3d,Mariano Mellino,3ikEi08G1s0jiIxBC9a9GE,Val Haunter,4yVe1kTuN1LcHgYyYzfuBU,30,https://p.scdn.co/mp3-preview/c356c62cb71b31dcbdacf6099ce790c0e1fb83e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Reach The Sky (feat. Carlos Luna),0oPJ5ZbL41FY76vlubLxHc,Golden Trees,39V2Y4JBcmj7dCIUQNKGeR,Reach The Sky,7nkqhsRNIuo14S3hNqrilF,28,https://p.scdn.co/mp3-preview/7650c711e1cd73afc91f6f0d425af72267587b48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,You're Mine,1yxfocgGtRIfOpM4PMaeZ6,Alfred Beck,46TMyYBWbwHsSCYedrHv93,You're Mine,65YXe5sC1UI1wwJfi6zQaO,44,https://p.scdn.co/mp3-preview/9b12449080f0e4c89bb1577b180dd28900081b99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,XO,5iU4fwSjUNc3mMz3zXuM03,Mylko,0gdMNxIIIINRt8nxy8AQGg,XO,2t35OWiQphB4r7sOrnJWHy,41,https://p.scdn.co/mp3-preview/387f2552e217cf80d43edbaf6adadf7c42358090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Cause Enough (with Aram),5Gh1QW6xRF5e7Ce8rsH7a7,Dave Noix,3Ck4IwSBPorwyygopErYWM,Cause Enough (with Aram),6LdiZnOxM72CAfiCALBI5D,28,https://p.scdn.co/mp3-preview/8dd4fc542c1212cd53f72228c4ff50c5bb48cbd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Tell Me,1MNQtvkXE19KX5o4G5A958,Mastachi,2FUdSx0y6GUemXtB1xXIax,Tell Me,2tvij70YjNRANqFz23N4Uj,29,https://p.scdn.co/mp3-preview/0804b4022248222c87ded765f15c37ed7adbbed5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Amanhecer,1aExObSdCjbANQvuv4ML5b,Selva,1Ejjxuav6kpsSyb6QIhjHa,Amanhecer,1Ndwu7WyL1l3ysyXGBtQym,51,not available
49,Mundos Paralelos,6NNVpS5FG0Pamwfv5rZpFA,LEX,7e9fkXTW7DlRaBOPoiaKCV,Mundos Paralelos,4pgAlih8CPXFXdVemLfYez,38,https://p.scdn.co/mp3-preview/6be9350d02b0edf1f29e84fc5c872e14992ade66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Friendzone,7JnQEht7YvvD6vDpMmr65b,GENTØ,45J4iCMQLYZo5WS3LfZFQs,Friendzone,695WNaLPUVDmEhKWmOIPMa,29,https://p.scdn.co/mp3-preview/aa20d299057a1b29c4e89fb233854db00a08d823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
